ID,occurrenceID,catalogNumber,otherCatalogNumbers,NEON_ID,Absorbance,Slope ,Intercept,ppm_P,mg P_g litter,percent_P,percent_C,percent_N,CN,13C,15N,plotID,decimalLatitude,decimalLongitude
1,NEON01164,NEON01164,NEON sampleCode (barcode): A00000032819; NEON sampleID: NEON.ltr.HARV051.20181015.lvs.ar,241830,1.005,0.0508,0.1402,17.023622,0.8511811,0.000851181,51.19,1.03,49.6,-29.7,-4.2,HARV_051,42.53409,-72.179145
2,NEON0116M,NEON0116M,NEON sampleCode (barcode): A00000032742; NEON sampleID: NEON.ltr.HARV039.20181016.ndl.ar,241862,0.674,0.0508,0.1402,10.507874,0.5253937,0.000525394,53.77,0.63,85.34920635,-28.7,-1.1,HARV_039,42.533244,20
3,NEON0116N,NEON0116N,NEON sampleCode (barcode): A00000032757; NEON sampleID: NEON.ltr.HARV039.20181016.lvs.ar,241864,1.81366667,0.0508,0.1402,32.9422572,1.64711286,0.001647113,51.21,0.91,56.5,-29.8,-3.4,HARV_039,42.533244,20
4,NEON0116S,NEON0116S,NEON sampleCode (barcode): A00000032788; NEON sampleID: NEON.ltr.HARV035.20181015.lvs.ar,241874,1.662,0.0508,0.1402,29.9566929,1.497834645,0.001497835,52.19,0.94,55.3,-30.8,-5.1,HARV_035,42.539971,-72.178087
5,NEON0116T,NEON0116T,NEON sampleCode (barcode): A00000032796; NEON sampleID: NEON.ltr.HARV034.20181016.ndl.ar,241876,0.6485,0.0508,0.1402,8.560824742,0.428041237,0.000428041,53.66,0.61,87.7,-28.5,-3,HARV_034,42.535693,-72.177962
6,NEON0116U,NEON0116U,NEON sampleCode (barcode): A00000032792; NEON sampleID: NEON.ltr.HARV034.20181016.lvs.ar,241878,1.184,0.0508,0.1402,20.5472441,1.027362205,0.001027362,50.34,0.78,64.6,-30.5,-5,HARV_034,42.535693,-72.177962
7,NEON0116V,NEON0116V,NEON sampleCode (barcode): A00000032823; NEON sampleID: NEON.ltr.HARV033.20181015.ndl.ar,241880,0.81866667,0.0508,0.1402,13.355643,0.66778215,0.000667782,53.69,0.53,101.3018868,-28.9,1.9,HARV_033,42.53831,-72.175606
8,NEON0116W,NEON0116W,NEON sampleCode (barcode): A00000032807; NEON sampleID: NEON.ltr.HARV033.20181015.lvs.ar,241882,1.22966667,0.0508,0.1402,21.4461942,1.07230971,0.00107231,50.15,0.99,50.8,-29.2,-3,HARV_033,42.53831,-72.175606
9,NEON0118M,NEON0118M,NEON sampleID: NEON.ltr.SCBI062.20171113.lvs.ar,246683,1.13066667,0.0508,0.1402,19.4973753,0.974868765,0.000974869,50.39,0.87,57.8,-29.8,-2.7,SCBI_062,38.895117,-78.138236
10,NEON0118Q,NEON0118Q,NEON sampleID: NEON.ltr.SCBI048.20171113.lvs.ar,246687,0.79733333,0.0508,0.1402,12.9356955,0.646784775,0.000646785,50.76,0.97,52.4,-30.5,-2.3,SCBI_048,38.892604,-78.135922
11,NEON0118R,NEON0118R,NEON sampleID: NEON.ltr.SCBI047.20171113.lvs.ar,246688,0.81466667,0.0508,0.1402,13.2769029,0.663845145,0.000663845,50.11,0.87,57.6,-29.6,-3.8,SCBI_047,38.894261,-78.1372
12,NEON0118S,NEON0118S,NEON sampleID: NEON.ltr.SCBI046.20171113.lvs.ar,246689,0.863,0.0508,0.1402,14.2283465,0.711417325,0.000711417,51.37,0.63,81.1,-29.1,-2.5,SCBI_046,38.893831,-78.140758
13,NEON0118T,NEON0118T,NEON sampleID: NEON.ltr.SCBI045.20171113.lvs.ar,246690,1.52766667,0.0508,0.1402,27.312336,1.3656168,0.001365617,50.43,1.04,48.4,-29.1,-1.8,SCBI_045,38.890566,-78.139431
14,NEON01183,NEON01183,NEON sampleCode (barcode): A00000007068; NEON sampleID: NEON.ltr.GUAN057.20180427.lvs.ar,244905,0.51066667,0.0508,0.1402,7.29265092,0.364632546,0.000364633,45.19,1.19,37.8,-29.4,3.1,GUAN_057,17.96857,-66.865136
15,NEON0118D,NEON0118D,NEON sampleCode (barcode): A00000007002; NEON sampleID: NEON.ltr.GUAN045.20180427.lvs.ar,244915,0.503,0.0508,0.1402,7.14173228,0.357086614,0.000357087,44.95,1.15,39.2,-29,0,GUAN_045,17.969212,-66.873903
16,NEON0118G,NEON0118G,NEON sampleCode (barcode): A00000007081; NEON sampleID: NEON.ltr.GUAN047.20180427.lvs.ar,244918,0.459,0.0508,0.1402,6.27559055,0.313779528,0.00031378,47.1,1.18,34.1,-30,-0.9,GUAN_047,17.973185,-66.866786
17,NEON0118H,NEON0118H,NEON sampleCode (barcode): A00000007116; NEON sampleID: NEON.ltr.GUAN056.20180427.lvs.ar,244919,0.403,0.0508,0.1402,5.17322835,0.258661418,0.000258661,49.72,0.75,66.5,-29.7,-0.8,GUAN_056,17.971008,-66.865387
18,NEON0118I,NEON0118I,NEON sampleCode (barcode): A00000007130; NEON sampleID: NEON.ltr.GUAN049.20180427.lvs.ar,244920,0.47133333,0.0508,0.1402,6.5183727,0.325918635,0.000325919,44.82,1.6,28.1,-28.9,4.1,GUAN_049,17.967743,-66.8643
19,NEON011AK,NEON011AK,NEON sampleCode (barcode): B00000061778; NEON sampleID: NEON.ltr.UNDE037.20191007.lvs.ar,476765,0.51,0.0508,0.1402,7.27952756,0.363976378,0.000363976,49.05,0.55,89.1,-29,-5.5,UNDE_037,46.231276,-89.541941
20,NEON011AM,NEON011AM,NEON sampleCode (barcode): B00000061745; NEON sampleID: NEON.ltr.UNDE043.20191007.lvs.ar,476769,0.91166667,0.0508,0.1402,15.1863517,0.759317585,0.000759318,50.14,0.73,69.1,-29.4,-2.3,UNDE_043,46.234247,-89.542459
21,NEON011AQ,NEON011AQ,NEON sampleCode (barcode): B00000061889; NEON sampleID: NEON.ltr.UNDE048.20191007.lvs.ar,476777,0.52333333,0.0508,0.1402,7.54199475,0.377099738,0.0003771,50.67,0.58,87.4,-29.1,-4.4,UNDE_048,46.232136,-89.540445
