uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,cnSampleID,cnSampleCode,collectDate,analysisDate,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"30813feb-091d-4b13-a3e8-7285e5e3e7d5","HARV_035.basePlot.cfc","D01","HARV","HARV_035","tower","AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBmFg+NHbVjFU=","A00000000786","AVQkM2txccfUnMu2VlEQoJVkzmhQOXrB3ae0H9ebzmc=","A00000032115","2018-09-04T15:09Z","2019-01-23","N",-3.7,-29.0,1.19,51.08,43.1,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"99d28bad-e8ee-4cd5-8700-ddb82e63e995","HARV_037.basePlot.cfc","D01","HARV","HARV_037","tower","AVQkM2txcceLRS2ArSfV2TKAS6PImhMJFZq1L+N1Jl4=","A00000000771","AVQkM2txcceLRS2ArSfV2TKAS6PImhMJBc8ZSNzwJrw=","A00000032129","2018-09-04T18:41Z","2019-01-23","N",-3.6,-27.8,1.32,51.03,38.7,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"2afc68e9-6ed7-4bda-9c70-7f8fd638423a","HARV_037.basePlot.cfc","D01","HARV","HARV_037","tower","AVQkM2txcceLRS2ArSfV2TKAS6PImhMJFZq1L+N1Jl4=","A00000000771","AVQkM2txcceLRS2ArSfV2TKAS6PImhMJBc8ZSNzwJrw=","A00000032129","2018-09-04T18:41Z","2019-01-23","N",-3.6,-27.7,1.30,50.94,39.2,"OK","OK","OK","OK",2,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"a085170b-8c8b-4547-a0d3-ab0a62098c43","HARV_037.basePlot.cfc","D01","HARV","HARV_037","tower","AVQkM2txccdQ2OivmFjwrRr5qjwUgN/M4s9xU49NmtY=","A00000000770","AVQkM2txccdQ2OivmFjwrRr5qjwUgN/MIp2kth1RJ+4=","A00000032118","2018-09-04T20:14Z","2019-01-23","N",-4.2,-27.8,1.50,50.89,34.0,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"1aaad078-2986-4d78-bc61-71be0ab934ea","HARV_013.basePlot.cfc","D01","HARV","HARV_013","distributed","AVQkM2txccfa6Tc84ohrE3TBoxsq44q6ZkzDRJygJGk=","A00000000768","AVQkM2txccfa6Tc84ohrE3TBoxsq44q6yDRXI1iufI8=","A00000032107","2018-09-05T14:07Z","2019-01-23","N",-3.0,-29.6,1.73,47.31,27.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"8a9e7b4b-2d21-4431-83f2-56f1e8c380c7","HARV_013.basePlot.cfc","D01","HARV","HARV_013","distributed","AVQkM2txcccnUG9qT4JtDncUn6t7HQMgG9spd2zIi5E=","A00000000769","AVQkM2txcccnUG9qT4JtDncUn6t7HQMg7+YNToOJahE=","A00000032104","2018-09-05T14:50Z","2019-01-23","N",-0.8,-27.9,1.43,51.95,36.4,"OK","OK","OK","OK",2,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"6dcc3006-c05c-4aa5-870c-8182d37008a4","HARV_013.basePlot.cfc","D01","HARV","HARV_013","distributed","AVQkM2txcccnUG9qT4JtDncUn6t7HQMgG9spd2zIi5E=","A00000000769","AVQkM2txcccnUG9qT4JtDncUn6t7HQMg7+YNToOJahE=","A00000032104","2018-09-05T14:50Z","2019-01-23","N",-1.9,-27.9,1.39,51.76,37.2,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"278f9b42-6b0a-4203-95d9-7c3f63aa792c","HARV_013.basePlot.cfc","D01","HARV","HARV_013","distributed","AVQkM2txccdU9XU1geX3p7dBL1yeO83xJfU2OND+zK4=","A00000000780","AVQkM2txccdU9XU1geX3p7dBL1yeO83x3rrfX+sT5m4=","A00000032100","2018-09-05T16:06Z","2019-01-23","N",-2.2,-28.6,1.87,48.22,25.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"fda766f5-9114-41a9-93e4-594a8003f070","HARV_006.basePlot.cfc","D01","HARV","HARV_006","distributed","AVQkM2txccff87SxuZNcE+iY147qeowcrBke51Z5alM=","A00000000765","AVQkM2txccff87SxuZNcE+iY147qeowcnI4m1SoX82U=","A00000032095","2018-09-05T18:04Z","2019-01-23","N",-1.9,-28.2,1.81,49.02,27.1,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"b53ff5c4-2058-4ce9-8804-ff9793152014","HARV_006.basePlot.cfc","D01","HARV","HARV_006","distributed","AVQkM2txcccbfq2mByGOeXPHFFcT7zucTX5MUkVCdZs=","A00000000747","AVQkM2txcccbfq2mByGOeXPHFFcT7zucuBhLqbW8U5w=","A00000032133","2018-09-06T13:01Z","2019-01-23","N",-2.8,-29.8,1.91,44.29,23.1,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
