uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,collectDate,ovenStartDate,ovenEndDate,sampleCondition,cnSampleID,cnSampleCode,ligninSampleID,ligninSampleBarcode,archiveSampleID,archiveSampleCode,archiveMass,toxicodendronPossible,processedBy,remarks,dataQF
"b7c33db5-b16c-4fe5-8803-e28c963637b0","HARV_035.basePlot.cfc","D01","HARV","HARV_035","tower","AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBmFg+NHbVjFU=","A00000000786","2018-09-04T15:09Z","2018-09-05T20:24Z","2018-09-10T20:14Z","OK","AVQkM2txccfUnMu2VlEQoJVkzmhQOXrB3ae0H9ebzmc=","A00000032115","AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBJcCx9RZ4/xI=","A00000032116","AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBrEMSrEMLoOw=","A00000032114",,,"jlerner@battelleecology.org",,
"02100b2a-40ca-487c-b429-100b729eca32","HARV_037.basePlot.cfc","D01","HARV","HARV_037","tower","AVQkM2txcceLRS2ArSfV2TKAS6PImhMJFZq1L+N1Jl4=","A00000000771","2018-09-04T18:41Z","2018-09-05T20:24Z","2018-09-10T20:12Z","OK","AVQkM2txcceLRS2ArSfV2TKAS6PImhMJBc8ZSNzwJrw=","A00000032129","AVQkM2txcceLRS2ArSfV2TKAS6PImhMJDFlPlj0Ij8c=","A00000032130","AVQkM2txcceLRS2ArSfV2TKAS6PImhMJkoptmfeyd4E=","A00000032131",,,"jlerner@battelleecology.org",,
"ce4705b8-bca4-4df4-9329-a0fdcb816856","HARV_037.basePlot.cfc","D01","HARV","HARV_037","tower","AVQkM2txccdQ2OivmFjwrRr5qjwUgN/M4s9xU49NmtY=","A00000000770","2018-09-04T20:14Z","2018-09-05T15:50Z","2018-09-10T19:54Z","OK","AVQkM2txccdQ2OivmFjwrRr5qjwUgN/MIp2kth1RJ+4=","A00000032118","AVQkM2txccdQ2OivmFjwrRr5qjwUgN/MuuxpL36YFgI=","A00000032119","AVQkM2txccdQ2OivmFjwrRr5qjwUgN/MrNWw2aFRnk4=","A00000032117",,,"jlerner@battelleecology.org",,
"80b00c07-9578-4a64-91af-8186c6a54ad6","HARV_013.basePlot.cfc","D01","HARV","HARV_013","distributed","AVQkM2txccfa6Tc84ohrE3TBoxsq44q6ZkzDRJygJGk=","A00000000768","2018-09-05T14:07Z","2018-09-06T15:07Z","2018-09-10T20:27Z","OK","AVQkM2txccfa6Tc84ohrE3TBoxsq44q6yDRXI1iufI8=","A00000032107","AVQkM2txccfa6Tc84ohrE3TBoxsq44q6UhOg6WaFYWBZ4WLDStwGZQ==","A00000032106","AVQkM2txccfa6Tc84ohrE3TBoxsq44q69NjWQM+y9AA=","A00000032105",,,"jlerner@battelleecology.org",,
"b7142865-3e9d-406f-9f75-d58236991d18","HARV_013.basePlot.cfc","D01","HARV","HARV_013","distributed","AVQkM2txcccnUG9qT4JtDncUn6t7HQMgG9spd2zIi5E=","A00000000769","2018-09-05T14:50Z","2018-09-06T15:07Z","2018-09-10T20:25Z","OK","AVQkM2txcccnUG9qT4JtDncUn6t7HQMg7+YNToOJahE=","A00000032104","AVQkM2txcccnUG9qT4JtDncUn6t7HQMgDcfbGh9QKys=","A00000032103","AVQkM2txcccnUG9qT4JtDncUn6t7HQMgL3thFrlKJlY=","A00000032102",,,"jlerner@battelleecology.org",,
"294075fb-3c69-4c2c-8870-2f68333df8f0","HARV_013.basePlot.cfc","D01","HARV","HARV_013","distributed","AVQkM2txccdU9XU1geX3p7dBL1yeO83xJfU2OND+zK4=","A00000000780","2018-09-05T16:06Z","2018-09-06T15:07Z","2018-09-10T20:26Z","OK","AVQkM2txccdU9XU1geX3p7dBL1yeO83x3rrfX+sT5m4=","A00000032100","AVQkM2txccdU9XU1geX3p7dBL1yeO83xV/VGpWjIRYw=","A00000032101","AVQkM2txccdU9XU1geX3p7dBL1yeO83xt3h6atEr+P0=","A00000032099",,,"jlerner@battelleecology.org",,
"83c0b9eb-231d-43b0-a101-6dd3b2e4eadb","HARV_006.basePlot.cfc","D01","HARV","HARV_006","distributed","AVQkM2txccff87SxuZNcE+iY147qeowcrBke51Z5alM=","A00000000765","2018-09-05T18:04Z","2018-09-06T15:07Z","2018-09-10T20:24Z","OK","AVQkM2txccff87SxuZNcE+iY147qeowcnI4m1SoX82U=","A00000032095","AVQkM2txccff87SxuZNcE+iY147qeowc6HcElX59D0U=","A00000032094","AVQkM2txccff87SxuZNcE+iY147qeowcQBru2D7+9g8=","A00000032093",,,"jlerner@battelleecology.org",,
"9f1ac564-2c5b-4e19-8955-45bd14e63d31","HARV_006.basePlot.cfc","D01","HARV","HARV_006","distributed","AVQkM2txcccbfq2mByGOeXPHFFcT7zucTX5MUkVCdZs=","A00000000747","2018-09-06T13:01Z","2018-09-07T15:50Z","2018-09-10T20:19Z","OK","AVQkM2txcccbfq2mByGOeXPHFFcT7zucuBhLqbW8U5w=","A00000032133","AVQkM2txcccbfq2mByGOeXPHFFcT7zucYJ0igMOHGDQ=","A00000032134","AVQkM2txcccbfq2mByGOeXPHFFcT7zucdNYQQNROkzc=","A00000032132",,,"jlerner@battelleecology.org",,
"4810d7d0-b2f5-4b0c-9290-017130fcf273","HARV_006.basePlot.cfc","D01","HARV","HARV_006","distributed","AVQkM2txccenLB73JxEdacLoLcwaSeCKrDi+Yo1Cuyg=","A00000000764","2018-09-06T14:34Z","2018-09-07T15:50Z","2018-09-10T20:17Z","OK","AVQkM2txccenLB73JxEdacLoLcwaSeCKoBxGqKkMTsU=","A00000032098","AVQkM2txccenLB73JxEdacLoLcwaSeCKT915s93fus8=","A00000032097","AVQkM2txccenLB73JxEdacLoLcwaSeCKNDNvATY3kd8=","A00000032096",,,"jlerner@battelleecology.org",,
"1a206b4e-4771-4f83-a0c4-bfe7077570d4","HARV_004.basePlot.cfc","D01","HARV","HARV_004","distributed","AVQkM2txccfoJDNLYOYIVdYKO96X0hP5YNhoGUjrzdg=","A00000000743","2018-09-06T16:56Z","2018-09-07T15:50Z","2018-09-10T20:20Z","OK","AVQkM2txccfoJDNLYOYIVdYKO96X0hP5NqSSXuDeW3s=","A00000032139","AVQkM2txccfoJDNLYOYIVdYKO96X0hP5GW7F37o0G84=","A00000032140","AVQkM2txccfoJDNLYOYIVdYKO96X0hP5wYetdSxKT10=","A00000032138",,,"jlerner@battelleecology.org",,
"2ed73c6e-24f4-408c-9491-e354c818d85f","HARV_004.basePlot.cfc","D01","HARV","HARV_004","distributed","AVQkM2txccfr8sOhlxEHYwQ7kBCYQdB7W5OTZwMQwvE=","A00000000758","2018-09-06T18:11Z","2018-09-07T15:50Z","2018-09-10T20:16Z","OK","AVQkM2txccfr8sOhlxEHYwQ7kBCYQdB7QZGJAsrUSDw=","A00000032137","AVQkM2txccfr8sOhlxEHYwQ7kBCYQdB7fGYYZ+4JSduLj8Roq1NxBw==","A00000032136","AVQkM2txccfr8sOhlxEHYwQ7kBCYQdB7kYs+fNKKyyU=","A00000032135",,,"jlerner@battelleecology.org",,
"af496941-9c06-4d76-bc02-cdddab4a1360","HARV_004.basePlot.cfc","D01","HARV","HARV_004","distributed","AVQkM2txcccSmS/+trysX9MD/YSgk8+T4vjMfdPDA4I=","A00000000767","2018-09-07T14:22Z","2018-09-10T19:10Z","2018-09-17T15:28Z","OK","AVQkM2txcccSmS/+trysX9MD/YSgk8+TYiNDbJI3B9w=","A00000032332","AVQkM2txcccSmS/+trysX9MD/YSgk8+TQoAXtiovxzs=","A00000032061","AVQkM2txcccSmS/+trysX9MD/YSgk8+Tj0VvREmmWGw=","A00000032062",,,"asands@battelleecology.org",,
"4840ad97-e178-4087-8c13-f8c8b7b91917","HARV_010.basePlot.cfc","D01","HARV","HARV_010","distributed","AVQkM2txcccPybg3jdEvENrtT75oYMHcXgqTe+G80ok=","A00000000790","2018-09-07T17:11Z","2018-09-10T19:10Z","2018-09-17T15:28Z","OK","AVQkM2txcccPybg3jdEvENrtT75oYMHcMdmVt0yIBAI=","A00000032082","AVQkM2txcccPybg3jdEvENrtT75oYMHc8qvviMW25Wk=","A00000032083","AVQkM2txcccPybg3jdEvENrtT75oYMHc97LCIyf2glA=","A00000032081",,,"asands@battelleecology.org",,
"d7251979-81f8-4bcc-967e-46c2eebca257","HARV_010.basePlot.cfc","D01","HARV","HARV_010","distributed","AVQkM2txcccewditTwq1KuTCeBLO/0I69XwYsO5JkgA=","A00000000759","2018-09-07T17:18Z","2018-09-10T19:10Z","2018-09-17T15:28Z","OK","AVQkM2txcccewditTwq1KuTCeBLO/0I6ITJRpOZ7Voo=","A00000032078","AVQkM2txcccewditTwq1KuTCeBLO/0I6ezujqtZiDo0=","A00000032079","AVQkM2txcccewditTwq1KuTCeBLO/0I6EDDnzAoHvJ8=","A00000032080",,,"asands@battelleecology.org",,
