uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,collectDate,aopCollectDate,samplingImpractical,subplotID,sampleType,samplingMethod,sampleID,sampleCode,sampleCondition,chlorophyllSampleID,chlorophyllSampleCode,chlorophyllSampleCondition,clipCellNumber,clipID,clipLength,clipWidth,percentCoverClip,toxicodendronPossible,vstTag,tagID,individualID,taxonID,scientificName,plantStatus,canopyPosition,canopyStatus,subsample1Height,subsample2Height,subsample3Height,crownPolygonID,crownPolygonConfidence,shapefileID,collectedBy,recordedBy,remarks,dataQF
"aa812f45-f478-4973-bd50-0df5f6cbd8e2","HARV_035.basePlot.cfc","D01","HARV","HARV_035","tower","evergreenForest","WGS84",42.539966,-72.178072,20.2,365.8,0.30,"NEON.DOC.001024vE","2018-09-04T15:09Z","2018-09-02",,"21","Woody individual","line launcher","AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBmFg+NHbVjFU=","A00000000786",,"AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBQ/08Rszc8CI=","D00000007987",,,,,,,,"Y","04552","NEON.PLA.D01.HARV.04552","TSCA","Tsuga canadensis (L.) Carrière","Insect damaged",,,11.6,,,,,,"jlerner@battelleecology.org","gvanscoy@field-ops.org","Hemlock woolly adelgid",
"ac32d9b3-9b42-480e-ae31-52e6f48e4886","HARV_037.basePlot.cfc","D01","HARV","HARV_037","tower","evergreenForest","WGS84",42.537308,-72.179312,20.1,361.9,0.17,"NEON.DOC.001024vE","2018-09-04T18:41Z","2018-09-02",,"41","Woody individual","line launcher","AVQkM2txcceLRS2ArSfV2TKAS6PImhMJFZq1L+N1Jl4=","A00000000771",,"AVQkM2txcceLRS2ArSfV2TKAS6PImhMJEtN6joQMpC8=","D00000008015",,,,,,,,"Y","05186","NEON.PLA.D01.HARV.05186","TSCA","Tsuga canadensis (L.) Carrière","Insect damaged",,,17.7,15.5,,,,,"jlerner@battelleecology.org","gvanscoy@field-ops.org","Hemlock woolly adelgid",
"59a35102-6abd-4505-a552-322c303e1325","HARV_037.basePlot.cfc","D01","HARV","HARV_037","tower","evergreenForest","WGS84",42.537308,-72.179312,20.1,361.9,0.17,"NEON.DOC.001024vE","2018-09-04T20:14Z","2018-09-02",,"41","Woody individual","line launcher","AVQkM2txccdQ2OivmFjwrRr5qjwUgN/M4s9xU49NmtY=","A00000000770",,"AVQkM2txccdQ2OivmFjwrRr5qjwUgN/MSKVTELKWbng=","D00000007972",,,,,,,,"Y","05181","NEON.PLA.D01.HARV.05181","ACRU","Acer rubrum L.","Disease damaged",,,17.6,19.4,,,,,"jlerner@battelleecology.org","gvanscoy@field-ops.org",,
"2c80d01d-6868-470e-9d75-7cb0dd4c82e7","HARV_013.basePlot.cfc","D01","HARV","HARV_013","distributed","evergreenForest","WGS84",42.392282,-72.254598,20.2,184.6,0.24,"NEON.DOC.001024vE","2018-09-05T14:07Z","2018-09-03",,"31","Woody individual","line launcher","AVQkM2txccfa6Tc84ohrE3TBoxsq44q6ZkzDRJygJGk=","A00000000768",,"AVQkM2txccfa6Tc84ohrE3TBoxsq44q6SxAKpyu4kuAEWNSYy1wmkg==","D00000007981",,,,,,,,"Y","01135","NEON.PLA.D01.HARV.01135","ACSA3","Acer saccharum Marshall","OK",,,14.8,,,,,,"jlerner@battelleecology.org","gvanscoy@field-ops.org",,
"c08be7d7-82d3-4b29-8a7a-473ee965cca6","HARV_013.basePlot.cfc","D01","HARV","HARV_013","distributed","evergreenForest","WGS84",42.392282,-72.254598,20.2,184.6,0.24,"NEON.DOC.001024vE","2018-09-05T14:50Z","2018-09-03",,"31","Woody individual","line launcher","AVQkM2txcccnUG9qT4JtDncUn6t7HQMgG9spd2zIi5E=","A00000000769",,"AVQkM2txcccnUG9qT4JtDncUn6t7HQMg1dk0YYgbgMI=","D00000008011",,,,,,,,"Y","01137","NEON.PLA.D01.HARV.01137","PIST","Pinus strobus L.","OK",,,18.6,,,,,,"jlerner@battelleecology.org","gvanscoy@field-ops.org",,
"913e2050-2140-45c7-ad59-0fc5b2aec210","HARV_013.basePlot.cfc","D01","HARV","HARV_013","distributed","evergreenForest","WGS84",42.392282,-72.254598,20.2,184.6,0.24,"NEON.DOC.001024vE","2018-09-05T16:06Z","2018-09-03",,"31","Woody individual","line launcher","AVQkM2txccdU9XU1geX3p7dBL1yeO83xJfU2OND+zK4=","A00000000780",,"AVQkM2txccdU9XU1geX3p7dBL1yeO83xk/bouhWA5IQ=","D00000007979",,,,,,,,"Y","01146","NEON.PLA.D01.HARV.01146","QURU","Quercus rubra L.","OK",,,22.8,,,,,,"jlerner@battelleecology.org","gvanscoy@field-ops.org",,
"ce1ee66c-10d9-4b08-9a0d-394cefb65ee6","HARV_006.basePlot.cfc","D01","HARV","HARV_006","distributed","deciduousForest","WGS84",42.403087,-72.253720,20.1,188.8,0.14,"NEON.DOC.001024vE","2018-09-05T18:04Z","2018-09-03",,"31","Woody individual","line launcher","AVQkM2txccff87SxuZNcE+iY147qeowcrBke51Z5alM=","A00000000765",,"AVQkM2txccff87SxuZNcE+iY147qeowcfWOIYRLftFk=","D00000007984",,,,,,,,"Y","01779","NEON.PLA.D01.HARV.01779","QURU","Quercus rubra L.","OK",,,17.3,,,,,,"jlerner@battelleecology.org","gvanscoy@field-ops.org",,
"2f64341e-5685-4474-b9ca-18c4516ecfae","HARV_006.basePlot.cfc","D01","HARV","HARV_006","distributed","deciduousForest","WGS84",42.403087,-72.253720,20.1,188.8,0.14,"NEON.DOC.001024vE","2018-09-06T13:01Z","2018-09-03",,"31","Woody individual","line launcher","AVQkM2txcccbfq2mByGOeXPHFFcT7zucTX5MUkVCdZs=","A00000000747",,"AVQkM2txcccbfq2mByGOeXPHFFcT7zucXukXAzNK/EQ=","D00000008019",,,,,,,,"Y","01176","NEON.PLA.D01.HARV.01176","QUAL","Quercus alba L.","Insect damaged",,,12.2,,,,,,"Mbara@battelleecology.org","gvanscoy@field-ops.org",,
"06783c28-959d-402a-9603-6e5af1b4c8be","HARV_006.basePlot.cfc","D01","HARV","HARV_006","distributed","deciduousForest","WGS84",42.403087,-72.253720,20.1,188.8,0.14,"NEON.DOC.001024vE","2018-09-06T14:34Z","2018-09-03",,"31","Woody individual","line launcher","AVQkM2txccenLB73JxEdacLoLcwaSeCKrDi+Yo1Cuyg=","A00000000764",,"AVQkM2txccenLB73JxEdacLoLcwaSeCKVyfJWp3MM4I=","D00000008013",,,,,,,,"Y","01163","NEON.PLA.D01.HARV.01163","QUVE","Quercus velutina Lam.","OK",,,14.5,,,,,,"Mbara@battelleecology.org","gvanscoy@field-ops.org",,
"805b2cca-7b05-4976-95ea-f329b4dcfc1e","HARV_004.basePlot.cfc","D01","HARV","HARV_004","distributed","mixedForest","WGS84",42.427091,-72.229737,20.2,199.7,0.18,"NEON.DOC.001024vE","2018-09-06T16:56Z","2018-09-05",,"31","Woody individual","line launcher","AVQkM2txccfoJDNLYOYIVdYKO96X0hP5YNhoGUjrzdg=","A00000000743",,"AVQkM2txccfoJDNLYOYIVdYKO96X0hP5qNBjBC9Klnw=","D00000007992",,,,,,,,"Y","01928","NEON.PLA.D01.HARV.01928","ACRU","Acer rubrum L.","Disease damaged",,,19.5,,,,,,"Mbara@battelleecology.org","gvanscoy@field-ops.org",,
