uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,collectDate,aopCollectDate,samplingImpractical,subplotID,sampleType,samplingMethod,sampleID,sampleCode,sampleCondition,chlorophyllSampleID,chlorophyllSampleCode,chlorophyllSampleCondition,clipCellNumber,clipID,clipLength,clipWidth,percentCoverClip,toxicodendronPossible,vstTag,tagID,individualID,taxonID,scientificName,plantStatus,canopyPosition,canopyStatus,subsample1Height,subsample2Height,subsample3Height,crownPolygonID,crownPolygonConfidence,shapefileID,collectedBy,recordedBy,remarks,dataQF
"9aff80f8-959a-4c75-b6af-369113ba5e7a","SCBI_005.basePlot.cfc","D02","SCBI","SCBI_005","distributed","deciduousForest","WGS84",38.900538,-78.161860,20.2,270.7,0.25,"NEON.DOC.001024vD","2017-07-24T12:29Z","2017-07-30",,"31","Woody individual","line launcher","HvxvVDlCk1+52DmmtjULpk2KHiWTONl2optV4j8vL6Y=",,,"HvxvVDlCk1+52DmmtjULpk2KHiWTONl2q7eGpKKpKI8=",,,,,,,,,"N","13004","NEON.PLA.D02.SCBI.13004","QUAL","Quercus alba L.","Physically damaged",,,7.0,,,,,,"llemmon@field-ops.org","alandes@field-ops.org","Several limbs damaged by windthrow",
"4a0cbd74-da8e-4487-a3ad-13ea713c3a99","SCBI_005.basePlot.cfc","D02","SCBI","SCBI_005","distributed","deciduousForest","WGS84",38.900538,-78.161860,20.2,270.7,0.25,"NEON.DOC.001024vD","2017-07-24T13:06Z","2017-07-30",,"31","Woody individual","line launcher","HvxvVDlCk18recdnuMUehunN/NlpHPvsn6rKCv4cW6M=",,,"HvxvVDlCk18recdnuMUehunN/NlpHPvsIcpjO7NuyDUJ5zIDZRpxDA==",,,,,,,,,"Y","00279","NEON.PLA.D02.SCBI.00279","FRAM2","Fraxinus americana L.","Insect damaged",,,25.1,27.0,,,,,"llemmon@field-ops.org","alandes@field-ops.org","Insect damage due to emerald ash borer",
"a3953490-c2b5-45a1-bc66-bcd1757f54ba","SCBI_005.basePlot.cfc","D02","SCBI","SCBI_005","distributed","deciduousForest","WGS84",38.900538,-78.161860,20.2,270.7,0.25,"NEON.DOC.001024vD","2017-07-24T15:09Z","2017-07-30",,"31","Woody individual","line launcher","HvxvVDlCk1+PJvxtOAh+kuFriv5tZbhRw+6sK11aWqs=",,,"HvxvVDlCk1+PJvxtOAh+kuFriv5tZbhR/KZ9+6WK02M=",,,,,,,,,"N","13003","NEON.PLA.D02.SCBI.13003","LITU","Liriodendron tulipifera L.","OK",,,25.6,26.3,26.6,,,,"llemmon@field-ops.org","alandes@field-ops.org",,
"3b34e303-72a8-45c9-8642-5bf03441c1df","SCBI_004.basePlot.cfc","D02","SCBI","SCBI_004","distributed","deciduousForest","WGS84",38.896938,-78.146458,20.5,309.4,0.72,"NEON.DOC.001024vD","2017-07-25T13:28Z","2017-07-30",,"31","Woody individual","line launcher","HvxvVDlCk1/lWAw6u5RweSwfmAamcWY1oknqmSB0px8=",,,"HvxvVDlCk1/lWAw6u5RweSwfmAamcWY1OGpqMATVll8=",,,,,,,,,"Y","01151","NEON.PLA.D02.SCBI.01151","JUNI","Juglans nigra L.","OK",,,24.1,,,,,,"mhughes@field-ops.org","alandes@field-ops.org",,
"a2d1d313-ee10-4774-8d1c-2c90596f71d6","SCBI_004.basePlot.cfc","D02","SCBI","SCBI_004","distributed","deciduousForest","WGS84",38.896938,-78.146458,20.5,309.4,0.72,"NEON.DOC.001024vD","2017-07-25T13:29Z","2017-07-30",,"31","Woody individual","line launcher","HvxvVDlCk1/Ol10IGwAkvm1Z7kRTDOgcl2hZ7UP3OAE=",,,"HvxvVDlCk1/Ol10IGwAkvm1Z7kRTDOgc/IyC2W4CbLcczd5U1Gcp6A==",,,,,,,,,"N","13002","NEON.PLA.D02.SCBI.13002","FRAM2","Fraxinus americana L.","Insect damaged",,,24.0,,,,,,"mhughes@field-ops.org","alandes@field-ops.org","Insect damage due to emerald ash borer",
"b34dffe7-56cc-40cf-b1e4-36df934f9156","SCBI_004.basePlot.cfc","D02","SCBI","SCBI_004","distributed","deciduousForest","WGS84",38.896938,-78.146458,20.5,309.4,0.72,"NEON.DOC.001024vD","2017-07-25T14:26Z","2017-07-30",,"31","Woody individual","line launcher","HvxvVDlCk1/dNwsE2B0+NGE0Ihj/3WgNS/W4G1Iat3s=",,,"HvxvVDlCk1/dNwsE2B0+NGE0Ihj/3WgNlHeU5uimg3Q=",,,,,,,,,"N","13001","NEON.PLA.D02.SCBI.13001","QUVE","Quercus velutina Lam.","OK",,,27.3,27.3,,,,,"mhughes@field-ops.org","alandes@field-ops.org",,
"81f6b2be-4f92-4ab9-b8e3-f53ab5710307","SCBI_045.basePlot.cfc","D02","SCBI","SCBI_045","tower","deciduousForest","WGS84",38.890566,-78.139432,20.1,358.9,0.10,"NEON.DOC.001024vD","2017-07-25T16:57Z","2017-07-30",,"21","Woody individual","line launcher","HvxvVDlCk1883DeQw28MdnJFN2Yr4f0apRmAwsMvV50=",,,"HvxvVDlCk1883DeQw28MdnJFN2Yr4f0a1o/meRcpHJw=",,,,,,,,,"Y","03301","NEON.PLA.D02.SCBI.03301","JUNI","Juglans nigra L.","OK",,,9.2,,,,,,"mhughes@field-ops.org","alandes@field-ops.org",,
"ea558b82-70f7-4faa-ae4f-24113ea003dd","SCBI_049.basePlot.cfc","D02","SCBI","SCBI_049","tower","deciduousForest","WGS84",38.894617,-78.139644,20.1,364.6,0.19,"NEON.DOC.001024vD","2017-07-26T13:50Z","2017-07-30",,"23","Woody individual","line launcher","HvxvVDlCk18oNCQQptCKY1FS/2EKbyWzdzxSLKrdj+4=",,,"HvxvVDlCk18oNCQQptCKY1FS/2EKbyWzzH7t4xU4qXE=",,,,,,,,,"Y","02574","NEON.PLA.D02.SCBI.02574","LITU","Liriodendron tulipifera L.","OK",,,24.7,,,,,,"llemmon@field-ops.org","jporta@BattelleEcology.org",,
"d101649c-b99d-40a4-a0c8-b0d59193481a","SCBI_049.basePlot.cfc","D02","SCBI","SCBI_049","tower","deciduousForest","WGS84",38.894617,-78.139644,20.1,364.6,0.19,"NEON.DOC.001024vD","2017-07-26T15:52Z","2017-07-30",,"23","Woody individual","line launcher","HvxvVDlCk19Uda+oQsq6DYY/6bZIJmlzjRrqnIHDlKA=",,,"HvxvVDlCk19Uda+oQsq6DYY/6bZIJmlzXEI8iQMvERw=",,,,,,,,,"Y","02577","NEON.PLA.D02.SCBI.02577","QURU","Quercus rubra L.","OK",,,21.9,19.8,,,,,"llemmon@field-ops.org","jporta@BattelleEcology.org",,
"4a8b338d-e729-44dc-859b-9cd573622685","SCBI_049.basePlot.cfc","D02","SCBI","SCBI_049","tower","deciduousForest","WGS84",38.894617,-78.139644,20.1,364.6,0.19,"NEON.DOC.001024vD","2017-07-26T17:54Z","2017-07-30",,"41","Woody individual","line launcher","HvxvVDlCk1+KVx888dV2UvUKxPneZWVxjm4EVnGl/t4=",,,"HvxvVDlCk1+KVx888dV2UvUKxPneZWVxdsw0LplrtNE=",,,,,,,,,"Y","02549","NEON.PLA.D02.SCBI.02549","JUNI","Juglans nigra L.","OK",,,24.3,,,,,,"llemmon@field-ops.org","jporta@BattelleEcology.org",,
