uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,collectDate,ovenStartDate,ovenEndDate,sampleCondition,cnSampleID,cnSampleCode,ligninSampleID,ligninSampleBarcode,archiveSampleID,archiveSampleCode,archiveMass,toxicodendronPossible,processedBy,remarks,dataQF
"673912b3-3a6f-4a8a-abc1-0f798d462cd6","SCBI_008.basePlot.cfc","D02","SCBI","SCBI_008","distributed","HvxvVDlCk19ysRYVkOV3WA0r8hQHAlqRhlQcjpEZCJs=",,"2017-08-01T13:20Z","2017-08-04T18:45Z","2017-08-11T18:10Z","OK","HvxvVDlCk19ysRYVkOV3WA0r8hQHAlqR2rnWbD7TfCU=",,"HvxvVDlCk19ysRYVkOV3WA0r8hQHAlqRHfJdTYlfzuCfIghwwwUOow==",,"HvxvVDlCk19ysRYVkOV3WA0r8hQHAlqR6EHjHyTcB6E=",,,,"imatlock@field-ops.org",,
"cec12c64-f5d4-490e-90b1-b690fd04c4e9","SCBI_008.basePlot.cfc","D02","SCBI","SCBI_008","distributed","HvxvVDlCk19JlN37PLGpuXmwYTp0GGASXFeig3DWZYo=",,"2017-08-01T14:15Z","2017-08-04T18:45Z","2017-08-11T18:10Z","OK","HvxvVDlCk19JlN37PLGpuXmwYTp0GGASDofCxUQwq0I=",,"HvxvVDlCk19JlN37PLGpuXmwYTp0GGASSmnEBQOcc8U=",,"HvxvVDlCk19JlN37PLGpuXmwYTp0GGASwv+bT4YE6yY=",,,,"imatlock@field-ops.org",,
"edc98445-bb14-4bf8-b8a8-e50682f9ef7d","SCBI_011.basePlot.cfc","D02","SCBI","SCBI_011","distributed","HvxvVDlCk19LcyNt9GpiizHsoykg80Zn6ewX9TkT9Io=",,"2017-08-01T18:05Z","2017-08-04T18:45Z","2017-08-11T18:10Z","OK","HvxvVDlCk19LcyNt9GpiizHsoykg80ZnUxo5oWB+xz4=",,"HvxvVDlCk19LcyNt9GpiizHsoykg80ZnIGXxFEtwc58=",,"HvxvVDlCk19LcyNt9GpiizHsoykg80ZnNSdFOL86jjY=",,,,"imatlock@field-ops.org",,
"243abcde-b493-43da-a73b-5bd053d920dd","SCBI_011.basePlot.cfc","D02","SCBI","SCBI_011","distributed","HvxvVDlCk19LcyNt9Gpii5g5y6jx981iIgr5dxxPImk=",,"2017-08-01T18:44Z","2017-08-04T18:45Z","2017-08-11T18:10Z","OK","HvxvVDlCk19LcyNt9Gpii5g5y6jx981iN2dWqp6j/L0=",,"HvxvVDlCk19LcyNt9Gpii5g5y6jx981iAcLH3N07Pac=",,"HvxvVDlCk19LcyNt9Gpii5g5y6jx981isjXwD1P4IsA=",,,,"imatlock@field-ops.org",,
"fffeb25f-9d78-48d3-9fbb-086c67077acb","SCBI_008.basePlot.cfc","D02","SCBI","SCBI_008","distributed","HvxvVDlCk18b8byyzvtwUShRHIk63Dg7AcG3DtgFtvI=",,"2017-08-01T20:14Z","2017-08-04T18:45Z","2017-08-11T18:10Z","OK","HvxvVDlCk18b8byyzvtwUShRHIk63Dg7bHRJXOcWnEM=",,"HvxvVDlCk18b8byyzvtwUShRHIk63Dg7t5nOzAtP6C4=",,"HvxvVDlCk18b8byyzvtwUShRHIk63Dg7ePeB1Zj+5YM=",,,,"imatlock@field-ops.org",,
"2b93e984-db5f-4f6b-b9a6-cf916f8efb73","SCBI_011.basePlot.cfc","D02","SCBI","SCBI_011","distributed","HvxvVDlCk19LcyNt9Gpiizjew9YqWN5pjCHvvNaOZ5A=",,"2017-08-01T21:20Z","2017-08-04T18:45Z","2017-08-11T18:10Z","OK","HvxvVDlCk19LcyNt9Gpiizjew9YqWN5p+lcDb2sY94c=",,"HvxvVDlCk19LcyNt9Gpiizjew9YqWN5p0JYcdasinSA=",,"HvxvVDlCk19LcyNt9Gpiizjew9YqWN5ps05BojLSGV8=",,,,"imatlock@field-ops.org",,
"25b7e64e-bbfd-4855-b05b-bd9a88f01cf6","SCBI_047.basePlot.cfc","D02","SCBI","SCBI_047","tower","HvxvVDlCk1///5x2e0+GBQoeE/Pusmmq+V9J519zxOo=",,"2017-08-02T14:00Z","2017-08-04T18:45Z","2017-08-11T18:10Z","OK","HvxvVDlCk1///5x2e0+GBQoeE/PusmmqHMOI7aYCY/g=",,"HvxvVDlCk1///5x2e0+GBQoeE/Pusmmqh53/ogMH6X6Pl7pBIbygsw==",,"HvxvVDlCk1///5x2e0+GBQoeE/PusmmqrvmutHG3xbs=",,,,"imatlock@field-ops.org",,
"6da57778-b0a1-490a-b320-410c8aec96bc","SCBI_067.basePlot.cfc","D02","SCBI","SCBI_067","tower","HvxvVDlCk19wFqR6DOcuD956vK5ubnMkeM0bIIJ/Cjw=",,"2017-08-02T17:40Z","2017-08-04T18:45Z","2017-08-11T18:10Z","OK","HvxvVDlCk19wFqR6DOcuD956vK5ubnMkE037OG5yVlQ=",,"HvxvVDlCk19wFqR6DOcuD956vK5ubnMk8K4Y+4pfL1aAe9TohQ/sHw==",,"HvxvVDlCk19wFqR6DOcuD956vK5ubnMkCn7b2hbMD4A=",,,,"imatlock@field-ops.org",,
"328de463-d7b3-480d-90d3-a544c994017b","SCBI_067.basePlot.cfc","D02","SCBI","SCBI_067","tower","HvxvVDlCk1/VZGv+C5O+MZSgs9IMZRfXg7Sqy1nrRIk=",,"2017-08-02T18:40Z","2017-08-04T18:45Z","2017-08-11T18:10Z","OK","HvxvVDlCk1/VZGv+C5O+MZSgs9IMZRfXxzLkI8MFVcs=",,"HvxvVDlCk1/VZGv+C5O+MZSgs9IMZRfXA4w/xRNI/LY=",,"HvxvVDlCk1/VZGv+C5O+MZSgs9IMZRfXaS+qIx5cRok=",,,,"imatlock@field-ops.org",,
"630eff28-cfd6-41d1-be38-9ac2a8cfcdd7","SCBI_067.basePlot.cfc","D02","SCBI","SCBI_067","tower","HvxvVDlCk182Oj3h01KbY3Y5E/4Cd5IHZrBp7emRViY=",,"2017-08-02T19:32Z","2017-08-04T18:45Z","2017-08-11T18:10Z","OK","HvxvVDlCk182Oj3h01KbY3Y5E/4Cd5IHsU1l1GGXRwo=",,"HvxvVDlCk182Oj3h01KbY3Y5E/4Cd5IHEohen7BD8PQ=",,"HvxvVDlCk182Oj3h01KbY3Y5E/4Cd5IHE6APUrrm4s8=",,,,"imatlock@field-ops.org",,
