uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,chlorophyllSampleID,chlorophyllSampleCode,collectDate,sampleCondition,extractionStartDate,extractionLength,freshMass,solventVolume,analyticalRepNumber,extractChlAConc,extractChlBConc,extractCarotConc,relativeAccuracyScale,handlingQF,measurementQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"279f7b25-e8b1-44b2-ab5c-5229e566599a","SCBI_008.basePlot.cfc","D02","SCBI","SCBI_008","distributed","HvxvVDlCk19ysRYVkOV3WA0r8hQHAlqRhlQcjpEZCJs=",,"HvxvVDlCk19ysRYVkOV3WA0r8hQHAlqRD9kT8cLinni5xYSAXc7P6A==",,"2017-08-01T13:20Z","OK","2017-08-09",48,0.0856,20,1,11.76,3.41,2.56,"B","OK","OK","8.20%","EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","U3wVVQf3L21L1X990qsfZA==","oRIgwAyNbI9p3dxUK5sY7g==",
"002e104c-384c-40ee-8c0d-45e36a371061","SCBI_008.basePlot.cfc","D02","SCBI","SCBI_008","distributed","HvxvVDlCk19JlN37PLGpuXmwYTp0GGASXFeig3DWZYo=",,"HvxvVDlCk19JlN37PLGpuXmwYTp0GGAS0AF8i8Whh5E=",,"2017-08-01T14:15Z","OK","2017-08-09",48,0.0925,20,1,10.94,3.50,2.38,"B","OK","OK","8.20%","EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","U3wVVQf3L21L1X990qsfZA==","oRIgwAyNbI9p3dxUK5sY7g==",
"be6110a6-e2f4-4cb0-93f4-859bf85cfb72","SCBI_011.basePlot.cfc","D02","SCBI","SCBI_011","distributed","HvxvVDlCk19LcyNt9GpiizHsoykg80Zn6ewX9TkT9Io=",,"HvxvVDlCk19LcyNt9GpiizHsoykg80ZnE15ksq6Q/mU=",,"2017-08-01T18:05Z","OK","2017-08-09",48,0.0806,20,1,11.33,4.06,2.47,"B","OK","OK","8.20%","EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","U3wVVQf3L21L1X990qsfZA==","oRIgwAyNbI9p3dxUK5sY7g==",
"9b23e62b-2f96-4392-9f67-53fac93d256b","SCBI_011.basePlot.cfc","D02","SCBI","SCBI_011","distributed","HvxvVDlCk19LcyNt9Gpii5g5y6jx981iIgr5dxxPImk=",,"HvxvVDlCk19LcyNt9Gpii5g5y6jx981i5E62QF3DX90=",,"2017-08-01T18:44Z","OK","2017-08-09",48,0.0956,20,1,14.73,4.74,3.18,"B","OK","OK","8.20%","EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","U3wVVQf3L21L1X990qsfZA==","oRIgwAyNbI9p3dxUK5sY7g==",
"79c1dd08-b5e6-480f-bf45-a27a4595e7af","SCBI_008.basePlot.cfc","D02","SCBI","SCBI_008","distributed","HvxvVDlCk18b8byyzvtwUShRHIk63Dg7AcG3DtgFtvI=",,"HvxvVDlCk18b8byyzvtwUShRHIk63Dg7kN9UQO2N4yA=",,"2017-08-01T20:14Z","OK","2017-08-09",48,0.0868,20,1,11.51,4.12,2.54,"B","OK","OK","8.20%","EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","U3wVVQf3L21L1X990qsfZA==","oRIgwAyNbI9p3dxUK5sY7g==",
"5ac13a84-fa71-440d-842b-7e6476e35167","SCBI_011.basePlot.cfc","D02","SCBI","SCBI_011","distributed","HvxvVDlCk19LcyNt9Gpiizjew9YqWN5pjCHvvNaOZ5A=",,"HvxvVDlCk19LcyNt9Gpiizjew9YqWN5pojHhigE7qls=",,"2017-08-01T21:20Z","OK","2017-08-09",48,0.0925,20,1,11.93,3.89,2.77,"B","OK","OK","8.20%","EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","U3wVVQf3L21L1X990qsfZA==","oRIgwAyNbI9p3dxUK5sY7g==",
"7fba1dc9-b613-4484-9f58-b840a3b22a71","SCBI_047.basePlot.cfc","D02","SCBI","SCBI_047","tower","HvxvVDlCk1///5x2e0+GBQoeE/Pusmmq+V9J519zxOo=",,"HvxvVDlCk1///5x2e0+GBQoeE/Pusmmqu/ThDeFgn+jMPWeZ19THog==",,"2017-08-02T14:00Z","OK","2017-08-09",48,0.0990,20,1,13.29,4.14,3.22,"B","OK","OK","8.20%","EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","U3wVVQf3L21L1X990qsfZA==","oRIgwAyNbI9p3dxUK5sY7g==",
"9c95bbdb-3468-4c2f-8b37-c9920ec6125d","SCBI_067.basePlot.cfc","D02","SCBI","SCBI_067","tower","HvxvVDlCk19wFqR6DOcuD956vK5ubnMkeM0bIIJ/Cjw=",,"HvxvVDlCk19wFqR6DOcuD956vK5ubnMkVv04sYmc+6b9gd6aQmrfUw==",,"2017-08-02T17:40Z","OK","2017-08-09",48,0.0875,20,1,17.00,6.44,3.66,"B","OK","OK","8.20%","EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","U3wVVQf3L21L1X990qsfZA==","oRIgwAyNbI9p3dxUK5sY7g==",
"254bb57b-4840-4c94-bd81-ba8e057d4577","SCBI_067.basePlot.cfc","D02","SCBI","SCBI_067","tower","HvxvVDlCk1/VZGv+C5O+MZSgs9IMZRfXg7Sqy1nrRIk=",,"HvxvVDlCk1/VZGv+C5O+MZSgs9IMZRfX/DWptAHxoPc=",,"2017-08-02T18:40Z","OK","2017-08-09",48,0.0930,20,1,14.80,4.91,4.01,"B","OK","OK","8.20%","EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","U3wVVQf3L21L1X990qsfZA==","oRIgwAyNbI9p3dxUK5sY7g==",
"27645884-1c78-4579-bbcf-072c24911bba","SCBI_067.basePlot.cfc","D02","SCBI","SCBI_067","tower","HvxvVDlCk182Oj3h01KbY3Y5E/4Cd5IHZrBp7emRViY=",,"HvxvVDlCk182Oj3h01KbY3Y5E/4Cd5IHlwJns5U6IwI=",,"2017-08-02T19:32Z","OK","2017-08-09",48,0.0975,20,1,9.79,3.14,2.50,"B","OK","OK","8.20%","EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","U3wVVQf3L21L1X990qsfZA==","oRIgwAyNbI9p3dxUK5sY7g==",
