uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,ligninSampleID,ligninSampleBarcode,collectDate,analysisDate,analyticalRepNumber,dryMass,digestVolume,foliarPhosphorusConc,foliarPotassiumConc,foliarCalciumConc,foliarMagnesiumConc,foliarSulfurConc,foliarManganeseConc,foliarIronConc,foliarCopperConc,foliarBoronConc,foliarZincConc,foliarPhosphorusQF,foliarPotassiumQF,foliarCalciumQF,foliarMagnesiumQF,foliarSulfurQF,foliarManganeseQF,foliarIronQF,foliarCopperQF,foliarBoronQF,foliarZincQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"c0810e2c-cfc2-4f67-9890-78f13d0184c8","SCBI_008.basePlot.cfc","D02","SCBI","SCBI_008","distributed","HvxvVDlCk19ysRYVkOV3WA0r8hQHAlqRhlQcjpEZCJs=",,"HvxvVDlCk19ysRYVkOV3WA0r8hQHAlqRHfJdTYlfzuCfIghwwwUOow==",,"2017-08-01T13:20Z","2020-10-13",1,0.202,25,0.140,0.966,0.518,0.134,0.161,473.3,42.1,7.6,29.2,11.2,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","yOg/B621B2rBEidHmvFsEQ==",
"eb1e0118-577a-41b3-9132-05608aac5905","SCBI_008.basePlot.cfc","D02","SCBI","SCBI_008","distributed","HvxvVDlCk19JlN37PLGpuXmwYTp0GGASXFeig3DWZYo=",,"HvxvVDlCk19JlN37PLGpuXmwYTp0GGASSmnEBQOcc8U=",,"2017-08-01T14:15Z","2020-10-13",1,0.202,25,0.178,1.742,0.822,0.246,0.149,302.0,40.7,10.4,56.2,18.3,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","yOg/B621B2rBEidHmvFsEQ==",
"98f8e744-2d48-4cdc-8542-4f4867dc275f","SCBI_011.basePlot.cfc","D02","SCBI","SCBI_011","distributed","HvxvVDlCk19LcyNt9GpiizHsoykg80Zn6ewX9TkT9Io=",,"HvxvVDlCk19LcyNt9GpiizHsoykg80ZnIGXxFEtwc58=",,"2017-08-01T18:05Z","2020-10-13",1,0.196,25,0.139,2.162,2.002,0.787,0.152,253.4,61.4,10.7,21.4,21.7,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","yOg/B621B2rBEidHmvFsEQ==",
"ff6be67e-86b3-4d53-a8bc-0fc74b72efb0","SCBI_011.basePlot.cfc","D02","SCBI","SCBI_011","distributed","HvxvVDlCk19LcyNt9Gpii5g5y6jx981iIgr5dxxPImk=",,"HvxvVDlCk19LcyNt9Gpii5g5y6jx981iAcLH3N07Pac=",,"2017-08-01T18:44Z","2020-10-13",1,0.202,25,0.174,1.032,2.284,0.656,0.179,185.0,58.6,8.3,23.2,19.9,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","yOg/B621B2rBEidHmvFsEQ==",
"af907c2e-0799-48a2-9c55-258b823fa3fa","SCBI_008.basePlot.cfc","D02","SCBI","SCBI_008","distributed","HvxvVDlCk18b8byyzvtwUShRHIk63Dg7AcG3DtgFtvI=",,"HvxvVDlCk18b8byyzvtwUShRHIk63Dg7t5nOzAtP6C4=",,"2017-08-01T20:14Z","2020-10-13",1,0.205,25,0.161,1.050,1.364,0.326,0.148,893.3,53.5,6.1,41.3,32.1,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","yOg/B621B2rBEidHmvFsEQ==",
"d862fdb5-fb64-4798-8aaa-2edf2b5915ad","SCBI_011.basePlot.cfc","D02","SCBI","SCBI_011","distributed","HvxvVDlCk19LcyNt9Gpiizjew9YqWN5pjCHvvNaOZ5A=",,"HvxvVDlCk19LcyNt9Gpiizjew9YqWN5p0JYcdasinSA=",,"2017-08-01T21:20Z","2020-10-15",1,0.195,25,0.158,1.576,2.505,0.816,0.159,249.6,49.8,9.6,22.2,18.0,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","yOg/B621B2rBEidHmvFsEQ==",
"e87b75f2-bd42-4b6b-a80d-b7fece3f8947","SCBI_047.basePlot.cfc","D02","SCBI","SCBI_047","tower","HvxvVDlCk1///5x2e0+GBQoeE/Pusmmq+V9J519zxOo=",,"HvxvVDlCk1///5x2e0+GBQoeE/Pusmmqh53/ogMH6X6Pl7pBIbygsw==",,"2017-08-02T14:00Z","2020-10-15",1,0.198,25,0.126,0.697,1.120,0.296,0.200,513.8,53.1,8.7,15.6,23.8,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","yOg/B621B2rBEidHmvFsEQ==",
"f92acd10-6942-4eec-a508-f8c7a4402273","SCBI_067.basePlot.cfc","D02","SCBI","SCBI_067","tower","HvxvVDlCk19wFqR6DOcuD956vK5ubnMkeM0bIIJ/Cjw=",,"HvxvVDlCk19wFqR6DOcuD956vK5ubnMk8K4Y+4pfL1aAe9TohQ/sHw==",,"2017-08-02T17:40Z","2020-02-10",1,0.201,25,0.230,1.350,3.017,0.282,0.184,176.1,70.0,7.2,41.5,16.2,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"28c231ac-483a-441e-a5c3-8eb94a6ed10b","SCBI_067.basePlot.cfc","D02","SCBI","SCBI_067","tower","HvxvVDlCk1/VZGv+C5O+MZSgs9IMZRfXg7Sqy1nrRIk=",,"HvxvVDlCk1/VZGv+C5O+MZSgs9IMZRfXA4w/xRNI/LY=",,"2017-08-02T18:40Z","2020-02-10",1,0.198,25,0.224,2.162,2.092,0.422,0.141,106.5,49.0,11.3,51.4,18.1,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"569d5e39-fa31-4b40-9b4b-e0e31f3a5990","SCBI_067.basePlot.cfc","D02","SCBI","SCBI_067","tower","HvxvVDlCk182Oj3h01KbY3Y5E/4Cd5IHZrBp7emRViY=",,"HvxvVDlCk182Oj3h01KbY3Y5E/4Cd5IHEohen7BD8PQ=",,"2017-08-02T19:32Z","2020-02-10",1,0.200,25,0.216,0.843,2.610,0.614,0.161,112.4,37.7,5.9,14.8,16.4,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"bf010fee-e6e7-4cf6-abef-a20ea2892df6","SCBI_047.basePlot.cfc","D02","SCBI","SCBI_047","tower","HvxvVDlCk19KJ+MKRTsgN3yo4WWDRKphddYCRZmtPBE=",,"HvxvVDlCk19KJ+MKRTsgN3yo4WWDRKphbeunboksuNM=",,"2017-08-03T02:40Z","2020-10-15",1,0.199,25,0.128,2.099,2.339,0.412,0.139,269.0,38.6,8.4,49.5,24.8,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","yOg/B621B2rBEidHmvFsEQ==",
"167df438-e917-4d4d-988d-3bef6fd5ad5a","SCBI_047.basePlot.cfc","D02","SCBI","SCBI_047","tower","HvxvVDlCk1/W+F1NJtCuxn5a/p4MJtv97pyHjjtirpY=",,"HvxvVDlCk1/W+F1NJtCuxn5a/p4MJtv911eMbci8D10=",,"2017-08-03T03:15Z","2020-10-15",1,0.198,25,0.117,1.049,1.796,0.527,0.157,421.5,50.8,6.9,19.4,19.4,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","yOg/B621B2rBEidHmvFsEQ==",
"f5d00df9-2101-44a9-810d-34a44df62800","SCBI_007.basePlot.cfc","D02","SCBI","SCBI_007","distributed","HvxvVDlCk1/x9xdKuYUTJ1itoOWhaA11XV8Ce9pi0ok=",,"HvxvVDlCk1/x9xdKuYUTJ1itoOWhaA11fPNeZGoEbVY=",,"2017-08-03T06:31Z","2020-10-13",1,0.202,25,0.142,0.937,1.169,0.271,0.156,860.4,52.3,7.8,44.2,51.6,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","yOg/B621B2rBEidHmvFsEQ==",
"4a00ef0b-a966-420a-b9ab-6d7bf86a416c","SCBI_006.basePlot.cfc","D02","SCBI","SCBI_006","distributed","HvxvVDlCk19vCgQHzUqELa1Qnpo1wg/QWHs8qOOPWoY=",,"HvxvVDlCk19vCgQHzUqELa1Qnpo1wg/Q71NlW0E9tmA=",,"2017-08-03T13:00Z","2020-10-13",1,0.195,25,0.135,1.275,0.586,0.203,0.089,91.7,27.4,5.0,13.3,23.1,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","yOg/B621B2rBEidHmvFsEQ==",
"0a80ff3b-89c3-4d0c-9c9f-366b8d4bc886","SCBI_007.basePlot.cfc","D02","SCBI","SCBI_007","distributed","HvxvVDlCk19Pd6bAjlEziyVIR/vQwK7m6HIQuCRp2Fo=",,"HvxvVDlCk19Pd6bAjlEziyVIR/vQwK7mkEmYgsRGdd4=",,"2017-08-03T15:30Z","2020-10-13",1,0.201,25,0.178,1.783,1.488,0.579,0.176,214.0,63.8,9.3,14.1,24.2,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","yOg/B621B2rBEidHmvFsEQ==",
"fcba28d5-6c9d-439e-9d5e-a9858c83ccba","SCBI_010.basePlot.cfc","D02","SCBI","SCBI_010","distributed","HvxvVDlCk19XvWt6ZGxkDzEwNIwcfNq6I2JbqHTaCf8=",,"HvxvVDlCk19XvWt6ZGxkDzEwNIwcfNq6AYDPrnpCAGfGwM24XKjIWQ==",,"2017-08-03T19:00Z","2020-10-13",1,0.199,25,0.248,1.145,2.343,0.562,0.249,150.0,63.6,6.9,45.8,25.7,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","yOg/B621B2rBEidHmvFsEQ==",
"b160ca17-4729-4f60-a5fd-e51edda190fa","SCBI_005.basePlot.cfc","D02","SCBI","SCBI_005","distributed","HvxvVDlCk1+aEj7OkevsmY/xu/u/XSP4LYzPYLJBsTk=",,"HvxvVDlCk1+aEj7OkevsmY/xu/u/XSP4204cASyS9WA=",,"2017-08-03T19:00Z","2020-10-13",1,0.199,25,0.245,1.134,0.422,0.490,0.141,54.9,40.1,5.0,2.6,38.5,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","yOg/B621B2rBEidHmvFsEQ==",
"a5367192-b986-4fd7-b0ec-2652a1702be9","SCBI_007.basePlot.cfc","D02","SCBI","SCBI_007","distributed","HvxvVDlCk18ZsGgk1hoFt8bQ45no0lsnbGqpeDhNgXU=",,"HvxvVDlCk18ZsGgk1hoFt8bQ45no0lsn+yxb+iHiNBI0hdIMg/XIVw==",,"2017-08-03T20:17Z","2020-10-13",1,0.199,25,0.188,1.264,1.817,0.412,0.178,706.3,58.0,13.4,41.7,67.9,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","yOg/B621B2rBEidHmvFsEQ==",
"d5858509-e326-4a80-b98b-13d6ea03f36c","SCBI_003.basePlot.cfc","D02","SCBI","SCBI_003","distributed","HvxvVDlCk1+REwHgcgryAVbeATlJvqsGF2GJcslaE7s=",,"HvxvVDlCk1+REwHgcgryAVbeATlJvqsGvDuiRSekTrM=",,"2017-08-04T14:50Z","2020-10-13",1,0.200,25,0.135,1.084,1.091,0.197,0.139,896.3,47.6,5.6,54.2,29.7,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","yOg/B621B2rBEidHmvFsEQ==",
