uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,cnSampleID,cnSampleCode,collectDate,analysisDate,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"e6abd42c-5796-47b5-bc58-80b79b496ea6","GUAN_002.basePlot.cfc","D04","GUAN","GUAN_002","distributed","xIqeKa1cF5wqK55/3DYW1xzc8KY/0EterNpfuUFm/DY=","A00000005671","xIqeKa1cF5wqK55/3DYW1xzc8KY/0EtenRKEg4C2An4=","A00000005787","2018-04-24T12:12Z","2018-09-11","N",4.7,-27.2,1.62,45.21,27.9,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"63ec4148-1325-4da9-b1d9-6d42c4b4f129","GUAN_002.basePlot.cfc","D04","GUAN","GUAN_002","distributed","xIqeKa1cF5wrDcLSoZ8W0cX3XEy/r+ZmtKHy1jKltlY=","A00000007222","xIqeKa1cF5wrDcLSoZ8W0cX3XEy/r+ZmsvJAzWAUQEE=","A00000005791","2018-04-24T12:50Z","2018-09-11","N",2.9,-27.0,1.46,44.87,30.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"6bf263d6-f90d-4a22-9f37-a15bf3cc87b8","GUAN_002.basePlot.cfc","D04","GUAN","GUAN_002","distributed","xIqeKa1cF5zpenmYNvsTH9UWNjXTZEHS8XmHwaLsRY0=","A00000007235","xIqeKa1cF5zpenmYNvsTH9UWNjXTZEHSFjL4SrtAfDY=","A00000005794","2018-04-24T13:16Z","2018-09-11","N",4.9,-27.4,1.92,47.47,24.7,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"1d8d9bf8-434b-4b52-b64e-fed0720119ee","GUAN_008.basePlot.cfc","D04","GUAN","GUAN_008","distributed","xIqeKa1cF5xgOtndUHmBGIAy/uSRpwbQ8z2RwGsWKyo=","A00000007244","xIqeKa1cF5xgOtndUHmBGIAy/uSRpwbQ63Co4aS+OyE=","A00000005778","2018-04-24T15:54Z","2018-09-10","N",2.1,-28.2,1.61,48.91,30.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"b5d3dbb5-e9b9-4475-a2b4-d3d391ebf001","GUAN_008.basePlot.cfc","D04","GUAN","GUAN_008","distributed","xIqeKa1cF5yjEd42cEFihrNhyyHEAZdTtO1ZjWRWEf0=","A00000007259","xIqeKa1cF5yjEd42cEFihrNhyyHEAZdTGBon3h8I480=","A00000005782","2018-04-24T16:16Z","2018-09-10","N",-1.2,-23.9,2.50,47.12,18.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"5e9ccac6-74b9-415b-9e86-c261e08e6242","GUAN_008.basePlot.cfc","D04","GUAN","GUAN_008","distributed","xIqeKa1cF5wTAD5AzsGyzPZNjiRUeJZLh23POiccO7o=","A00000007260","xIqeKa1cF5wTAD5AzsGyzPZNjiRUeJZLf9PQ8dw+/Nc=","A00000005784","2018-04-24T16:54Z","2018-09-10","N",5.9,-27.7,1.47,46.51,31.6,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"25c7c06f-97c0-43b0-a499-b2c93c81674b","GUAN_042.basePlot.cfc","D04","GUAN","GUAN_042","tower","xIqeKa1cF5xABiXrs0UCiJR6NdCm4wNr0gVPrMAWG+E=","A00000007245","xIqeKa1cF5xABiXrs0UCiJR6NdCm4wNrUC2VaMa3MuE=","A00000005796","2018-04-25T11:21Z","2018-09-10","N",8.1,-28.7,2.89,48.75,16.9,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"cf54af1f-30bd-45c2-b9d7-ce1494378fb5","GUAN_042.basePlot.cfc","D04","GUAN","GUAN_042","tower","xIqeKa1cF5w/7S5W4OSulId2ieyS+K+PKF/GwC2YXGM=","A00000007246","xIqeKa1cF5w/7S5W4OSulId2ieyS+K+PXdbU4MZI0S0=","A00000005802","2018-04-25T11:55Z","2018-09-10","N",5.9,-29.1,1.56,41.47,26.6,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"925c4378-7b21-44a0-af5d-cb6f98e437c0","GUAN_042.basePlot.cfc","D04","GUAN","GUAN_042","tower","xIqeKa1cF5wru2D/2cP7M9sTjPj2HT25/QazCIK0oM4=","A00000007262","xIqeKa1cF5wru2D/2cP7M9sTjPj2HT25a6rFb9Fr+m4=","A00000005806","2018-04-25T12:28Z","2018-09-10","N",5.3,-28.4,2.07,48.29,23.3,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"8837dea9-7795-4008-b021-2bcf1ca9c5d4","GUAN_043.basePlot.cfc","D04","GUAN","GUAN_043","tower","xIqeKa1cF5waeJdGCqrXoUfTMlurlUpUrmhSU6tu78w=","A00000007268","xIqeKa1cF5waeJdGCqrXoUfTMlurlUpUANq4Wyz5114=","A00000005808","2018-04-25T13:35Z","2018-09-10","N",12.0,-29.0,1.99,50.19,25.2,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
