uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,collectDate,ovenStartDate,ovenEndDate,sampleCondition,cnSampleID,cnSampleCode,ligninSampleID,ligninSampleBarcode,archiveSampleID,archiveSampleCode,archiveMass,toxicodendronPossible,processedBy,remarks,dataQF
"3c926f75-2b79-47f9-984e-594109c090ca","GUAN_002.basePlot.cfc","D04","GUAN","GUAN_002","distributed","xIqeKa1cF5wqK55/3DYW1xzc8KY/0EterNpfuUFm/DY=","A00000005671","2018-04-24T12:12Z","2018-04-24T18:50Z","2018-04-27T19:20Z","OK","xIqeKa1cF5wqK55/3DYW1xzc8KY/0EtenRKEg4C2An4=","A00000005787","xIqeKa1cF5wqK55/3DYW1xzc8KY/0Eteh6W6SAHNOcgSZ6E4NFXjkg==","A00000005788","xIqeKa1cF5wqK55/3DYW1xzc8KY/0Ete1V/xC9Q6I4U=","A00000005786",,,"tvelazquez-rojas@battelleecology.org",,
"289cca1e-0894-4fbb-9f3f-8b3d3344bf57","GUAN_002.basePlot.cfc","D04","GUAN","GUAN_002","distributed","xIqeKa1cF5wrDcLSoZ8W0cX3XEy/r+ZmtKHy1jKltlY=","A00000007222","2018-04-24T12:50Z","2018-04-24T18:53Z","2018-04-27T19:20Z","OK","xIqeKa1cF5wrDcLSoZ8W0cX3XEy/r+ZmsvJAzWAUQEE=","A00000005791","xIqeKa1cF5wrDcLSoZ8W0cX3XEy/r+Zm+McOfQnrNiY=","A00000005789","xIqeKa1cF5wrDcLSoZ8W0cX3XEy/r+ZmK1l0s8tZm0E=","A00000005790",,,"tvelazquez-rojas@battelleecology.org",,
"0380b61a-0117-46ed-8266-5257dc913e74","GUAN_002.basePlot.cfc","D04","GUAN","GUAN_002","distributed","xIqeKa1cF5zpenmYNvsTH9UWNjXTZEHS8XmHwaLsRY0=","A00000007235","2018-04-24T13:16Z","2018-04-24T18:48Z","2018-04-27T19:20Z","OK","xIqeKa1cF5zpenmYNvsTH9UWNjXTZEHSFjL4SrtAfDY=","A00000005794","xIqeKa1cF5zpenmYNvsTH9UWNjXTZEHSPbgEC71ARkY=","A00000005793","xIqeKa1cF5zpenmYNvsTH9UWNjXTZEHSRKPacj3Cg9g=","A00000005792",,,"tvelazquez-rojas@battelleecology.org",,
"773caf3f-047c-4038-8965-dea07282f7f1","GUAN_008.basePlot.cfc","D04","GUAN","GUAN_008","distributed","xIqeKa1cF5xgOtndUHmBGIAy/uSRpwbQ8z2RwGsWKyo=","A00000007244","2018-04-24T15:54Z","2018-04-24T18:39Z","2018-04-27T19:20Z","OK","xIqeKa1cF5xgOtndUHmBGIAy/uSRpwbQ63Co4aS+OyE=","A00000005778","xIqeKa1cF5xgOtndUHmBGIAy/uSRpwbQF68pyLK3xfk=","A00000005777","xIqeKa1cF5xgOtndUHmBGIAy/uSRpwbQBwJwDIBUh+I=","A00000005779",,,"tvelazquez-rojas@battelleecology.org",,
"076297a4-37dd-44ea-8a61-c69d1d5dd693","GUAN_008.basePlot.cfc","D04","GUAN","GUAN_008","distributed","xIqeKa1cF5yjEd42cEFihrNhyyHEAZdTtO1ZjWRWEf0=","A00000007259","2018-04-24T16:16Z","2018-04-24T18:44Z","2018-04-27T19:20Z","OK","xIqeKa1cF5yjEd42cEFihrNhyyHEAZdTGBon3h8I480=","A00000005782","xIqeKa1cF5yjEd42cEFihrNhyyHEAZdTT7VJwL1nOCw=","A00000005780","xIqeKa1cF5yjEd42cEFihrNhyyHEAZdTlZ8vN3YL0qk=","A00000005783",,,"tvelazquez-rojas@battelleecology.org",,
"b6d41971-6d6f-43cd-b7eb-713cec847e2d","GUAN_008.basePlot.cfc","D04","GUAN","GUAN_008","distributed","xIqeKa1cF5wTAD5AzsGyzPZNjiRUeJZLh23POiccO7o=","A00000007260","2018-04-24T16:54Z","2018-04-24T18:42Z","2018-04-27T19:20Z","OK","xIqeKa1cF5wTAD5AzsGyzPZNjiRUeJZLf9PQ8dw+/Nc=","A00000005784","xIqeKa1cF5wTAD5AzsGyzPZNjiRUeJZLaIixv0feLXbTI5SVQntVdg==","A00000005781","xIqeKa1cF5wTAD5AzsGyzPZNjiRUeJZL8Qgx1G5UWVE=","A00000005785",,,"tvelazquez-rojas@battelleecology.org",,
"aa736c2d-0d85-4c1d-8ce9-ce97a9220387","GUAN_042.basePlot.cfc","D04","GUAN","GUAN_042","tower","xIqeKa1cF5xABiXrs0UCiJR6NdCm4wNr0gVPrMAWG+E=","A00000007245","2018-04-25T11:21Z","2018-04-25T19:06Z","2018-05-03T18:06Z","OK","xIqeKa1cF5xABiXrs0UCiJR6NdCm4wNrUC2VaMa3MuE=","A00000005796","xIqeKa1cF5xABiXrs0UCiJR6NdCm4wNrERnm/AYZAH8=","A00000005795","xIqeKa1cF5xABiXrs0UCiJR6NdCm4wNrzJYEEgTm0CY=","A00000005797",,,"tvelazquez-rojas@battelleecology.org",,
"6c6d0c4a-7529-4ca8-88a1-6ec92b31ff7c","GUAN_042.basePlot.cfc","D04","GUAN","GUAN_042","tower","xIqeKa1cF5w/7S5W4OSulId2ieyS+K+PKF/GwC2YXGM=","A00000007246","2018-04-25T11:55Z","2018-04-25T19:09Z","2018-05-03T19:23Z","OK","xIqeKa1cF5w/7S5W4OSulId2ieyS+K+PXdbU4MZI0S0=","A00000005802","xIqeKa1cF5w/7S5W4OSulId2ieyS+K+PDB47PkkobvM=","A00000005803","xIqeKa1cF5w/7S5W4OSulId2ieyS+K+PJCRKbQZzAmM=","A00000005801",,,"tvelazquez-rojas@battelleecology.org",,
"7f86bd73-ccbd-4505-9b1d-ea25fd4749d4","GUAN_042.basePlot.cfc","D04","GUAN","GUAN_042","tower","xIqeKa1cF5wru2D/2cP7M9sTjPj2HT25/QazCIK0oM4=","A00000007262","2018-04-25T12:28Z","2018-04-25T19:04Z","2018-05-03T19:35Z","OK","xIqeKa1cF5wru2D/2cP7M9sTjPj2HT25a6rFb9Fr+m4=","A00000005806","xIqeKa1cF5wru2D/2cP7M9sTjPj2HT25R+dwhL0kw70=","A00000005805","xIqeKa1cF5wru2D/2cP7M9sTjPj2HT25JF78lCw9RyE=","A00000005804",,,"tvelazquez-rojas@battelleecology.org",,
"6beef3d0-aada-43f7-b316-d482b704df73","GUAN_043.basePlot.cfc","D04","GUAN","GUAN_043","tower","xIqeKa1cF5waeJdGCqrXoUfTMlurlUpUrmhSU6tu78w=","A00000007268","2018-04-25T13:35Z","2018-04-25T19:07Z","2018-04-27T19:20Z","OK","xIqeKa1cF5waeJdGCqrXoUfTMlurlUpUANq4Wyz5114=","A00000005808","xIqeKa1cF5waeJdGCqrXoUfTMlurlUpUyU4TpsXZZvA=","A00000005809","xIqeKa1cF5waeJdGCqrXoUfTMlurlUpUAj9m1blTwDA=","A00000005807",,,"tvelazquez-rojas@battelleecology.org",,
"78af8842-f2da-43dc-bf05-c73d8a52a008","GUAN_043.basePlot.cfc","D04","GUAN","GUAN_043","tower","xIqeKa1cF5zi5fI3F8z9YZz4D4/4pdVVrIuoCA+G6II=","A00000007266","2018-04-25T13:53Z","2018-04-25T19:08Z","2018-04-27T19:20Z","OK","xIqeKa1cF5zi5fI3F8z9YZz4D4/4pdVVUSfBDT9v1Q0=","A00000005828","xIqeKa1cF5zi5fI3F8z9YZz4D4/4pdVVfy3D+IQMiE8isAVtn7p67A==","A00000005830","xIqeKa1cF5zi5fI3F8z9YZz4D4/4pdVVYTG4+CQAOjQ=","A00000005829",,,"tvelazquez-rojas@battelleecology.org",,
"8ed16e6e-3207-47a5-8614-cd1731729360","GUAN_043.basePlot.cfc","D04","GUAN","GUAN_043","tower","xIqeKa1cF5xrbUxm1ISTmNAHfrSqdQHyc4ZEAXKyFt4=","A00000007267","2018-04-25T14:27Z","2018-04-25T19:10Z","2018-04-27T19:20Z","OK","xIqeKa1cF5xrbUxm1ISTmNAHfrSqdQHylO1hgZCqc7A=","A00000005800","xIqeKa1cF5xrbUxm1ISTmNAHfrSqdQHyjrjiDrG7hg13FiQGc4bv2w==","A00000005798","xIqeKa1cF5xrbUxm1ISTmNAHfrSqdQHyQ76SOgV+VUs=","A00000005799",,,"tvelazquez-rojas@battelleecology.org",,
"b5fe8e06-6d07-4810-bdb1-97490093caf7","GUAN_004.basePlot.cfc","D04","GUAN","GUAN_004","distributed","xIqeKa1cF5wwrIuSv422hnj6XHplVzshXD0Ib8lBPbg=","A00000007263","2018-04-26T11:30Z","2018-04-26T20:46Z","2018-05-04T12:49Z","OK","xIqeKa1cF5wwrIuSv422hnj6XHplVzshZNodegLqVUQ=","A00000005840","xIqeKa1cF5wwrIuSv422hnj6XHplVzshDCQB4NCwfW0=","A00000005841","xIqeKa1cF5wwrIuSv422hnj6XHplVzshLEBnSd1LNlo=","A00000005842",,,"tvelazquez-rojas@battelleecology.org",,
"81ac2a89-0087-4007-84fc-b73860c427a8","GUAN_004.basePlot.cfc","D04","GUAN","GUAN_004","distributed","xIqeKa1cF5zts93CSVKm4U3tyCpyHWZrw2TsZG9cUDY=","A00000007265","2018-04-26T11:58Z","2018-04-26T20:20Z","2018-05-04T12:29Z","OK","xIqeKa1cF5zts93CSVKm4U3tyCpyHWZrqtEnAeD7Tm8=","A00000005834","xIqeKa1cF5zts93CSVKm4U3tyCpyHWZrpQGJaVVmzSQ=","A00000005835","xIqeKa1cF5zts93CSVKm4U3tyCpyHWZrJHw6J5IdVVs=","A00000005836",,,"tvelazquez-rojas@battelleecology.org",,
"7161bbe2-6457-4348-b97a-c3b496d1d23e","GUAN_004.basePlot.cfc","D04","GUAN","GUAN_004","distributed","xIqeKa1cF5xcshSqEyAlFcPI1d8lnvq+GjK3rffgfRc=","A00000007264","2018-04-26T12:56Z","2018-04-26T20:00Z","2018-05-04T13:31Z","OK","xIqeKa1cF5xcshSqEyAlFcPI1d8lnvq+WO0qLbjadQw=","A00000005837","xIqeKa1cF5xcshSqEyAlFcPI1d8lnvq+U5Mx452P5O4=","A00000005838","xIqeKa1cF5xcshSqEyAlFcPI1d8lnvq+TYoPwUbtxBU=","A00000005839",,,"tvelazquez-rojas@battelleecology.org",,
"1a2776e8-d46f-4090-b1f1-72d28d738ad4","GUAN_001.basePlot.cfc","D04","GUAN","GUAN_001","distributed","xIqeKa1cF5yMBPJoNJKIaUGw4L/FPEbO0A4PDvYAfc4=","A00000007249","2018-04-26T14:36Z","2018-04-26T20:25Z","2018-05-04T11:42Z","OK","xIqeKa1cF5yMBPJoNJKIaUGw4L/FPEbO6tERvFbHftQ=","A00000005831","xIqeKa1cF5yMBPJoNJKIaUGw4L/FPEbOVww068UlSXV7URiJZd+P6w==","A00000005832","xIqeKa1cF5yMBPJoNJKIaUGw4L/FPEbOw1Ul12Djp6s=","A00000005833",,,"tvelazquez-rojas@battelleecology.org",,
"1406598e-1722-4f69-bfc8-2dfbb7edba5d","GUAN_001.basePlot.cfc","D04","GUAN","GUAN_001","distributed","xIqeKa1cF5yM8COs61ByxNYWb0J8TMOyRbC9EIJng0k=","A00000007250","2018-04-26T14:55Z","2018-04-26T17:45Z","2018-05-04T10:40Z","OK","xIqeKa1cF5yM8COs61ByxNYWb0J8TMOyAVYHJihFYz8=","A00000005826","xIqeKa1cF5yM8COs61ByxNYWb0J8TMOyPPYyXpbULHg=","A00000005827","xIqeKa1cF5yM8COs61ByxNYWb0J8TMOynYCZmMQdUIw=","A00000005825",,,"tvelazquez-rojas@battelleecology.org",,
"3994ea23-02b3-4c65-8375-10152ba836c1","GUAN_001.basePlot.cfc","D04","GUAN","GUAN_001","distributed","xIqeKa1cF5wJTjPuLW4femBGd/9YfzRCvxEJCgkEmyU=","A00000007251","2018-04-26T15:30Z","2018-04-26T17:31Z","2018-05-03T20:24Z","OK","xIqeKa1cF5wJTjPuLW4femBGd/9YfzRCA06v7k0TxCc=","A00000005824","xIqeKa1cF5wJTjPuLW4femBGd/9YfzRCYSP8pj5r670=","A00000005823","xIqeKa1cF5wJTjPuLW4femBGd/9YfzRCCrOo955aZqI=","A00000005822",,,"tvelazquez-rojas@battelleecology.org",,
"f5b57414-eb25-4aee-abc4-a0e26a349cd1","GUAN_007.basePlot.cfc","D04","GUAN","GUAN_007","distributed","xIqeKa1cF5yb+I75mt2ilJpUZuriRhi37u+QQdnREpA=","A00000005672","2018-04-27T11:05Z","2018-04-27T16:40Z","2018-05-07T04:30Z","OK","xIqeKa1cF5yb+I75mt2ilJpUZuriRhi3Y5tFT3cx7Ak=","A00000005857","xIqeKa1cF5yb+I75mt2ilJpUZuriRhi3kDUEjrmaSQMuJZD2vbXuIg==","A00000005859","xIqeKa1cF5yb+I75mt2ilJpUZuriRhi3KD8vI88DnMM=","A00000005860",,,"tvelazquez-rojas@battelleecology.org",,
"ab01db8a-285b-40a1-b43a-6ebbb8c932f1","GUAN_007.basePlot.cfc","D04","GUAN","GUAN_007","distributed","xIqeKa1cF5wOaaZ/OOUvWCI8jnf7NEuNRxwk/ZU9M4U=","A00000007247","2018-04-27T11:35Z","2018-04-27T16:55Z","2018-05-07T15:30Z","OK","xIqeKa1cF5wOaaZ/OOUvWCI8jnf7NEuNdLQiTUufHxM=","A00000005854","xIqeKa1cF5wOaaZ/OOUvWCI8jnf7NEuNhX/7ICkE+lU=","A00000005855","xIqeKa1cF5wOaaZ/OOUvWCI8jnf7NEuNyK6yVxnvgyA=","A00000005856",,,"tvelazquez-rojas@battelleecology.org",,
"70df8074-4a7b-4b75-aaae-5cab0ab269fa","GUAN_007.basePlot.cfc","D04","GUAN","GUAN_007","distributed","xIqeKa1cF5xYBHSYE3LGXLFnC5oSjTgXBaRIowYiH6k=","A00000005673","2018-04-27T11:59Z","2018-04-27T17:02Z","2018-05-04T18:22Z","OK","xIqeKa1cF5xYBHSYE3LGXLFnC5oSjTgXi4S9wdDG5Nk=","A00000005858","xIqeKa1cF5xYBHSYE3LGXLFnC5oSjTgXQfAnpiD3SR8=","A00000005852","xIqeKa1cF5xYBHSYE3LGXLFnC5oSjTgXbDKS7CNEEmE=","A00000005853",,,"tvelazquez-rojas@battelleecology.org",,
"d7f6d071-bf15-4345-b899-6d9928c07ba5","GUAN_003.basePlot.cfc","D04","GUAN","GUAN_003","distributed","xIqeKa1cF5wMpbmu91XFc/mrtqEJApmBlmQHM/GjOGU=","A00000007243","2018-04-27T13:14Z","2018-04-27T15:57Z","2018-05-04T16:24Z","OK","xIqeKa1cF5wMpbmu91XFc/mrtqEJApmB0+IL7jKJcj0=","A00000005849","xIqeKa1cF5wMpbmu91XFc/mrtqEJApmBOiz+GYbrKLFDH/M5fpXQVQ==","A00000005850","xIqeKa1cF5wMpbmu91XFc/mrtqEJApmBpRjQzBFCdx8=","A00000005851",,,"tvelazquez-rojas@battelleecology.org",,
"53678001-e09c-4429-a0e3-4fef90b3fd69","GUAN_003.basePlot.cfc","D04","GUAN","GUAN_003","distributed","xIqeKa1cF5w1nHnXZJaXrn135RaJdyucJQgfIA9El9U=","A00000007241","2018-04-27T13:33Z","2018-04-27T16:28Z","2018-05-04T17:36Z","OK","xIqeKa1cF5w1nHnXZJaXrn135RaJdyuc+Bws1VgwB5s=","A00000005843","xIqeKa1cF5w1nHnXZJaXrn135RaJdyuckEQPuHwCWdM=","A00000005845","xIqeKa1cF5w1nHnXZJaXrn135RaJdyuckSKtMpnVWw4=","A00000005844",,,"tvelazquez-rojas@battelleecology.org",,
"c176569e-446f-427d-b839-e8171853bc5a","GUAN_003.basePlot.cfc","D04","GUAN","GUAN_003","distributed","xIqeKa1cF5weKfpi9CqzYMUGsdfG7nKNVO1lR8omq1I=","A00000007242","2018-04-27T13:54Z","2018-04-27T16:14Z","2018-05-04T17:12Z","OK","xIqeKa1cF5weKfpi9CqzYMUGsdfG7nKNhOa+mr0Zl+M=","A00000005846","xIqeKa1cF5weKfpi9CqzYMUGsdfG7nKNKzLn+eqJwLQ=","A00000005847","xIqeKa1cF5weKfpi9CqzYMUGsdfG7nKN+0c8S4cYznQ=","A00000005848",,,"tvelazquez-rojas@battelleecology.org",,
"ee5e4ce5-02be-4dfa-87b3-dc34e6fec774","GUAN_010.basePlot.cfc","D04","GUAN","GUAN_010","distributed","xIqeKa1cF5yy3FEvmSzvteL3U2sAWACtgx/WU/6i1rs=","A00000005674","2018-04-27T14:35Z","2018-04-27T18:09Z","2018-05-07T12:30Z","OK","xIqeKa1cF5yy3FEvmSzvteL3U2sAWACtIc2oey6C8kA=","A00000005865","xIqeKa1cF5yy3FEvmSzvteL3U2sAWACtmF/oN29AmJkz/3qZxwAeIw==","A00000005861","xIqeKa1cF5yy3FEvmSzvteL3U2sAWACtnMJnLtL2xV4=","A00000005864",,,"tvelazquez-rojas@battelleecology.org",,
"2dd7f212-1754-43ce-b5e0-1daf46226f17","GUAN_010.basePlot.cfc","D04","GUAN","GUAN_010","distributed","xIqeKa1cF5zcau0VmPRQXPuFKSKQ/7zSepDQ3YzWlhM=","A00000005675","2018-04-27T15:45Z","2018-04-27T18:48Z","2018-05-07T13:25Z","OK","xIqeKa1cF5zcau0VmPRQXPuFKSKQ/7zSKWHELzVpwpY=","A00000005863","xIqeKa1cF5zcau0VmPRQXPuFKSKQ/7zSZD+kElW16zQ=","A00000005862","xIqeKa1cF5zcau0VmPRQXPuFKSKQ/7zSbYTPg+1WwN0=","A00000006997",,,"tvelazquez-rojas@battelleecology.org",,
