uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,ligninSampleID,ligninSampleBarcode,collectDate,analysisDate,analyticalRepNumber,dryMass,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"50a68a37-69e2-4820-8655-49fb55239c7e","GUAN_002.basePlot.cfc","D04","GUAN","GUAN_002","distributed","xIqeKa1cF5wqK55/3DYW1xzc8KY/0EterNpfuUFm/DY=","A00000005671","xIqeKa1cF5wqK55/3DYW1xzc8KY/0Eteh6W6SAHNOcgSZ6E4NFXjkg==","A00000005788","2018-04-24T12:12Z","2018-06-22",1,0.501,8.50,23.75,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"7031d17b-afec-4748-8553-f815a919c0df","GUAN_002.basePlot.cfc","D04","GUAN","GUAN_002","distributed","xIqeKa1cF5wrDcLSoZ8W0cX3XEy/r+ZmtKHy1jKltlY=","A00000007222","xIqeKa1cF5wrDcLSoZ8W0cX3XEy/r+Zm+McOfQnrNiY=","A00000005789","2018-04-24T12:50Z","2018-06-22",1,0.495,11.44,25.06,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"2a83670f-68da-4dd8-af9d-2bc4a6a9b00a","GUAN_002.basePlot.cfc","D04","GUAN","GUAN_002","distributed","xIqeKa1cF5zpenmYNvsTH9UWNjXTZEHS8XmHwaLsRY0=","A00000007235","xIqeKa1cF5zpenmYNvsTH9UWNjXTZEHSPbgEC71ARkY=","A00000005793","2018-04-24T13:16Z","2018-06-22",1,0.513,9.60,18.15,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"c662c77d-dae5-47f8-961b-fe35d9eea04b","GUAN_008.basePlot.cfc","D04","GUAN","GUAN_008","distributed","xIqeKa1cF5xgOtndUHmBGIAy/uSRpwbQ8z2RwGsWKyo=","A00000007244","xIqeKa1cF5xgOtndUHmBGIAy/uSRpwbQF68pyLK3xfk=","A00000005777","2018-04-24T15:54Z","2018-06-21",1,0.527,23.61,19.25,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"0cadf544-9771-43c5-9dc3-0d75713efe48","GUAN_008.basePlot.cfc","D04","GUAN","GUAN_008","distributed","xIqeKa1cF5yjEd42cEFihrNhyyHEAZdTtO1ZjWRWEf0=","A00000007259","xIqeKa1cF5yjEd42cEFihrNhyyHEAZdTT7VJwL1nOCw=","A00000005780","2018-04-24T16:16Z","2018-06-21",1,0.531,10.08,15.92,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"aa11162d-f75b-4a35-b08e-9b4b3b5036c7","GUAN_008.basePlot.cfc","D04","GUAN","GUAN_008","distributed","xIqeKa1cF5wTAD5AzsGyzPZNjiRUeJZLh23POiccO7o=","A00000007260","xIqeKa1cF5wTAD5AzsGyzPZNjiRUeJZLaIixv0feLXbTI5SVQntVdg==","A00000005781","2018-04-24T16:54Z","2018-06-21",1,0.505,19.46,20.91,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"6ea2e83f-aa7e-4ce5-bad3-8cc1f99c4a8d","GUAN_042.basePlot.cfc","D04","GUAN","GUAN_042","tower","xIqeKa1cF5xABiXrs0UCiJR6NdCm4wNr0gVPrMAWG+E=","A00000007245","xIqeKa1cF5xABiXrs0UCiJR6NdCm4wNrERnm/AYZAH8=","A00000005795","2018-04-25T11:21Z","2018-06-20",1,0.523,11.00,17.83,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"4fde60c4-4582-4116-b21b-edd7e8f5bc7c","GUAN_042.basePlot.cfc","D04","GUAN","GUAN_042","tower","xIqeKa1cF5w/7S5W4OSulId2ieyS+K+PKF/GwC2YXGM=","A00000007246","xIqeKa1cF5w/7S5W4OSulId2ieyS+K+PDB47PkkobvM=","A00000005803","2018-04-25T11:55Z","2018-06-20",1,0.519,9.81,27.11,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"5ca6b33b-ba0b-4341-9139-6091874c45ae","GUAN_042.basePlot.cfc","D04","GUAN","GUAN_042","tower","xIqeKa1cF5w/7S5W4OSulId2ieyS+K+PKF/GwC2YXGM=","A00000007246","xIqeKa1cF5w/7S5W4OSulId2ieyS+K+PDB47PkkobvM=","A00000005803","2018-04-25T11:55Z","2018-06-20",2,0.503,9.22,25.72,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"20816db2-6bdd-4ac1-bde7-5f6d2fe3f13d","GUAN_042.basePlot.cfc","D04","GUAN","GUAN_042","tower","xIqeKa1cF5wru2D/2cP7M9sTjPj2HT25/QazCIK0oM4=","A00000007262","xIqeKa1cF5wru2D/2cP7M9sTjPj2HT25R+dwhL0kw70=","A00000005805","2018-04-25T12:28Z","2018-06-20",1,0.513,20.72,19.56,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
