uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,chlorophyllSampleID,chlorophyllSampleCode,collectDate,sampleCondition,extractionStartDate,extractionLength,freshMass,solventVolume,analyticalRepNumber,extractChlAConc,extractChlBConc,extractCarotConc,relativeAccuracyScale,handlingQF,measurementQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"dc014aa8-0ee6-45c0-a86b-ba98b07ebb39","GUAN_048.basePlot.cfc","D04","GUAN","GUAN_048","tower","xIqeKa1cF5wQKeCfvLWXTiz29J8MM1ykwpYvE/olIbg=","A00000005679","xIqeKa1cF5wQKeCfvLWXTiz29J8MM1yk2gSLx97r7wA8CI/ptsgb/A==","B00000013145","2018-05-01T15:14Z","OK","2018-05-10",48,0.1370,20,1,7.83,2.55,2.69,"A","OK","OK",,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","oRIgwAyNbI9p3dxUK5sY7g==","oRIgwAyNbI9p3dxUK5sY7g==",
"d01e4c82-1b6d-4de1-9e91-96a3a407aa32","GUAN_048.basePlot.cfc","D04","GUAN","GUAN_048","tower","xIqeKa1cF5wb8aZre4hFDZNYcieXCGMyxQLlZRKnNMA=","A00000005678","xIqeKa1cF5wb8aZre4hFDZNYcieXCGMympjnKbl0xDE=","B00000013146","2018-05-01T15:20Z","OK","2018-05-10",48,0.1570,20,1,6.06,1.99,2.29,"A","OK","OK",,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","oRIgwAyNbI9p3dxUK5sY7g==","oRIgwAyNbI9p3dxUK5sY7g==",
"0a6ec559-b9c8-4804-9507-658a95e735ef","GUAN_048.basePlot.cfc","D04","GUAN","GUAN_048","tower","xIqeKa1cF5wwbgR6i65FNY7hsCdnLiRVdYI2krS+BFw=","A00000005680","xIqeKa1cF5wwbgR6i65FNY7hsCdnLiRVR+pSoY6tUuA=","B00000013144","2018-05-01T16:08Z","OK","2018-05-10",48,0.1570,20,1,12.34,3.53,3.36,"A","OK","OK",,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","oRIgwAyNbI9p3dxUK5sY7g==","oRIgwAyNbI9p3dxUK5sY7g==",
"1d746e77-7080-4cee-995c-e5cb280c4a38","GUAN_005.basePlot.cfc","D04","GUAN","GUAN_005","distributed","xIqeKa1cF5x6PcWF6xZTvEpNJ3mJhEACWg8RbYWNFok=","A00000007239","xIqeKa1cF5x6PcWF6xZTvEpNJ3mJhEACgc/e9IEfj2s=","B00000013104","2018-05-02T12:08Z","OK","2018-05-10",48,0.1520,20,1,8.69,3.27,2.42,"A","OK","OK",,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","oRIgwAyNbI9p3dxUK5sY7g==","oRIgwAyNbI9p3dxUK5sY7g==",
"d122a58b-725a-408f-b01d-00d95e6d47e3","GUAN_005.basePlot.cfc","D04","GUAN","GUAN_005","distributed","xIqeKa1cF5yPeCgRPNNu6TFE94uI0Tf9YGACYUvroDA=","A00000007240","xIqeKa1cF5yPeCgRPNNu6TFE94uI0Tf9L20pEkDImJMWUChmmM3Kyw==","B00000013102","2018-05-02T12:25Z","OK","2018-05-10",48,0.1510,20,1,8.83,3.25,2.38,"A","OK","OK",,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","oRIgwAyNbI9p3dxUK5sY7g==","oRIgwAyNbI9p3dxUK5sY7g==",
"7354ca02-7007-4d90-b091-5c99f0106146","GUAN_005.basePlot.cfc","D04","GUAN","GUAN_005","distributed","xIqeKa1cF5x6PcWF6xZTvNKt/EhEiAWWoKdFND3pnKw=","A00000007254","xIqeKa1cF5x6PcWF6xZTvNKt/EhEiAWWsp5C/2oueRI=","B00000013103","2018-05-02T12:57Z","OK","2018-05-10",48,0.1590,20,1,8.31,2.97,2.44,"A","OK","OK",,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","oRIgwAyNbI9p3dxUK5sY7g==","oRIgwAyNbI9p3dxUK5sY7g==",
"b196ff7d-033b-4a09-8fa1-bb36edda1ea1","GUAN_006.basePlot.cfc","D04","GUAN","GUAN_006","distributed","xIqeKa1cF5wjN81kTMTliYHZpx4L5DaZ7pL+xCNZ2cM=","A00000007238","xIqeKa1cF5wjN81kTMTliYHZpx4L5DaZjPdAiU+2Rtw=","B00000013106","2018-05-02T13:49Z","OK","2018-05-10",48,0.1590,20,1,8.24,3.23,2.83,"A","OK","OK",,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","oRIgwAyNbI9p3dxUK5sY7g==","oRIgwAyNbI9p3dxUK5sY7g==",
"18a13eb8-c441-4249-9b9e-ce19772ed672","GUAN_006.basePlot.cfc","D04","GUAN","GUAN_006","distributed","xIqeKa1cF5yy0iCHo68yjXG2NRybj3d+bhbTP1Jbu7o=","A00000007253","xIqeKa1cF5yy0iCHo68yjXG2NRybj3d+o7lMODdkH7I=","B00000013105","2018-05-02T13:58Z","OK","2018-05-10",48,0.1540,20,1,12.82,5.27,4.07,"A","OK","OK",,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","oRIgwAyNbI9p3dxUK5sY7g==","oRIgwAyNbI9p3dxUK5sY7g==",
"6417703b-b1a5-4fc7-b881-301222e34848","GUAN_006.basePlot.cfc","D04","GUAN","GUAN_006","distributed","xIqeKa1cF5yd5Y4jHTwwj3GtypZci34bZUTYzRerIvQ=","A00000007237","xIqeKa1cF5yd5Y4jHTwwj3GtypZci34bEnxF+X+5CAk=","B00000013107","2018-05-02T14:04Z","OK","2018-05-10",48,0.1600,20,1,18.68,6.78,4.36,"A","OK","OK",,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","oRIgwAyNbI9p3dxUK5sY7g==","oRIgwAyNbI9p3dxUK5sY7g==",
"ab4d4ac4-635d-49a7-bcd1-b99788ce3fbb","GUAN_009.basePlot.cfc","D04","GUAN","GUAN_009","distributed","xIqeKa1cF5yFM43w6tf90BBTZuyu3mkKo/3jPW7xmlE=",,"xIqeKa1cF5yFM43w6tf90BBTZuyu3mkKisEroHpX8h4=","B00000013143","2018-05-02T15:54Z","OK","2018-05-10",48,0.0550,10,1,9.78,2.58,3.00,"A","OK","OK",,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","oRIgwAyNbI9p3dxUK5sY7g==","oRIgwAyNbI9p3dxUK5sY7g==",
