uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,collectDate,aopCollectDate,samplingImpractical,subplotID,sampleType,samplingMethod,sampleID,sampleCode,sampleCondition,chlorophyllSampleID,chlorophyllSampleCode,chlorophyllSampleCondition,clipCellNumber,clipID,clipLength,clipWidth,percentCoverClip,toxicodendronPossible,vstTag,tagID,individualID,taxonID,scientificName,plantStatus,canopyPosition,canopyStatus,subsample1Height,subsample2Height,subsample3Height,crownPolygonID,crownPolygonConfidence,shapefileID,collectedBy,recordedBy,remarks,dataQF
"1ec585a2-262c-4d47-8d77-a8df16e9f163","GUAN_048.basePlot.cfc","D04","GUAN","GUAN_048","tower","evergreenForest","WGS84",17.969110,-66.864276,20.1,130.1,0.12,"NEON.DOC.001024vE","2018-05-01T15:14Z","2018-05-10",,"21","Woody individual","pole pruner","xIqeKa1cF5wQKeCfvLWXTiz29J8MM1ykwpYvE/olIbg=","A00000005679",,"xIqeKa1cF5wQKeCfvLWXTiz29J8MM1yk2gSLx97r7wA8CI/ptsgb/A==","B00000013145",,,,,,,,"Y","03365","NEON.PLA.D04.GUAN.03365","PIAL3","Pisonia albida (Heimerl) Britton ex Standl.","OK",,,4.1,,,,,,"amegill@battelleecology.org","gtavarez@battelleecology.org",,
"865e0f19-6086-4e86-a97b-40cf91ea520b","GUAN_048.basePlot.cfc","D04","GUAN","GUAN_048","tower","evergreenForest","WGS84",17.969110,-66.864276,20.1,130.1,0.12,"NEON.DOC.001024vE","2018-05-01T15:20Z","2018-05-10",,"21","Woody individual","pole pruner","xIqeKa1cF5wb8aZre4hFDZNYcieXCGMyxQLlZRKnNMA=","A00000005678",,"xIqeKa1cF5wb8aZre4hFDZNYcieXCGMympjnKbl0xDE=","B00000013146",,,,,,,,"Y","05593","NEON.PLA.D04.GUAN.05593","BUSI","Bursera simaruba (L.) Sarg.","OK",,,4.2,,,,,,"amegill@battelleecology.org","gtavarez@battelleecology.org",,
"4ea092b5-1bb5-41e8-abc8-8bcceeadee46","GUAN_048.basePlot.cfc","D04","GUAN","GUAN_048","tower","evergreenForest","WGS84",17.969110,-66.864276,20.1,130.1,0.12,"NEON.DOC.001024vE","2018-05-01T16:08Z","2018-05-10",,"21","Woody individual","pole pruner","xIqeKa1cF5wwbgR6i65FNY7hsCdnLiRVdYI2krS+BFw=","A00000005680",,"xIqeKa1cF5wwbgR6i65FNY7hsCdnLiRVR+pSoY6tUuA=","B00000013144",,,,,,,,"Y","03369","NEON.PLA.D04.GUAN.03369","BUBU","Bucida buceras L.","OK",,,4.7,,,,,,"amegill@battelleecology.org","gtavarez@battelleecology.org",,
"eeb9e079-00d5-4294-abd1-80960862b8d7","GUAN_005.basePlot.cfc","D04","GUAN","GUAN_005","distributed","evergreenForest","WGS84",17.968745,-66.880450,20.2,161.3,0.22,"NEON.DOC.001024vE","2018-05-02T12:08Z","2018-05-10",,"31","Woody individual","pole pruner","xIqeKa1cF5x6PcWF6xZTvEpNJ3mJhEACWg8RbYWNFok=","A00000007239",,"xIqeKa1cF5x6PcWF6xZTvEpNJ3mJhEACgc/e9IEfj2s=","B00000013104",,,,,,,,"Y","04171","NEON.PLA.D04.GUAN.04171","BUSI","Bursera simaruba (L.) Sarg.","OK",,,5.1,,,,,,"tvelazquez-rojas@battelleecology.org","amegill@battelleecology.org",,
"1401083c-284a-4d0e-ab2c-254b8744fcd3","GUAN_005.basePlot.cfc","D04","GUAN","GUAN_005","distributed","evergreenForest","WGS84",17.968745,-66.880450,20.2,161.3,0.22,"NEON.DOC.001024vE","2018-05-02T12:25Z","2018-05-10",,"31","Woody individual","pole pruner","xIqeKa1cF5yPeCgRPNNu6TFE94uI0Tf9YGACYUvroDA=","A00000007240",,"xIqeKa1cF5yPeCgRPNNu6TFE94uI0Tf9L20pEkDImJMWUChmmM3Kyw==","B00000013102",,,,,,,,"Y","04181","NEON.PLA.D04.GUAN.04181","PIAL3","Pisonia albida (Heimerl) Britton ex Standl.","OK",,,3.0,,,,,,"tvelazquez-rojas@battelleecology.org","amegill@battelleecology.org",,
"6b1b5dc2-1ad1-4f23-ab0e-1a8d7edc571e","GUAN_005.basePlot.cfc","D04","GUAN","GUAN_005","distributed","evergreenForest","WGS84",17.968745,-66.880450,20.2,161.3,0.22,"NEON.DOC.001024vE","2018-05-02T12:57Z","2018-05-10",,"31","Woody individual","pole pruner","xIqeKa1cF5x6PcWF6xZTvNKt/EhEiAWWoKdFND3pnKw=","A00000007254",,"xIqeKa1cF5x6PcWF6xZTvNKt/EhEiAWWsp5C/2oueRI=","B00000013103",,,,,,,,"Y","04185","NEON.PLA.D04.GUAN.04185","BUSI","Bursera simaruba (L.) Sarg.","OK",,,2.6,,,,,,"tvelazquez-rojas@battelleecology.org","amegill@battelleecology.org",,
"8023b80c-6a0a-4cf4-9b49-32997d3b467c","GUAN_006.basePlot.cfc","D04","GUAN","GUAN_006","distributed","evergreenForest","WGS84",17.963818,-66.875667,20.1,98.9,0.19,"NEON.DOC.001024vE","2018-05-02T13:49Z","2018-05-10",,"31","Woody individual","pole pruner","xIqeKa1cF5wjN81kTMTliYHZpx4L5DaZ7pL+xCNZ2cM=","A00000007238",,"xIqeKa1cF5wjN81kTMTliYHZpx4L5DaZjPdAiU+2Rtw=","B00000013106",,,,,,,,"Y","04232","NEON.PLA.D04.GUAN.04232","BUSI","Bursera simaruba (L.) Sarg.","OK",,,3.2,,,,,,"tvelazquez-rojas@battelleecology.org","amegill@battelleecology.org",,
"7c77bfc0-5aa6-4e34-9e85-614548e41e97","GUAN_006.basePlot.cfc","D04","GUAN","GUAN_006","distributed","evergreenForest","WGS84",17.963818,-66.875667,20.1,98.9,0.19,"NEON.DOC.001024vE","2018-05-02T13:58Z","2018-05-10",,"31","Woody individual","pole pruner","xIqeKa1cF5yy0iCHo68yjXG2NRybj3d+bhbTP1Jbu7o=","A00000007253",,"xIqeKa1cF5yy0iCHo68yjXG2NRybj3d+o7lMODdkH7I=","B00000013105",,,,,,,,"Y","04234","NEON.PLA.D04.GUAN.04234","GUOF","Guaiacum officinale L.","OK",,,3.9,,,,,,"tvelazquez-rojas@battelleecology.org","amegill@battelleecology.org",,
"ecc8678c-c424-40ac-bc1d-cd65b2fe5472","GUAN_006.basePlot.cfc","D04","GUAN","GUAN_006","distributed","evergreenForest","WGS84",17.963818,-66.875667,20.1,98.9,0.19,"NEON.DOC.001024vE","2018-05-02T14:04Z","2018-05-10",,"31","Woody individual","pole pruner","xIqeKa1cF5yd5Y4jHTwwj3GtypZci34bZUTYzRerIvQ=","A00000007237",,"xIqeKa1cF5yd5Y4jHTwwj3GtypZci34bEnxF+X+5CAk=","B00000013107",,,,,,,,"Y","04227","NEON.PLA.D04.GUAN.04227","BUBU","Bucida buceras L.","OK",,,3.5,,,,,,"tvelazquez-rojas@battelleecology.org","amegill@battelleecology.org",,
"919bb8f5-f124-4baf-b65b-bf38c657147a","GUAN_009.basePlot.cfc","D04","GUAN","GUAN_009","distributed","evergreenForest","WGS84",17.979430,-66.867833,20.1,114.1,0.10,"NEON.DOC.001024vE","2018-05-02T15:54Z","2018-05-20",,"31","Woody individual","pole pruner","xIqeKa1cF5yFM43w6tf90BBTZuyu3mkKo/3jPW7xmlE=",,,"xIqeKa1cF5yFM43w6tf90BBTZuyu3mkKisEroHpX8h4=","B00000013143",,,,,,,,"Y","04695","NEON.PLA.D04.GUAN.04695","ACFA","Acacia farnesiana (L.) Willd.","OK",,,4.3,,,,,,"tvelazquez-rojas@battelleecology.org","amegill@battelleecology.org",,
"953555fa-7e68-41e2-9055-2810f081346a","GUAN_009.basePlot.cfc","D04","GUAN","GUAN_009","distributed","evergreenForest","WGS84",17.979430,-66.867833,20.1,114.1,0.10,"NEON.DOC.001024vE","2018-05-02T16:26Z","2018-05-20",,"31","Woody individual","clippers","xIqeKa1cF5zndmx1vcsWkkLyDyi82MtPhFkhQo8lUOA=",,,"xIqeKa1cF5zndmx1vcsWkkLyDyi82MtP4teqWaU3El4=","B00000013142",,,,,,,,"Y","04561","NEON.PLA.D04.GUAN.04561","JAFL","Jasminum fluminense Vell.","OK",,,2.9,,,,,,"tvelazquez-rojas@battelleecology.org","amegill@battelleecology.org",,
"e9b0a539-9c9d-4903-bc7e-330a577cfe50","GUAN_009.basePlot.cfc","D04","GUAN","GUAN_009","distributed","evergreenForest","WGS84",17.979430,-66.867833,20.1,114.1,0.10,"NEON.DOC.001024vE","2018-05-02T16:52Z","2018-05-20",,"31","Woody individual","clippers","xIqeKa1cF5wASyZIQOWF2wuDYyZSHwAZ1iaHOWDU3LI=",,,"xIqeKa1cF5wASyZIQOWF2wuDYyZSHwAZCptC2idX1LoEgDL69i1KeQ==","B00000013141",,,,,,,,"Y","04632","NEON.PLA.D04.GUAN.04632","ACRE4","Acacia retusa (Jacq.) Howard","OK",,,1.7,,,,,,"tvelazquez-rojas@battelleecology.org","amegill@battelleecology.org",,
