uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,cnSampleID,cnSampleCode,collectDate,analysisDate,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"741e4d76-28a7-4a35-9d7d-6711dbc2f467","UNDE_048.basePlot.cfc","D05","UNDE","UNDE_048","tower","WnrB9gmiM7ICUKP/6ELhXj5y6vn4RtADOuvQ6Kg3HtI=",,"WnrB9gmiM7ICUKP/6ELhXj5y6vn4RtADmBLlpwegKog=","A00000077024","2019-06-10T18:08Z","2020-01-16","N",-3.5,-28.3,3.40,49.21,14.5,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"84bc02a3-a2bb-4ee8-9ce3-79fd9457d7f5","UNDE_048.basePlot.cfc","D05","UNDE","UNDE_048","tower","WnrB9gmiM7KpD1x1EWe05a64bF9ByiTXuaNgyvfkCgk=",,"WnrB9gmiM7KpD1x1EWe05a64bF9ByiTXCJWKjgk7WvY=","A00000077007","2019-06-10T18:50Z","2020-01-16","N",-2.2,-27.7,2.46,49.59,20.2,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"5dd4c853-0aa6-458c-be86-a04ce9f24b18","UNDE_048.basePlot.cfc","D05","UNDE","UNDE_048","tower","WnrB9gmiM7ICUKP/6ELhXsEf57+R3R8X16FvbcPa00Q=",,"WnrB9gmiM7ICUKP/6ELhXsEf57+R3R8XtHyAjp50gtY=","A00000076989","2019-06-10T19:13Z","2020-01-16","N",-2.6,-28.6,2.82,48.08,17.0,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"d86becfd-dc53-4472-bd44-e9b8bda1a41f","UNDE_048.basePlot.cfc","D05","UNDE","UNDE_048","tower","WnrB9gmiM7Iw/caom31wxIo8cHK251QTLQ25AGcqNdY=",,"WnrB9gmiM7Iw/caom31wxIo8cHK251QT6MXfUFj3fUQ=","B00000022417","2019-06-10T19:53Z","2020-01-16","N",-5.8,-30.0,0.99,48.79,49.4,"OK","OK","OK","OK",2,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"1ccf6e9d-fb72-4d78-894a-312249728ca7","UNDE_048.basePlot.cfc","D05","UNDE","UNDE_048","tower","WnrB9gmiM7Iw/caom31wxIo8cHK251QTLQ25AGcqNdY=",,"WnrB9gmiM7Iw/caom31wxIo8cHK251QT6MXfUFj3fUQ=","B00000022417","2019-06-10T19:53Z","2020-01-16","N",-5.7,-29.9,0.99,49.04,49.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"21abc979-9ab9-41d0-82a1-cd79cf5741ed","UNDE_048.basePlot.cfc","D05","UNDE","UNDE_048","tower","WnrB9gmiM7L4lliF+zuO3aTksjTiYDu0dH1GELAoleg=",,"WnrB9gmiM7L4lliF+zuO3aTksjTiYDu0feXWMcFmxGA=","A00000076966","2019-06-10T20:30Z","2020-01-16","N",-2.5,-29.3,1.87,46.28,24.7,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"c5be7d30-b4e6-4c2a-b829-27e27cae518b","UNDE_037.basePlot.cfc","D05","UNDE","UNDE_037","tower","WnrB9gmiM7KhecQkNUNsj1iFGtK9TuT+zZlioCdTWHo=",,"WnrB9gmiM7KhecQkNUNsj1iFGtK9TuT+MRyrsNUagPE=","A00000076995","2019-06-11T15:00Z","2020-03-05","N",-6.3,-25.7,2.30,49.03,21.3,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"70a2b8e0-2dc5-48dd-8cbb-17098b20b19a","UNDE_037.basePlot.cfc","D05","UNDE","UNDE_037","tower","WnrB9gmiM7JsbhQMGveVfxj0b1j/D16fQ2kkA037WD0=",,"WnrB9gmiM7JsbhQMGveVfxj0b1j/D16fTA8lyXenWWE=","A00000076998","2019-06-11T16:30Z","2020-03-05","N",-4.8,-28.3,1.08,49.94,46.3,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"f00bde86-00c3-429a-ae40-24a4e8d320d1","UNDE_037.basePlot.cfc","D05","UNDE","UNDE_037","tower","WnrB9gmiM7JsbhQMGveVfxj0b1j/D16fQ2kkA037WD0=",,"WnrB9gmiM7JsbhQMGveVfxj0b1j/D16fTA8lyXenWWE=","A00000076998","2019-06-11T16:30Z","2020-03-05","N",-4.8,-28.3,1.08,50.17,46.6,"OK","OK","OK","OK",2,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"4fb88b46-795f-4e5a-903c-bf794210f0b5","UNDE_037.basePlot.cfc","D05","UNDE","UNDE_037","tower","WnrB9gmiM7KhecQkNUNsj01BJbBxi9zdXPwVPk+KNeI=",,"WnrB9gmiM7KhecQkNUNsj01BJbBxi9zdhJG9MXavPgQ=","A00000076985","2019-06-11T17:30Z","2020-03-05","N",-5.3,-27.7,1.66,48.52,29.3,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
