uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,collectDate,ovenStartDate,ovenEndDate,sampleCondition,cnSampleID,cnSampleCode,ligninSampleID,ligninSampleBarcode,archiveSampleID,archiveSampleCode,archiveMass,toxicodendronPossible,processedBy,remarks,dataQF
"a90f362d-f066-4586-b978-53283be74ffb","UNDE_048.basePlot.cfc","D05","UNDE","UNDE_048","tower","WnrB9gmiM7ICUKP/6ELhXj5y6vn4RtADOuvQ6Kg3HtI=",,"2019-06-10T18:08Z","2019-06-11T21:30Z","2019-06-17T15:00Z","OK","WnrB9gmiM7ICUKP/6ELhXj5y6vn4RtADmBLlpwegKog=","A00000077024","WnrB9gmiM7ICUKP/6ELhXj5y6vn4RtADEIsTSVcjawaYXqDH0/A/+w==","A00000077025","WnrB9gmiM7ICUKP/6ELhXj5y6vn4RtADPfXMFpGNxYY=","A00000077008",,,"0000-0002-3383-324X",,
"6dd6c5aa-474d-4fb3-89a8-e1fcb88ff91f","UNDE_048.basePlot.cfc","D05","UNDE","UNDE_048","tower","WnrB9gmiM7KpD1x1EWe05a64bF9ByiTXuaNgyvfkCgk=",,"2019-06-10T18:50Z","2019-06-11T21:30Z","2019-06-17T15:00Z","OK","WnrB9gmiM7KpD1x1EWe05a64bF9ByiTXCJWKjgk7WvY=","A00000077007","WnrB9gmiM7KpD1x1EWe05a64bF9ByiTXgnkiacQE08Zjf32BRA7ZSA==","A00000077006","WnrB9gmiM7KpD1x1EWe05a64bF9ByiTXkzOwq0Lik/c=","A00000077005",,,"0000-0002-3383-324X",,
"8e7f28a4-7b82-46e9-aea3-12612fed223b","UNDE_048.basePlot.cfc","D05","UNDE","UNDE_048","tower","WnrB9gmiM7ICUKP/6ELhXsEf57+R3R8X16FvbcPa00Q=",,"2019-06-10T19:13Z","2019-06-11T21:30Z","2019-06-17T15:00Z","OK","WnrB9gmiM7ICUKP/6ELhXsEf57+R3R8XtHyAjp50gtY=","A00000076989","WnrB9gmiM7ICUKP/6ELhXsEf57+R3R8Xr32fdYsMKlIoV1npyl6MgA==","A00000076988","WnrB9gmiM7ICUKP/6ELhXsEf57+R3R8Xpb1VtN5rXLs=","A00000076987",,,"0000-0001-5549-5889",,
"4931ce7e-34d9-4a96-906e-7eeebcbe2070","UNDE_048.basePlot.cfc","D05","UNDE","UNDE_048","tower","WnrB9gmiM7Iw/caom31wxIo8cHK251QTLQ25AGcqNdY=",,"2019-06-10T19:53Z","2019-06-11T21:30Z","2019-06-17T15:00Z","OK","WnrB9gmiM7Iw/caom31wxIo8cHK251QT6MXfUFj3fUQ=","B00000022417","WnrB9gmiM7Iw/caom31wxIo8cHK251QT+TnsnKYgolY=","A00000076677","WnrB9gmiM7Iw/caom31wxIo8cHK251QTLil+d3OlGf8=","A00000076676",,,"0000-0002-3383-324X",,
"5554dc6d-aebd-4eee-9707-24109ffd1315","UNDE_048.basePlot.cfc","D05","UNDE","UNDE_048","tower","WnrB9gmiM7L4lliF+zuO3aTksjTiYDu0dH1GELAoleg=",,"2019-06-10T20:30Z","2019-06-11T21:30Z","2019-06-17T15:00Z","OK","WnrB9gmiM7L4lliF+zuO3aTksjTiYDu0feXWMcFmxGA=","A00000076966","WnrB9gmiM7L4lliF+zuO3aTksjTiYDu0t4x457BOSn0=","A00000076968","WnrB9gmiM7L4lliF+zuO3aTksjTiYDu0n5Xmu014JNY=","A00000076967",,,"0000-0001-5549-5889",,
"6e559c17-28db-42c9-895f-62df5b158d9b","UNDE_037.basePlot.cfc","D05","UNDE","UNDE_037","tower","WnrB9gmiM7KhecQkNUNsj1iFGtK9TuT+zZlioCdTWHo=",,"2019-06-11T15:00Z","2019-06-12T23:10Z","2019-06-18T14:00Z","OK","WnrB9gmiM7KhecQkNUNsj1iFGtK9TuT+MRyrsNUagPE=","A00000076995","WnrB9gmiM7KhecQkNUNsj1iFGtK9TuT+1iT+VF5mOFY=","A00000076994","WnrB9gmiM7KhecQkNUNsj1iFGtK9TuT+sfi5bEo6tiY=","A00000076993",,,"0000-0002-3383-324X",,
"d082c94a-ff32-449c-b5ac-f387b477aa3e","UNDE_037.basePlot.cfc","D05","UNDE","UNDE_037","tower","WnrB9gmiM7JsbhQMGveVfxj0b1j/D16fQ2kkA037WD0=",,"2019-06-11T16:30Z","2019-06-12T23:10Z","2019-06-18T14:00Z","OK","WnrB9gmiM7JsbhQMGveVfxj0b1j/D16fTA8lyXenWWE=","A00000076998","WnrB9gmiM7JsbhQMGveVfxj0b1j/D16fS8aBWwM7w4k=","A00000076997","WnrB9gmiM7JsbhQMGveVfxj0b1j/D16fiPFrHh9yLkU=","A00000076996",,,"0000-0002-3383-324X",,
"9884ce4b-a1a8-4549-90a3-cf6606c478dd","UNDE_037.basePlot.cfc","D05","UNDE","UNDE_037","tower","WnrB9gmiM7KhecQkNUNsj01BJbBxi9zdXPwVPk+KNeI=",,"2019-06-11T17:30Z","2019-06-12T23:10Z","2019-06-18T14:00Z","OK","WnrB9gmiM7KhecQkNUNsj01BJbBxi9zdhJG9MXavPgQ=","A00000076985","WnrB9gmiM7KhecQkNUNsj01BJbBxi9zdr8kNoiOUUis=","A00000077000","WnrB9gmiM7KhecQkNUNsj01BJbBxi9zdvoThBdpotuY=","A00000076999",,,"0000-0002-3383-324X",,
"d3ec16cc-759e-4221-ae27-d159fa16beff","UNDE_037.basePlot.cfc","D05","UNDE","UNDE_037","tower","WnrB9gmiM7KJHBAN1/lz5K1r2bMAk/nO47djhz52+yk=",,"2019-06-11T18:00Z","2019-06-12T23:10Z","2019-06-18T14:00Z","OK","WnrB9gmiM7KJHBAN1/lz5K1r2bMAk/nOp0ScGOanPmA=","A00000077004","WnrB9gmiM7KJHBAN1/lz5K1r2bMAk/nONNR9ouv/0aA=","A00000077003","WnrB9gmiM7KJHBAN1/lz5K1r2bMAk/nOWnEh18fVqX0=","A00000077002",,,"0000-0002-3383-324X",,
"ef36242b-acc7-4bab-8ac6-e21ab112df78","UNDE_045.basePlot.cfc","D05","UNDE","UNDE_045","tower","WnrB9gmiM7Iau2UWhPn7A3SqKlCDDZxh4gC4rrCz4fI=",,"2019-06-11T20:15Z","2019-06-12T23:10Z","2019-06-18T14:00Z","OK","WnrB9gmiM7Iau2UWhPn7A3SqKlCDDZxh+YzKkOkvZPA=","A00000077001","WnrB9gmiM7Iau2UWhPn7A3SqKlCDDZxhC6J3mKC0j9t82IXobhEWyg==","A00000076975","WnrB9gmiM7Iau2UWhPn7A3SqKlCDDZxhFEp885eYqbQ=","A00000076992",,,"0000-0002-3383-324X",,
