uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,chlorophyllSampleID,chlorophyllSampleCode,collectDate,sampleCondition,extractionStartDate,extractionLength,freshMass,solventVolume,analyticalRepNumber,extractChlAConc,extractChlBConc,extractCarotConc,relativeAccuracyScale,handlingQF,measurementQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"d1c9bad9-c8af-4234-8ad7-d7e40ad39d43","UNDE_048.basePlot.cfc","D05","UNDE","UNDE_048","tower","WnrB9gmiM7ICUKP/6ELhXj5y6vn4RtADOuvQ6Kg3HtI=",,"WnrB9gmiM7ICUKP/6ELhXj5y6vn4RtAD3R8fvmOzb5e6DJu55BWdbA==","B00000060566","2019-06-10T18:08Z","OK","2019-06-19",24,0.0598,8,1,12.88,3.61,3.80,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
"1bbb5abf-17e7-407b-8468-3c215f771d0d","UNDE_048.basePlot.cfc","D05","UNDE","UNDE_048","tower","WnrB9gmiM7KpD1x1EWe05a64bF9ByiTXuaNgyvfkCgk=",,"WnrB9gmiM7KpD1x1EWe05a64bF9ByiTXs361Pm6nPVmvuEd/CiRRUQ==","B00000060564","2019-06-10T18:50Z","OK","2019-06-19",24,0.0714,8,1,16.14,4.31,4.74,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
"81d165f3-6b4b-4ceb-9475-b48c6fa8d73b","UNDE_048.basePlot.cfc","D05","UNDE","UNDE_048","tower","WnrB9gmiM7ICUKP/6ELhXsEf57+R3R8X16FvbcPa00Q=",,"WnrB9gmiM7ICUKP/6ELhXsEf57+R3R8Xzk/n+/7dsRNKPROmTF7CFw==","B00000060567","2019-06-10T19:13Z","OK","2019-06-19",24,0.0743,8,1,12.95,3.65,3.96,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
"03c4e96c-05bb-4c2c-82da-b33520188a4a","UNDE_048.basePlot.cfc","D05","UNDE","UNDE_048","tower","WnrB9gmiM7Iw/caom31wxIo8cHK251QTLQ25AGcqNdY=",,"WnrB9gmiM7Iw/caom31wxIo8cHK251QTvy5ta3mjc7c=","B00000060577","2019-06-10T19:53Z","OK","2019-06-19",24,0.0509,8,1,7.10,2.02,2.04,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
"13ea7be3-233b-445a-bbf4-48011a247013","UNDE_048.basePlot.cfc","D05","UNDE","UNDE_048","tower","WnrB9gmiM7L4lliF+zuO3aTksjTiYDu0dH1GELAoleg=",,"WnrB9gmiM7L4lliF+zuO3aTksjTiYDu06O0vAC3EIrg=","B00000060578","2019-06-10T20:30Z","OK","2019-06-19",24,0.0682,8,1,8.74,2.20,2.41,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
"30879f07-694d-4fae-872c-8c5eae9fdff7","UNDE_037.basePlot.cfc","D05","UNDE","UNDE_037","tower","WnrB9gmiM7KhecQkNUNsj1iFGtK9TuT+zZlioCdTWHo=",,"WnrB9gmiM7KhecQkNUNsj1iFGtK9TuT+uv1dJQXwyf0=","B00000060565","2019-06-11T15:00Z","OK","2019-06-19",24,0.0449,8,1,6.29,1.66,2.17,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
"447728dd-2e2e-41a7-a7ee-a2ea0f205341","UNDE_037.basePlot.cfc","D05","UNDE","UNDE_037","tower","WnrB9gmiM7JsbhQMGveVfxj0b1j/D16fQ2kkA037WD0=",,"WnrB9gmiM7JsbhQMGveVfxj0b1j/D16f3CChoOpfAV0=","B00000060568","2019-06-11T16:30Z","OK","2019-06-19",24,0.0360,8,1,5.57,1.75,1.43,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
"45c11b77-c99e-48d7-976b-ccd80cdc10f5","UNDE_037.basePlot.cfc","D05","UNDE","UNDE_037","tower","WnrB9gmiM7KhecQkNUNsj01BJbBxi9zdXPwVPk+KNeI=",,"WnrB9gmiM7KhecQkNUNsj01BJbBxi9zdsnV2mFF2SIs=","B00000060580","2019-06-11T17:30Z","OK","2019-06-19",24,0.0571,8,1,5.69,1.46,2.37,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
"33b9c104-1739-4dc6-b065-fdfe69e2f2cb","UNDE_037.basePlot.cfc","D05","UNDE","UNDE_037","tower","WnrB9gmiM7KJHBAN1/lz5K1r2bMAk/nO47djhz52+yk=",,"WnrB9gmiM7KJHBAN1/lz5K1r2bMAk/nOd9segoDGYNo=","B00000060575","2019-06-11T18:00Z","OK","2019-06-19",24,0.0595,8,1,19.72,5.90,5.12,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
"6e02e7b1-e8a3-473c-a8bb-37769ef637ff","UNDE_045.basePlot.cfc","D05","UNDE","UNDE_045","tower","WnrB9gmiM7Iau2UWhPn7A3SqKlCDDZxh4gC4rrCz4fI=",,"WnrB9gmiM7Iau2UWhPn7A3SqKlCDDZxhj4fNpoMlZ41bwaPk+VlSLA==","B00000060579","2019-06-11T20:15Z","OK","2019-06-19",24,0.0615,8,1,14.24,4.04,4.11,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
