uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,collectDate,aopCollectDate,samplingImpractical,subplotID,sampleType,samplingMethod,sampleID,sampleCode,sampleCondition,chlorophyllSampleID,chlorophyllSampleCode,chlorophyllSampleCondition,clipCellNumber,clipID,clipLength,clipWidth,percentCoverClip,toxicodendronPossible,vstTag,tagID,individualID,taxonID,scientificName,plantStatus,canopyPosition,canopyStatus,subsample1Height,subsample2Height,subsample3Height,crownPolygonID,crownPolygonConfidence,shapefileID,collectedBy,recordedBy,remarks,dataQF
"5635709d-17d8-483b-bab4-b0acc1f8dbcd","UNDE_048.basePlot.cfc","D05","UNDE","UNDE_048","tower","mixedForest","WGS84",46.232136,-89.540445,20.1,526.9,0.18,"NEON.DOC.001024vF","2019-06-10T18:08Z","2019-06-06",,"41","Woody individual","line launcher","WnrB9gmiM7ICUKP/6ELhXj5y6vn4RtADOuvQ6Kg3HtI=",,"OK","WnrB9gmiM7ICUKP/6ELhXj5y6vn4RtAD3R8fvmOzb5e6DJu55BWdbA==","B00000060566","OK",,,,,,,"Y","01907","NEON.PLA.D05.UNDE.01907","POGR4","Populus grandidentata Michx.","OK",,,18.2,15.5,,,,,"0000-0002-3030-0990","0000-0001-8511-9518",,
"2f9a718c-123b-446f-8b0a-1690415fcf28","UNDE_048.basePlot.cfc","D05","UNDE","UNDE_048","tower","mixedForest","WGS84",46.232136,-89.540445,20.1,526.9,0.18,"NEON.DOC.001024vF","2019-06-10T18:50Z","2019-06-06",,"41","Woody individual","line launcher","WnrB9gmiM7KpD1x1EWe05a64bF9ByiTXuaNgyvfkCgk=",,"OK","WnrB9gmiM7KpD1x1EWe05a64bF9ByiTXs361Pm6nPVmvuEd/CiRRUQ==","B00000060564","OK",,,,,,,"Y","01602","NEON.PLA.D05.UNDE.01602","POTR5","Populus tremuloides Michx.","OK",,,10.8,,,,,,"0000-0002-3030-0990","0000-0001-8511-9518",,
"a1c3b953-e3be-477b-8250-59a4f90508d0","UNDE_048.basePlot.cfc","D05","UNDE","UNDE_048","tower","mixedForest","WGS84",46.232136,-89.540445,20.1,526.9,0.18,"NEON.DOC.001024vF","2019-06-10T19:13Z","2019-06-06",,"41","Woody individual","line launcher","WnrB9gmiM7ICUKP/6ELhXsEf57+R3R8X16FvbcPa00Q=",,"OK","WnrB9gmiM7ICUKP/6ELhXsEf57+R3R8Xzk/n+/7dsRNKPROmTF7CFw==","B00000060567","OK",,,,,,,"Y","05191","NEON.PLA.D05.UNDE.05191","POGR4","Populus grandidentata Michx.","OK",,,14.3,,,,,,"0000-0002-3030-0990","0000-0001-8511-9518",,
"d5717bfb-b1b3-44dc-a8d0-b34a1629b2e9","UNDE_048.basePlot.cfc","D05","UNDE","UNDE_048","tower","mixedForest","WGS84",46.232136,-89.540445,20.1,526.9,0.18,"NEON.DOC.001024vF","2019-06-10T19:53Z","2019-06-06",,"39","Woody individual","clippers","WnrB9gmiM7Iw/caom31wxIo8cHK251QTLQ25AGcqNdY=",,"OK","WnrB9gmiM7Iw/caom31wxIo8cHK251QTvy5ta3mjc7c=","B00000060577","OK",,,,,,,"Y","02242","NEON.PLA.D05.UNDE.02242","ABBA","Abies balsamea (L.) Mill.","OK",,,2.7,,,,,,"0000-0002-3030-0990","0000-0001-8511-9518",,
"9e43cbd9-7545-4761-a8fa-5f2f14c9c669","UNDE_048.basePlot.cfc","D05","UNDE","UNDE_048","tower","mixedForest","WGS84",46.232136,-89.540445,20.1,526.9,0.18,"NEON.DOC.001024vF","2019-06-10T20:30Z","2019-06-06",,"41","Woody individual","line launcher","WnrB9gmiM7L4lliF+zuO3aTksjTiYDu0dH1GELAoleg=",,"OK","WnrB9gmiM7L4lliF+zuO3aTksjTiYDu06O0vAC3EIrg=","B00000060578","OK",,,,,,,"Y","01511","NEON.PLA.D05.UNDE.01511","BEPA","Betula papyrifera Marshall","Other damage",,,6.0,,,,,,"0000-0002-3030-0990","0000-0001-8511-9518","Old and dying",
"a3e9f1c7-3c26-4aff-a76b-fb76ddb75ea4","UNDE_037.basePlot.cfc","D05","UNDE","UNDE_037","tower","mixedForest","WGS84",46.231276,-89.541941,20.2,524.4,0.21,"NEON.DOC.001024vF","2019-06-11T15:00Z","2019-06-06",,"41","Woody individual","line launcher","WnrB9gmiM7KhecQkNUNsj1iFGtK9TuT+zZlioCdTWHo=",,"OK","WnrB9gmiM7KhecQkNUNsj1iFGtK9TuT+uv1dJQXwyf0=","B00000060565","OK",,,,,,,"Y","04174","NEON.PLA.D05.UNDE.04174","ACRU","Acer rubrum L.","OK",,,18.3,,,,,,"0000-0002-3030-0990","0000-0001-6914-6364","Used data sheet - no time recorded so time is approximation",
"eac9d837-b1e7-48b1-baa2-3323b32648f7","UNDE_037.basePlot.cfc","D05","UNDE","UNDE_037","tower","mixedForest","WGS84",46.231276,-89.541941,20.2,524.4,0.21,"NEON.DOC.001024vF","2019-06-11T16:30Z","2019-06-06",,"39","Woody individual","clippers","WnrB9gmiM7JsbhQMGveVfxj0b1j/D16fQ2kkA037WD0=",,"OK","WnrB9gmiM7JsbhQMGveVfxj0b1j/D16f3CChoOpfAV0=","B00000060568","OK",,,,,,,"Y","03533","NEON.PLA.D05.UNDE.03533","ABBA","Abies balsamea (L.) Mill.","OK",,,2.7,,,,,,"0000-0002-3030-0990","0000-0001-6914-6364","Used data sheet - no time recorded so time is approximation",
"83f30b95-8ba0-48df-80f6-d2b25cf3ab77","UNDE_037.basePlot.cfc","D05","UNDE","UNDE_037","tower","mixedForest","WGS84",46.231276,-89.541941,20.2,524.4,0.21,"NEON.DOC.001024vF","2019-06-11T17:30Z","2019-06-06",,"39","Woody individual","line launcher","WnrB9gmiM7KhecQkNUNsj01BJbBxi9zdXPwVPk+KNeI=",,"OK","WnrB9gmiM7KhecQkNUNsj01BJbBxi9zdsnV2mFF2SIs=","B00000060580","OK",,,,,,,"Y","01836","NEON.PLA.D05.UNDE.01836","ACRU","Acer rubrum L.","OK",,,13.7,,,,,,"0000-0002-3030-0990","0000-0001-6914-6364","Used data sheet - no time recorded so time is approximation",
"56e7dcb0-4d18-4d74-94f6-f797b08d445b","UNDE_037.basePlot.cfc","D05","UNDE","UNDE_037","tower","mixedForest","WGS84",46.231276,-89.541941,20.2,524.4,0.21,"NEON.DOC.001024vF","2019-06-11T18:00Z","2019-06-06",,"39","Woody individual","clippers","WnrB9gmiM7KJHBAN1/lz5K1r2bMAk/nO47djhz52+yk=",,"OK","WnrB9gmiM7KJHBAN1/lz5K1r2bMAk/nOd9segoDGYNo=","B00000060575","OK",,,,,,,"Y","00306","NEON.PLA.D05.UNDE.00306","OSVI","Ostrya virginiana (Mill.) K. Koch","OK",,,4.8,,,,,,"0000-0002-3030-0990","0000-0001-6914-6364","Used data sheet - no time recorded so time is approximation. Threw line over by branch to pull down and clip.",
"454bb1bd-d195-4f70-b382-4fce998be9dd","UNDE_045.basePlot.cfc","D05","UNDE","UNDE_045","tower","deciduousForest","WGS84",46.233222,-89.539694,20.3,521.2,0.40,"NEON.DOC.001024vF","2019-06-11T20:15Z","2019-06-06",,"39","Woody individual","line launcher","WnrB9gmiM7Iau2UWhPn7A3SqKlCDDZxh4gC4rrCz4fI=",,"OK","WnrB9gmiM7Iau2UWhPn7A3SqKlCDDZxhj4fNpoMlZ41bwaPk+VlSLA==","B00000060579","OK",,,,,,,"Y","09682","NEON.PLA.D05.UNDE.09682","POGR4","Populus grandidentata Michx.","OK",,,15.0,,,,,,"0000-0001-6914-6364","0000-0002-3030-0990","Used data sheet - no time recorded so time is approximation",
