uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,ligninSampleID,ligninSampleBarcode,collectDate,analysisDate,analyticalRepNumber,dryMass,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"d0717346-56de-4423-86e4-f7b101d08257","UNDE_048.basePlot.cfc","D05","UNDE","UNDE_048","tower","WnrB9gmiM7ICUKP/6ELhXj5y6vn4RtADOuvQ6Kg3HtI=",,"WnrB9gmiM7ICUKP/6ELhXj5y6vn4RtADEIsTSVcjawaYXqDH0/A/+w==","A00000077025","2019-06-10T18:08Z","2019-12-10",1,0.494,14.88,10.08,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"b173a40f-68cf-4ed3-9839-33eba5265739","UNDE_048.basePlot.cfc","D05","UNDE","UNDE_048","tower","WnrB9gmiM7KpD1x1EWe05a64bF9ByiTXuaNgyvfkCgk=",,"WnrB9gmiM7KpD1x1EWe05a64bF9ByiTXgnkiacQE08Zjf32BRA7ZSA==","A00000077006","2019-06-10T18:50Z","2019-12-10",1,0.488,13.36,14.17,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"b3bedb8a-e54e-4d66-be7a-7d47086c7250","UNDE_048.basePlot.cfc","D05","UNDE","UNDE_048","tower","WnrB9gmiM7ICUKP/6ELhXsEf57+R3R8X16FvbcPa00Q=",,"WnrB9gmiM7ICUKP/6ELhXsEf57+R3R8Xr32fdYsMKlIoV1npyl6MgA==","A00000076988","2019-06-10T19:13Z","2019-12-10",1,0.453,13.39,8.80,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"0147c146-9c17-40e7-a703-7fb75fd07bc0","UNDE_048.basePlot.cfc","D05","UNDE","UNDE_048","tower","WnrB9gmiM7Iw/caom31wxIo8cHK251QTLQ25AGcqNdY=",,"WnrB9gmiM7Iw/caom31wxIo8cHK251QT+TnsnKYgolY=","A00000076677","2019-06-10T19:53Z","2019-12-10",1,0.458,9.50,9.34,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"70d8a461-b634-47d2-b2b8-8d83741458ca","UNDE_048.basePlot.cfc","D05","UNDE","UNDE_048","tower","WnrB9gmiM7L4lliF+zuO3aTksjTiYDu0dH1GELAoleg=",,"WnrB9gmiM7L4lliF+zuO3aTksjTiYDu0t4x457BOSn0=","A00000076968","2019-06-10T20:30Z","2019-12-10",1,0.471,6.05,6.64,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"9e8c37f9-f9af-424c-9361-cb0aad17c3e4","UNDE_037.basePlot.cfc","D05","UNDE","UNDE_037","tower","WnrB9gmiM7KhecQkNUNsj1iFGtK9TuT+zZlioCdTWHo=",,"WnrB9gmiM7KhecQkNUNsj1iFGtK9TuT+1iT+VF5mOFY=","A00000076994","2019-06-11T15:00Z","2019-12-10",1,0.470,5.44,7.52,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"7b619922-0a18-446f-bcf9-66917df216f4","UNDE_037.basePlot.cfc","D05","UNDE","UNDE_037","tower","WnrB9gmiM7JsbhQMGveVfxj0b1j/D16fQ2kkA037WD0=",,"WnrB9gmiM7JsbhQMGveVfxj0b1j/D16fS8aBWwM7w4k=","A00000076997","2019-06-11T16:30Z","2019-12-10",1,0.470,11.75,9.93,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"f1112c97-cfa3-43fb-8f0d-6d4c768e8168","UNDE_037.basePlot.cfc","D05","UNDE","UNDE_037","tower","WnrB9gmiM7KhecQkNUNsj01BJbBxi9zdXPwVPk+KNeI=",,"WnrB9gmiM7KhecQkNUNsj01BJbBxi9zdr8kNoiOUUis=","A00000077000","2019-06-11T17:30Z","2019-12-10",1,0.498,4.47,6.12,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"0fd0a505-3566-46a9-bd44-9ab3a342ae3e","UNDE_037.basePlot.cfc","D05","UNDE","UNDE_037","tower","WnrB9gmiM7KJHBAN1/lz5K1r2bMAk/nO47djhz52+yk=",,"WnrB9gmiM7KJHBAN1/lz5K1r2bMAk/nONNR9ouv/0aA=","A00000077003","2019-06-11T18:00Z","2019-12-10",1,0.462,7.12,9.96,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"7e862994-34be-49e6-b3a9-b85c8e27eeba","UNDE_045.basePlot.cfc","D05","UNDE","UNDE_045","tower","WnrB9gmiM7Iau2UWhPn7A3SqKlCDDZxh4gC4rrCz4fI=",,"WnrB9gmiM7Iau2UWhPn7A3SqKlCDDZxhC6J3mKC0j9t82IXobhEWyg==","A00000076975","2019-06-11T20:15Z","2019-12-10",1,0.451,15.19,8.14,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"baf99e6a-f328-4009-811d-0f3e7ee53719","UNDE_045.basePlot.cfc","D05","UNDE","UNDE_045","tower","WnrB9gmiM7JNOvgyikBPNc44yPoPFdHCens2PM37XGE=",,"WnrB9gmiM7JNOvgyikBPNc44yPoPFdHChBkIfQziweg=","A00000076977","2019-06-11T20:45Z","2019-12-10",1,0.480,16.41,10.66,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"60f93e2d-85fb-4864-813e-9d69972f7045","UNDE_043.basePlot.cfc","D05","UNDE","UNDE_043","tower","WnrB9gmiM7IeVjy3t6E1q0/RS8xGUqrxRonELKPB9Xg=",,"WnrB9gmiM7IeVjy3t6E1q0/RS8xGUqrxSGFDzI5sMsA=","A00000076983","2019-06-12T19:41Z","2019-12-10",1,0.468,9.50,9.99,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"f8a38ba8-a078-46e2-914d-10c73308507e","UNDE_043.basePlot.cfc","D05","UNDE","UNDE_043","tower","WnrB9gmiM7LkvBDTDNfPBgXnhvQsy/vla9JsJuw0jrQ=",,"WnrB9gmiM7LkvBDTDNfPBgXnhvQsy/vlD+NOA1TMQkM=","A00000076964","2019-06-12T20:45Z","2019-12-10",1,0.495,5.17,8.29,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
