uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,cnSampleID,cnSampleCode,collectDate,analysisDate,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"9fa09dd6-ff05-49f7-a17d-6fe1efe4a2f9","MLBS_061.basePlot.cfc","D07","MLBS","MLBS_061","tower","gv/1/Di3XvFTqEI7hs3lyU6EUYKptnufiYcmBMGcKtM=","A00000012510","gv/1/Di3XvFTqEI7hs3lyU6EUYKptnuf3lZJIIzRm2s=","A00000043731","2018-06-18T13:16Z","2018-11-02","N",-3.0,-28.0,2.33,47.59,20.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Delta V with Thermo Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"1844eb6d-e9ba-49cb-9cfd-73cdf06bbe95","MLBS_061.basePlot.cfc","D07","MLBS","MLBS_061","tower","gv/1/Di3XvHs3TiUgQrYnylvV/FrlVzvg2kcspFw1bw=","A00000012528","gv/1/Di3XvHs3TiUgQrYnylvV/FrlVzvPzSlAcziA1M=","A00000043697","2018-06-18T14:27Z","2018-11-02","N",-4.0,-28.7,1.95,52.29,26.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Delta V with Thermo Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"99105d52-6a0d-43f5-aa26-b1de39b31917","MLBS_009.basePlot.cfc","D07","MLBS","MLBS_009","distributed","gv/1/Di3XvGwPyjkavET/K7FvPj0qjUQYGzjC3Kk2MA=","A00000012198","gv/1/Di3XvGwPyjkavET/K7FvPj0qjUQNFx6eqbIVyk=","A00000043696","2018-06-18T18:35Z","2018-11-02","N",-2.0,-28.1,2.18,50.57,23.2,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Delta V with Thermo Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"d0aafcae-1506-4334-8554-fd5827ea9b8d","MLBS_009.basePlot.cfc","D07","MLBS","MLBS_009","distributed","gv/1/Di3XvGwPyjkavET/OtGBjnV7ZW8FYSc6il2NZA=","A00000012261","gv/1/Di3XvGwPyjkavET/OtGBjnV7ZW8SLloU31EvBk=","A00000043662","2018-06-18T18:59Z","2018-11-02","N",-1.7,-27.2,2.29,50.55,22.1,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Delta V with Thermo Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"47eadbe0-e0ff-42fb-a015-967d8e824417","MLBS_009.basePlot.cfc","D07","MLBS","MLBS_009","distributed","gv/1/Di3XvEZ32fKrFrcU8wetWGgE6zT0F6OY71J6HU=","A00000012526","gv/1/Di3XvEZ32fKrFrcU8wetWGgE6zTAJGNeYKeTOE=","A00000043628","2018-06-18T19:40Z","2018-11-02","N",-1.7,-27.8,2.03,50.29,24.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Delta V with Thermo Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"924a86ae-4b1d-453c-9f70-e4fc4227691a","MLBS_061.basePlot.cfc","D07","MLBS","MLBS_061","tower","gv/1/Di3XvHFA0Y+9+F4I7qfOIUNfjfxi/Hn7wGjyQg=","A00000012211","gv/1/Di3XvHFA0Y+9+F4I7qfOIUNfjfxE584USAs868=","A00000043630","2018-06-18T20:43Z","2018-11-02","N",-2.6,-29.0,2.18,50.76,23.3,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Delta V with Thermo Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"1bd3ab69-7f32-4a67-9d52-bab5cab7a15c","MLBS_063.basePlot.cfc","D07","MLBS","MLBS_063","tower","gv/1/Di3XvEJrFEmNh8BI0ZK2sqPOPYFrhBSRC5YC8s=","A00000012511","gv/1/Di3XvEJrFEmNh8BI0ZK2sqPOPYF7CakVCe9WfE=","A00000043629","2018-06-19T11:43Z","2018-11-02","N",-2.6,-28.7,2.78,51.65,18.6,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Delta V with Thermo Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"625c5553-ee8a-4f36-836b-33019eefd75c","MLBS_063.basePlot.cfc","D07","MLBS","MLBS_063","tower","gv/1/Di3XvFIAAmccByPPzLrCbRZO/U55h9TSSDCP3A=","A00000012529","gv/1/Di3XvFIAAmccByPPzLrCbRZO/U5Y/aQvqRzjN8=","A00000043730","2018-06-19T12:26Z","2018-11-02","N",-2.5,-27.8,2.26,51.67,22.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Delta V with Thermo Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"113b5069-2c69-4fc5-8867-3b7afa1d611d","MLBS_064.basePlot.cfc","D07","MLBS","MLBS_064","tower","gv/1/Di3XvHdPsxwxTV2La8MDi4DOgmIxQ48I4EIoJ0=","A00000012213","gv/1/Di3XvHdPsxwxTV2La8MDi4DOgmIVDJp8zQPWLY=","A00000043699","2018-06-19T15:23Z","2018-11-02","N",-2.4,-28.1,1.99,52.32,26.3,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Delta V with Thermo Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"4f810a6a-8a9d-428b-bf8c-ee518bd75888","MLBS_064.basePlot.cfc","D07","MLBS","MLBS_064","tower","gv/1/Di3XvG/XeKiDq533uNglmG8SbKPUanvIM72QHg=","A00000012512","gv/1/Di3XvG/XeKiDq533uNglmG8SbKPHLmO6s6d1zc=","A00000043665","2018-06-19T17:01Z","2018-11-02","N",-2.5,-27.7,2.47,50.70,20.6,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Delta V with Thermo Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
