uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,collectDate,ovenStartDate,ovenEndDate,sampleCondition,cnSampleID,cnSampleCode,ligninSampleID,ligninSampleBarcode,archiveSampleID,archiveSampleCode,archiveMass,toxicodendronPossible,processedBy,remarks,dataQF
"646c25e2-cecc-4aea-bfbf-6dc12c333720","MLBS_061.basePlot.cfc","D07","MLBS","MLBS_061","tower","gv/1/Di3XvFTqEI7hs3lyU6EUYKptnufiYcmBMGcKtM=","A00000012510","2018-06-18T13:16Z","2018-06-21T21:30Z","2018-07-25T14:40Z","OK","gv/1/Di3XvFTqEI7hs3lyU6EUYKptnuf3lZJIIzRm2s=","A00000043731","gv/1/Di3XvFTqEI7hs3lyU6EUYKptnufTlPrii9HCZo=","A00000043748","gv/1/Di3XvFTqEI7hs3lyU6EUYKptnuf9ejD9GP/GfI=","A00000043720",,,"lsmith@battelleecology.org",,
"8032e35b-8b3e-4c86-8bc8-9006473268ce","MLBS_061.basePlot.cfc","D07","MLBS","MLBS_061","tower","gv/1/Di3XvHs3TiUgQrYnylvV/FrlVzvg2kcspFw1bw=","A00000012528","2018-06-18T14:27Z","2018-06-21T21:30Z","2018-07-25T14:22Z","OK","gv/1/Di3XvHs3TiUgQrYnylvV/FrlVzvPzSlAcziA1M=","A00000043697","gv/1/Di3XvHs3TiUgQrYnylvV/FrlVzvfcJbtBd7vXo=","A00000043714","gv/1/Di3XvHs3TiUgQrYnylvV/FrlVzvEJQ5TmC1XJw=","A00000043737",,,"lsmith@battelleecology.org",,
"2f4d5f85-ab7c-4274-945e-ef3d9009425b","MLBS_009.basePlot.cfc","D07","MLBS","MLBS_009","distributed","gv/1/Di3XvGwPyjkavET/K7FvPj0qjUQYGzjC3Kk2MA=","A00000012198","2018-06-18T18:35Z","2018-06-21T21:30Z","2018-07-25T13:55Z","OK","gv/1/Di3XvGwPyjkavET/K7FvPj0qjUQNFx6eqbIVyk=","A00000043696","gv/1/Di3XvGwPyjkavET/K7FvPj0qjUQb+Swdf7uKNY=","A00000043713","gv/1/Di3XvGwPyjkavET/K7FvPj0qjUQ6WVo81vE8p0=","A00000043736",,,"lsmith@battelleecology.org",,
"ed98d0d0-7340-45e2-bf59-7e5af6af9539","MLBS_009.basePlot.cfc","D07","MLBS","MLBS_009","distributed","gv/1/Di3XvGwPyjkavET/OtGBjnV7ZW8FYSc6il2NZA=","A00000012261","2018-06-18T18:59Z","2018-06-21T21:30Z","2018-07-25T13:17Z","OK","gv/1/Di3XvGwPyjkavET/OtGBjnV7ZW8SLloU31EvBk=","A00000043662","gv/1/Di3XvGwPyjkavET/OtGBjnV7ZW8WcCcj9nfJes=","A00000043679","gv/1/Di3XvGwPyjkavET/OtGBjnV7ZW8gegqoe9K3rU=","A00000043753",,,"lsmith@battelleecology.org",,
"09750809-e78d-4f11-9a9b-dd26ef1503bc","MLBS_009.basePlot.cfc","D07","MLBS","MLBS_009","distributed","gv/1/Di3XvEZ32fKrFrcU8wetWGgE6zT0F6OY71J6HU=","A00000012526","2018-06-18T19:40Z","2018-06-21T21:30Z","2018-07-25T12:50Z","OK","gv/1/Di3XvEZ32fKrFrcU8wetWGgE6zTAJGNeYKeTOE=","A00000043628","gv/1/Di3XvEZ32fKrFrcU8wetWGgE6zTYZSAJksiLu8=","A00000043645","gv/1/Di3XvEZ32fKrFrcU8wetWGgE6zTcG5q6qG1IxA=","A00000043635",,,"lsmith@battelleecology.org",,
"083b1062-0ee0-4938-bafd-a48f63c7cd94","MLBS_061.basePlot.cfc","D07","MLBS","MLBS_061","tower","gv/1/Di3XvHFA0Y+9+F4I7qfOIUNfjfxi/Hn7wGjyQg=","A00000012211","2018-06-18T20:43Z","2018-06-21T21:30Z","2018-07-25T15:01Z","OK","gv/1/Di3XvHFA0Y+9+F4I7qfOIUNfjfxE584USAs868=","A00000043630","gv/1/Di3XvHFA0Y+9+F4I7qfOIUNfjfx8W3Y8OaPZw0=","A00000043647","gv/1/Di3XvHFA0Y+9+F4I7qfOIUNfjfxl3tzINELoJo=","A00000043703",,,"lsmith@battelleecology.org",,
"505e6c54-9919-40f9-bdea-11f651417296","MLBS_063.basePlot.cfc","D07","MLBS","MLBS_063","tower","gv/1/Di3XvEJrFEmNh8BI0ZK2sqPOPYFrhBSRC5YC8s=","A00000012511","2018-06-19T11:43Z","2018-06-21T21:30Z","2018-07-25T17:22Z","OK","gv/1/Di3XvEJrFEmNh8BI0ZK2sqPOPYF7CakVCe9WfE=","A00000043629","gv/1/Di3XvEJrFEmNh8BI0ZK2sqPOPYFxaxWUo7nXbY=","A00000043646","gv/1/Di3XvEJrFEmNh8BI0ZK2sqPOPYFCF8CZAYkWYI=","A00000043636",,,"lsmith@battelleecology.org",,
"0801f6bf-b486-4e63-a479-bc5d6155e976","MLBS_063.basePlot.cfc","D07","MLBS","MLBS_063","tower","gv/1/Di3XvFIAAmccByPPzLrCbRZO/U55h9TSSDCP3A=","A00000012529","2018-06-19T12:26Z","2018-06-21T21:30Z","2018-07-25T17:01Z","OK","gv/1/Di3XvFIAAmccByPPzLrCbRZO/U5Y/aQvqRzjN8=","A00000043730","gv/1/Di3XvFIAAmccByPPzLrCbRZO/U5yE9he6fR0gE=","A00000043747","gv/1/Di3XvFIAAmccByPPzLrCbRZO/U5W9X0mRGD7LA=","A00000043653",,,"lsmith@battelleecology.org",,
"1b6fc16a-a25f-443a-9325-e98e80e3b9c7","MLBS_064.basePlot.cfc","D07","MLBS","MLBS_064","tower","gv/1/Di3XvHdPsxwxTV2La8MDi4DOgmIxQ48I4EIoJ0=","A00000012213","2018-06-19T15:23Z","2018-06-21T21:30Z","2018-07-25T16:47Z","OK","gv/1/Di3XvHdPsxwxTV2La8MDi4DOgmIVDJp8zQPWLY=","A00000043699","gv/1/Di3XvHdPsxwxTV2La8MDi4DOgmI334Og84U5eQ=","A00000043716","gv/1/Di3XvHdPsxwxTV2La8MDi4DOgmI0mkzK9nWbzc=","A00000043670",,,"lsmith@battelleecology.org",,
"4b575fd0-525e-44bf-8951-c1bc82818522","MLBS_064.basePlot.cfc","D07","MLBS","MLBS_064","tower","gv/1/Di3XvG/XeKiDq533uNglmG8SbKPUanvIM72QHg=","A00000012512","2018-06-19T17:01Z","2018-06-21T21:30Z","2018-07-25T16:29Z","OK","gv/1/Di3XvG/XeKiDq533uNglmG8SbKPHLmO6s6d1zc=","A00000043665","gv/1/Di3XvG/XeKiDq533uNglmG8SbKPZzsaXYoyoDQ=","A00000043682","gv/1/Di3XvG/XeKiDq533uNglmG8SbKPJvnIBwu+b8Y=","A00000043687",,,"lsmith@battelleecology.org",,
