uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,chlorophyllSampleID,chlorophyllSampleCode,collectDate,sampleCondition,extractionStartDate,extractionLength,freshMass,solventVolume,analyticalRepNumber,extractChlAConc,extractChlBConc,extractCarotConc,relativeAccuracyScale,handlingQF,measurementQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"b3f7992b-d6f5-40a9-af39-991fe9dcb7fa","MLBS_061.basePlot.cfc","D07","MLBS","MLBS_061","tower","gv/1/Di3XvFTqEI7hs3lyU6EUYKptnufiYcmBMGcKtM=","A00000012510","gv/1/Di3XvFTqEI7hs3lyU6EUYKptnuf3QnI5GgcBuQ=","B00000025502","2018-06-18T13:16Z","OK","2018-06-27",48,0.0660,20,1,4.54,1.04,1.21,"A","OK","OK",,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","oRIgwAyNbI9p3dxUK5sY7g==","oRIgwAyNbI9p3dxUK5sY7g==",
"42d857d3-e77e-4d51-856f-a1edd6cade12","MLBS_061.basePlot.cfc","D07","MLBS","MLBS_061","tower","gv/1/Di3XvHs3TiUgQrYnylvV/FrlVzvg2kcspFw1bw=","A00000012528","gv/1/Di3XvHs3TiUgQrYnylvV/FrlVzvXiMBXMkQ8xQ=","B00000025489","2018-06-18T14:27Z","OK","2018-06-27",48,0.0680,20,1,6.36,1.81,1.82,"A","OK","OK",,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","oRIgwAyNbI9p3dxUK5sY7g==","oRIgwAyNbI9p3dxUK5sY7g==",
"018c4a44-c6db-4bfd-854e-05eafe691c93","MLBS_009.basePlot.cfc","D07","MLBS","MLBS_009","distributed","gv/1/Di3XvGwPyjkavET/K7FvPj0qjUQYGzjC3Kk2MA=","A00000012198","gv/1/Di3XvGwPyjkavET/K7FvPj0qjUQ2D1Wf0ukTww=","B00000025518","2018-06-18T18:35Z","OK","2018-06-27",48,0.0700,20,1,3.19,0.83,0.89,"A","OK","OK",,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","oRIgwAyNbI9p3dxUK5sY7g==","oRIgwAyNbI9p3dxUK5sY7g==",
"2a1ae746-36c3-4553-95c6-e1f8661d94e4","MLBS_009.basePlot.cfc","D07","MLBS","MLBS_009","distributed","gv/1/Di3XvGwPyjkavET/OtGBjnV7ZW8FYSc6il2NZA=","A00000012261","gv/1/Di3XvGwPyjkavET/OtGBjnV7ZW8WAR1NwrlRU8=","B00000025504","2018-06-18T18:59Z","OK","2018-06-27",48,0.0670,20,1,4.79,1.25,1.28,"A","OK","OK",,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","oRIgwAyNbI9p3dxUK5sY7g==","oRIgwAyNbI9p3dxUK5sY7g==",
"b0180027-4399-44c7-ae74-73b8ed5a81aa","MLBS_009.basePlot.cfc","D07","MLBS","MLBS_009","distributed","gv/1/Di3XvEZ32fKrFrcU8wetWGgE6zT0F6OY71J6HU=","A00000012526","gv/1/Di3XvEZ32fKrFrcU8wetWGgE6zTYp8FlIrmHR0=","B00000025485","2018-06-18T19:40Z","OK","2018-06-27",48,0.0680,20,1,4.13,1.10,1.10,"A","OK","OK",,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","oRIgwAyNbI9p3dxUK5sY7g==","oRIgwAyNbI9p3dxUK5sY7g==",
"ceb8187d-79ad-4038-b9e2-25cdc6cc3646","MLBS_061.basePlot.cfc","D07","MLBS","MLBS_061","tower","gv/1/Di3XvHFA0Y+9+F4I7qfOIUNfjfxi/Hn7wGjyQg=","A00000012211","gv/1/Di3XvHFA0Y+9+F4I7qfOIUNfjfx0Nwi+Br9tOM=","B00000025516","2018-06-18T20:43Z","OK","2018-06-27",48,0.0660,20,1,6.85,1.83,1.76,"A","OK","OK",,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","oRIgwAyNbI9p3dxUK5sY7g==","oRIgwAyNbI9p3dxUK5sY7g==",
"29d0974b-8fcb-4f96-99f4-aeb06ffd6979","MLBS_063.basePlot.cfc","D07","MLBS","MLBS_063","tower","gv/1/Di3XvEJrFEmNh8BI0ZK2sqPOPYFrhBSRC5YC8s=","A00000012511","gv/1/Di3XvEJrFEmNh8BI0ZK2sqPOPYFD4p5Xshy44o=","B00000025501","2018-06-19T11:43Z","OK","2018-06-27",48,0.0660,20,1,5.01,1.20,1.27,"A","OK","OK",,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","oRIgwAyNbI9p3dxUK5sY7g==","oRIgwAyNbI9p3dxUK5sY7g==",
"4a90a7c3-fab7-4560-ac17-459b777e2a5e","MLBS_063.basePlot.cfc","D07","MLBS","MLBS_063","tower","gv/1/Di3XvFIAAmccByPPzLrCbRZO/U55h9TSSDCP3A=","A00000012529","gv/1/Di3XvFIAAmccByPPzLrCbRZO/U5Xl0831/OFEY=","B00000025490","2018-06-19T12:26Z","OK","2018-06-27",48,0.0650,20,1,4.53,1.07,1.20,"A","OK","OK",,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","oRIgwAyNbI9p3dxUK5sY7g==","oRIgwAyNbI9p3dxUK5sY7g==",
"c4db27ff-0844-4c37-8c7d-2500ed6a57a0","MLBS_064.basePlot.cfc","D07","MLBS","MLBS_064","tower","gv/1/Di3XvHdPsxwxTV2La8MDi4DOgmIxQ48I4EIoJ0=","A00000012213","gv/1/Di3XvHdPsxwxTV2La8MDi4DOgmIQU49BM0Q5to=","B00000025514","2018-06-19T15:23Z","OK","2018-06-27",48,0.0660,20,1,7.28,1.94,1.95,"A","OK","OK",,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","oRIgwAyNbI9p3dxUK5sY7g==","oRIgwAyNbI9p3dxUK5sY7g==",
"8418cfea-388e-4ac0-85e8-db01ae37aed2","MLBS_064.basePlot.cfc","D07","MLBS","MLBS_064","tower","gv/1/Di3XvG/XeKiDq533uNglmG8SbKPUanvIM72QHg=","A00000012512","gv/1/Di3XvG/XeKiDq533uNglmG8SbKPXwmi/1ZutoQ=","B00000025500","2018-06-19T17:01Z","OK","2018-06-27",48,0.0630,20,1,7.07,1.88,1.66,"A","OK","OK",,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","oRIgwAyNbI9p3dxUK5sY7g==","oRIgwAyNbI9p3dxUK5sY7g==",
