uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,ligninSampleID,ligninSampleBarcode,collectDate,analysisDate,analyticalRepNumber,dryMass,digestVolume,foliarPhosphorusConc,foliarPotassiumConc,foliarCalciumConc,foliarMagnesiumConc,foliarSulfurConc,foliarManganeseConc,foliarIronConc,foliarCopperConc,foliarBoronConc,foliarZincConc,foliarPhosphorusQF,foliarPotassiumQF,foliarCalciumQF,foliarMagnesiumQF,foliarSulfurQF,foliarManganeseQF,foliarIronQF,foliarCopperQF,foliarBoronQF,foliarZincQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"e778508d-2860-4932-ade2-c5378bcfa9f9","MLBS_061.basePlot.cfc","D07","MLBS","MLBS_061","tower","gv/1/Di3XvFTqEI7hs3lyU6EUYKptnufiYcmBMGcKtM=","A00000012510","gv/1/Di3XvFTqEI7hs3lyU6EUYKptnufTlPrii9HCZo=","A00000043748","2018-06-18T13:16Z","2020-02-10",1,0.204,25,0.200,1.210,0.388,0.093,0.173,762.6,48.8,9.9,28.1,20.4,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"64a087ba-a50b-428e-a85d-99e38d81bd11","MLBS_061.basePlot.cfc","D07","MLBS","MLBS_061","tower","gv/1/Di3XvHs3TiUgQrYnylvV/FrlVzvg2kcspFw1bw=","A00000012528","gv/1/Di3XvHs3TiUgQrYnylvV/FrlVzvfcJbtBd7vXo=","A00000043714","2018-06-18T14:27Z","2020-02-10",1,0.199,25,0.170,0.938,0.368,0.177,0.127,527.9,33.5,5.2,16.8,26.8,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"4ce84882-2e48-4d7e-8b61-23d3db4d410e","MLBS_009.basePlot.cfc","D07","MLBS","MLBS_009","distributed","gv/1/Di3XvGwPyjkavET/K7FvPj0qjUQYGzjC3Kk2MA=","A00000012198","gv/1/Di3XvGwPyjkavET/K7FvPj0qjUQb+Swdf7uKNY=","A00000043713","2018-06-18T18:35Z","2020-02-10",1,0.196,25,0.148,1.200,0.550,0.113,0.132,2930.0,34.0,6.3,26.2,24.8,"OK","OK","OK","OK","OK","sample value outlier - soil contamination","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"1e45c984-5139-41a8-8b62-fdfb153e7ff9","MLBS_009.basePlot.cfc","D07","MLBS","MLBS_009","distributed","gv/1/Di3XvGwPyjkavET/OtGBjnV7ZW8FYSc6il2NZA=","A00000012261","gv/1/Di3XvGwPyjkavET/OtGBjnV7ZW8WcCcj9nfJes=","A00000043679","2018-06-18T18:59Z","2020-02-10",1,0.199,25,0.190,1.359,0.699,0.168,0.153,4325.0,46.4,8.0,29.3,32.8,"OK","OK","OK","OK","OK","sample value outlier - soil contamination","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"dc9fe0ff-cbff-4fdd-bc50-0210b8a69c12","MLBS_009.basePlot.cfc","D07","MLBS","MLBS_009","distributed","gv/1/Di3XvEZ32fKrFrcU8wetWGgE6zT0F6OY71J6HU=","A00000012526","gv/1/Di3XvEZ32fKrFrcU8wetWGgE6zTYZSAJksiLu8=","A00000043645","2018-06-18T19:40Z","2020-02-10",1,0.198,25,0.179,1.241,0.328,0.094,0.134,1432.0,25.7,12.4,32.7,17.9,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"48bddf5e-c6d6-41f8-89f8-8e55dc017a57","MLBS_061.basePlot.cfc","D07","MLBS","MLBS_061","tower","gv/1/Di3XvHFA0Y+9+F4I7qfOIUNfjfxi/Hn7wGjyQg=","A00000012211","gv/1/Di3XvHFA0Y+9+F4I7qfOIUNfjfx8W3Y8OaPZw0=","A00000043647","2018-06-18T20:43Z","2020-02-10",1,0.203,25,0.188,1.208,0.896,0.273,0.130,1266.0,36.3,7.2,28.8,31.3,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"fa61b57f-1d62-48d7-87c1-a653315bc2df","MLBS_063.basePlot.cfc","D07","MLBS","MLBS_063","tower","gv/1/Di3XvEJrFEmNh8BI0ZK2sqPOPYFrhBSRC5YC8s=","A00000012511","gv/1/Di3XvEJrFEmNh8BI0ZK2sqPOPYFxaxWUo7nXbY=","A00000043646","2018-06-19T11:43Z","2020-02-10",1,0.198,25,0.184,0.916,0.550,0.142,0.174,1258.0,44.5,12.5,34.0,19.3,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"359179a3-1d81-42d4-be3c-88868c0e2a51","MLBS_063.basePlot.cfc","D07","MLBS","MLBS_063","tower","gv/1/Di3XvFIAAmccByPPzLrCbRZO/U55h9TSSDCP3A=","A00000012529","gv/1/Di3XvFIAAmccByPPzLrCbRZO/U5yE9he6fR0gE=","A00000043747","2018-06-19T12:26Z","2020-02-10",1,0.205,25,0.148,0.970,0.595,0.129,0.131,1695.0,32.8,6.5,28.8,21.6,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"9f225b56-0119-44fe-8c54-466b7b3be751","MLBS_064.basePlot.cfc","D07","MLBS","MLBS_064","tower","gv/1/Di3XvHdPsxwxTV2La8MDi4DOgmIxQ48I4EIoJ0=","A00000012213","gv/1/Di3XvHdPsxwxTV2La8MDi4DOgmI334Og84U5eQ=","A00000043716","2018-06-19T15:23Z","2020-02-10",1,0.199,25,0.170,0.969,0.398,0.124,0.118,917.8,29.8,6.4,19.9,23.3,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"6dcef45a-a968-42b2-9945-6abd93d52989","MLBS_064.basePlot.cfc","D07","MLBS","MLBS_064","tower","gv/1/Di3XvG/XeKiDq533uNglmG8SbKPUanvIM72QHg=","A00000012512","gv/1/Di3XvG/XeKiDq533uNglmG8SbKPZzsaXYoyoDQ=","A00000043682","2018-06-19T17:01Z","2020-02-10",1,0.199,25,0.200,1.075,0.606,0.155,0.148,2089.0,48.0,9.6,27.0,35.0,"OK","OK","OK","OK","OK","sample value outlier - soil contamination","OK","OK","OK","OK","Manganese than typical for plant material which is likely from dust contamination. Analyses were confirmed before reporting.","A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"677e17bb-b390-4fdc-a646-aeba003c6ec1","MLBS_064.basePlot.cfc","D07","MLBS","MLBS_064","tower","gv/1/Di3XvFqdJpFZdQ75VR4GtLQwkBqpjPJI36iV0E=","A00000012530","gv/1/Di3XvFqdJpFZdQ75VR4GtLQwkBqcdrIP84epwE=","A00000043648","2018-06-19T17:45Z","2020-02-10",1,0.201,25,0.197,0.936,0.788,0.161,0.133,1938.0,47.0,11.2,32.0,18.9,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"02ade2bf-8112-457d-a774-8fa96885d4be","MLBS_063.basePlot.cfc","D07","MLBS","MLBS_063","tower","gv/1/Di3XvH43usIH9/MyGpoLUN1vmKwyNhPYIONB68=","A00000012212","gv/1/Di3XvH43usIH9/MyGpoLUN1vmKw1tzlZ5nY16s=","A00000043680","2018-06-19T19:02Z","2020-02-10",1,0.196,25,0.223,1.365,1.183,0.363,0.153,2305.0,49.5,8.0,39.6,33.6,"OK","OK","OK","OK","OK","sample value outlier - soil contamination","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"1203a9a4-c04a-433d-8e0a-be4282a83198","MLBS_004.basePlot.cfc","D07","MLBS","MLBS_004","distributed","gv/1/Di3XvE8vLvbZ0C+NZd/S/k+JT5Gw4vmDjX9vQ0=","A00000012193","gv/1/Di3XvE8vLvbZ0C+NZd/S/k+JT5GGK74cy3mNzk=","A00000043674","2018-06-20T11:26Z","2020-02-10",1,0.203,25,0.130,0.868,0.571,0.129,0.154,1937.0,44.8,8.3,22.8,15.7,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"c4a7cff8-008f-4bd7-9d52-214aef4175d4","MLBS_004.basePlot.cfc","D07","MLBS","MLBS_004","distributed","gv/1/Di3XvGn0b286CZVHHZ1Rg3E13Vvgls/7NeCIKw=","A00000012245","gv/1/Di3XvGn0b286CZVHHZ1Rg3E13VvrA5hr8XuuT8=","A00000043640","2018-06-20T12:15Z","2020-02-10",1,0.200,25,0.129,0.815,0.475,0.140,0.125,1505.0,51.5,8.2,15.2,21.1,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"d96cabfb-cd5b-4f8f-bcba-c111c3b29a56","MLBS_004.basePlot.cfc","D07","MLBS","MLBS_004","distributed","gv/1/Di3XvEr5UL7fnWRP65dCrIiiByh0iOS8q3daxM=","A00000012517","gv/1/Di3XvEr5UL7fnWRP65dCrIiiByh6Kb6aqILGsQ=","A00000043741","2018-06-20T13:29Z","2020-02-10",1,0.201,25,0.118,1.374,0.501,0.129,0.152,1940.0,41.3,5.8,28.1,23.2,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"fad56150-478c-4a66-8a3c-72df92946165","MLBS_008.basePlot.cfc","D07","MLBS","MLBS_008","distributed","gv/1/Di3XvGiGQlUFc+uCU+P8T5wjxhbwZd+UbiTwic=","A00000012197","gv/1/Di3XvGiGQlUFc+uCU+P8T5wjxhbyKI0H2LgJhM=","A00000043677","2018-06-20T14:42Z","2020-02-10",1,0.202,25,0.156,1.324,0.868,0.302,0.221,1210.0,56.8,10.6,11.2,17.2,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"59bab68a-cac2-4404-8774-21c626c5a0a9","MLBS_008.basePlot.cfc","D07","MLBS","MLBS_008","distributed","gv/1/Di3XvGiGQlUFc+uCZpbk98VpY36w3dAjRxIEzw=","A00000012248","gv/1/Di3XvGiGQlUFc+uCZpbk98VpY36/GXumaFd0Ek=","A00000043643","2018-06-20T15:10Z","2020-02-10",1,0.201,25,0.164,1.163,0.980,0.307,0.197,1433.0,44.5,11.3,11.1,23.8,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
