uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,collectDate,aopCollectDate,samplingImpractical,subplotID,sampleType,samplingMethod,sampleID,sampleCode,sampleCondition,chlorophyllSampleID,chlorophyllSampleCode,chlorophyllSampleCondition,clipCellNumber,clipID,clipLength,clipWidth,percentCoverClip,toxicodendronPossible,vstTag,tagID,individualID,taxonID,scientificName,plantStatus,canopyPosition,canopyStatus,subsample1Height,subsample2Height,subsample3Height,crownPolygonID,crownPolygonConfidence,shapefileID,collectedBy,recordedBy,remarks,dataQF
"baedebaf-a689-4f09-8639-480d47c223b2","MLBS_061.basePlot.cfc","D07","MLBS","MLBS_061","tower","deciduousForest","WGS84",37.376631,-80.519800,20.1,1169.0,0.22,"NEON.DOC.001024vE","2018-06-18T13:16Z","2018-06-15",,"41","Woody individual","line launcher","gv/1/Di3XvFTqEI7hs3lyU6EUYKptnufiYcmBMGcKtM=","A00000012510",,"gv/1/Di3XvFTqEI7hs3lyU6EUYKptnuf3QnI5GgcBuQ=","B00000025502",,,,,,,,"Y","00197","NEON.PLA.D07.MLBS.00197","QUAL","Quercus alba L.","Insect damaged",,,14.2,13.9,,,,,"mcumberland@battelleecology.org","agifford@battelleecology.org",,
"9d4f2014-b507-4be7-819e-bdf414b58400","MLBS_061.basePlot.cfc","D07","MLBS","MLBS_061","tower","deciduousForest","WGS84",37.376631,-80.519800,20.1,1169.0,0.22,"NEON.DOC.001024vE","2018-06-18T14:27Z","2018-06-15",,"41","Woody individual","line launcher","gv/1/Di3XvHs3TiUgQrYnylvV/FrlVzvg2kcspFw1bw=","A00000012528",,"gv/1/Di3XvHs3TiUgQrYnylvV/FrlVzvXiMBXMkQ8xQ=","B00000025489",,,,,,,,"Y","00183","NEON.PLA.D07.MLBS.00183","ACRU","Acer rubrum L.","OK",,,13.4,13.3,,,,,"mcumberland@battelleecology.org","agifford@battelleecology.org",,
"bc4f70d4-ff3f-4d91-8329-b3d99c3cfbda","MLBS_009.basePlot.cfc","D07","MLBS","MLBS_009","distributed","deciduousForest","WGS84",37.374434,-80.518487,20.2,1177.6,0.22,"NEON.DOC.001024vE","2018-06-18T18:35Z","2018-06-15",,"31","Woody individual","line launcher","gv/1/Di3XvGwPyjkavET/K7FvPj0qjUQYGzjC3Kk2MA=","A00000012198",,"gv/1/Di3XvGwPyjkavET/K7FvPj0qjUQ2D1Wf0ukTww=","B00000025518",,,,,,,,"Y","01486","NEON.PLA.D07.MLBS.01486","QURU","Quercus rubra L.","Insect damaged",,,15.4,,,,,,"mcumberland@battelleecology.org","agifford@battelleecology.org",,
"9802f209-c3cc-4379-bbb2-0deb7463c343","MLBS_009.basePlot.cfc","D07","MLBS","MLBS_009","distributed","deciduousForest","WGS84",37.374434,-80.518487,20.2,1177.6,0.22,"NEON.DOC.001024vE","2018-06-18T18:59Z","2018-06-15",,"31","Woody individual","line launcher","gv/1/Di3XvGwPyjkavET/OtGBjnV7ZW8FYSc6il2NZA=","A00000012261",,"gv/1/Di3XvGwPyjkavET/OtGBjnV7ZW8WAR1NwrlRU8=","B00000025504",,,,,,,,"Y","01455","NEON.PLA.D07.MLBS.01455","QURU","Quercus rubra L.","Insect damaged",,,15.5,16.0,,,,,"mcumberland@battelleecology.org","agifford@battelleecology.org",,
"b114a3cc-f289-465e-956a-33cd8eb3acec","MLBS_009.basePlot.cfc","D07","MLBS","MLBS_009","distributed","deciduousForest","WGS84",37.374434,-80.518487,20.2,1177.6,0.22,"NEON.DOC.001024vE","2018-06-18T19:40Z","2018-06-15",,"31","Woody individual","line launcher","gv/1/Di3XvEZ32fKrFrcU8wetWGgE6zT0F6OY71J6HU=","A00000012526",,"gv/1/Di3XvEZ32fKrFrcU8wetWGgE6zTYp8FlIrmHR0=","B00000025485",,,,,,,,"Y","01489","NEON.PLA.D07.MLBS.01489","QUAL","Quercus alba L.","Insect damaged",,,14.4,,,,,,"mcumberland@battelleecology.org","agifford@battelleecology.org",,
"f7e6160f-0980-452a-a8ae-eb4490664363","MLBS_061.basePlot.cfc","D07","MLBS","MLBS_061","tower","deciduousForest","WGS84",37.376631,-80.519800,20.1,1169.0,0.22,"NEON.DOC.001024vE","2018-06-18T20:43Z","2018-06-15",,"23","Woody individual","line launcher","gv/1/Di3XvHFA0Y+9+F4I7qfOIUNfjfxi/Hn7wGjyQg=","A00000012211",,"gv/1/Di3XvHFA0Y+9+F4I7qfOIUNfjfx0Nwi+Br9tOM=","B00000025516",,,,,,,,"Y","00133","NEON.PLA.D07.MLBS.00133","AMLA","Amelanchier laevis Wiegand","OK",,,12.3,13.3,,,,,"mcumberland@battelleecology.org","agifford@battelleecology.org",,
"a9782081-b3d1-441c-aed0-0ab777d79976","MLBS_063.basePlot.cfc","D07","MLBS","MLBS_063","tower","deciduousForest","WGS84",37.377486,-80.527932,20.3,1175.7,0.36,"NEON.DOC.001024vE","2018-06-19T11:43Z","2018-06-15",,"23","Woody individual","line launcher","gv/1/Di3XvEJrFEmNh8BI0ZK2sqPOPYFrhBSRC5YC8s=","A00000012511",,"gv/1/Di3XvEJrFEmNh8BI0ZK2sqPOPYFD4p5Xshy44o=","B00000025501",,,,,,,,"Y","01022","NEON.PLA.D07.MLBS.01022","QUAL","Quercus alba L.","Insect damaged",,,15.8,,,,,,"mcumberland@battelleecology.org","agifford@battelleecology.org",,
"4adf52e0-9b0e-4c9a-add7-b0723b5b558e","MLBS_063.basePlot.cfc","D07","MLBS","MLBS_063","tower","deciduousForest","WGS84",37.377486,-80.527932,20.3,1175.7,0.36,"NEON.DOC.001024vE","2018-06-19T12:26Z","2018-06-15",,"23","Woody individual","line launcher","gv/1/Di3XvFIAAmccByPPzLrCbRZO/U55h9TSSDCP3A=","A00000012529",,"gv/1/Di3XvFIAAmccByPPzLrCbRZO/U5Xl0831/OFEY=","B00000025490",,,,,,,,"Y","01019","NEON.PLA.D07.MLBS.01019","QURU","Quercus rubra L.","Insect damaged",,,17.0,,,,,,"mcumberland@battelleecology.org","agifford@battelleecology.org",,
"a85d3e03-f071-48f2-8fdf-78dce936c8c0","MLBS_064.basePlot.cfc","D07","MLBS","MLBS_064","tower","deciduousForest","WGS84",37.375560,-80.520200,20.3,1179.4,0.34,"NEON.DOC.001024vE","2018-06-19T15:23Z","2018-06-15",,"21","Woody individual","line launcher","gv/1/Di3XvHdPsxwxTV2La8MDi4DOgmIxQ48I4EIoJ0=","A00000012213",,"gv/1/Di3XvHdPsxwxTV2La8MDi4DOgmIQU49BM0Q5to=","B00000025514",,,,,,,,"Y","00042","NEON.PLA.D07.MLBS.00042","ACRU","Acer rubrum L.","Insect damaged",,,19.5,,,,,,"mcumberland@battelleecology.org","agifford@battelleecology.org",,
"af91ebd9-03f0-494f-9a95-2bc5d82faa6d","MLBS_064.basePlot.cfc","D07","MLBS","MLBS_064","tower","deciduousForest","WGS84",37.375560,-80.520200,20.3,1179.4,0.34,"NEON.DOC.001024vE","2018-06-19T17:01Z","2018-06-15",,"41","Woody individual","line launcher","gv/1/Di3XvG/XeKiDq533uNglmG8SbKPUanvIM72QHg=","A00000012512",,"gv/1/Di3XvG/XeKiDq533uNglmG8SbKPXwmi/1ZutoQ=","B00000025500",,,,,,,,"Y","00061","NEON.PLA.D07.MLBS.00061","QURU","Quercus rubra L.","Insect damaged",,,14.4,13.6,,,,,"mcumberland@battelleecology.org","agifford@battelleecology.org",,
"65fee2b7-7bf0-428e-bf1f-3b3e0ec7800b","MLBS_064.basePlot.cfc","D07","MLBS","MLBS_064","tower","deciduousForest","WGS84",37.375560,-80.520200,20.3,1179.4,0.34,"NEON.DOC.001024vE","2018-06-19T17:45Z","2018-06-15",,"41","Woody individual","line launcher","gv/1/Di3XvFqdJpFZdQ75VR4GtLQwkBqpjPJI36iV0E=","A00000012530",,"gv/1/Di3XvFqdJpFZdQ75VR4GtLQwkBqNkRxg7z3zQU=","B00000025486",,,,,,,,"Y","00078","NEON.PLA.D07.MLBS.00078","QUAL","Quercus alba L.","Insect damaged",,,11.8,13.7,,,,,"mcumberland@battelleecology.org","agifford@battelleecology.org",,
