uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,ligninSampleID,ligninSampleBarcode,collectDate,analysisDate,analyticalRepNumber,dryMass,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"08c8fa3c-af08-495e-8efb-29af2c28b0ed","MLBS_061.basePlot.cfc","D07","MLBS","MLBS_061","tower","gv/1/Di3XvFTqEI7hs3lyU6EUYKptnufiYcmBMGcKtM=","A00000012510","gv/1/Di3XvFTqEI7hs3lyU6EUYKptnufTlPrii9HCZo=","A00000043748","2018-06-18T13:16Z","2018-09-14",1,0.551,14.90,16.42,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"b3992819-9b7b-4a13-ae1f-7e4c6f4461be","MLBS_061.basePlot.cfc","D07","MLBS","MLBS_061","tower","gv/1/Di3XvHs3TiUgQrYnylvV/FrlVzvg2kcspFw1bw=","A00000012528","gv/1/Di3XvHs3TiUgQrYnylvV/FrlVzvfcJbtBd7vXo=","A00000043714","2018-06-18T14:27Z","2018-09-14",1,0.511,18.33,13.81,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"8e143675-ed86-457b-b7e4-7b6e779a8fc7","MLBS_009.basePlot.cfc","D07","MLBS","MLBS_009","distributed","gv/1/Di3XvGwPyjkavET/K7FvPj0qjUQYGzjC3Kk2MA=","A00000012198","gv/1/Di3XvGwPyjkavET/K7FvPj0qjUQb+Swdf7uKNY=","A00000043713","2018-06-18T18:35Z","2018-09-14",1,0.510,29.19,18.28,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"60ad25d7-abe6-40d5-b805-0d8ba1d0b9f0","MLBS_009.basePlot.cfc","D07","MLBS","MLBS_009","distributed","gv/1/Di3XvGwPyjkavET/OtGBjnV7ZW8FYSc6il2NZA=","A00000012261","gv/1/Di3XvGwPyjkavET/OtGBjnV7ZW8WcCcj9nfJes=","A00000043679","2018-06-18T18:59Z","2018-09-14",2,0.502,30.05,17.88,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"119d6f1b-71cd-4c86-b116-61e745d2b89b","MLBS_009.basePlot.cfc","D07","MLBS","MLBS_009","distributed","gv/1/Di3XvGwPyjkavET/OtGBjnV7ZW8FYSc6il2NZA=","A00000012261","gv/1/Di3XvGwPyjkavET/OtGBjnV7ZW8WcCcj9nfJes=","A00000043679","2018-06-18T18:59Z","2018-09-14",1,0.569,27.38,19.21,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"3df4e473-4757-4d4d-927a-37f782b34f05","MLBS_009.basePlot.cfc","D07","MLBS","MLBS_009","distributed","gv/1/Di3XvEZ32fKrFrcU8wetWGgE6zT0F6OY71J6HU=","A00000012526","gv/1/Di3XvEZ32fKrFrcU8wetWGgE6zTYZSAJksiLu8=","A00000043645","2018-06-18T19:40Z","2018-09-14",1,0.534,14.35,17.44,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"5ac30772-ea64-46b1-a8c7-4aac059bc3f4","MLBS_061.basePlot.cfc","D07","MLBS","MLBS_061","tower","gv/1/Di3XvHFA0Y+9+F4I7qfOIUNfjfxi/Hn7wGjyQg=","A00000012211","gv/1/Di3XvHFA0Y+9+F4I7qfOIUNfjfx8W3Y8OaPZw0=","A00000043647","2018-06-18T20:43Z","2018-09-14",1,0.514,25.13,17.28,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"36d7749f-ff0e-4ad0-bb2a-1c933b3efad5","MLBS_063.basePlot.cfc","D07","MLBS","MLBS_063","tower","gv/1/Di3XvEJrFEmNh8BI0ZK2sqPOPYFrhBSRC5YC8s=","A00000012511","gv/1/Di3XvEJrFEmNh8BI0ZK2sqPOPYFxaxWUo7nXbY=","A00000043646","2018-06-19T11:43Z","2018-09-14",1,0.508,19.77,18.86,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"ea799edc-e7aa-45e6-9901-41c6ffade61c","MLBS_063.basePlot.cfc","D07","MLBS","MLBS_063","tower","gv/1/Di3XvFIAAmccByPPzLrCbRZO/U55h9TSSDCP3A=","A00000012529","gv/1/Di3XvFIAAmccByPPzLrCbRZO/U5yE9he6fR0gE=","A00000043747","2018-06-19T12:26Z","2018-09-14",1,0.541,35.64,18.77,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
"ae799627-7bf3-49d9-8ec5-bbda5224e5be","MLBS_064.basePlot.cfc","D07","MLBS","MLBS_064","tower","gv/1/Di3XvHdPsxwxTV2La8MDi4DOgmIxQ48I4EIoJ0=","A00000012213","gv/1/Di3XvHdPsxwxTV2La8MDi4DOgmI334Og84U5eQ=","A00000043716","2018-06-19T15:23Z","2018-09-14",1,0.531,18.69,15.57,"OK","OK",,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",
