uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,collectDate,ovenStartDate,ovenEndDate,sampleCondition,cnSampleID,cnSampleCode,ligninSampleID,ligninSampleBarcode,archiveSampleID,archiveSampleCode,archiveMass,toxicodendronPossible,processedBy,remarks,dataQF
"a3c37c36-31c5-4bbe-9f73-d41941cfc664","DELA_018.basePlot.cfc","D08","DELA","DELA_018","distributed","Nc+HNMhlqfsnz6FNEIwdfsWmIUSpBr0OFgK8ecEB+NM=",,"2019-04-24T16:50Z","2019-04-26T20:00Z","2019-05-01T20:00Z","OK","Nc+HNMhlqfsnz6FNEIwdfsWmIUSpBr0OyIRvaDPeM20=","A00000082815","Nc+HNMhlqfsnz6FNEIwdfsWmIUSpBr0O+qil36lP2wSFUiDCEgZqWA==","A00000082829","Nc+HNMhlqfsnz6FNEIwdfsWmIUSpBr0OExcahuy/7Ls=","A00000082839",,,"0000-0003-3960-4840",,
"49bd71a4-47ef-4c2b-88fe-c7f5db0cba8d","DELA_037.basePlot.cfc","D08","DELA","DELA_037","tower","Nc+HNMhlqfsAhFo00mW98DxiUETxOpi89aDGrmcTVb0=","A00000081974","2019-04-24T19:06Z","2019-04-26T20:00Z","2019-05-01T20:00Z","OK","Nc+HNMhlqfsAhFo00mW98DxiUETxOpi8SsqzoEvkXTo=","A00000083319","Nc+HNMhlqfsAhFo00mW98DxiUETxOpi8hD3cXwI6aczj00i7j9A+9w==","A00000083320","Nc+HNMhlqfsAhFo00mW98DxiUETxOpi8u+u1xpDkWmQ=","A00000083321",,,"0000-0003-3960-4840",,
"da8db76b-5d92-4f47-9fa0-11b087461156","DELA_037.basePlot.cfc","D08","DELA","DELA_037","tower","Nc+HNMhlqftqTy1u6ZC0mcDZhrM56GNreDrZYbTy18Q=","A00000081975","2019-04-24T19:10Z","2019-04-26T20:00Z","2019-05-01T20:00Z","OK","Nc+HNMhlqftqTy1u6ZC0mcDZhrM56GNrvkyfNguL8TY=","A00000082889","Nc+HNMhlqftqTy1u6ZC0mcDZhrM56GNrhp06r4iZsvE=","A00000082879","Nc+HNMhlqftqTy1u6ZC0mcDZhrM56GNrV2pqJqWcqN0=","A00000082803",,,"0000-0003-3960-4840",,
"0de09cd5-1f55-4f4f-90cc-d59aaac023a8","DELA_037.basePlot.cfc","D08","DELA","DELA_037","tower","Nc+HNMhlqfu2Elvk5YKLrDGF+5Kf6lJrkxOdRsqUcU0=","A00000081976","2019-04-24T19:12Z","2019-04-26T20:00Z","2019-05-01T20:00Z","OK","Nc+HNMhlqfu2Elvk5YKLrDGF+5Kf6lJrigt4ZHHA4zU=","A00000082875","Nc+HNMhlqfu2Elvk5YKLrDGF+5Kf6lJrWIO8hwkgX/g=","A00000082886","Nc+HNMhlqfu2Elvk5YKLrDGF+5Kf6lJrCWppAWKMKpo=","A00000082876",,,"0000-0002-6443-1841",,
"16182c66-b525-429e-bbc6-0ed22fa5f475","DELA_004.basePlot.cfc","D08","DELA","DELA_004","distributed","Nc+HNMhlqfuwkD7dmJPLXVLEmN2TKZvWpb+QskA6CnM=","A00000081977","2019-04-25T13:34Z","2019-04-26T20:00Z","2019-05-01T20:00Z","OK","Nc+HNMhlqfuwkD7dmJPLXVLEmN2TKZvWH57euUCwyL0=","A00000082865","Nc+HNMhlqfuwkD7dmJPLXVLEmN2TKZvW+erNO8Oy2gY=","A00000082878","Nc+HNMhlqfuwkD7dmJPLXVLEmN2TKZvWn+JNJ2cA510=","A00000082888",,,"0000-0003-3960-4840",,
"ce1a6a43-8a57-4549-ac2d-16f2dcbcbf25","DELA_004.basePlot.cfc","D08","DELA","DELA_004","distributed","Nc+HNMhlqfvzzMmbGQYGYjjZ7SKMhcJn9al0s1bIq3w=","A00000081978","2019-04-25T14:04Z","2019-04-26T20:00Z","2019-05-01T20:00Z","OK","Nc+HNMhlqfvzzMmbGQYGYjjZ7SKMhcJnBuSD/6pspb8=","A00000082821","Nc+HNMhlqfvzzMmbGQYGYjjZ7SKMhcJnjucQnHpcjRI=","A00000082797","Nc+HNMhlqfvzzMmbGQYGYjjZ7SKMhcJn+3ldZJR/9tM=","A00000082862",,,"0000-0002-6443-1841",,
"e7f0d354-bac5-49f6-acec-163ba4dafbf7","DELA_004.basePlot.cfc","D08","DELA","DELA_004","distributed","Nc+HNMhlqfs+NPALPvNDccCD7HI8gGqXY4qzY09MoN0=","A00000081979","2019-04-25T14:42Z","2019-04-26T20:00Z","2019-05-01T20:00Z","OK","Nc+HNMhlqfs+NPALPvNDccCD7HI8gGqX6MvBRZKw3K8=","A00000082807","Nc+HNMhlqfs+NPALPvNDccCD7HI8gGqX09MZg1wk65c=","A00000082831","Nc+HNMhlqfs+NPALPvNDccCD7HI8gGqXnkFYswKw0lY=","A00000082855",,,"0000-0003-3960-4840",,
"30aca17e-7d22-4e10-91eb-7f158e0a3be0","DELA_004.basePlot.cfc","D08","DELA","DELA_004","distributed","Nc+HNMhlqfvzzMmbGQYGYoJDjOWFEkvLeaJudwc9lP0=","A00000081980","2019-04-25T15:06Z","2019-04-26T20:00Z","2019-05-01T20:00Z","OK","Nc+HNMhlqfvzzMmbGQYGYoJDjOWFEkvLg3a1fCFKQI4=","A00000083306","Nc+HNMhlqfvzzMmbGQYGYoJDjOWFEkvLbIvqnMsWu2s=","A00000083307","Nc+HNMhlqfvzzMmbGQYGYoJDjOWFEkvLlazhObT4c6s=","A00000083323",,,"0000-0003-3960-4840",,
"89d38f4a-28a7-4d89-896a-6a237f433156","DELA_003.basePlot.cfc","D08","DELA","DELA_003","distributed","Nc+HNMhlqfsLn9TiKPIz/JUCNNrug2aPON8fLCjR+BE=","A00000081981","2019-04-25T15:59Z","2019-04-26T20:00Z","2019-05-01T20:00Z","OK","Nc+HNMhlqfsLn9TiKPIz/JUCNNrug2aPZcEqTJT7jaw=","A00000082811","Nc+HNMhlqfsLn9TiKPIz/JUCNNrug2aPL5mPgjvZAdeDE9xdmp9SJg==","A00000082835","Nc+HNMhlqfsLn9TiKPIz/JUCNNrug2aPjZBYJemmErU=","A00000082825",,,"0000-0002-6443-1841",,
"996b4770-1a42-46bf-b96d-104b0f1b1a18","DELA_040.basePlot.cfc","D08","DELA","DELA_040","tower","Nc+HNMhlqfubEIJhrJbaDsb7yj31PY9MpO8+dN+5GkY=","A00000081982","2019-04-29T15:52Z","2019-05-01T20:00Z","2019-05-09T20:00Z","OK","Nc+HNMhlqfubEIJhrJbaDsb7yj31PY9MMFnclsOqfB8=","A00000083305","Nc+HNMhlqfubEIJhrJbaDsb7yj31PY9M7RgBtjJzLGM=","A00000083322","Nc+HNMhlqfubEIJhrJbaDsb7yj31PY9MsBAzZnYOUnI=","A00000083304",,,"0000-0003-3960-4840",,
