uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,chlorophyllSampleID,chlorophyllSampleCode,collectDate,sampleCondition,extractionStartDate,extractionLength,freshMass,solventVolume,analyticalRepNumber,extractChlAConc,extractChlBConc,extractCarotConc,relativeAccuracyScale,handlingQF,measurementQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"ce8aac58-d65e-48b2-b969-9b57c580c730","DELA_018.basePlot.cfc","D08","DELA","DELA_018","distributed","Nc+HNMhlqfsnz6FNEIwdfsWmIUSpBr0OFgK8ecEB+NM=",,"Nc+HNMhlqfsnz6FNEIwdfsWmIUSpBr0Oft/lPDtzaFa+wD3CMfNMkg==","B00000004723","2019-04-24T16:50Z","OK","2019-05-01",24,0.0548,7,1,14.11,5.08,4.20,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
"ccd0511a-e69c-4343-89dd-2ed466d85797","DELA_037.basePlot.cfc","D08","DELA","DELA_037","tower","Nc+HNMhlqfsAhFo00mW98DxiUETxOpi89aDGrmcTVb0=","A00000081974","Nc+HNMhlqfsAhFo00mW98DxiUETxOpi8mqkXw4ODwWq3d2G787GOeg==","B00000004722","2019-04-24T19:06Z","OK","2019-05-01",24,0.0771,7,1,17.56,4.79,4.83,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
"48145a87-f3e5-4796-ad07-2618f9159bf4","DELA_037.basePlot.cfc","D08","DELA","DELA_037","tower","Nc+HNMhlqftqTy1u6ZC0mcDZhrM56GNreDrZYbTy18Q=","A00000081975","Nc+HNMhlqftqTy1u6ZC0mcDZhrM56GNrRXYk5QMYm/0=","B00000004724","2019-04-24T19:10Z","OK","2019-05-01",24,0.0831,7,1,15.91,5.45,3.84,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
"7d38c7c3-5a09-414f-849b-bc9d259c8fb2","DELA_037.basePlot.cfc","D08","DELA","DELA_037","tower","Nc+HNMhlqfu2Elvk5YKLrDGF+5Kf6lJrkxOdRsqUcU0=","A00000081976","Nc+HNMhlqfu2Elvk5YKLrDGF+5Kf6lJrRYoQAU33pFw=","B00000004725","2019-04-24T19:12Z","OK","2019-05-02",34,0.0570,7,1,8.98,2.98,2.25,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
"d42706d1-484c-4eeb-b40c-148911468f5b","DELA_004.basePlot.cfc","D08","DELA","DELA_004","distributed","Nc+HNMhlqfuwkD7dmJPLXVLEmN2TKZvWpb+QskA6CnM=","A00000081977","Nc+HNMhlqfuwkD7dmJPLXVLEmN2TKZvWbvUx776YAiA=","B00000004730","2019-04-25T13:34Z","OK","2019-05-01",24,0.0695,7,1,13.39,4.66,4.02,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
"32006241-95bb-4b02-b8ef-af280d75f511","DELA_004.basePlot.cfc","D08","DELA","DELA_004","distributed","Nc+HNMhlqfvzzMmbGQYGYjjZ7SKMhcJn9al0s1bIq3w=","A00000081978","Nc+HNMhlqfvzzMmbGQYGYjjZ7SKMhcJnCLuG6CktxTw=","B00000004726","2019-04-25T14:04Z","OK","2019-05-01",24,0.0647,7,1,14.26,4.41,4.14,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
"62b4fefc-e701-49ce-811d-237ea8bf4cef","DELA_004.basePlot.cfc","D08","DELA","DELA_004","distributed","Nc+HNMhlqfs+NPALPvNDccCD7HI8gGqXY4qzY09MoN0=","A00000081979","Nc+HNMhlqfs+NPALPvNDccCD7HI8gGqXm5hp9DvXbGM=","B00000004727","2019-04-25T14:42Z","OK","2019-05-01",24,0.0549,7,1,15.91,6.14,3.20,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
"cb16f3d0-5b6f-450e-ab54-ec9d422a8931","DELA_004.basePlot.cfc","D08","DELA","DELA_004","distributed","Nc+HNMhlqfvzzMmbGQYGYoJDjOWFEkvLeaJudwc9lP0=","A00000081980","Nc+HNMhlqfvzzMmbGQYGYoJDjOWFEkvLZaN3DLdvBKo=","B00000004728","2019-04-25T15:06Z","OK","2019-05-01",24,0.0761,7,1,18.78,6.29,5.43,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
"205a44b1-4a7f-4fc5-bafb-4f73cad11f84","DELA_003.basePlot.cfc","D08","DELA","DELA_003","distributed","Nc+HNMhlqfsLn9TiKPIz/JUCNNrug2aPON8fLCjR+BE=","A00000081981","Nc+HNMhlqfsLn9TiKPIz/JUCNNrug2aPKolPu1mepKtAn+B49D0hgw==","B00000004734","2019-04-25T15:59Z","OK","2019-05-01",24,0.0742,7,1,14.25,4.57,3.51,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
"ca407032-1beb-4659-936d-d9dd8983609b","DELA_040.basePlot.cfc","D08","DELA","DELA_040","tower","Nc+HNMhlqfubEIJhrJbaDsb7yj31PY9MpO8+dN+5GkY=","A00000081982","Nc+HNMhlqfubEIJhrJbaDsb7yj31PY9MZWdDWm/ez1Y=","B00000004733","2019-04-29T15:52Z","OK","2019-05-02",34,0.0699,7,1,22.22,7.85,5.88,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
