uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,collectDate,aopCollectDate,samplingImpractical,subplotID,sampleType,samplingMethod,sampleID,sampleCode,sampleCondition,chlorophyllSampleID,chlorophyllSampleCode,chlorophyllSampleCondition,clipCellNumber,clipID,clipLength,clipWidth,percentCoverClip,toxicodendronPossible,vstTag,tagID,individualID,taxonID,scientificName,plantStatus,canopyPosition,canopyStatus,subsample1Height,subsample2Height,subsample3Height,crownPolygonID,crownPolygonConfidence,shapefileID,collectedBy,recordedBy,remarks,dataQF
"69b90266-429b-4b17-9a8b-8cf8d12a3db6","DELA_018.basePlot.cfc","D08","DELA","DELA_018","distributed","woodyWetlands","WGS84",32.540987,-87.799108,20.1,24.9,0.11,"NEON.DOC.001024vF","2019-04-24T16:50Z","2019-04-29",,,"Woody individual","line launcher","Nc+HNMhlqfsnz6FNEIwdfsWmIUSpBr0OFgK8ecEB+NM=",,"OK","Nc+HNMhlqfsnz6FNEIwdfsWmIUSpBr0Oft/lPDtzaFa+wD3CMfNMkg==","B00000004723","OK",,,,,,,"Y","05241","NEON.PLA.D08.DELA.05241","CATO6","Carya tomentosa (Lam.) Nutt.","OK",,,10.9,,,,,,"0000-0002-9190-7358","0000-0002-6741-7770",,
"8415a839-59d7-488b-8062-86c6194bd14c","DELA_037.basePlot.cfc","D08","DELA","DELA_037","tower","woodyWetlands","WGS84",32.539627,-87.801968,20.1,27.1,0.12,"NEON.DOC.001024vF","2019-04-24T19:06Z","2019-04-29",,,"Woody individual","line launcher","Nc+HNMhlqfsAhFo00mW98DxiUETxOpi89aDGrmcTVb0=","A00000081974","OK","Nc+HNMhlqfsAhFo00mW98DxiUETxOpi8mqkXw4ODwWq3d2G787GOeg==","B00000004722","OK",,,,,,,"Y","12552","NEON.PLA.D08.DELA.12552","LIST2","Liquidambar styraciflua L.","OK",,,7.8,,,,,,"0000-0002-9190-7358","0000-0002-6741-7770",,
"0dd52625-3de4-4d66-8fb2-b8f2958565a6","DELA_037.basePlot.cfc","D08","DELA","DELA_037","tower","woodyWetlands","WGS84",32.539627,-87.801968,20.1,27.1,0.12,"NEON.DOC.001024vF","2019-04-24T19:10Z","2019-04-29",,,"Woody individual","line launcher","Nc+HNMhlqftqTy1u6ZC0mcDZhrM56GNreDrZYbTy18Q=","A00000081975","OK","Nc+HNMhlqftqTy1u6ZC0mcDZhrM56GNrRXYk5QMYm/0=","B00000004724","OK",,,,,,,"Y","04948","NEON.PLA.D08.DELA.04948","QUMI","Quercus michauxii Nutt.","OK",,,7.0,,,,,,"0000-0002-9190-7358","0000-0002-6741-7770",,
"16646b18-b502-4b90-815d-0fc5247a1dff","DELA_037.basePlot.cfc","D08","DELA","DELA_037","tower","woodyWetlands","WGS84",32.539627,-87.801968,20.1,27.1,0.12,"NEON.DOC.001024vF","2019-04-24T19:12Z","2019-04-29",,,"Woody individual","line launcher","Nc+HNMhlqfu2Elvk5YKLrDGF+5Kf6lJrkxOdRsqUcU0=","A00000081976","OK","Nc+HNMhlqfu2Elvk5YKLrDGF+5Kf6lJrRYoQAU33pFw=","B00000004725","OK",,,,,,,"Y","04982","NEON.PLA.D08.DELA.04982","QUNI","Quercus nigra L.","OK",,,16.8,,,,,,"0000-0002-9190-7358","0000-0002-6741-7770",,
"d25e2743-83a5-47e8-b63c-77dd05370f8a","DELA_004.basePlot.cfc","D08","DELA","DELA_004","distributed","woodyWetlands","WGS84",32.531982,-87.814340,20.1,24.6,0.20,"NEON.DOC.001024vF","2019-04-25T13:34Z","2019-04-29",,"31","Woody individual","line launcher","Nc+HNMhlqfuwkD7dmJPLXVLEmN2TKZvWpb+QskA6CnM=","A00000081977","OK","Nc+HNMhlqfuwkD7dmJPLXVLEmN2TKZvWbvUx776YAiA=","B00000004730","OK",,,,,,,"Y","05351","NEON.PLA.D08.DELA.05351","FRPE","Fraxinus pennsylvanica Marshall","OK",,,15.7,,,,,,"0000-0002-9190-7358","0000-0002-6741-7770",,
"3893a5d4-9ee5-406f-bc5e-4c874a9a7f5d","DELA_004.basePlot.cfc","D08","DELA","DELA_004","distributed","woodyWetlands","WGS84",32.531982,-87.814340,20.1,24.6,0.20,"NEON.DOC.001024vF","2019-04-25T14:04Z","2019-04-29",,"31","Woody individual","slingshot","Nc+HNMhlqfvzzMmbGQYGYjjZ7SKMhcJn9al0s1bIq3w=","A00000081978","OK","Nc+HNMhlqfvzzMmbGQYGYjjZ7SKMhcJnCLuG6CktxTw=","B00000004726","OK",,,,,,,"Y","05326","NEON.PLA.D08.DELA.05326","CELA","Celtis laevigata Willd.","OK",,,12.0,,,,,,"0000-0002-9190-7358","0000-0002-6741-7770",,
"e2700618-8382-42c4-bc0f-e7196dd94e8c","DELA_004.basePlot.cfc","D08","DELA","DELA_004","distributed","woodyWetlands","WGS84",32.531982,-87.814340,20.1,24.6,0.20,"NEON.DOC.001024vF","2019-04-25T14:42Z","2019-04-29",,"31","Woody individual","line launcher","Nc+HNMhlqfs+NPALPvNDccCD7HI8gGqXY4qzY09MoN0=","A00000081979","OK","Nc+HNMhlqfs+NPALPvNDccCD7HI8gGqXm5hp9DvXbGM=","B00000004727","OK",,,,,,,"Y","05306","NEON.PLA.D08.DELA.05306","QUNI","Quercus nigra L.","OK",,,12.5,,,,,,"0000-0002-9190-7358","0000-0002-6741-7770",,
"bfb9f41c-099c-4702-96dc-d8c480e0689c","DELA_004.basePlot.cfc","D08","DELA","DELA_004","distributed","woodyWetlands","WGS84",32.531982,-87.814340,20.1,24.6,0.20,"NEON.DOC.001024vF","2019-04-25T15:06Z","2019-04-29",,"31","Woody individual","line launcher","Nc+HNMhlqfvzzMmbGQYGYoJDjOWFEkvLeaJudwc9lP0=","A00000081980","OK","Nc+HNMhlqfvzzMmbGQYGYoJDjOWFEkvLZaN3DLdvBKo=","B00000004728","OK",,,,,,,"Y","05304","NEON.PLA.D08.DELA.05304","CELA","Celtis laevigata Willd.","OK",,,11.1,,,,,,"0000-0002-9190-7358","0000-0002-6741-7770",,
"4f7d66c2-3c26-45f4-8fa7-977130e0a355","DELA_003.basePlot.cfc","D08","DELA","DELA_003","distributed","woodyWetlands","WGS84",32.534942,-87.815024,20.1,25.1,0.15,"NEON.DOC.001024vF","2019-04-25T15:59Z","2019-04-29",,"31","Woody individual","line launcher","Nc+HNMhlqfsLn9TiKPIz/JUCNNrug2aPON8fLCjR+BE=","A00000081981","OK","Nc+HNMhlqfsLn9TiKPIz/JUCNNrug2aPKolPu1mepKtAn+B49D0hgw==","B00000004734","OK",,,,,,,"Y","09414","NEON.PLA.D08.DELA.09414","LIST2","Liquidambar styraciflua L.","OK",,,16.7,,,,,,"0000-0002-9190-7358","0000-0002-6741-7770",,
"5e696021-99de-411c-95bd-493ca8e27049","DELA_040.basePlot.cfc","D08","DELA","DELA_040","tower","woodyWetlands","WGS84",32.538802,-87.804522,20.1,29.4,0.21,"NEON.DOC.001024vF","2019-04-29T15:52Z","2019-04-29",,,"Woody individual","line launcher","Nc+HNMhlqfubEIJhrJbaDsb7yj31PY9MpO8+dN+5GkY=","A00000081982","OK","Nc+HNMhlqfubEIJhrJbaDsb7yj31PY9MZWdDWm/ez1Y=","B00000004733","OK",,,,,,,"Y","04146","NEON.PLA.D08.DELA.04146","FRPE","Fraxinus pennsylvanica Marshall","OK",,,13.6,,,,,,"0000-0002-9190-7358","0000-0002-6741-7770",,
