uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,cnSampleID,cnSampleCode,collectDate,analysisDate,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"35daac03-75c9-4bbf-b42b-6242bfd727b3","DELA_003.basePlot.cfc","D08","DELA","DELA_003","distributed","Nc+HNMhlqfspUx960THudsGJhzNp9lTyEGxDapF/DCU=","A00000081998","Nc+HNMhlqfspUx960THudsGJhzNp9lTyjg/+oUij3bo=","A00000082859","2019-05-06T15:21Z","2019-09-30","N",2.7,-29.3,2.99,49.52,16.6,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"d88c63d6-81b6-43dd-a1ac-3e72a3efcd12","DELA_003.basePlot.cfc","D08","DELA","DELA_003","distributed","Nc+HNMhlqfspUx960THudtz59VMWEuBlKGLd8kVeG1Y=","A00000081999","Nc+HNMhlqfspUx960THudtz59VMWEuBlJRkswZnjQv4=","A00000082800","2019-05-06T15:43Z","2019-09-30","N",5.1,-29.8,2.72,50.50,18.6,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"64004ec4-761d-4936-be09-4d5d5aa87382","DELA_002.basePlot.cfc","D08","DELA","DELA_002","distributed","Nc+HNMhlqfsclpnYGliH+vB1RaK3LIIZjwbHMP1z2LY=","A00000082000","Nc+HNMhlqfsclpnYGliH+vB1RaK3LIIZnOmCnDkDPGI=","A00000082887","2019-05-06T16:50Z","2019-09-30","N",7.0,-28.5,2.89,51.58,17.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"b60a3dcc-3bd8-4260-8140-bc0497a4a4fe","DELA_002.basePlot.cfc","D08","DELA","DELA_002","distributed","Nc+HNMhlqfsclpnYGliH+kZuuSHT58a/gYS5R1fCE64=","A00000082001","Nc+HNMhlqfsclpnYGliH+kZuuSHT58a/cMXhbmgUla8=","A00000082792","2019-05-06T17:36Z","2019-09-30","N",7.0,-28.5,2.50,51.32,20.5,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"fb65d20e-8841-4539-ab73-566f22c98002","DELA_002.basePlot.cfc","D08","DELA","DELA_002","distributed","Nc+HNMhlqfsclpnYGliH+kZuuSHT58a/gYS5R1fCE64=","A00000082001","Nc+HNMhlqfsclpnYGliH+kZuuSHT58a/cMXhbmgUla8=","A00000082792","2019-05-06T17:36Z","2019-09-30","N",6.9,-28.5,2.69,51.77,19.3,"OK","OK","OK","OK",2,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"c041ce24-21a2-48cd-bbdc-d1d6b3dfc180","DELA_056.basePlot.cfc","D08","DELA","DELA_056","tower","Nc+HNMhlqfsfGrsG+JlZC32+dG7s1BFY54prSAeKL2E=","A00000082002","Nc+HNMhlqfsfGrsG+JlZC32+dG7s1BFY/0A2sQqCCJQ=","A00000082837","2019-05-06T19:42Z","2019-10-01","N",2.2,-30.5,2.30,46.24,20.1,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"1c82ae36-967d-4d99-90ae-b1946c20bfd1","DELA_056.basePlot.cfc","D08","DELA","DELA_056","tower","Nc+HNMhlqfsfGrsG+JlZCzp6OugYMiydcO5epdikKXE=","A00000082003","Nc+HNMhlqfsfGrsG+JlZCzp6OugYMiydIF+2IUA4ijY=","A00000082856","2019-05-06T20:11Z","2019-10-01","N",1.5,-30.5,2.17,46.83,21.6,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"6e88d769-e91e-40ed-a9b5-5c6b42136bcd","DELA_056.basePlot.cfc","D08","DELA","DELA_056","tower","Nc+HNMhlqfsfGrsG+JlZCwYE3knyp5CAk0+6iEtasRg=","A00000082004","Nc+HNMhlqfsfGrsG+JlZCwYE3knyp5CAQOkQUyii1R8=","A00000082838","2019-05-06T20:51Z","2019-10-01","N",1.4,-31.7,1.89,45.89,24.3,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"cf4c3237-3767-410b-9cd5-fc736a530141","DELA_042.basePlot.cfc","D08","DELA","DELA_042","tower","Nc+HNMhlqfsXikZFAnnYM8hoPS8Qps2BYpY2CBxRPac=","A00000082005","Nc+HNMhlqfsXikZFAnnYM8hoPS8Qps2BVJ03FAkKRJo=","A00000082826","2019-05-07T14:22Z","2019-09-30","N",1.2,-30.3,2.39,47.40,19.8,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"44ed423b-dfdb-4519-a3af-6504db1fe3de","DELA_042.basePlot.cfc","D08","DELA","DELA_042","tower","Nc+HNMhlqfvc7rqhJ/TzRk0q/+7O1lkqDkuhUiziMOI=","A00000082006","Nc+HNMhlqfvc7rqhJ/TzRk0q/+7O1lkqChalJLlANO0=","A00000082808","2019-05-07T15:28Z","2019-09-30","N",0.9,-30.1,2.60,48.47,18.7,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
