uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,ligninSampleID,ligninSampleBarcode,collectDate,analysisDate,analyticalRepNumber,dryMass,digestVolume,foliarPhosphorusConc,foliarPotassiumConc,foliarCalciumConc,foliarMagnesiumConc,foliarSulfurConc,foliarManganeseConc,foliarIronConc,foliarCopperConc,foliarBoronConc,foliarZincConc,foliarPhosphorusQF,foliarPotassiumQF,foliarCalciumQF,foliarMagnesiumQF,foliarSulfurQF,foliarManganeseQF,foliarIronQF,foliarCopperQF,foliarBoronQF,foliarZincQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"ec20e7e2-4766-460c-9c49-ae85cd5165ab","DELA_003.basePlot.cfc","D08","DELA","DELA_003","distributed","Nc+HNMhlqfspUx960THudsGJhzNp9lTyEGxDapF/DCU=","A00000081998","Nc+HNMhlqfspUx960THudsGJhzNp9lTyEfIOZnj9CAo=","A00000082861","2019-05-06T15:21Z","2019-08-07",1,0.205,25,0.347,1.780,0.772,0.231,0.271,56.3,74.7,44.8,16.3,22.5,"OK","OK","OK","OK","OK","OK","OK","sample value outlier","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"2b75d0ac-e492-4fbe-9bb3-5e763d72ce37","DELA_003.basePlot.cfc","D08","DELA","DELA_003","distributed","Nc+HNMhlqfspUx960THudtz59VMWEuBlKGLd8kVeG1Y=","A00000081999","Nc+HNMhlqfspUx960THudtz59VMWEuBl5xt1ZTIijqo=","A00000082818","2019-05-06T15:43Z","2019-08-07",1,0.201,25,0.269,1.187,0.638,0.234,0.243,78.4,92.0,55.7,14.3,18.3,"OK","OK","OK","OK","OK","OK","OK","sample value outlier","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"eacb0937-a314-4e02-bec5-7a37a1563f94","DELA_002.basePlot.cfc","D08","DELA","DELA_002","distributed","Nc+HNMhlqfsclpnYGliH+vB1RaK3LIIZjwbHMP1z2LY=","A00000082000","Nc+HNMhlqfsclpnYGliH+vB1RaK3LIIZeTa3JmuBqKo=","A00000082863","2019-05-06T16:50Z","2019-08-07",1,0.206,25,0.188,0.836,0.478,0.229,0.174,556.4,75.7,7.7,21.8,21.1,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"5dff5923-667b-46f6-b945-cc6bd2c5f4ad","DELA_002.basePlot.cfc","D08","DELA","DELA_002","distributed","Nc+HNMhlqfsclpnYGliH+kZuuSHT58a/gYS5R1fCE64=","A00000082001","Nc+HNMhlqfsclpnYGliH+kZuuSHT58a/+LGuMembUq8=","A00000082823","2019-05-06T17:36Z","2019-08-07",1,0.200,25,0.188,0.817,0.422,0.234,0.167,505.7,121.3,7.3,16.1,19.5,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"e70f8ac0-f3c1-4c7e-8653-80eb39b437a6","DELA_056.basePlot.cfc","D08","DELA","DELA_056","tower","Nc+HNMhlqfsfGrsG+JlZC32+dG7s1BFY54prSAeKL2E=","A00000082002","Nc+HNMhlqfsfGrsG+JlZC32+dG7s1BFYoTPZU/Kg/p6XIK7CAzyXxw==","A00000082827","2019-05-06T19:42Z","2019-08-07",1,0.196,25,0.185,0.861,1.847,0.367,0.183,838.6,60.0,9.4,27.8,21.1,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"5fb85693-96d9-4de6-95c5-965102c3d8b9","DELA_056.basePlot.cfc","D08","DELA","DELA_056","tower","Nc+HNMhlqfsfGrsG+JlZCzp6OugYMiydcO5epdikKXE=","A00000082003","Nc+HNMhlqfsfGrsG+JlZCzp6OugYMiydLuB7l6dOuyvehOKe53dO0A==","A00000082832","2019-05-06T20:11Z","2019-08-07",1,0.197,25,0.150,0.898,1.982,0.283,0.145,1691.0,42.6,8.9,37.8,14.3,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"ff1f8a15-765e-4616-b578-e6d79e37d3e0","DELA_056.basePlot.cfc","D08","DELA","DELA_056","tower","Nc+HNMhlqfsfGrsG+JlZCwYE3knyp5CAk0+6iEtasRg=","A00000082004","Nc+HNMhlqfsfGrsG+JlZCwYE3knyp5CAHSMqcBlnJoAHZTF8ZhJvUg==","A00000082805","2019-05-06T20:51Z","2019-08-07",1,0.196,25,0.177,1.165,2.068,0.392,0.156,1316.0,38.9,8.7,36.0,24.2,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"4bb7e62d-ee3a-4f98-97e7-8b70272b080c","DELA_042.basePlot.cfc","D08","DELA","DELA_042","tower","Nc+HNMhlqfsXikZFAnnYM8hoPS8Qps2BYpY2CBxRPac=","A00000082005","Nc+HNMhlqfsXikZFAnnYM8hoPS8Qps2Bw7ngUAE1E0MyP4uzqFDlqg==","A00000082836","2019-05-07T14:22Z","2019-08-07",1,0.197,25,0.174,0.884,1.689,0.397,0.182,1938.0,42.3,9.2,24.9,114.9,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"76ef4673-05a0-428f-bf89-b5388fd8655b","DELA_042.basePlot.cfc","D08","DELA","DELA_042","tower","Nc+HNMhlqfvc7rqhJ/TzRk0q/+7O1lkqDkuhUiziMOI=","A00000082006","Nc+HNMhlqfvc7rqhJ/TzRk0q/+7O1lkq9D/fw+o+fpc=",,"2019-05-07T15:28Z","2019-08-07",1,0.199,25,0.202,0.846,0.800,0.227,0.164,830.3,56.8,9.1,17.0,19.4,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"da1fe1b9-5124-4247-86b6-c40bf5afd6d9","DELA_041.basePlot.cfc","D08","DELA","DELA_041","tower","Nc+HNMhlqfuElt3OuXY/n0/UjYMXg263MMHShfxk7P0=","A00000082007","Nc+HNMhlqfuElt3OuXY/n0/UjYMXg263kkf1pahQ6xU=","A00000082834","2019-05-07T16:20Z","2019-08-07",1,0.197,25,0.178,0.528,0.491,0.210,0.130,472.3,53.1,3.7,22.9,20.9,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
