uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,ligninSampleID,ligninSampleBarcode,collectDate,analysisDate,analyticalRepNumber,dryMass,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"af3ed006-89a8-4749-a8bf-722010f91b2b","DELA_003.basePlot.cfc","D08","DELA","DELA_003","distributed","Nc+HNMhlqfspUx960THudsGJhzNp9lTyEGxDapF/DCU=","A00000081998","Nc+HNMhlqfspUx960THudsGJhzNp9lTyEfIOZnj9CAo=","A00000082861","2019-05-06T15:21Z","2019-08-01",1,0.460,24.83,18.99,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"5442e424-4e99-4ed4-852b-b1a2547a0fe7","DELA_003.basePlot.cfc","D08","DELA","DELA_003","distributed","Nc+HNMhlqfspUx960THudtz59VMWEuBlKGLd8kVeG1Y=","A00000081999","Nc+HNMhlqfspUx960THudtz59VMWEuBl5xt1ZTIijqo=","A00000082818","2019-05-06T15:43Z","2019-08-01",1,0.486,22.90,17.87,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"423fc481-02fd-447e-9b4c-1532220dbf5f","DELA_002.basePlot.cfc","D08","DELA","DELA_002","distributed","Nc+HNMhlqfsclpnYGliH+vB1RaK3LIIZjwbHMP1z2LY=","A00000082000","Nc+HNMhlqfsclpnYGliH+vB1RaK3LIIZeTa3JmuBqKo=","A00000082863","2019-05-06T16:50Z","2019-08-01",1,0.499,22.47,17.70,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"ade2d4d4-8440-438a-9408-d32981142aa7","DELA_002.basePlot.cfc","D08","DELA","DELA_002","distributed","Nc+HNMhlqfsclpnYGliH+kZuuSHT58a/gYS5R1fCE64=","A00000082001","Nc+HNMhlqfsclpnYGliH+kZuuSHT58a/+LGuMembUq8=","A00000082823","2019-05-06T17:36Z","2019-08-01",1,0.459,21.40,16.82,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"abd2f974-facb-4ad2-8b39-18054806a09c","DELA_056.basePlot.cfc","D08","DELA","DELA_056","tower","Nc+HNMhlqfsfGrsG+JlZC32+dG7s1BFY54prSAeKL2E=","A00000082002","Nc+HNMhlqfsfGrsG+JlZC32+dG7s1BFYoTPZU/Kg/p6XIK7CAzyXxw==","A00000082827","2019-05-06T19:42Z","2019-08-01",1,0.479,8.71,20.55,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"3ba2db9e-c506-4f7a-84d6-d6497cd8fe6b","DELA_056.basePlot.cfc","D08","DELA","DELA_056","tower","Nc+HNMhlqfsfGrsG+JlZCzp6OugYMiydcO5epdikKXE=","A00000082003","Nc+HNMhlqfsfGrsG+JlZCzp6OugYMiydLuB7l6dOuyvehOKe53dO0A==","A00000082832","2019-05-06T20:11Z","2019-08-01",1,0.484,9.29,20.02,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"2ea240e7-ed94-480b-ac00-4d03909277e1","DELA_056.basePlot.cfc","D08","DELA","DELA_056","tower","Nc+HNMhlqfsfGrsG+JlZCwYE3knyp5CAk0+6iEtasRg=","A00000082004","Nc+HNMhlqfsfGrsG+JlZCwYE3knyp5CAHSMqcBlnJoAHZTF8ZhJvUg==","A00000082805","2019-05-06T20:51Z","2019-08-01",1,0.480,9.41,22.02,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"c62c72a4-6231-43ca-885a-61a767fc6820","DELA_042.basePlot.cfc","D08","DELA","DELA_042","tower","Nc+HNMhlqfsXikZFAnnYM8hoPS8Qps2BYpY2CBxRPac=","A00000082005","Nc+HNMhlqfsXikZFAnnYM8hoPS8Qps2Bw7ngUAE1E0MyP4uzqFDlqg==","A00000082836","2019-05-07T14:22Z","2019-08-01",1,0.464,12.44,18.94,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"65f21384-4ab5-4455-b105-ea56767d5c57","DELA_042.basePlot.cfc","D08","DELA","DELA_042","tower","Nc+HNMhlqfvc7rqhJ/TzRk0q/+7O1lkqDkuhUiziMOI=","A00000082006","Nc+HNMhlqfvc7rqhJ/TzRk0q/+7O1lkq9D/fw+o+fpc=",,"2019-05-07T15:28Z","2019-08-01",1,0.490,12.49,17.01,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"2d4a2cfe-e907-4218-b480-3c23c22d0959","DELA_041.basePlot.cfc","D08","DELA","DELA_041","tower","Nc+HNMhlqfuElt3OuXY/n0/UjYMXg263MMHShfxk7P0=","A00000082007","Nc+HNMhlqfuElt3OuXY/n0/UjYMXg263kkf1pahQ6xU=","A00000082834","2019-05-07T16:20Z","2019-08-01",1,0.470,10.77,11.84,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
