uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,cnSampleID,cnSampleCode,collectDate,analysisDate,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"29d838dd-0436-44ef-99ec-fb5a65644b4c","WREF_012.basePlot.cfc","D16","WREF","WREF_012","distributed","9Q2HJihgWLXkj3CD16Qz2/TrmCmYB8mXosqMsMsRXZs=","A00000060532","9Q2HJihgWLXkj3CD16Qz2/TrmCmYB8mXHBvOiCrGE2Q=","A00000106129","2019-07-15T20:10Z","2019-12-19","N",-4.6,-25.8,0.99,49.60,50.0,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"fd31acb4-9a35-46ad-9414-cbe9ce15ffa5","WREF_016.basePlot.cfc","D16","WREF","WREF_016","distributed","9Q2HJihgWLVoqw+4VopyFRhK+n9jwdbof07gQkt0W40=","A00000106132","9Q2HJihgWLVoqw+4VopyFRhK+n9jwdbo2lRkf8JWpOU=","A00000106118","2019-07-16T17:22Z","2019-12-19","N",-6.8,-27.3,0.79,50.44,64.1,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"fca2b41b-029b-43ff-9dde-25f525dce636","WREF_016.basePlot.cfc","D16","WREF","WREF_016","distributed","9Q2HJihgWLWri5SGwBhyzwJh6tC8RM9VFTt5/11swDI=","A00000106148","9Q2HJihgWLWri5SGwBhyzwJh6tC8RM9V9t+rh+UT1v4=","A00000106112","2019-07-16T17:45Z","2019-12-19","N",-4.4,-26.1,0.99,50.01,50.5,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"95257b20-df4f-4115-8aa0-6ec3c53b82da","WREF_019.basePlot.cfc","D16","WREF","WREF_019","distributed","9Q2HJihgWLVbcGqJFA9Ry0ENZVgOkZkix8WwKI32nrA=","A00000060546","9Q2HJihgWLVbcGqJFA9Ry0ENZVgOkZkiwLwoEOS7+N4=","A00000106418","2019-07-16T17:59Z","2019-12-19","N",-2.8,-28.0,0.91,52.39,57.3,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"782de8bb-bd47-4afa-bb4f-350c21b40ece","WREF_019.basePlot.cfc","D16","WREF","WREF_019","distributed","9Q2HJihgWLWfapWu+P0gf9pD5JP2c/YKsBpzlXkG0Cc=","A00000060548","9Q2HJihgWLWfapWu+P0gf9pD5JP2c/YKDK0VaAiLUYk=","A00000106140","2019-07-16T20:12Z","2019-12-19","N",-3.9,-32.5,0.80,51.53,64.6,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"df0c869c-5280-4972-aa0d-9c43d07d1a89","WREF_004.basePlot.cfc","D16","WREF","WREF_004","distributed","9Q2HJihgWLXulDXtPAQqU+spVA5oSIpplfz89UFtLO8=","A00000106149","9Q2HJihgWLXulDXtPAQqU+spVA5oSIpp1iKjiGo+Q2s=","A00000106085","2019-07-16T20:20Z","2019-12-19","N",-5.3,-26.1,0.84,49.27,58.5,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"b62820a9-b4d7-4d4f-b8bd-03db61549aac","WREF_019.basePlot.cfc","D16","WREF","WREF_019","distributed","9Q2HJihgWLVIJ+D+b/OvLzkLgQGx0jij/xPYgL9hJ0Q=","A00000060550","9Q2HJihgWLVIJ+D+b/OvLzkLgQGx0jijBBHDHWNVC54=","A00000106127","2019-07-16T20:48Z","2019-12-19","N",-3.1,-29.0,0.82,50.66,61.9,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"31d2681d-cea2-4b32-a74e-57b1335bb8c0","WREF_015.basePlot.cfc","D16","WREF","WREF_015","distributed","9Q2HJihgWLUOdesmpw+IQI7ICVqEI5YkYqA6hTZWAvs=","A00000106133","9Q2HJihgWLUOdesmpw+IQI7ICVqEI5YkWigF1uEpYdI=","A00000106145","2019-07-16T22:23Z","2019-12-19","N",-6.9,-26.7,0.93,50.58,54.5,"OK","OK","OK","OK",2,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"68eb4a0f-b48e-4a15-89c7-9d0e8dee4854","WREF_015.basePlot.cfc","D16","WREF","WREF_015","distributed","9Q2HJihgWLUOdesmpw+IQI7ICVqEI5YkYqA6hTZWAvs=","A00000106133","9Q2HJihgWLUOdesmpw+IQI7ICVqEI5YkWigF1uEpYdI=","A00000106145","2019-07-16T22:23Z","2019-12-19","N",-6.9,-26.7,0.92,50.32,54.9,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"c6086403-0d2f-4d37-81ab-3fb14442bded","WREF_015.basePlot.cfc","D16","WREF","WREF_015","distributed","9Q2HJihgWLUR5wb3Dgvw3w8k3vzW4MJ/t7+BQ0tbbhM=","A00000106150","9Q2HJihgWLUR5wb3Dgvw3w8k3vzW4MJ/ddRwjstcOJ8=","A00000106126","2019-07-16T22:36Z","2019-12-19","N",-3.8,-25.5,0.96,49.01,51.3,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
