uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,collectDate,ovenStartDate,ovenEndDate,sampleCondition,cnSampleID,cnSampleCode,ligninSampleID,ligninSampleBarcode,archiveSampleID,archiveSampleCode,archiveMass,toxicodendronPossible,processedBy,remarks,dataQF
"84e7b810-7e12-4281-82f7-f4c5ca89e539","WREF_012.basePlot.cfc","D16","WREF","WREF_012","distributed","9Q2HJihgWLXkj3CD16Qz2/TrmCmYB8mXosqMsMsRXZs=","A00000060532","2019-07-15T20:10Z","2019-07-17T19:45Z","2019-07-25T22:50Z","OK","9Q2HJihgWLXkj3CD16Qz2/TrmCmYB8mXHBvOiCrGE2Q=","A00000106129","9Q2HJihgWLXkj3CD16Qz2/TrmCmYB8mXVngXrDFZ1j37+V7wGe5L1w==","A00000106141","9Q2HJihgWLXkj3CD16Qz2/TrmCmYB8mXxUrGmKsRLaM=","A00000106125",,,"0000-0001-9947-8001",,
"56c80b2e-d0ea-43e7-b558-3ec37a6774c8","WREF_016.basePlot.cfc","D16","WREF","WREF_016","distributed","9Q2HJihgWLVoqw+4VopyFRhK+n9jwdbof07gQkt0W40=","A00000106132","2019-07-16T17:22Z","2019-07-17T19:45Z","2019-07-25T22:20Z","OK","9Q2HJihgWLVoqw+4VopyFRhK+n9jwdbo2lRkf8JWpOU=","A00000106118","9Q2HJihgWLVoqw+4VopyFRhK+n9jwdboiyr8IPPdyKs=","A00000106124","9Q2HJihgWLVoqw+4VopyFRhK+n9jwdboT9v6FUEG7nc=","A00000106123",,,"0000-0001-9947-8001",,
"a7e5343c-dfee-4423-9ecc-6d4327545458","WREF_016.basePlot.cfc","D16","WREF","WREF_016","distributed","9Q2HJihgWLWri5SGwBhyzwJh6tC8RM9VFTt5/11swDI=","A00000106148","2019-07-16T17:45Z","2019-07-16T19:45Z","2019-07-29T20:11Z","OK","9Q2HJihgWLWri5SGwBhyzwJh6tC8RM9V9t+rh+UT1v4=","A00000106112","9Q2HJihgWLWri5SGwBhyzwJh6tC8RM9VQyNXk+SnGPLU62Rbp1Itnw==","A00000106111","9Q2HJihgWLWri5SGwBhyzwJh6tC8RM9VkdkiaxuRhGI=","A00000106107",,,"0000-0002-1029-153X",,
"42efa094-3494-4f7e-b495-fc78017a7fe6","WREF_019.basePlot.cfc","D16","WREF","WREF_019","distributed","9Q2HJihgWLVbcGqJFA9Ry0ENZVgOkZkix8WwKI32nrA=","A00000060546","2019-07-16T17:59Z","2019-07-17T19:45Z","2019-07-29T23:45Z","OK","9Q2HJihgWLVbcGqJFA9Ry0ENZVgOkZkiwLwoEOS7+N4=","A00000106418","9Q2HJihgWLVbcGqJFA9Ry0ENZVgOkZki8TupQQJ9c7RJ9kxs1b2g8w==","A00000106366","9Q2HJihgWLVbcGqJFA9Ry0ENZVgOkZkip3Ytd69B3H0=","A00000106429",,,"0000-0002-1029-153X","Caution Yew toxic if inhaled",
"2c84bda8-a091-499e-9c39-4929be0ef9db","WREF_019.basePlot.cfc","D16","WREF","WREF_019","distributed","9Q2HJihgWLWfapWu+P0gf9pD5JP2c/YKsBpzlXkG0Cc=","A00000060548","2019-07-16T20:12Z","2019-07-17T19:45Z","2019-07-25T21:45Z","OK","9Q2HJihgWLWfapWu+P0gf9pD5JP2c/YKDK0VaAiLUYk=","A00000106140","9Q2HJihgWLWfapWu+P0gf9pD5JP2c/YKHAMDnRSrw24=","A00000106142","9Q2HJihgWLWfapWu+P0gf9pD5JP2c/YKtAcjit5KhnI=","A00000106139",,,"0000-0001-9947-8001",,
"2e22ad4a-8009-4ace-bedc-15b3355ec433","WREF_004.basePlot.cfc","D16","WREF","WREF_004","distributed","9Q2HJihgWLXulDXtPAQqU+spVA5oSIpplfz89UFtLO8=","A00000106149","2019-07-16T20:20Z","2019-07-17T19:45Z","2019-07-29T21:17Z","OK","9Q2HJihgWLXulDXtPAQqU+spVA5oSIpp1iKjiGo+Q2s=","A00000106085","9Q2HJihgWLXulDXtPAQqU+spVA5oSIppHxC7gbUxvUh/KbW+/cULmw==","A00000106081","9Q2HJihgWLXulDXtPAQqU+spVA5oSIppVNqTMPXqro4=","A00000106079",,,"0000-0002-1029-153X",,
"358fddf4-63cc-4806-be63-3c3337588d2b","WREF_019.basePlot.cfc","D16","WREF","WREF_019","distributed","9Q2HJihgWLVIJ+D+b/OvLzkLgQGx0jij/xPYgL9hJ0Q=","A00000060550","2019-07-16T20:48Z","2019-07-17T19:45Z","2019-07-25T23:20Z","OK","9Q2HJihgWLVIJ+D+b/OvLzkLgQGx0jijBBHDHWNVC54=","A00000106127","9Q2HJihgWLVIJ+D+b/OvLzkLgQGx0jijPvivUzYL/lrOGyHBTUBzew==","A00000106120","9Q2HJihgWLVIJ+D+b/OvLzkLgQGx0jijcwhaS9sVROk=","A00000106122",,,"0000-0001-9947-8001",,
"872fed95-4c4a-4566-b64a-f35ea138b4b5","WREF_015.basePlot.cfc","D16","WREF","WREF_015","distributed","9Q2HJihgWLUOdesmpw+IQI7ICVqEI5YkYqA6hTZWAvs=","A00000106133","2019-07-16T22:23Z","2019-07-17T19:45Z","2019-07-25T21:10Z","OK","9Q2HJihgWLUOdesmpw+IQI7ICVqEI5YkWigF1uEpYdI=","A00000106145","9Q2HJihgWLUOdesmpw+IQI7ICVqEI5Ykulru3kcJLCE=","A00000106143","9Q2HJihgWLUOdesmpw+IQI7ICVqEI5YkI7WJ4+exAGM=","A00000106146",,,"0000-0001-9947-8001",,
"1d8ff603-d8f0-4f22-91af-b18ddaa2cd81","WREF_015.basePlot.cfc","D16","WREF","WREF_015","distributed","9Q2HJihgWLUR5wb3Dgvw3w8k3vzW4MJ/t7+BQ0tbbhM=","A00000106150","2019-07-16T22:36Z","2019-07-17T19:00Z","2019-07-25T23:05Z","OK","9Q2HJihgWLUR5wb3Dgvw3w8k3vzW4MJ/ddRwjstcOJ8=","A00000106126","9Q2HJihgWLUR5wb3Dgvw3w8k3vzW4MJ/dto1gCx2tB+dlLMo8xsMog==","A00000106128","9Q2HJihgWLUR5wb3Dgvw3w8k3vzW4MJ/VG5ygtwKrks=","A00000106144",,,"0000-0001-9947-8001",,
"4d0d6823-bec9-451c-ad6e-6567bd612a7b","WREF_011.basePlot.cfc","D16","WREF","WREF_011","distributed","9Q2HJihgWLWUa7EMozParjkvVSb4vTvD7gZJ/iZe/kY=","A00000106147","2019-07-17T17:15Z","2019-07-24T19:00Z","2019-07-29T21:50Z","OK","9Q2HJihgWLWUa7EMozParjkvVSb4vTvDOYA6GWkPDKw=","A00000106089","9Q2HJihgWLWUa7EMozParjkvVSb4vTvDaIUGvmWXodyOkLnsba/EFA==","A00000106083","9Q2HJihgWLWUa7EMozParjkvVSb4vTvD1FG6ihA5edc=","A00000106084",,,"0000-0002-1029-153X",,
"a6b85a7f-d50a-4a22-832c-012395b89eb2","WREF_009.basePlot.cfc","D16","WREF","WREF_009","distributed","9Q2HJihgWLU+zHhLO4n/buJ1tsziKC4gGlMiA6qzAJQ=","A00000060549","2019-07-17T18:15Z","2019-07-17T21:00Z","2019-07-29T18:51Z","OK","9Q2HJihgWLU+zHhLO4n/buJ1tsziKC4g9I0Nwi8iPQ0=","A00000106104","9Q2HJihgWLU+zHhLO4n/buJ1tsziKC4guPCXRRYZbAalSDMUmKQYPg==","A00000106098","9Q2HJihgWLU+zHhLO4n/buJ1tsziKC4grDlZOZFMGfE=","A00000106102",,,"0000-0002-8962-923X",,
"af9495e9-5b1f-4e6b-ae86-8c3261d6ed5f","WREF_009.basePlot.cfc","D16","WREF","WREF_009","distributed","9Q2HJihgWLVPUcPAGHYpnxq/dWbJNcijV8v6ujYy1Zw=","A00000060533","2019-07-17T18:20Z","2019-07-23T21:00Z","2019-07-29T18:04Z","OK","9Q2HJihgWLVPUcPAGHYpnxq/dWbJNcij9+IPEGuf8uQ=","A00000106113","9Q2HJihgWLVPUcPAGHYpnxq/dWbJNcij+0tZBBwECwQ=","A00000106100",,,,,"0000-0002-8962-923X",,
"23c37551-a709-49f4-a1f6-399dc0f3e196","WREF_009.basePlot.cfc","D16","WREF","WREF_009","distributed","9Q2HJihgWLX7HI726ReC504kw53qQgxiKDUfAfE+Xuo=","A00000060534","2019-07-17T18:22Z","2019-07-17T21:00Z","2019-07-29T19:34Z","OK","9Q2HJihgWLX7HI726ReC504kw53qQgxi08HqLmPAcGU=","A00000106110","9Q2HJihgWLX7HI726ReC504kw53qQgxiNynHArLtrGo=","A00000106109","9Q2HJihgWLX7HI726ReC504kw53qQgxi/mmXQnQGNgc=","A00000106080",,,"0000-0002-1029-153X",,
"e4b83611-d18f-4a9f-b532-f3eaf1ca934b","WREF_009.basePlot.cfc","D16","WREF","WREF_009","distributed","9Q2HJihgWLW8O1cZfFFY1xiiRxZiYnXQUEdiYd1+5IU=","A00000106130","2019-07-17T18:40Z","2019-07-23T21:00Z","2019-07-29T17:29Z","OK","9Q2HJihgWLW8O1cZfFFY1xiiRxZiYnXQ1pOGYM/GEHs=","A00000106103","9Q2HJihgWLW8O1cZfFFY1xiiRxZiYnXQzvvYRjuMXaF7uJAdawv5yA==","A00000106119","9Q2HJihgWLW8O1cZfFFY1xiiRxZiYnXQZjDVKGzQRrQ=","A00000106106",,,"0000-0002-8962-923X",,
"86c6810b-ee70-488c-9690-c55d8b08868e","WREF_013.basePlot.cfc","D16","WREF","WREF_013","distributed","9Q2HJihgWLUm8bZtPMej2ND1YW1ovrmJcW1NuDS7rDw=","A00000106131","2019-07-18T18:40Z","2019-07-23T21:00Z","2019-07-29T16:17Z","OK","9Q2HJihgWLUm8bZtPMej2ND1YW1ovrmJKQF8sabgKNg=","A00000106116","9Q2HJihgWLUm8bZtPMej2ND1YW1ovrmJdvLaidDFQZadKU5z17+ZzQ==","A00000106121","9Q2HJihgWLUm8bZtPMej2ND1YW1ovrmJLlaUMEx8tvQ=","A00000106117",,,"0000-0002-8962-923X",,
"311717e3-0870-4d6d-9b5e-d908450f9cb0","WREF_013.basePlot.cfc","D16","WREF","WREF_013","distributed","9Q2HJihgWLV3tU3ISqaz1cXNwO/83f9VTKIncYg9PRk=","A00000106151","2019-07-18T18:59Z","2019-07-23T21:00Z","2019-07-29T17:17Z","OK","9Q2HJihgWLV3tU3ISqaz1cXNwO/83f9VGeaU7VIOoBg=","A00000106105","9Q2HJihgWLV3tU3ISqaz1cXNwO/83f9VWjRBAvile3M=","A00000106115","9Q2HJihgWLV3tU3ISqaz1cXNwO/83f9VuCviAlqEDmg=","A00000106114",,,"0000-0002-8962-923X",,
"51ff1293-3cc4-42d2-bd88-139eb0f35db5","WREF_004.basePlot.cfc","D16","WREF","WREF_004","distributed","9Q2HJihgWLVDyhjFDcAbUZsHVivKkAqBvgOEgUIVp3o=","A00000106134","2019-07-18T21:09Z","2019-07-24T19:00Z","2019-07-29T22:14Z","OK","9Q2HJihgWLVDyhjFDcAbUZsHVivKkAqB5oEco0UifRo=","A00000106086","9Q2HJihgWLVDyhjFDcAbUZsHVivKkAqBGcaQ5Yocj5g=","A00000106090","9Q2HJihgWLVDyhjFDcAbUZsHVivKkAqBg+NGN2y1Enk=","A00000106099",,,"0000-0002-1029-153X",,
"fbdce08d-c589-49c2-a1c8-964293c76b6e","WREF_089.basePlot.cfc","D16","WREF","WREF_089","tower","9Q2HJihgWLXobC1LoSsBrp1Jk+O8mVEOF87uAq3J5tU=","A00000106135","2019-07-22T23:06Z","2019-07-25T18:20Z","2019-07-29T22:30Z","OK","9Q2HJihgWLXobC1LoSsBrp1Jk+O8mVEO7qLd/5vwO2k=","A00000106088","9Q2HJihgWLXobC1LoSsBrp1Jk+O8mVEOKCMAm2+YFU0=","A00000106087","9Q2HJihgWLXobC1LoSsBrp1Jk+O8mVEOjBBumbK/lp4=","A00000106082",,,"0000-0002-1029-153X",,
