uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,chlorophyllSampleID,chlorophyllSampleCode,collectDate,sampleCondition,extractionStartDate,extractionLength,freshMass,solventVolume,analyticalRepNumber,extractChlAConc,extractChlBConc,extractCarotConc,relativeAccuracyScale,handlingQF,measurementQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"570b2b4a-c9ed-43f3-9f0c-f4bd321befd9","WREF_012.basePlot.cfc","D16","WREF","WREF_012","distributed","9Q2HJihgWLXkj3CD16Qz2/TrmCmYB8mXosqMsMsRXZs=","A00000060532","9Q2HJihgWLXkj3CD16Qz2/TrmCmYB8mXNpMbwbddOP6XYqVSOp2dvA==","B00000053095","2019-07-15T20:10Z","OK","2019-07-29",27,0.1205,8,1,9.83,2.52,2.53,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
"eccacc6c-3bd6-4fb0-9e81-3143ed424abc","WREF_016.basePlot.cfc","D16","WREF","WREF_016","distributed","9Q2HJihgWLVoqw+4VopyFRhK+n9jwdbof07gQkt0W40=","A00000106132","9Q2HJihgWLVoqw+4VopyFRhK+n9jwdboEgojjsQevcs=","B00000053085","2019-07-16T17:22Z","OK","2019-07-29",27,0.1253,8,1,4.66,1.17,1.77,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
"12af563b-feaa-4bbf-afe7-efd8560e5ddb","WREF_016.basePlot.cfc","D16","WREF","WREF_016","distributed","9Q2HJihgWLWri5SGwBhyzwJh6tC8RM9VFTt5/11swDI=","A00000106148","9Q2HJihgWLWri5SGwBhyzwJh6tC8RM9VkfAcw+l475TAbmXOMzLJhA==","B00000053079","2019-07-16T17:45Z","OK","2019-07-29",27,0.1564,8,1,11.46,3.15,2.90,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
"3e5bc6be-7bfc-4123-b78b-7918f7c8550c","WREF_019.basePlot.cfc","D16","WREF","WREF_019","distributed","9Q2HJihgWLVbcGqJFA9Ry0ENZVgOkZkix8WwKI32nrA=","A00000060546","9Q2HJihgWLVbcGqJFA9Ry0ENZVgOkZkiLxn1LZUDdXPhCej9XkQ+4Q==","B00000041330","2019-07-16T17:59Z","OK","2019-07-29",27,0.1498,8,1,17.61,4.90,4.63,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
"da5a7a9a-118c-4fd0-9ed6-7b9be56587a3","WREF_019.basePlot.cfc","D16","WREF","WREF_019","distributed","9Q2HJihgWLWfapWu+P0gf9pD5JP2c/YKsBpzlXkG0Cc=","A00000060548","9Q2HJihgWLWfapWu+P0gf9pD5JP2c/YKISicV5IFYJg=","B00000013249","2019-07-16T20:12Z","OK","2019-07-29",27,0.1526,8,1,14.71,3.95,3.54,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
"56e1d2f3-6ca5-4d08-a562-30276e2fe91a","WREF_004.basePlot.cfc","D16","WREF","WREF_004","distributed","9Q2HJihgWLXulDXtPAQqU+spVA5oSIpplfz89UFtLO8=","A00000106149","9Q2HJihgWLXulDXtPAQqU+spVA5oSIppUaBH8hMQEdK2UYGHWy18zA==","B00000053083","2019-07-16T20:20Z","OK","2019-07-29",27,0.1398,8,1,8.70,2.12,2.46,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
"ea3a0c77-0d3e-4def-80f7-c5df6af6f10d","WREF_019.basePlot.cfc","D16","WREF","WREF_019","distributed","9Q2HJihgWLVIJ+D+b/OvLzkLgQGx0jij/xPYgL9hJ0Q=","A00000060550","9Q2HJihgWLVIJ+D+b/OvLzkLgQGx0jijUVCkqKFvf5Fi8DQbEe1GxQ==","B00000041334","2019-07-16T20:48Z","OK","2019-07-29",27,0.0960,8,1,7.99,2.30,1.86,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
"0e0a2e04-f8fa-439b-bbbf-9a540c8c0869","WREF_015.basePlot.cfc","D16","WREF","WREF_015","distributed","9Q2HJihgWLUOdesmpw+IQI7ICVqEI5YkYqA6hTZWAvs=","A00000106133","9Q2HJihgWLUOdesmpw+IQI7ICVqEI5YkzaPSRXg/MiU=","B00000053076","2019-07-16T22:23Z","OK","2019-07-29",27,0.1864,8,1,9.76,3.04,3.68,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
"e813830e-6ef6-42b4-8580-c1e28dff9003","WREF_015.basePlot.cfc","D16","WREF","WREF_015","distributed","9Q2HJihgWLUR5wb3Dgvw3w8k3vzW4MJ/t7+BQ0tbbhM=","A00000106150","9Q2HJihgWLUR5wb3Dgvw3w8k3vzW4MJ/bCnkj+fqeb+H4yBDdJTaPA==","B00000053077","2019-07-16T22:36Z","OK","2019-07-29",27,0.1241,8,1,10.95,2.76,2.74,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
"a198fa11-8282-4fbf-a7a5-c1ee66fa7a71","WREF_011.basePlot.cfc","D16","WREF","WREF_011","distributed","9Q2HJihgWLWUa7EMozParjkvVSb4vTvD7gZJ/iZe/kY=","A00000106147","9Q2HJihgWLWUa7EMozParjkvVSb4vTvDXB6XbMbyX/h+0REMdolbMA==","B00000041329","2019-07-17T17:15Z","OK","2019-07-29",27,0.1444,8,1,7.35,2.16,2.12,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
