uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,collectDate,aopCollectDate,samplingImpractical,subplotID,sampleType,samplingMethod,sampleID,sampleCode,sampleCondition,chlorophyllSampleID,chlorophyllSampleCode,chlorophyllSampleCondition,clipCellNumber,clipID,clipLength,clipWidth,percentCoverClip,toxicodendronPossible,vstTag,tagID,individualID,taxonID,scientificName,plantStatus,canopyPosition,canopyStatus,subsample1Height,subsample2Height,subsample3Height,crownPolygonID,crownPolygonConfidence,shapefileID,collectedBy,recordedBy,remarks,dataQF
"ae6e5a38-486f-4af7-9b18-36543b4131c5","WREF_012.basePlot.cfc","D16","WREF","WREF_012","distributed","evergreenForest","WGS84",45.840576,-121.863912,20.3,321.1,0.37,"NEON.DOC.001024vF","2019-07-15T20:10Z","2019-07-14",,,"Woody individual","other","9Q2HJihgWLXkj3CD16Qz2/TrmCmYB8mXosqMsMsRXZs=","A00000060532","OK","9Q2HJihgWLXkj3CD16Qz2/TrmCmYB8mXNpMbwbddOP6XYqVSOp2dvA==","B00000053095","OK",,,,,,,"Y","10000","NEON.PLA.D16.WREF.10000","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","OK",,,0.1,,,,,,"0000-0002-8962-923X","0000-0003-1908-4817","Deleaves UAV",
"1fb0ebf4-18fb-404a-9d1d-d6e31875f8c8","WREF_016.basePlot.cfc","D16","WREF","WREF_016","distributed","evergreenForest","WGS84",45.826426,-121.993608,20.2,577.9,0.34,"NEON.DOC.001024vF","2019-07-16T17:22Z",,,"31","Woody individual","other","9Q2HJihgWLVoqw+4VopyFRhK+n9jwdbof07gQkt0W40=","A00000106132","OK","9Q2HJihgWLVoqw+4VopyFRhK+n9jwdboEgojjsQevcs=","B00000053085","OK",,,,,,,"Y","09999","NEON.PLA.D16.WREF.09999","TSHE","Tsuga heterophylla (Raf.) Sarg.","OK",,,40.3,,,,,,"0000-0002-8962-923X","0000-0003-1908-4817","Deleaves UAV",
"4455af46-4f97-4312-b72e-795bc9c3126b","WREF_016.basePlot.cfc","D16","WREF","WREF_016","distributed","evergreenForest","WGS84",45.826426,-121.993608,20.2,577.9,0.34,"NEON.DOC.001024vF","2019-07-16T17:45Z",,,"31","Woody individual","other","9Q2HJihgWLWri5SGwBhyzwJh6tC8RM9VFTt5/11swDI=","A00000106148","OK","9Q2HJihgWLWri5SGwBhyzwJh6tC8RM9VkfAcw+l475TAbmXOMzLJhA==","B00000053079","OK",,,,,,,"Y","09998","NEON.PLA.D16.WREF.09998","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","OK",,,43.0,,,,,,"0000-0002-8962-923X","0000-0003-1908-4817","Deleaves UAV",
"09182497-f817-45ea-a1cc-df1d8ac7a368","WREF_019.basePlot.cfc","D16","WREF","WREF_019","distributed","evergreenForest","WGS84",45.819757,-121.968998,20.1,425.5,0.16,"NEON.DOC.001024vF","2019-07-16T17:59Z","2019-07-12",,,"Woody individual","pole pruner","9Q2HJihgWLVbcGqJFA9Ry0ENZVgOkZkix8WwKI32nrA=","A00000060546","OK","9Q2HJihgWLVbcGqJFA9Ry0ENZVgOkZkiLxn1LZUDdXPhCej9XkQ+4Q==","B00000041330","OK",,,,,,,"Y","09992","NEON.PLA.D16.WREF.09992","TABR2","Taxus brevifolia Nutt.","OK",,,6.0,,,,,,"0000-0001-9947-8001","0000-0003-2593-761X",,
"9467119e-280b-46a8-95b0-d1ea29dbf908","WREF_019.basePlot.cfc","D16","WREF","WREF_019","distributed","evergreenForest","WGS84",45.819757,-121.968998,20.1,425.5,0.16,"NEON.DOC.001024vF","2019-07-16T20:12Z","2019-07-12",,,"Woody individual","clippers","9Q2HJihgWLWfapWu+P0gf9pD5JP2c/YKsBpzlXkG0Cc=","A00000060548","OK","9Q2HJihgWLWfapWu+P0gf9pD5JP2c/YKISicV5IFYJg=","B00000013249","OK",,,,,,,"N","09986Z","NEON.PLA.D16.WREF.09986Z","ABAM","Abies amabilis (Douglas ex Loudon) Douglas ex Forbes","OK",,,3.3,,,,,,"0000-0001-9947-8001","0000-0003-2593-761X",,
"ba656316-ac0d-42a6-a0c2-1b1eac540dce","WREF_004.basePlot.cfc","D16","WREF","WREF_004","distributed","evergreenForest","WGS84",45.822941,-121.998707,20.3,567.8,0.38,"NEON.DOC.001024vF","2019-07-16T20:20Z",,,"31","Woody individual","other","9Q2HJihgWLXulDXtPAQqU+spVA5oSIpplfz89UFtLO8=","A00000106149","OK","9Q2HJihgWLXulDXtPAQqU+spVA5oSIppUaBH8hMQEdK2UYGHWy18zA==","B00000053083","OK",,,,,,,"Y","09983","NEON.PLA.D16.WREF.09983","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","OK",,,35.0,,,,,,"0000-0002-8962-923X","0000-0003-1908-4817","Deleaves UAV",
"fc6348d8-c237-4eda-844c-5f12944d7809","WREF_019.basePlot.cfc","D16","WREF","WREF_019","distributed","evergreenForest","WGS84",45.819757,-121.968998,20.1,425.5,0.16,"NEON.DOC.001024vF","2019-07-16T20:48Z","2019-07-12",,,"Woody individual","line launcher","9Q2HJihgWLVIJ+D+b/OvLzkLgQGx0jij/xPYgL9hJ0Q=","A00000060550","OK","9Q2HJihgWLVIJ+D+b/OvLzkLgQGx0jijUVCkqKFvf5Fi8DQbEe1GxQ==","B00000041334","OK",,,,,,,"Y","09997","NEON.PLA.D16.WREF.09997","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","OK",,,32.4,,,,,,"0000-0001-9947-8001","0000-0003-2593-761X",,
"db5b24a5-1bf3-4f77-8c75-dcd976cee4e5","WREF_015.basePlot.cfc","D16","WREF","WREF_015","distributed","evergreenForest","WGS84",45.826107,-122.017923,20.2,572.4,0.24,"NEON.DOC.001024vF","2019-07-16T22:26Z",,,"31","Woody individual","other","9Q2HJihgWLUOdesmpw+IQI7ICVqEI5YkYqA6hTZWAvs=","A00000106133","OK","9Q2HJihgWLUOdesmpw+IQI7ICVqEI5YkzaPSRXg/MiU=","B00000053076","OK",,,,,,,"Y","09982","NEON.PLA.D16.WREF.09982","TSHE","Tsuga heterophylla (Raf.) Sarg.","OK",,,47.3,,,,,,"0000-0002-8962-923X","0000-0003-1908-4817","Deleaves UAV",
"e83bd65a-1a8a-4542-abcb-9d6fd4f6acd9","WREF_015.basePlot.cfc","D16","WREF","WREF_015","distributed","evergreenForest","WGS84",45.826107,-122.017923,20.2,572.4,0.24,"NEON.DOC.001024vF","2019-07-16T22:36Z",,,,"Woody individual","other","9Q2HJihgWLUR5wb3Dgvw3w8k3vzW4MJ/t7+BQ0tbbhM=","A00000106150","OK","9Q2HJihgWLUR5wb3Dgvw3w8k3vzW4MJ/bCnkj+fqeb+H4yBDdJTaPA==","B00000053077","OK",,,,,,,"N","09981Z","NEON.PLA.D16.WREF.09981Z","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","OK",,,54.5,,,,,,"0000-0002-8962-923X","0000-0003-1908-4817","Deleaves UAV",
"15a1b7c7-6002-4e8b-8e8d-654bf752176a","WREF_011.basePlot.cfc","D16","WREF","WREF_011","distributed","evergreenForest","WGS84",45.834707,-121.983393,20.3,636.7,0.28,"NEON.DOC.001024vF","2019-07-17T17:15Z",,,"31","Woody individual","other","9Q2HJihgWLWUa7EMozParjkvVSb4vTvD7gZJ/iZe/kY=","A00000106147","OK","9Q2HJihgWLWUa7EMozParjkvVSb4vTvDXB6XbMbyX/h+0REMdolbMA==","B00000041329","OK",,,,,,,"Y","09980","NEON.PLA.D16.WREF.09980","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","OK",,,22.4,,,,,,"0000-0002-8962-923X","0000-0003-1908-4817","Deleaves UAV",
