uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,collectDate,ovenStartDate,ovenEndDate,sampleCondition,cnSampleID,cnSampleCode,ligninSampleID,ligninSampleBarcode,archiveSampleID,archiveSampleCode,archiveMass,toxicodendronPossible,processedBy,remarks,dataQF
"cf8dae02-a56b-4008-9b7e-e672f256aad1","SJER_047.basePlot.cfc","D17","SJER","SJER_047","tower","2kN0Z0OxE8E+lZV9RHONKqDs6ZKapv+0u7oG7Emx5WE=",,"2019-03-20T16:30Z","2019-03-25T22:00Z","2019-04-02T19:20Z","OK","2kN0Z0OxE8E+lZV9RHONKqDs6ZKapv+0NgNMwNWvMi4=","A00000062426","2kN0Z0OxE8E+lZV9RHONKqDs6ZKapv+0dH2taQTJwrkZVk6l+vhdZg==","A00000062427","2kN0Z0OxE8E+lZV9RHONKqDs6ZKapv+0KceTksNB+m4=","A00000062528",,,"0000-0002-9129-5419",,
"f4013aa9-3af8-48dc-88a7-9ba423d372b8","SJER_047.basePlot.cfc","D17","SJER","SJER_047","tower","2kN0Z0OxE8GnauhgI/8jSJpeoaSip4Y/FCxFs7NemNc=",,"2019-03-20T16:47Z","2019-03-25T22:00Z","2019-04-02T19:26Z","OK","2kN0Z0OxE8GnauhgI/8jSJpeoaSip4Y/iTQBf5fDvVk=","A00000062428","2kN0Z0OxE8GnauhgI/8jSJpeoaSip4Y/u3dAkydd+kQ6Vq1bkstX2Q==","A00000062429","2kN0Z0OxE8GnauhgI/8jSJpeoaSip4Y/n17tiVGDvN8=","A00000062534",,,"0000-0002-9129-5419",,
"74fc5a57-b2ad-4589-ba08-f5bedc8e97f8","SJER_047.basePlot.cfc","D17","SJER","SJER_047","tower","2kN0Z0OxE8EX0dPugoM0gEE18+LRfi1RArlKGlYLvwE=",,"2019-03-20T17:32Z","2019-03-25T22:00Z","2019-04-02T19:33Z","OK","2kN0Z0OxE8EX0dPugoM0gEE18+LRfi1R1/2dH0a33bc=","A00000062430","2kN0Z0OxE8EX0dPugoM0gEE18+LRfi1RNE3O4e7ObJE=","A00000062431","2kN0Z0OxE8EX0dPugoM0gEE18+LRfi1RNRz/S5GFBxs=","A00000062533",,"N","0000-0002-9129-5419",,
"a18cdb66-b470-4e52-a8a0-f67dbfaf67b8","SJER_046.basePlot.cfc","D17","SJER","SJER_046","tower","2kN0Z0OxE8F0itnBgnoWQ2DjhXjI2smSUTLiITwlIzo=",,"2019-03-21T17:26Z","2019-03-25T22:00Z","2019-04-02T18:16Z","OK","2kN0Z0OxE8F0itnBgnoWQ2DjhXjI2smSwdLx5qKxBfg=","A00000062417","2kN0Z0OxE8F0itnBgnoWQ2DjhXjI2smS2F9ZSMb03kKquz2dTI6Grg==","A00000062418","2kN0Z0OxE8F0itnBgnoWQ2DjhXjI2smSTYVaH2eZCiU=","A00000062527",,,"0000-0003-2386-8235",,
"9ce162cd-5313-4d80-9129-4e86e41c3315","SJER_046.basePlot.cfc","D17","SJER","SJER_046","tower","2kN0Z0OxE8EqZNFhaFHoFVaMnPgYDebiV1hjVWHZ0RA=",,"2019-03-21T17:55Z","2019-03-25T22:00Z","2019-04-02T18:22Z","OK","2kN0Z0OxE8EqZNFhaFHoFVaMnPgYDebir5hiznqm1og=","A00000062419","2kN0Z0OxE8EqZNFhaFHoFVaMnPgYDebiZt/Aoe0GXPftApXtvzi1yQ==","A00000062420","2kN0Z0OxE8EqZNFhaFHoFVaMnPgYDebiVDZMDtSXgd0=","A00000062526",,,"0000-0003-2386-8235",,
"78a85148-2b53-4a86-846d-c1119a407e82","SJER_046.basePlot.cfc","D17","SJER","SJER_046","tower","2kN0Z0OxE8FrgGadQFQgjyNFoYubzkbft7HCelRuUzE=",,"2019-03-21T18:26Z","2019-03-25T22:00Z","2019-04-02T19:41Z","OK","2kN0Z0OxE8FrgGadQFQgjyNFoYubzkbfDLq87hJERu0=","A00000062432","2kN0Z0OxE8FrgGadQFQgjyNFoYubzkbfH4ccuO1agQM=","A00000062433","2kN0Z0OxE8FrgGadQFQgjyNFoYubzkbfzFw33znLKyE=","A00000062525",,"N","0000-0003-2386-8235",,
"f379505b-91bc-413d-a6b7-d61213541d78","SJER_045.basePlot.cfc","D17","SJER","SJER_045","tower","2kN0Z0OxE8Eu4tQpkUVPsADW0gceKEmBYhhOnri9nEA=",,"2019-03-21T19:23Z","2019-03-25T22:00Z","2019-04-02T17:44Z","OK","2kN0Z0OxE8Eu4tQpkUVPsADW0gceKEmBst1j0keDokc=","A00000062410","2kN0Z0OxE8Eu4tQpkUVPsADW0gceKEmBnXeWnsIHOdI=","A00000062411","2kN0Z0OxE8Eu4tQpkUVPsADW0gceKEmBWefJecN8iCk=","A00000062532",,,"0000-0002-9129-5419",,
"78bd8822-2568-4e30-8c3e-6f0c4b2f2ccd","SJER_045.basePlot.cfc","D17","SJER","SJER_045","tower","2kN0Z0OxE8HrKU2Qmu4c9qyGJjwEw/YBgx2PAcfjwtY=",,"2019-03-21T20:16Z","2019-03-25T22:00Z","2019-04-02T18:01Z","OK","2kN0Z0OxE8HrKU2Qmu4c9qyGJjwEw/YByPza97TLusk=","A00000062412","2kN0Z0OxE8HrKU2Qmu4c9qyGJjwEw/YBr4p6z26MQ6UWzrpGALXyzA==","A00000062413","2kN0Z0OxE8HrKU2Qmu4c9qyGJjwEw/YBKTNfjgp9uMs=","A00000062536",,,"0000-0002-9129-5419",,
"e73ad212-1c43-4755-b243-78df7d20a79f","SJER_045.basePlot.cfc","D17","SJER","SJER_045","tower","2kN0Z0OxE8Ght+vqSNjLJvuyEWgosBDJ64mf1a8wgMY=",,"2019-03-21T20:46Z","2019-03-25T22:00Z","2019-04-02T18:08Z","OK","2kN0Z0OxE8Ght+vqSNjLJvuyEWgosBDJCq10X+AnLaQ=","A00000062414","2kN0Z0OxE8Ght+vqSNjLJvuyEWgosBDJUuOtnq1NdBQ=","A00000062415","2kN0Z0OxE8Ght+vqSNjLJvuyEWgosBDJzi5x1929RYQ=","A00000062441",,"N","0000-0002-9129-5419",,
"2f82e2d2-039f-45a2-bd5c-b7a17caff288","SJER_004.basePlot.cfc","D17","SJER","SJER_004","distributed","2kN0Z0OxE8E6yoOagSqOSRtNLSrhl99uQ0RdgD9X3OE=",,"2019-03-26T15:29Z","2019-03-29T00:00Z","2019-04-02T17:37Z","OK","2kN0Z0OxE8E6yoOagSqOSRtNLSrhl99uqGG6511x7xk=","A00000062407","2kN0Z0OxE8E6yoOagSqOSRtNLSrhl99uv6BVobtmjj0=","A00000062408","2kN0Z0OxE8E6yoOagSqOSRtNLSrhl99uffB+mB08TyA=","A00000062409",,"N","0000-0002-9129-5419",,
