uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,ligninSampleID,ligninSampleBarcode,collectDate,analysisDate,analyticalRepNumber,dryMass,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"6a52bb85-4890-429d-b9a6-63872600a720","SJER_047.basePlot.cfc","D17","SJER","SJER_047","tower","2kN0Z0OxE8E+lZV9RHONKqDs6ZKapv+0u7oG7Emx5WE=",,"2kN0Z0OxE8E+lZV9RHONKqDs6ZKapv+0dH2taQTJwrkZVk6l+vhdZg==","A00000062427","2019-03-20T16:30Z","2020-01-30",1,0.486,14.47,15.85,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"32616ffe-477e-453e-8340-f9c6b0938d08","SJER_047.basePlot.cfc","D17","SJER","SJER_047","tower","2kN0Z0OxE8GnauhgI/8jSJpeoaSip4Y/FCxFs7NemNc=",,"2kN0Z0OxE8GnauhgI/8jSJpeoaSip4Y/u3dAkydd+kQ6Vq1bkstX2Q==","A00000062429","2019-03-20T16:47Z","2020-01-30",1,0.484,7.57,8.13,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"fc6b5b82-96fc-4589-81c5-e3c10dab9b4e","SJER_047.basePlot.cfc","D17","SJER","SJER_047","tower","2kN0Z0OxE8EX0dPugoM0gEE18+LRfi1RArlKGlYLvwE=",,"2kN0Z0OxE8EX0dPugoM0gEE18+LRfi1RNE3O4e7ObJE=","A00000062431","2019-03-20T17:32Z","2020-01-30",1,0.484,3.07,21.75,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"f666e2b7-ead8-44e5-9222-3bcefe4819e2","SJER_046.basePlot.cfc","D17","SJER","SJER_046","tower","2kN0Z0OxE8F0itnBgnoWQ2DjhXjI2smSUTLiITwlIzo=",,"2kN0Z0OxE8F0itnBgnoWQ2DjhXjI2smS2F9ZSMb03kKquz2dTI6Grg==","A00000062418","2019-03-21T17:26Z","2020-01-30",1,0.489,8.78,7.21,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"5ac0e25b-86d9-46ed-a97e-777112ac4e06","SJER_046.basePlot.cfc","D17","SJER","SJER_046","tower","2kN0Z0OxE8EqZNFhaFHoFVaMnPgYDebiV1hjVWHZ0RA=",,"2kN0Z0OxE8EqZNFhaFHoFVaMnPgYDebiZt/Aoe0GXPftApXtvzi1yQ==","A00000062420","2019-03-21T17:55Z","2020-01-30",1,0.484,19.58,12.36,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"9f3c14dd-0f64-4c44-b766-a9ab4b8ea2a4","SJER_046.basePlot.cfc","D17","SJER","SJER_046","tower","2kN0Z0OxE8FrgGadQFQgjyNFoYubzkbft7HCelRuUzE=",,"2kN0Z0OxE8FrgGadQFQgjyNFoYubzkbfH4ccuO1agQM=","A00000062433","2019-03-21T18:26Z","2020-01-30",1,0.457,2.64,18.89,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"4076d31a-797a-41e5-8604-f813f8f89b74","SJER_045.basePlot.cfc","D17","SJER","SJER_045","tower","2kN0Z0OxE8Eu4tQpkUVPsADW0gceKEmBYhhOnri9nEA=",,"2kN0Z0OxE8Eu4tQpkUVPsADW0gceKEmBnXeWnsIHOdI=","A00000062411","2019-03-21T19:23Z","2020-01-30",1,0.461,5.67,13.25,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"61e4d022-de0a-42c7-92ae-19fb6eb9e2c6","SJER_045.basePlot.cfc","D17","SJER","SJER_045","tower","2kN0Z0OxE8HrKU2Qmu4c9qyGJjwEw/YBgx2PAcfjwtY=",,"2kN0Z0OxE8HrKU2Qmu4c9qyGJjwEw/YBr4p6z26MQ6UWzrpGALXyzA==","A00000062413","2019-03-21T20:16Z","2020-01-30",1,0.495,5.20,11.37,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"9b1191f0-f41d-4496-b87a-2ee788039cd2","SJER_045.basePlot.cfc","D17","SJER","SJER_045","tower","2kN0Z0OxE8Ght+vqSNjLJvuyEWgosBDJ64mf1a8wgMY=",,"2kN0Z0OxE8Ght+vqSNjLJvuyEWgosBDJUuOtnq1NdBQ=","A00000062415","2019-03-21T20:46Z","2020-01-30",1,0.452,2.66,19.87,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"f7793d97-9343-437d-a764-63f1ecd1d997","SJER_004.basePlot.cfc","D17","SJER","SJER_004","distributed","2kN0Z0OxE8E6yoOagSqOSRtNLSrhl99uQ0RdgD9X3OE=",,"2kN0Z0OxE8E6yoOagSqOSRtNLSrhl99uv6BVobtmjj0=","A00000062408","2019-03-26T15:29Z","2020-01-30",1,0.454,5.31,26.10,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"758976df-9b7f-4580-bb4b-351bf3e5095d","SJER_004.basePlot.cfc","D17","SJER","SJER_004","distributed","2kN0Z0OxE8HY/ANLaNM/Z9TQ8MtVrOUgeHOsKlcNqQc=",,"2kN0Z0OxE8HY/ANLaNM/Z9TQ8MtVrOUgskmFxuSlXy403PpBLBAhDg==","A00000062396","2019-03-26T16:00Z","2020-01-30",1,0.475,4.65,9.40,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"2e2beb5b-8af1-41ba-a87b-9c4c8d80093a","SJER_005.basePlot.cfc","D17","SJER","SJER_005","distributed","2kN0Z0OxE8Hr/ST52veN+F/G0i29hKz+bdOTAX8+mww=",,"2kN0Z0OxE8Hr/ST52veN+F/G0i29hKz+/ZRumtGCB10=","A00000061802","2019-03-26T17:15Z","2020-01-30",1,0.468,3.47,16.87,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"849bcec6-fba3-4ab3-9f33-cd5752d69e15","SJER_005.basePlot.cfc","D17","SJER","SJER_005","distributed","2kN0Z0OxE8GoTaF3l2eqwKj52kbWxr61oywLpDSGm6Y=",,"2kN0Z0OxE8GoTaF3l2eqwKj52kbWxr61N7ZM6nE/+I4=","A00000062391","2019-03-26T17:53Z","2020-01-30",1,0.469,7.97,8.03,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"617b4e19-79d8-4e97-86e9-1401149185ec","SJER_007.basePlot.cfc","D17","SJER","SJER_007","distributed","2kN0Z0OxE8ElZr6rYAw5km9PPEYuhOJY8zUsBFnwhxU=",,"2kN0Z0OxE8ElZr6rYAw5km9PPEYuhOJYI2U37KBlQTE=","A00000061791","2019-03-26T19:11Z","2020-01-30",1,0.470,1.59,17.33,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"d09a31d5-b10a-4218-9fda-feaa8b364e3f","SJER_007.basePlot.cfc","D17","SJER","SJER_007","distributed","2kN0Z0OxE8EXpOZcskMA8lOknWoTJAhLhpKrhYkVQ4Y=",,"2kN0Z0OxE8EXpOZcskMA8lOknWoTJAhLZNeX89E2oag=","A00000062394","2019-03-26T19:52Z","2020-01-30",1,0.475,5.23,9.99,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"8570f5cb-a0a9-4df1-9be2-fcf332cef234","SJER_006.basePlot.cfc","D17","SJER","SJER_006","distributed","2kN0Z0OxE8HK7y4Ug7B/m9gTIZ4LtbgRdQ3N0I6UUbw=",,"2kN0Z0OxE8HK7y4Ug7B/m9gTIZ4LtbgRKIX3BDglsPs=","A00000061797","2019-03-27T15:08Z","2020-01-30",1,0.486,3.00,21.98,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
