uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,cnSampleID,cnSampleCode,collectDate,analysisDate,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"079b108f-b5ec-439f-a44c-8be55d39247d","SJER_048.basePlot.cfc","D17","SJER","SJER_048","tower","2kN0Z0OxE8FbunuCHxxhdmtFX92gO6GPKn7GRNB0PbM=",,"2kN0Z0OxE8FbunuCHxxhdmtFX92gO6GPr0Xy7KNnMTg=","A00000062585","2019-04-01T16:37Z","2019-05-29","N",-1.3,-26.3,1.74,47.93,27.6,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"b2bcfd68-1841-4950-b526-5280706bbdf0","SJER_048.basePlot.cfc","D17","SJER","SJER_048","tower","2kN0Z0OxE8EAWNsz9V0k7ht/rPnqpg87YBYVo0QVsXY=",,"2kN0Z0OxE8EAWNsz9V0k7ht/rPnqpg87g9SeeJKUys0=","A00000062581","2019-04-01T21:01Z","2019-05-29","N",-0.6,-28.5,2.26,50.00,22.1,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"b85db3fc-f60a-4969-982a-623c623fc6b8","SJER_048.basePlot.cfc","D17","SJER","SJER_048","tower","2kN0Z0OxE8FvZ+ZPocAGur2L3+lkxllVx54ToApkGcY=",,"2kN0Z0OxE8FvZ+ZPocAGur2L3+lkxllV5czlFvDa+vw=","A00000062580","2019-04-03T07:21Z","2019-05-29","N",1.7,-29.9,2.44,42.85,17.6,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"e9ce6ef0-95eb-44b1-8e62-bf83880a57a7","SJER_048.basePlot.cfc","D17","SJER","SJER_048","tower","2kN0Z0OxE8FvZ+ZPocAGur2L3+lkxllVx54ToApkGcY=",,"2kN0Z0OxE8FvZ+ZPocAGur2L3+lkxllV5czlFvDa+vw=","A00000062580","2019-04-03T07:21Z","2019-05-29","N",1.4,-29.9,2.49,42.43,17.1,"OK","OK","OK","OK",2,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"828d26e4-fdc0-4e2f-8f77-41d9ac31b6d0","SJER_009.basePlot.cfc","D17","SJER","SJER_009","distributed","2kN0Z0OxE8GTUdNsBIzfR/KftHYeEm/X9B+ZS+y2X+8=",,"2kN0Z0OxE8GTUdNsBIzfR/KftHYeEm/X5Oc2BFjJ3E4=","A00000062553","2019-04-03T14:56Z","2019-05-29","N",-0.8,-30.1,1.23,39.44,32.2,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"6bb0e0c8-0cae-4bc2-b65f-e6fc1872ec05","SJER_045.basePlot.cfc","D17","SJER","SJER_045","tower","2kN0Z0OxE8Ght+vqSNjLJrxI0Xu/o1jOisirSliQcWM=",,"2kN0Z0OxE8Ght+vqSNjLJrxI0Xu/o1jOgUstheesDG8=","A00000062591","2019-04-03T16:37Z","2019-05-29","N",-1.2,-30.2,1.89,42.74,22.6,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"be5e62ec-1ecf-4147-ab12-aa56030bd3b5","SJER_015.basePlot.cfc","D17","SJER","SJER_015","distributed","2kN0Z0OxE8FjCRHv1/2ezDQlvpjDBOcPOL2MJlZpkVI=",,"2kN0Z0OxE8FjCRHv1/2ezDQlvpjDBOcPMFDzLt+inAg=","A00000062558","2019-04-03T16:58Z","2019-05-29","N",-0.5,-25.3,3.98,48.20,12.1,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"2fbf38f9-fc67-4c13-931f-7f67d4664eee","SJER_015.basePlot.cfc","D17","SJER","SJER_015","distributed","2kN0Z0OxE8FjCRHv1/2ezDQlvpjDBOcPOL2MJlZpkVI=",,"2kN0Z0OxE8FjCRHv1/2ezDQlvpjDBOcPMFDzLt+inAg=","A00000062558","2019-04-03T16:58Z","2019-05-29","N",-0.5,-25.3,3.95,48.22,12.2,"OK","OK","OK","OK",2,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"81647c1c-3c9b-415d-8dad-18073f951e66","SJER_009.basePlot.cfc","D17","SJER","SJER_009","distributed","2kN0Z0OxE8HnCvFue5ndWX7TBrxc1u8M6GB2cNtVo4Y=",,"2kN0Z0OxE8HnCvFue5ndWX7TBrxc1u8MIYWdFckq9Xw=","A00000062556","2019-04-03T17:02Z","2019-05-29","N",-1.1,-27.3,1.98,52.83,26.6,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"b4d83a71-7fa6-45df-876c-15d05a2737d7","SJER_046.basePlot.cfc","D17","SJER","SJER_046","tower","2kN0Z0OxE8FrgGadQFQgj0H6RFOj0PpEjxT4aQRBohM=",,"2kN0Z0OxE8FrgGadQFQgj0H6RFOj0PpE7Cx1jnXwnqg=","A00000062568","2019-04-03T17:26Z","2019-05-29","N",-3.7,-31.2,2.07,41.65,20.2,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"019cb642-4299-4c42-88fd-87dd59472e4e","SJER_015.basePlot.cfc","D17","SJER","SJER_015","distributed","2kN0Z0OxE8FERIW0ws+1VoXneT8WCPD0k9Co2qSprNI=",,"2kN0Z0OxE8FERIW0ws+1VoXneT8WCPD0uH3PRDt8SzA=","A00000062541","2019-04-03T17:43Z","2019-05-29","N",-2.2,-30.3,2.10,44.14,21.1,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"af30fa99-b99e-4642-a2f9-9e1d4866007d","SJER_048.basePlot.cfc","D17","SJER","SJER_048","tower","2kN0Z0OxE8FvZ+ZPocAGunJU345aG/BSrqVeiLmDVdI=",,"2kN0Z0OxE8FvZ+ZPocAGunJU345aG/BSnPtwFv9QJn8=","A00000062589","2019-04-03T18:38Z","2019-05-29","N",-0.6,-29.7,1.70,42.47,25.0,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
