uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,ligninSampleID,ligninSampleBarcode,collectDate,analysisDate,analyticalRepNumber,dryMass,digestVolume,foliarPhosphorusConc,foliarPotassiumConc,foliarCalciumConc,foliarMagnesiumConc,foliarSulfurConc,foliarManganeseConc,foliarIronConc,foliarCopperConc,foliarBoronConc,foliarZincConc,foliarPhosphorusQF,foliarPotassiumQF,foliarCalciumQF,foliarMagnesiumQF,foliarSulfurQF,foliarManganeseQF,foliarIronQF,foliarCopperQF,foliarBoronQF,foliarZincQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"80d3f017-7b1e-4ed6-91fc-887fa61a98bb","SJER_048.basePlot.cfc","D17","SJER","SJER_048","tower","2kN0Z0OxE8FbunuCHxxhdmtFX92gO6GPKn7GRNB0PbM=",,"2kN0Z0OxE8FbunuCHxxhdmtFX92gO6GPi2d8Ci/JliZNBkkzKsGhmQ==","A00000062586","2019-04-01T16:37Z","2020-01-21",1,0.202,25,0.204,0.988,0.397,0.273,0.121,84.4,47.4,5.1,10.2,28.5,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","PG+Xl6bagiQ=","0SbE4/OAjEQ=",
"d42268f2-3645-4c92-acf0-1b10ac0ac694","SJER_048.basePlot.cfc","D17","SJER","SJER_048","tower","2kN0Z0OxE8EAWNsz9V0k7ht/rPnqpg87YBYVo0QVsXY=",,"2kN0Z0OxE8EAWNsz9V0k7ht/rPnqpg87Vspug8ySgKsdKJKl0q7xxA==","A00000062583","2019-04-01T21:01Z","2020-01-21",1,0.201,25,0.199,0.924,1.157,0.196,0.129,60.6,53.0,4.0,27.4,29.9,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","PG+Xl6bagiQ=","0SbE4/OAjEQ=",
"aed41345-cd4a-49f1-9270-150e3d148e20","SJER_048.basePlot.cfc","D17","SJER","SJER_048","tower","2kN0Z0OxE8FvZ+ZPocAGur2L3+lkxllVx54ToApkGcY=",,"2kN0Z0OxE8FvZ+ZPocAGur2L3+lkxllVof/odOoP/9M=","A00000062548","2019-04-03T07:21Z","2020-01-21",1,0.196,25,0.437,3.717,0.903,0.193,0.183,76.3,433.1,8.2,14.9,43.6,"OK","OK","OK","OK","OK","OK","sample value outlier - soil contamination","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","PG+Xl6bagiQ=","0SbE4/OAjEQ=",
"19299908-a3cb-4302-b01a-c81962a3d8c7","SJER_009.basePlot.cfc","D17","SJER","SJER_009","distributed","2kN0Z0OxE8GTUdNsBIzfR/KftHYeEm/X9B+ZS+y2X+8=",,"2kN0Z0OxE8GTUdNsBIzfR/KftHYeEm/XojqHjXY5CcI=","A00000062555","2019-04-03T14:56Z","2020-01-21",1,0.201,25,0.287,1.468,1.079,0.250,0.127,168.8,2322.0,6.0,11.3,36.8,"OK","OK","OK","OK","OK","OK","sample value outlier - soil contamination","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","PG+Xl6bagiQ=","0SbE4/OAjEQ=",
"64c3a46e-da6c-4e20-ade2-98ca25611c12","SJER_045.basePlot.cfc","D17","SJER","SJER_045","tower","2kN0Z0OxE8Ght+vqSNjLJrxI0Xu/o1jOisirSliQcWM=",,"2kN0Z0OxE8Ght+vqSNjLJrxI0Xu/o1jOCDu5pgVdW8k=","A00000062592","2019-04-03T16:37Z","2020-01-21",1,0.205,25,0.362,2.186,1.037,0.161,0.131,116.6,721.5,4.9,9.9,27.7,"OK","OK","OK","OK","OK","OK","sample value outlier - soil contamination","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","PG+Xl6bagiQ=","0SbE4/OAjEQ=",
"a8a9bf9c-e934-4bb0-96b4-c1a68bfe66ab","SJER_015.basePlot.cfc","D17","SJER","SJER_015","distributed","2kN0Z0OxE8FjCRHv1/2ezDQlvpjDBOcPOL2MJlZpkVI=",,"2kN0Z0OxE8FjCRHv1/2ezDQlvpjDBOcPWxU54GFyy6Y=","A00000062552","2019-04-03T16:58Z","2020-01-21",1,0.205,25,0.528,1.540,0.377,0.193,0.240,137.1,72.9,10.0,10.1,51.3,"sample value outlier","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","PG+Xl6bagiQ=","0SbE4/OAjEQ=",
"1146edde-001d-4d1b-b32d-9a43c57c1790","SJER_009.basePlot.cfc","D17","SJER","SJER_009","distributed","2kN0Z0OxE8HnCvFue5ndWX7TBrxc1u8M6GB2cNtVo4Y=",,"2kN0Z0OxE8HnCvFue5ndWX7TBrxc1u8MjtURgey11pb2APbJV1k+ew==","A00000062550","2019-04-03T17:02Z","2020-01-21",1,0.199,25,0.110,0.357,0.381,0.230,0.119,83.6,74.7,2.3,4.6,54.9,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","PG+Xl6bagiQ=","0SbE4/OAjEQ=",
"1e4093e2-b05e-473d-b6e0-d9d44ef14c78","SJER_046.basePlot.cfc","D17","SJER","SJER_046","tower","2kN0Z0OxE8FrgGadQFQgj0H6RFOj0PpEjxT4aQRBohM=",,"2kN0Z0OxE8FrgGadQFQgj0H6RFOj0PpEg5WB16S4VuI=","A00000062593","2019-04-03T17:26Z","2020-01-21",1,0.196,25,0.658,2.905,2.352,0.198,0.160,82.2,886.8,6.5,15.4,31.2,"sample value outlier","OK","OK","OK","OK","OK","sample value outlier - soil contamination","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","PG+Xl6bagiQ=","0SbE4/OAjEQ=",
"672a40f6-b55f-432e-86b2-e35582c9779b","SJER_015.basePlot.cfc","D17","SJER","SJER_015","distributed","2kN0Z0OxE8FERIW0ws+1VoXneT8WCPD0k9Co2qSprNI=",,"2kN0Z0OxE8FERIW0ws+1VoXneT8WCPD0HqH/tiFuHlQ=","A00000062538","2019-04-03T17:43Z","2020-01-21",1,0.194,25,0.438,3.172,0.365,0.114,0.162,55.5,45.7,6.7,3.6,20.9,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","PG+Xl6bagiQ=","0SbE4/OAjEQ=",
"5b8de61b-df3b-485c-bc24-2547b4a02c44","SJER_048.basePlot.cfc","D17","SJER","SJER_048","tower","2kN0Z0OxE8FvZ+ZPocAGunJU345aG/BSrqVeiLmDVdI=",,"2kN0Z0OxE8FvZ+ZPocAGunJU345aG/BSk/5h6FGqUsQ=","A00000062588","2019-04-03T18:38Z","2020-01-21",1,0.201,25,0.465,2.974,1.172,0.143,0.140,87.6,139.9,8.8,21.8,38.9,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","PG+Xl6bagiQ=","0SbE4/OAjEQ=",
"a118e290-96de-4de3-971b-649033888a08","SJER_003.basePlot.cfc","D17","SJER","SJER_003","distributed","2kN0Z0OxE8HugOOS5aI78UJ06dBBkK4h1prhWWePPAk=",,"2kN0Z0OxE8HugOOS5aI78UJ06dBBkK4hDWdS5DNItHg=","A00000062573","2019-04-03T20:47Z","2020-01-21",1,0.202,25,0.573,1.411,0.676,0.223,0.266,222.2,91.2,15.1,12.9,37.9,"sample value outlier","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","PG+Xl6bagiQ=","0SbE4/OAjEQ=",
"0b255651-f5a9-419b-bf6a-800cbd9fd637","SJER_026.basePlot.cfc","D17","SJER","SJER_026","distributed","2kN0Z0OxE8F96tPbOqtRuwF5wRXFyecz8JPbBVdLqk8=",,"2kN0Z0OxE8F96tPbOqtRuwF5wRXFyeczesJ9I+fZX3I=","A00000062564","2019-04-04T16:10Z","2020-01-21",1,0.200,25,0.435,4.225,0.757,0.354,0.155,193.3,398.9,6.9,23.0,49.6,"OK","sample value outlier","OK","OK","OK","OK","sample value outlier - soil contamination","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","PG+Xl6bagiQ=","0SbE4/OAjEQ=",
"350efdf3-fbb1-44da-8c29-5791d9f39485","SJER_026.basePlot.cfc","D17","SJER","SJER_026","distributed","2kN0Z0OxE8GyduLCKugxGNFIU3+a/qPoMrhTZoS3228=",,"2kN0Z0OxE8GyduLCKugxGNFIU3+a/qPoaJn9BoZaPP8=","A00000062557","2019-04-04T16:11Z","2020-01-21",1,0.197,25,0.164,0.862,1.060,0.138,0.094,80.8,41.5,3.2,14.1,16.3,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","PG+Xl6bagiQ=","0SbE4/OAjEQ=",
"c919011e-1d79-4a67-ac65-378236f0dd7f","SJER_008.basePlot.cfc","D17","SJER","SJER_008","distributed","2kN0Z0OxE8GjYELjXDBJboeoXCj1L+HRzFVRlGfQB+Y=",,"2kN0Z0OxE8GjYELjXDBJboeoXCj1L+HRVdecs6+pPglTq1tPBgRu5Q==","A00000062577","2019-04-04T17:33Z","2020-01-21",1,0.196,25,0.132,0.357,0.199,0.145,0.096,97.3,57.5,2.6,7.5,26.5,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","PG+Xl6bagiQ=","0SbE4/OAjEQ=",
"183e6b3e-5a91-4c02-afe0-b944c54a646f","SJER_008.basePlot.cfc","D17","SJER","SJER_008","distributed","2kN0Z0OxE8F8MADKxc+rjmuSdY4D/cqSVLV20xmvIZE=",,"2kN0Z0OxE8F8MADKxc+rjmuSdY4D/cqSknUyCi6rxe3cDf+LQoWIIw==","A00000062563","2019-04-04T18:03Z","2020-01-21",1,0.199,25,0.199,0.910,0.520,0.274,0.118,180.3,40.6,5.6,13.1,28.4,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","PG+Xl6bagiQ=","0SbE4/OAjEQ=",
"86cedb75-c555-4dd4-9ab7-88c985067a05","SJER_008.basePlot.cfc","D17","SJER","SJER_008","distributed","2kN0Z0OxE8EP2R18FeHmGS9RWTusOpGi5/mzitZyqOk=",,"2kN0Z0OxE8EP2R18FeHmGS9RWTusOpGi6vdHelMZaR4=","A00000062544","2019-04-04T18:29Z","2020-01-21",1,0.201,25,0.175,1.010,1.856,0.153,0.142,34.3,78.5,2.1,17.5,14.1,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","PG+Xl6bagiQ=","0SbE4/OAjEQ=",
"dabbbdbf-37a8-457e-a69e-d97b088fd4c8","SJER_002.basePlot.cfc","D17","SJER","SJER_002","distributed","2kN0Z0OxE8FOVQnny45Emugbd0kRbBkrGx4RXO3ZXl0=",,"2kN0Z0OxE8FOVQnny45Emugbd0kRbBkrF81E5+2uhjk=","A00000062542","2019-04-04T20:34Z","2020-01-21",1,0.201,25,0.357,2.795,0.437,0.122,0.156,59.4,320.5,2.9,5.1,21.3,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","PG+Xl6bagiQ=","0SbE4/OAjEQ=",
"00274682-bf21-443f-bc97-0d2bfb418ff9","SJER_002.basePlot.cfc","D17","SJER","SJER_002","distributed","2kN0Z0OxE8HCA8hquz9rEPqWBNpqv+o1nt3tdzB8/qs=",,"2kN0Z0OxE8HCA8hquz9rEPqWBNpqv+o1UURk7vz/fslLE8CppgPFvg==","A00000062566","2019-04-04T20:37Z","2020-01-21",1,0.195,25,0.129,0.711,0.365,0.187,0.120,127.4,46.9,2.6,7.3,23.0,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","PG+Xl6bagiQ=","0SbE4/OAjEQ=",
