uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,collectDate,ovenStartDate,ovenEndDate,sampleCondition,cnSampleID,cnSampleCode,ligninSampleID,ligninSampleBarcode,archiveSampleID,archiveSampleCode,archiveMass,toxicodendronPossible,processedBy,remarks,dataQF
"68166964-f364-43f6-b446-264138bf929a","BONA_009.basePlot.cfc","D19","BONA","BONA_009","distributed","7uHsYbyZiKYpIqVBjn617HtT0zdJWFRYZJtUNsLPdhs=","A00000100429","2019-07-30T19:27Z","2019-08-02T02:00Z","2019-08-07T00:20Z","OK","7uHsYbyZiKYpIqVBjn617HtT0zdJWFRYk+1AwrFyKE8=","A00000100844","7uHsYbyZiKYpIqVBjn617HtT0zdJWFRY8B8NYrJrtr9D3aj3KTonew==","A00000100845","7uHsYbyZiKYpIqVBjn617HtT0zdJWFRYSKsqJEyJTbs=","A00000100843",,,"0000-0003-0373-3632",,
"f6480d6f-a63c-460b-8248-d7f2658d9800","BONA_002.basePlot.cfc","D19","BONA","BONA_002","distributed","7uHsYbyZiKarS7f4SCX5HZPalJChUODfK+bv2RaTHvE=","A00000100427","2019-07-30T21:04Z","2019-08-02T02:00Z","2019-08-07T00:20Z","OK","7uHsYbyZiKarS7f4SCX5HZPalJChUODfzHy1jbk7gNM=","A00000100874","7uHsYbyZiKarS7f4SCX5HZPalJChUODfDhwfqBGyG5mHzl42D8DHTw==","A00000100875",,,,,"0000-0003-0373-3632",,
"5ce8fcfc-b7d2-4c87-9d87-33cc6c0dad03","BONA_002.basePlot.cfc","D19","BONA","BONA_002","distributed","7uHsYbyZiKarS7f4SCX5HaDez9hoK2LZyeAyR1L4nR4=","A00000100428","2019-07-30T21:18Z","2019-08-02T02:00Z","2019-08-07T00:20Z","OK","7uHsYbyZiKarS7f4SCX5HaDez9hoK2LZUvpzOZPI81w=","A00000100872","7uHsYbyZiKarS7f4SCX5HaDez9hoK2LZXspoQ4/eGeIMqka+Y2Q3dg==","A00000100873",,,,,"0000-0003-0373-3632",,
"ab8d7260-5843-4d12-abb4-cc82ae03a445","BONA_002.basePlot.cfc","D19","BONA","BONA_002","distributed","7uHsYbyZiKbYHKIT5J66sJo290vFPfedeMYJE1irvss=","A00000100422","2019-07-30T21:25Z","2019-08-02T02:00Z","2019-08-07T00:20Z","OK","7uHsYbyZiKbYHKIT5J66sJo290vFPfedWKrsH9tKGn4=","A00000100865","7uHsYbyZiKbYHKIT5J66sJo290vFPfed0b3Vif3fqNc=","A00000100866","7uHsYbyZiKbYHKIT5J66sJo290vFPfedA9S0LEIsMSA=","A00000100864",,,"0000-0003-0373-3632",,
"98362f1a-8a62-4144-8145-28f4ed849735","BONA_002.basePlot.cfc","D19","BONA","BONA_002","distributed","7uHsYbyZiKZ4OUls7JENbxFm7ouhSBI4QrK+r3VWv3U=","A00000100413","2019-07-30T21:56Z","2019-08-02T02:00Z","2019-08-07T00:20Z","OK","7uHsYbyZiKZ4OUls7JENbxFm7ouhSBI4K0xdy0qWQcU=","A00000100833","7uHsYbyZiKZ4OUls7JENbxFm7ouhSBI4lH1IPHZN1nJGdvS6Jbxk+A==","A00000100697","7uHsYbyZiKZ4OUls7JENbxFm7ouhSBI4IPYDw/N03bY=","A00000100832",,,"0000-0003-0373-3632",,
"793cfcff-b594-4c1f-a83c-7834aa7a7aa7","BONA_002.basePlot.cfc","D19","BONA","BONA_002","distributed","7uHsYbyZiKbYHKIT5J66sEtl1dxRSPgdKZ3RH4VpQC8=","A00000100421","2019-07-30T23:30Z","2019-08-06T23:45Z","2019-08-10T00:58Z","other","7uHsYbyZiKbYHKIT5J66sEtl1dxRSPgd145oZZVpwKA=","A00000100819","7uHsYbyZiKbYHKIT5J66sEtl1dxRSPgdaofDkjbSJpU=","A00000100818","7uHsYbyZiKbYHKIT5J66sEtl1dxRSPgdWQRtZeg8yx0=","A00000100846",,,"0000-0003-0373-3632","Sample held at 4C for 7 days before processing. Sample appears robust with no decay detected.",
"82ca4e5c-d416-4cad-89a0-d1798b8dd734","BONA_093.basePlot.cfc","D19","BONA","BONA_093","tower","7uHsYbyZiKbckXNmhgGb+cW187dVOCdnoxmtj/Xu91M=","A00000100423","2019-07-31T18:20Z","2019-08-02T02:00Z","2019-08-07T00:20Z","OK","7uHsYbyZiKbckXNmhgGb+cW187dVOCdnd00aXfQPVF0=","A00000100838","7uHsYbyZiKbckXNmhgGb+cW187dVOCdnO9n+kf0HD2s=","A00000100839","7uHsYbyZiKbckXNmhgGb+cW187dVOCdnynt3TTeB/Hw=","A00000100837",,,"0000-0003-0373-3632",,
"16c91fe6-2786-4cf5-8232-4f43e68d4511","BONA_093.basePlot.cfc","D19","BONA","BONA_093","tower","7uHsYbyZiKbckXNmhgGb+XeHq+6C06KSeZF8qd2yRpQ=","A00000100424","2019-07-31T18:35Z","2019-08-02T02:00Z","2019-08-07T00:20Z","OK","7uHsYbyZiKbckXNmhgGb+XeHq+6C06KShJfNDsZ9IbI=","A00000100862","7uHsYbyZiKbckXNmhgGb+XeHq+6C06KS8dh2rQCIMmg=","A00000100863","7uHsYbyZiKbckXNmhgGb+XeHq+6C06KSeBwBnYR/sIc=","A00000100861",,,"0000-0003-0373-3632",,
"6989b0d2-cc41-4ffb-857b-d5f52ea62a47","BONA_093.basePlot.cfc","D19","BONA","BONA_093","tower","7uHsYbyZiKbckXNmhgGb+ZTo5YyCG+8+xxIVBhRYQEM=","A00000100425","2019-07-31T18:48Z","2019-08-02T02:00Z","2019-08-07T00:20Z","OK","7uHsYbyZiKbckXNmhgGb+ZTo5YyCG+8+lBi8aVD+/Bw=","A00000100859","7uHsYbyZiKbckXNmhgGb+ZTo5YyCG+8+cniOK2qR3oU=","A00000100860","7uHsYbyZiKbckXNmhgGb+ZTo5YyCG+8+DU5M3kuQ/IM=","A00000100858",,,"0000-0003-0373-3632",,
"91810fbe-7c9c-406e-927a-4285a49a37dc","BONA_093.basePlot.cfc","D19","BONA","BONA_093","tower","7uHsYbyZiKbJt6v1K4IZpQQlSC6S4GjVmxBHHZFVrzU=","A00000100412","2019-07-31T18:58Z","2019-08-02T02:00Z","2019-08-07T00:20Z","OK","7uHsYbyZiKbJt6v1K4IZpQQlSC6S4GjVALn7akpWLI0=","A00000100856","7uHsYbyZiKbJt6v1K4IZpQQlSC6S4GjVA4ODDwgOPTb89FYry5biNg==","A00000100857","7uHsYbyZiKbJt6v1K4IZpQQlSC6S4GjVgP+bLMpn5cI=","A00000100855",,,"0000-0003-0373-3632",,
