uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,ligninSampleID,ligninSampleBarcode,collectDate,analysisDate,analyticalRepNumber,dryMass,digestVolume,foliarPhosphorusConc,foliarPotassiumConc,foliarCalciumConc,foliarMagnesiumConc,foliarSulfurConc,foliarManganeseConc,foliarIronConc,foliarCopperConc,foliarBoronConc,foliarZincConc,foliarPhosphorusQF,foliarPotassiumQF,foliarCalciumQF,foliarMagnesiumQF,foliarSulfurQF,foliarManganeseQF,foliarIronQF,foliarCopperQF,foliarBoronQF,foliarZincQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"d09ace8e-abba-4706-8cba-cf645ece90ea","BONA_009.basePlot.cfc","D19","BONA","BONA_009","distributed","7uHsYbyZiKYpIqVBjn617HtT0zdJWFRYZJtUNsLPdhs=","A00000100429","7uHsYbyZiKYpIqVBjn617HtT0zdJWFRY8B8NYrJrtr9D3aj3KTonew==","A00000100845","2019-07-30T19:27Z","2019-09-17",1,0.197,25,0.256,0.766,0.454,0.247,0.150,1302.0,69.4,3.9,8.7,46.6,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"3ebebf77-a9f5-4ac3-bb31-f99cdba00050","BONA_002.basePlot.cfc","D19","BONA","BONA_002","distributed","7uHsYbyZiKarS7f4SCX5HZPalJChUODfK+bv2RaTHvE=","A00000100427","7uHsYbyZiKarS7f4SCX5HZPalJChUODfDhwfqBGyG5mHzl42D8DHTw==","A00000100875","2019-07-30T21:04Z","2019-09-17",1,0.195,25,0.378,1.045,0.680,0.241,0.126,1565.0,52.2,5.4,2.6,15.6,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"a19dd9ad-699c-4958-a2dc-820cf91a20df","BONA_002.basePlot.cfc","D19","BONA","BONA_002","distributed","7uHsYbyZiKarS7f4SCX5HaDez9hoK2LZyeAyR1L4nR4=","A00000100428","7uHsYbyZiKarS7f4SCX5HaDez9hoK2LZXspoQ4/eGeIMqka+Y2Q3dg==","A00000100873","2019-07-30T21:18Z","2019-09-17",1,0.202,25,0.275,1.048,0.562,0.290,0.121,1485.0,60.4,6.1,2.3,25.0,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"b93c23c4-1c93-4782-b0a7-03b5640e9696","BONA_002.basePlot.cfc","D19","BONA","BONA_002","distributed","7uHsYbyZiKbYHKIT5J66sJo290vFPfedeMYJE1irvss=","A00000100422","7uHsYbyZiKbYHKIT5J66sJo290vFPfed0b3Vif3fqNc=","A00000100866","2019-07-30T21:25Z","2019-09-17",1,0.201,25,0.191,0.439,1.535,0.054,0.064,2099.0,33.8,2.1,,30.2,"OK","OK","OK","OK","OK","sample value outlier - soil contamination","OK","OK",,"OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"203fe04f-7a78-4697-bd13-59da7ce3a6f2","BONA_002.basePlot.cfc","D19","BONA","BONA_002","distributed","7uHsYbyZiKZ4OUls7JENbxFm7ouhSBI4QrK+r3VWv3U=","A00000100413","7uHsYbyZiKZ4OUls7JENbxFm7ouhSBI4lH1IPHZN1nJGdvS6Jbxk+A==","A00000100697","2019-07-30T21:56Z","2019-09-17",1,0.202,25,0.374,1.089,0.736,0.174,0.105,186.2,47.2,6.8,0.1,15.1,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"503e4e52-bd4f-4d83-b1b3-8781852837ab","BONA_002.basePlot.cfc","D19","BONA","BONA_002","distributed","7uHsYbyZiKbYHKIT5J66sEtl1dxRSPgdKZ3RH4VpQC8=","A00000100421","7uHsYbyZiKbYHKIT5J66sEtl1dxRSPgdaofDkjbSJpU=","A00000100818","2019-07-30T23:30Z","2019-09-17",1,0.200,25,0.140,0.368,1.503,0.116,0.068,1586.0,39.5,2.2,0.2,20.9,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"13cf0566-2cc7-47c9-8a89-8d10e0532022","BONA_093.basePlot.cfc","D19","BONA","BONA_093","tower","7uHsYbyZiKbckXNmhgGb+cW187dVOCdnoxmtj/Xu91M=","A00000100423","7uHsYbyZiKbckXNmhgGb+cW187dVOCdnO9n+kf0HD2s=","A00000100839","2019-07-31T18:20Z","2019-09-17",1,0.196,25,0.164,0.637,1.230,0.139,0.079,720.8,20.8,2.7,0.2,74.0,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"a3da8928-cd7d-4b80-a71a-d1f5be34d12c","BONA_093.basePlot.cfc","D19","BONA","BONA_093","tower","7uHsYbyZiKbckXNmhgGb+XeHq+6C06KSeZF8qd2yRpQ=","A00000100424","7uHsYbyZiKbckXNmhgGb+XeHq+6C06KS8dh2rQCIMmg=","A00000100863","2019-07-31T18:35Z","2019-09-17",1,0.199,25,0.193,0.423,1.585,0.122,0.063,1337.0,26.6,2.2,0.5,89.1,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"20b76d54-852b-4e0d-8027-774964432719","BONA_093.basePlot.cfc","D19","BONA","BONA_093","tower","7uHsYbyZiKbckXNmhgGb+ZTo5YyCG+8+xxIVBhRYQEM=","A00000100425","7uHsYbyZiKbckXNmhgGb+ZTo5YyCG+8+cniOK2qR3oU=","A00000100860","2019-07-31T18:48Z","2019-09-17",1,0.202,25,0.145,0.453,0.917,0.108,0.066,501.6,25.3,1.9,1.0,47.5,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"5b6828ef-9825-44ef-9c93-b43396b7d568","BONA_093.basePlot.cfc","D19","BONA","BONA_093","tower","7uHsYbyZiKbJt6v1K4IZpQQlSC6S4GjVmxBHHZFVrzU=","A00000100412","7uHsYbyZiKbJt6v1K4IZpQQlSC6S4GjVA4ODDwgOPTb89FYry5biNg==","A00000100857","2019-07-31T18:58Z","2019-09-17",1,0.200,25,0.286,1.677,1.251,0.331,0.228,127.3,37.7,4.4,8.3,55.1,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
