uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,collectDate,aopCollectDate,samplingImpractical,subplotID,sampleType,samplingMethod,sampleID,sampleCode,sampleCondition,chlorophyllSampleID,chlorophyllSampleCode,chlorophyllSampleCondition,clipCellNumber,clipID,clipLength,clipWidth,percentCoverClip,toxicodendronPossible,vstTag,tagID,individualID,taxonID,scientificName,plantStatus,canopyPosition,canopyStatus,subsample1Height,subsample2Height,subsample3Height,crownPolygonID,crownPolygonConfidence,shapefileID,collectedBy,recordedBy,remarks,dataQF
"46411a70-5066-40ca-9ede-95e3c37034e7","BONA_009.basePlot.cfc","D19","BONA","BONA_009","distributed","shrubScrub","WGS84",65.169192,-147.520277,20.1,429.6,0.10,"NEON.DOC.001024vF","2019-07-30T19:27Z","2019-07-31",,"31","Woody individual","pole pruner","7uHsYbyZiKYpIqVBjn617HtT0zdJWFRYZJtUNsLPdhs=","A00000100429","OK","7uHsYbyZiKYpIqVBjn617HtT0zdJWFRYrpK84aN2jwqcaizEF3xgcg==","B00000046482","other",,,,,,,"Y","01412","NEON.PLA.D19.BONA.01412","BENE4","Betula neoalaskana Sarg.","OK",,,2.9,2.8,,,,,"0000-0003-1678-1246","0000-0003-0373-3632","chlorophyll sample lost, no data expected",
"58de190d-ce93-4eb0-983b-94fd772b7974","BONA_002.basePlot.cfc","D19","BONA","BONA_002","distributed","deciduousForest","WGS84",65.163534,-147.527149,20.1,484.2,0.17,"NEON.DOC.001024vF","2019-07-30T21:04Z","2019-07-31",,"31","Woody individual","pole pruner","7uHsYbyZiKarS7f4SCX5HZPalJChUODfK+bv2RaTHvE=","A00000100427","OK","7uHsYbyZiKarS7f4SCX5HZPalJChUODfxdru62XT2IQmh6Zs9qPsUw==","B00000046484","other",,,,,,,"Y","01435","NEON.PLA.D19.BONA.01435","BENE4","Betula neoalaskana Sarg.","OK",,,6.5,5.1,,,,,"0000-0003-1678-1246","0000-0003-0373-3632","chlorophyll sample lost, no data expected",
"2ec4c0f6-b56a-4818-94dc-f02cb55b1ce4","BONA_002.basePlot.cfc","D19","BONA","BONA_002","distributed","deciduousForest","WGS84",65.163534,-147.527149,20.1,484.2,0.17,"NEON.DOC.001024vF","2019-07-30T21:18Z","2019-07-31",,"31","Woody individual","pole pruner","7uHsYbyZiKarS7f4SCX5HaDez9hoK2LZyeAyR1L4nR4=","A00000100428","OK","7uHsYbyZiKarS7f4SCX5HaDez9hoK2LZolJgN+K0BP2iiJFtHTqYOw==","B00000046483","other",,,,,,,"Y","01440","NEON.PLA.D19.BONA.01440","BENE4","Betula neoalaskana Sarg.","OK",,,5.2,5.2,,,,,"0000-0003-1678-1246","0000-0003-0373-3632","chlorophyll sample lost, no data expected",
"9e6a1ac9-388c-4e45-b405-f0fd2b7d934c","BONA_002.basePlot.cfc","D19","BONA","BONA_002","distributed","deciduousForest","WGS84",65.163534,-147.527149,20.1,484.2,0.17,"NEON.DOC.001024vF","2019-07-30T21:25Z","2019-07-31",,"31","Woody individual","pole pruner","7uHsYbyZiKbYHKIT5J66sJo290vFPfedeMYJE1irvss=","A00000100422","OK","7uHsYbyZiKbYHKIT5J66sJo290vFPfedhOsxNLJzmVE=","B00000046489","OK",,,,,,,"Y","01450","NEON.PLA.D19.BONA.01450","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","OK",,,4.6,,,,,,"0000-0003-1678-1246","0000-0003-0373-3632",,
"dc67004c-0508-47b1-b2ef-16e76c40fe48","BONA_002.basePlot.cfc","D19","BONA","BONA_002","distributed","deciduousForest","WGS84",65.163534,-147.527149,20.1,484.2,0.17,"NEON.DOC.001024vF","2019-07-30T21:56Z","2019-07-31",,"31","Woody individual","pole pruner","7uHsYbyZiKZ4OUls7JENbxFm7ouhSBI4QrK+r3VWv3U=","A00000100413","OK","7uHsYbyZiKZ4OUls7JENbxFm7ouhSBI4uaIG6eNe5S6Gp01rOJe01Q==","B00000046499","OK",,,,,,,"Y","01746","NEON.PLA.D19.BONA.01746","ALVI5","Alnus viridis (Chaix) DC.","OK",,,2.0,,,,,,"0000-0003-1678-1246","0000-0003-0373-3632",,
"5473b366-d087-4c00-af76-45196674650e","BONA_002.basePlot.cfc","D19","BONA","BONA_002","distributed","deciduousForest","WGS84",65.163534,-147.527149,20.1,484.2,0.17,"NEON.DOC.001024vF","2019-07-30T23:30Z","2019-07-31",,"31","Woody individual","pole pruner","7uHsYbyZiKbYHKIT5J66sEtl1dxRSPgdKZ3RH4VpQC8=","A00000100421","OK","7uHsYbyZiKbYHKIT5J66sEtl1dxRSPgdkWjtavNkzng=","B00000046490","OK",,,,,,,"Y","01453Z","NEON.PLA.D19.BONA.01453Z","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","OK",,,4.3,,,,,,"0000-0003-1678-1246","0000-0003-0373-3632","New tag is a previously tagged VST individual that is not loaded into VST tagging and mapping app (same tag #1453)",
"2d8656bb-4eb6-4111-931e-5a7a9e4de121","BONA_093.basePlot.cfc","D19","BONA","BONA_093","tower","mixedForest","WGS84",65.155786,-147.504653,20.2,251.2,0.18,"NEON.DOC.001024vF","2019-07-31T18:20Z","2019-07-31",,"39","Woody individual","pole pruner","7uHsYbyZiKbckXNmhgGb+cW187dVOCdnoxmtj/Xu91M=","A00000100423","OK","7uHsYbyZiKbckXNmhgGb+cW187dVOCdnHIyPJ+7uV7Q=","B00000046488","OK",,,,,,,"Y","03593","NEON.PLA.D19.BONA.03593","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","OK",,,5.5,,,,,,"0000-0003-1678-1246","0000-0003-0373-3632",,
"25d0a98a-5245-4218-859f-5129cd9b71ed","BONA_093.basePlot.cfc","D19","BONA","BONA_093","tower","mixedForest","WGS84",65.155786,-147.504653,20.2,251.2,0.18,"NEON.DOC.001024vF","2019-07-31T18:35Z","2019-07-31",,"23","Woody individual","pole pruner","7uHsYbyZiKbckXNmhgGb+XeHq+6C06KSeZF8qd2yRpQ=","A00000100424","OK","7uHsYbyZiKbckXNmhgGb+XeHq+6C06KSNPNEQD7pDVg=","B00000046487","OK",,,,,,,"Y","01486","NEON.PLA.D19.BONA.01486","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","OK",,,5.3,,,,,,"0000-0003-1678-1246","0000-0003-0373-3632",,
"7a4edef4-d697-4bbc-b69e-b80b3d273f0b","BONA_093.basePlot.cfc","D19","BONA","BONA_093","tower","mixedForest","WGS84",65.155786,-147.504653,20.2,251.2,0.18,"NEON.DOC.001024vF","2019-07-31T18:48Z","2019-07-31",,"39","Woody individual","pole pruner","7uHsYbyZiKbckXNmhgGb+ZTo5YyCG+8+xxIVBhRYQEM=","A00000100425","OK","7uHsYbyZiKbckXNmhgGb+ZTo5YyCG+8+bgj5R1cL+Bo=","B00000046486","OK",,,,,,,"Y","03599","NEON.PLA.D19.BONA.03599","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","OK",,,4.7,,,,,,"0000-0003-1678-1246","0000-0003-0373-3632",,
"0ee65b43-c1f7-425c-a4dd-23986356c496","BONA_093.basePlot.cfc","D19","BONA","BONA_093","tower","mixedForest","WGS84",65.155786,-147.504653,20.2,251.2,0.18,"NEON.DOC.001024vF","2019-07-31T18:58Z","2019-07-31",,,"Woody individual",,"7uHsYbyZiKbJt6v1K4IZpQQlSC6S4GjVmxBHHZFVrzU=","A00000100412","OK","7uHsYbyZiKbJt6v1K4IZpQQlSC6S4GjVx7YaU5kAVW7RtlffvAEDhA==","B00000046496","OK",,,,,,,"Y","03587","NEON.PLA.D19.BONA.03587","POBA2","Populus balsamifera L.","Insect damaged",,,5.6,,,,,,"0000-0003-1678-1246","0000-0003-0373-3632",,
