uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,ligninSampleID,ligninSampleBarcode,collectDate,analysisDate,analyticalRepNumber,dryMass,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"1e6f1c5b-07e9-4e13-a244-9e583840a0a4","BONA_009.basePlot.cfc","D19","BONA","BONA_009","distributed","7uHsYbyZiKYpIqVBjn617HtT0zdJWFRYZJtUNsLPdhs=","A00000100429","7uHsYbyZiKYpIqVBjn617HtT0zdJWFRY8B8NYrJrtr9D3aj3KTonew==","A00000100845","2019-07-30T19:27Z","2019-09-20",1,0.501,21.83,7.52,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"4da73150-f22f-43c6-9df0-a0ae4487b625","BONA_002.basePlot.cfc","D19","BONA","BONA_002","distributed","7uHsYbyZiKarS7f4SCX5HZPalJChUODfK+bv2RaTHvE=","A00000100427","7uHsYbyZiKarS7f4SCX5HZPalJChUODfDhwfqBGyG5mHzl42D8DHTw==","A00000100875","2019-07-30T21:04Z","2019-09-20",1,0.492,10.34,9.71,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"b6e8c086-3b62-4c71-bee5-e8258f36961e","BONA_002.basePlot.cfc","D19","BONA","BONA_002","distributed","7uHsYbyZiKarS7f4SCX5HaDez9hoK2LZyeAyR1L4nR4=","A00000100428","7uHsYbyZiKarS7f4SCX5HaDez9hoK2LZXspoQ4/eGeIMqka+Y2Q3dg==","A00000100873","2019-07-30T21:18Z","2019-09-20",1,0.464,14.65,10.12,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"0cdf1834-c669-4eab-b9cd-09fca57aa56d","BONA_002.basePlot.cfc","D19","BONA","BONA_002","distributed","7uHsYbyZiKbYHKIT5J66sJo290vFPfedeMYJE1irvss=","A00000100422","7uHsYbyZiKbYHKIT5J66sJo290vFPfed0b3Vif3fqNc=","A00000100866","2019-07-30T21:25Z","2019-09-20",1,0.468,9.73,13.14,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"1478f43a-1f34-49ed-857e-09dae0fe6d0e","BONA_002.basePlot.cfc","D19","BONA","BONA_002","distributed","7uHsYbyZiKZ4OUls7JENbxFm7ouhSBI4QrK+r3VWv3U=","A00000100413","7uHsYbyZiKZ4OUls7JENbxFm7ouhSBI4lH1IPHZN1nJGdvS6Jbxk+A==","A00000100697","2019-07-30T21:56Z","2019-09-20",1,0.493,14.98,10.48,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"36665a5a-ba49-4e07-a4d0-377b899aefe2","BONA_002.basePlot.cfc","D19","BONA","BONA_002","distributed","7uHsYbyZiKbYHKIT5J66sEtl1dxRSPgdKZ3RH4VpQC8=","A00000100421","7uHsYbyZiKbYHKIT5J66sEtl1dxRSPgdaofDkjbSJpU=","A00000100818","2019-07-30T23:30Z","2019-09-20",1,0.468,9.72,14.81,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"3fb570cf-d047-4752-8f98-4c40f0e30877","BONA_093.basePlot.cfc","D19","BONA","BONA_093","tower","7uHsYbyZiKbckXNmhgGb+cW187dVOCdnoxmtj/Xu91M=","A00000100423","7uHsYbyZiKbckXNmhgGb+cW187dVOCdnO9n+kf0HD2s=","A00000100839","2019-07-31T18:20Z","2019-09-20",1,0.467,12.15,15.68,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"5b5fff1f-1f4c-4e4f-a9e5-9aa5ddd6dc8c","BONA_093.basePlot.cfc","D19","BONA","BONA_093","tower","7uHsYbyZiKbckXNmhgGb+XeHq+6C06KSeZF8qd2yRpQ=","A00000100424","7uHsYbyZiKbckXNmhgGb+XeHq+6C06KS8dh2rQCIMmg=","A00000100863","2019-07-31T18:35Z","2019-09-20",1,0.467,11.27,13.93,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"8cce5762-4122-4c9b-9ae3-18bc690b904d","BONA_093.basePlot.cfc","D19","BONA","BONA_093","tower","7uHsYbyZiKbckXNmhgGb+ZTo5YyCG+8+xxIVBhRYQEM=","A00000100425","7uHsYbyZiKbckXNmhgGb+ZTo5YyCG+8+cniOK2qR3oU=","A00000100860","2019-07-31T18:48Z","2019-09-20",1,0.466,12.78,16.08,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"85b347c7-95e0-43bb-8adf-6c2f3f8fe789","BONA_093.basePlot.cfc","D19","BONA","BONA_093","tower","7uHsYbyZiKbJt6v1K4IZpQQlSC6S4GjVmxBHHZFVrzU=","A00000100412","7uHsYbyZiKbJt6v1K4IZpQQlSC6S4GjVA4ODDwgOPTb89FYry5biNg==","A00000100857","2019-07-31T18:58Z","2019-09-20",1,0.467,19.44,14.14,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
