uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,cnSampleID,cnSampleCode,collectDate,analysisDate,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"f51549fc-64cf-4dbd-9b16-39985a3dd841","PUUM_002.basePlot.cfc","D20","PUUM","PUUM_002","distributed","5DDwl49GZC1OW2rB2zVCxC3W/Gs2RSm0j7UhrXsCp0Q=","A00000066452","5DDwl49GZC1OW2rB2zVCxC3W/Gs2RSm0n2srohdEv60=","A00000066281","2019-01-15T10:35Z","2019-11-12","N",,-28.6,,53.27,,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"adc9341a-c496-4ad6-ac26-2d7a2e9bf276","PUUM_002.basePlot.cfc","D20","PUUM","PUUM_002","distributed","5DDwl49GZC1OW2rB2zVCxC3W/Gs2RSm0j7UhrXsCp0Q=","A00000066452","5DDwl49GZC1OW2rB2zVCxC3W/Gs2RSm0n2srohdEv60=","A00000066281","2019-01-15T10:35Z","2019-11-12","N",,-28.0,,52.55,,"OK","OK","OK","OK",2,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"f9db7d3c-d7fc-4e06-907d-9f389bf4113f","PUUM_002.basePlot.cfc","D20","PUUM","PUUM_002","distributed","5DDwl49GZC1OW2rB2zVCxC3W/Gs2RSm0j7UhrXsCp0Q=","A00000066452","5DDwl49GZC1OW2rB2zVCxC3W/Gs2RSm0n2srohdEv60=","A00000066281","2019-01-15T10:35Z","2020-02-06","Y",-9.9,,0.48,,,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","009 EA-IRMS organic d15N, & N%","Carlo Erba Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"03d2ba01-145f-44ab-9fd0-d8c8ab1b71c0","PUUM_002.basePlot.cfc","D20","PUUM","PUUM_002","distributed","5DDwl49GZC1OW2rB2zVCxC3W/Gs2RSm0j7UhrXsCp0Q=","A00000066452","5DDwl49GZC1OW2rB2zVCxC3W/Gs2RSm0n2srohdEv60=","A00000066281","2019-01-15T10:35Z","2020-02-19","Y",-9.9,,0.46,,,"OK","OK","OK","OK",2,,"University of Wyoming Stable Isotope Facility","009 EA-IRMS organic d15N, & N%","Carlo Erba Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"8986f93e-fccc-4b59-bffb-73ba252f45aa","PUUM_002.basePlot.cfc","D20","PUUM","PUUM_002","distributed","5DDwl49GZC1OW2rB2zVCxPcrnfiW3V6tSImpqFDp/1E=",,"5DDwl49GZC1OW2rB2zVCxPcrnfiW3V6tK+v0hDT8/0M=","A00000066289","2019-01-15T10:54Z","2019-11-12","N",,-27.2,,54.16,,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"7d3ea0ba-1d29-48d8-b1e4-c4d8fdf1d52a","PUUM_002.basePlot.cfc","D20","PUUM","PUUM_002","distributed","5DDwl49GZC1OW2rB2zVCxPcrnfiW3V6tSImpqFDp/1E=",,"5DDwl49GZC1OW2rB2zVCxPcrnfiW3V6tK+v0hDT8/0M=","A00000066289","2019-01-15T10:54Z","2020-02-06","Y",-10.6,,0.45,,,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","009 EA-IRMS organic d15N, & N%","Carlo Erba Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"720be8c3-601d-48e2-85c2-5d55eeae752d","PUUM_013.basePlot.cfc","D20","PUUM","PUUM_013","distributed","5DDwl49GZC1IWMFlibF2J+ZR+3s2iCRBme+aBnSm0eU=","A00000066425","5DDwl49GZC1IWMFlibF2J+ZR+3s2iCRBo6ErkqJLyXk=","A00000066290","2019-01-15T12:46Z","2019-11-12","N",,-27.8,,53.03,,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"72c5eddc-2c85-4d82-8b2e-823851e9951a","PUUM_013.basePlot.cfc","D20","PUUM","PUUM_013","distributed","5DDwl49GZC1IWMFlibF2J+ZR+3s2iCRBme+aBnSm0eU=","A00000066425","5DDwl49GZC1IWMFlibF2J+ZR+3s2iCRBo6ErkqJLyXk=","A00000066290","2019-01-15T12:46Z","2020-02-06","Y",-8.4,,0.53,,,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","009 EA-IRMS organic d15N, & N%","Carlo Erba Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"2b67689a-994e-496a-9aab-47e08f67da07","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","5DDwl49GZC0iHKZQbKj8NzstDcx0Uczttpg8yD7Gu+c=","A00000066426","5DDwl49GZC0iHKZQbKj8NzstDcx0UcztduL9jlWKKbs=","A00000066274","2019-01-15T19:41Z","2019-11-12","N",,-29.1,,52.66,,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"9eb7d072-3a6a-4dee-8b52-9cf79c936f0f","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","5DDwl49GZC0iHKZQbKj8NzstDcx0Uczttpg8yD7Gu+c=","A00000066426","5DDwl49GZC0iHKZQbKj8NzstDcx0UcztduL9jlWKKbs=","A00000066274","2019-01-15T19:41Z","2020-02-06","Y",-0.2,,2.46,,,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","009 EA-IRMS organic d15N, & N%","Carlo Erba Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus V with Finnigan Conflo IV Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
