uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,collectDate,ovenStartDate,ovenEndDate,sampleCondition,cnSampleID,cnSampleCode,ligninSampleID,ligninSampleBarcode,archiveSampleID,archiveSampleCode,archiveMass,toxicodendronPossible,processedBy,remarks,dataQF
"94c8e656-a56f-4535-8b3e-4c7a888f92cb","PUUM_002.basePlot.cfc","D20","PUUM","PUUM_002","distributed","5DDwl49GZC1OW2rB2zVCxPkxxx9T+PmAIcgktBKPsm0=","A00000066454","2019-01-15T10:21Z","2019-01-18T02:00Z","2019-01-22T01:56Z","OK","5DDwl49GZC1OW2rB2zVCxPkxxx9T+PmA3GTZCeg2ORA=","A00000066309","5DDwl49GZC1OW2rB2zVCxPkxxx9T+PmAYobvtqcXgsLMiTiEwjGXJA==","A00000066306","5DDwl49GZC1OW2rB2zVCxPkxxx9T+PmAt4vhwhh8OXM=","A00000066287",,,"whendricks@battelleecology.org",,
"94e4c0b2-3e3a-4251-9abb-0a86b3557013","PUUM_002.basePlot.cfc","D20","PUUM","PUUM_002","distributed","5DDwl49GZC1OW2rB2zVCxC3W/Gs2RSm0j7UhrXsCp0Q=","A00000066452","2019-01-15T10:35Z","2019-01-18T02:00Z","2019-01-21T21:52Z","OK","5DDwl49GZC1OW2rB2zVCxC3W/Gs2RSm0n2srohdEv60=","A00000066281","5DDwl49GZC1OW2rB2zVCxC3W/Gs2RSm0JRdzSctrYr03IdiefCrf/A==","A00000066418","5DDwl49GZC1OW2rB2zVCxC3W/Gs2RSm0qUV92+3k/Ow=","A00000066419",,"N","whendricks@battelleecology.org",,
"6e6cb7b4-70b6-4a5d-bb72-4c38ccfeb10d","PUUM_002.basePlot.cfc","D20","PUUM","PUUM_002","distributed","5DDwl49GZC1OW2rB2zVCxPcrnfiW3V6tSImpqFDp/1E=",,"2019-01-15T10:54Z","2019-01-18T02:00Z","2019-01-21T21:29Z","OK","5DDwl49GZC1OW2rB2zVCxPcrnfiW3V6tK+v0hDT8/0M=","A00000066289","5DDwl49GZC1OW2rB2zVCxPcrnfiW3V6thLuX5EYNPwgZY+YulRC7JA==","A00000066280","5DDwl49GZC1OW2rB2zVCxPcrnfiW3V6tC5e5JG0egmY=","A00000066304",,,"whendricks@battelleecology.org",,
"f1c20933-1f80-4883-b9d7-b341f89b3bdb","PUUM_013.basePlot.cfc","D20","PUUM","PUUM_013","distributed","5DDwl49GZC1IWMFlibF2J+ZR+3s2iCRBme+aBnSm0eU=","A00000066425","2019-01-15T12:46Z","2019-01-18T02:00Z","2019-01-22T02:07Z","OK","5DDwl49GZC1IWMFlibF2J+ZR+3s2iCRBo6ErkqJLyXk=","A00000066290","5DDwl49GZC1IWMFlibF2J+ZR+3s2iCRBlsuBtu/L2ZtnUJKzj5jpnA==","A00000066296","5DDwl49GZC1IWMFlibF2J+ZR+3s2iCRBr21xw/AwoOw=","A00000066307",,"N","whendricks@battelleecology.org",,
"5539c8b3-57f7-4d82-9189-7f6bfb9719ab","PUUM_013.basePlot.cfc","D20","PUUM","PUUM_013","distributed","5DDwl49GZC1IWMFlibF2JxVfXVt4F2TdYQRX/sX1dJA=","A00000066429","2019-01-15T13:06Z","2019-01-18T02:00Z","2019-01-22T00:09Z","OK","5DDwl49GZC1IWMFlibF2JxVfXVt4F2Td2TONNHJoEEE=","A00000066406","5DDwl49GZC1IWMFlibF2JxVfXVt4F2TdtzAKHRziem5g7kdKqp5RYA==","A00000066408","5DDwl49GZC1IWMFlibF2JxVfXVt4F2TdKlK41e84XzU=","A00000066392",,,"whendricks@battelleecology.org",,
"e53971dc-6d06-4e38-8ee9-5bd4f62f2f33","PUUM_013.basePlot.cfc","D20","PUUM","PUUM_013","distributed","5DDwl49GZC1IWMFlibF2J+PCCppoF6Khc+viSeTiJfQ=","A00000066435","2019-01-15T13:32Z","2019-01-18T02:00Z","2019-01-21T21:10Z","OK","5DDwl49GZC1IWMFlibF2J+PCCppoF6KheD4ElXC4eOA=","A00000066275","5DDwl49GZC1IWMFlibF2J+PCCppoF6KhZelKOnZBjEQ6VZnD9wPaWA==","A00000066305","5DDwl49GZC1IWMFlibF2J+PCCppoF6KhyV7/7WtbDAE=","A00000066263",,"N","whendricks@battelleecology.org",,
"9782afa9-ab4a-40bf-a1b9-32a15e40ff09","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","5DDwl49GZC0iHKZQbKj8NzstDcx0Uczttpg8yD7Gu+c=","A00000066426","2019-01-15T19:41Z","2019-01-18T02:00Z","2019-01-21T20:04Z","OK","5DDwl49GZC0iHKZQbKj8NzstDcx0UcztduL9jlWKKbs=","A00000066274","5DDwl49GZC0iHKZQbKj8NzstDcx0UcztYkTfqheCPfM=","A00000066291","5DDwl49GZC0iHKZQbKj8NzstDcx0UcztV8yjAWuNNwU=","A00000066278",,"N","whendricks@battelleecology.org",,
"0793c244-c722-4393-8913-c75e633733f0","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","5DDwl49GZC2qh0rABlzcr8iCJYhnV9IP8p0hpdIfgqA=","A00000066430","2019-01-15T19:54Z","2019-01-18T02:00Z","2019-01-21T19:34Z","OK","5DDwl49GZC2qh0rABlzcr8iCJYhnV9IPrrCbA4ICzKo=","A00000066284","5DDwl49GZC2qh0rABlzcr8iCJYhnV9IPQaa0EjLo4Xoy7r8hz6pxbg==","A00000066264","5DDwl49GZC2qh0rABlzcr8iCJYhnV9IP6HRlDdkht9M=","A00000066273",,"N","whendricks@battelleecology.org",,
"824a11e5-d9e6-4ea6-a580-2d652051024e","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","5DDwl49GZC0MiMsIQvpaIH5L5MHLeWoMEWnGhKPB4dA=","A00000066431","2019-01-15T20:22Z","2019-01-18T02:00Z","2019-01-21T20:52Z","OK","5DDwl49GZC0MiMsIQvpaIH5L5MHLeWoMU9AJ4bBTa0M=","A00000066292","5DDwl49GZC0MiMsIQvpaIH5L5MHLeWoMe54Hf98gMIeHiXemx8O+uQ==","A00000066277","5DDwl49GZC0MiMsIQvpaIH5L5MHLeWoM4Cc7jZqJwF4=","A00000066268",,"N","whendricks@battelleecology.org",,
"1d34072d-64d0-401f-93e9-8178745099e0","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","5DDwl49GZC2RowxGD+HMP1jDuuDLR9AKqXQHdbPe+q0=","A00000066433","2019-01-15T20:37Z","2019-01-18T02:00Z","2019-01-22T00:44Z","OK","5DDwl49GZC2RowxGD+HMP1jDuuDLR9AKX3QkzRuHask=","A00000066369","5DDwl49GZC2RowxGD+HMP1jDuuDLR9AKtrY2XdJeEPA=","A00000066367","5DDwl49GZC2RowxGD+HMP1jDuuDLR9AKlVyk93P6g/s=","A00000066402",,"N","whendricks@battelleecology.org",,
"3eaba527-620b-4648-a5f9-b2a20aa3f3cb","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","5DDwl49GZC0egSCBihpmH8uD6niHowh/UNKGzk0V7QA=","A00000066434","2019-01-15T21:05Z","2019-01-18T02:00Z","2019-01-22T00:00Z","OK","5DDwl49GZC0egSCBihpmH8uD6niHowh/ODrTF8Rz79M=","A00000066407","5DDwl49GZC0egSCBihpmH8uD6niHowh/BdqCDRKegfAE1qOlPiFA9A==","A00000066390","5DDwl49GZC0egSCBihpmH8uD6niHowh/VtsFNxkTZOk=","A00000066391",,"N","whendricks@battelleecology.org",,
"b8ee63af-f9fc-42b9-8864-3158a7eda8af","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","5DDwl49GZC16cvqrf5CvnvbCrUMlpDkFq39fz/VEOts=","A00000066432","2019-01-15T21:35Z","2019-01-17T14:00Z","2019-01-21T18:58Z","OK","5DDwl49GZC16cvqrf5CvnvbCrUMlpDkFVmq9UHreI3E=","A00000066295","5DDwl49GZC16cvqrf5CvnvbCrUMlpDkF6ipE00HWVgs=","A00000066299","5DDwl49GZC16cvqrf5CvnvbCrUMlpDkFIRQMbmkARaM=","A00000066270",,,"whendricks@battelleecology.org",,
"5b5c8e72-aa95-488f-91bc-097d95d27e45","PUUM_032.basePlot.cfc","D20","PUUM","PUUM_032","tower","5DDwl49GZC3ZL+uQ4uDYK0kJQiS9y+t0exCJBntFsIE=","A00000066446","2019-01-15T22:39Z","2019-01-18T02:00Z","2019-01-22T00:12Z","OK","5DDwl49GZC3ZL+uQ4uDYK0kJQiS9y+t0xVKpV9KxXzw=","A00000066404","5DDwl49GZC3ZL+uQ4uDYK0kJQiS9y+t0+juwMHlI8Y3RopplAcByNA==","A00000066388","5DDwl49GZC3ZL+uQ4uDYK0kJQiS9y+t0LSWkbleStL0=","A00000066389",,,"whendricks@battelleecology.org",,
"3d2711f4-0b37-456d-96ae-f8f166409155","PUUM_032.basePlot.cfc","D20","PUUM","PUUM_032","tower","5DDwl49GZC3ZL+uQ4uDYK90NW88AaQWTZk++tv9wsZM=","A00000066445","2019-01-15T23:01Z","2019-01-18T02:00Z","2019-01-21T20:21Z","OK","5DDwl49GZC3ZL+uQ4uDYK90NW88AaQWToZqsyXW1LeY=","A00000066301","5DDwl49GZC3ZL+uQ4uDYK90NW88AaQWT5Z8ysbyjfheZ+KF/SdwwyQ==","A00000066272","5DDwl49GZC3ZL+uQ4uDYK90NW88AaQWTBokeMxj1trY=","A00000066266",,"N","whendricks@battelleecology.org",,
"496c04d8-be2c-4b1c-a086-463a908b12cb","PUUM_032.basePlot.cfc","D20","PUUM","PUUM_032","tower","5DDwl49GZC3ZL+uQ4uDYK7ZGmSMUcMxuSeF3toqPkiI=","A00000066424","2019-01-15T23:06Z","2019-01-18T02:00Z","2019-01-22T00:55Z","OK","5DDwl49GZC3ZL+uQ4uDYK7ZGmSMUcMxuRT5uGUEUvwQ=","A00000066384","5DDwl49GZC3ZL+uQ4uDYK7ZGmSMUcMxu75vuGcKmjZuqJtoNPXkXHw==","A00000066401","5DDwl49GZC3ZL+uQ4uDYK7ZGmSMUcMxuh5ZmjB7sxqk=","A00000066386",,"N","whendricks@battelleecology.org",,
"ea0631b4-4822-4dad-9442-9780fd3026bc","PUUM_015.basePlot.cfc","D20","PUUM","PUUM_015","distributed","5DDwl49GZC1uqLVCAX8IT+zTd1NCci5MfSdjQzn3/mw=","A00000066443","2019-01-16T08:51Z","2019-01-18T02:00Z","2019-01-22T01:22Z","OK","5DDwl49GZC1uqLVCAX8IT+zTd1NCci5MRiXiWO7AcWM=","A00000066374","5DDwl49GZC1uqLVCAX8IT+zTd1NCci5MzVWufMMhLyo=","A00000066376","5DDwl49GZC1uqLVCAX8IT+zTd1NCci5MqzhEGuUnbpk=","A00000066375",,,"whendricks@battelleecology.org",,
"b3f67f37-5c28-4640-ac76-874588d2f9cf","PUUM_015.basePlot.cfc","D20","PUUM","PUUM_015","distributed","5DDwl49GZC3WCKTZyT8iubLpOWSKvs9jgcf4UykO+rE=","A00000066444","2019-01-16T09:20Z","2019-01-18T02:00Z","2019-01-22T01:06Z","OK","5DDwl49GZC3WCKTZyT8iubLpOWSKvs9ju7zPMhn/1C0=","A00000066385","5DDwl49GZC3WCKTZyT8iubLpOWSKvs9jqc0SiHFRNdNdevurQZGqtA==","A00000066370","5DDwl49GZC3WCKTZyT8iubLpOWSKvs9jG2AB8SgvKic=","A00000066368",,,"whendricks@battelleecology.org",,
"705eea20-e707-44ea-b48f-42f304efdec3","PUUM_015.basePlot.cfc","D20","PUUM","PUUM_015","distributed","5DDwl49GZC1xf3xkjPyN8s3C/1QQ1Nw2jgkvuSzxdxw=","A00000066441","2019-01-16T09:55Z","2019-01-18T02:00Z","2019-01-22T00:39Z","OK","5DDwl49GZC1xf3xkjPyN8s3C/1QQ1Nw2Uv8jnIXrlbM=","A00000066405","5DDwl49GZC1xf3xkjPyN8s3C/1QQ1Nw2HaH9rFZVR2foIdp0eEjlAg==","A00000066387","5DDwl49GZC1xf3xkjPyN8s3C/1QQ1Nw2nWdNBDWcb98=","A00000066403",,"N","whendricks@battelleecology.org",,
"af139787-c58e-4b8c-9228-9d6a5110e77d","PUUM_015.basePlot.cfc","D20","PUUM","PUUM_015","distributed","5DDwl49GZC0v9RFpGRmIUPlLH4n4xHTTLwX+10XNisI=","A00000066442","2019-01-16T10:16Z","2019-01-18T02:00Z","2019-01-22T01:41Z","OK","5DDwl49GZC0v9RFpGRmIUPlLH4n4xHTTGe23AepUBoU=","A00000066300","5DDwl49GZC0v9RFpGRmIUPlLH4n4xHTTIDUxE0pJcD2ZRTs1cpivOw==","A00000066267","5DDwl49GZC0v9RFpGRmIUPlLH4n4xHTTp9sL2j/vzOM=","A00000066286",,"N","whendricks@battelleecology.org",,
"4be781ee-6c36-4946-a43b-d249bf52da36","PUUM_004.basePlot.cfc","D20","PUUM","PUUM_004","distributed","5DDwl49GZC2ZHSjqmHJACCnDH7Od5lkKL/JkluU9AM4=","A00000066451","2019-01-16T11:57Z","2019-01-18T02:00Z","2019-01-21T19:43Z","OK","5DDwl49GZC2ZHSjqmHJACCnDH7Od5lkKA4FC1n/V3pk=","A00000066283","5DDwl49GZC2ZHSjqmHJACCnDH7Od5lkKuLhIAIHPm8pEiR+S2i5VHQ==","A00000066279","5DDwl49GZC2ZHSjqmHJACCnDH7Od5lkKeEEBlyDP5aI=","A00000066297",,,"whendricks@battelleecology.org",,
"6b0f56c4-95fc-4dfb-960b-c2c1581266d7","PUUM_004.basePlot.cfc","D20","PUUM","PUUM_004","distributed","5DDwl49GZC0a7Ogbd29ik185KlceSA5a5P/dfzp/x4Y=","A00000066428","2019-01-16T12:13Z","2019-01-18T02:00Z","2019-01-22T01:31Z","OK","5DDwl49GZC0a7Ogbd29ik185KlceSA5af5qVGg46ylI=","A00000066379","5DDwl49GZC0a7Ogbd29ik185KlceSA5aYDo391QM3jfXtJn6+eV+hg==","A00000066377","5DDwl49GZC0a7Ogbd29ik185KlceSA5awDpLzQa/fKc=","A00000066378",,"N","whendricks@battelleecology.org",,
