uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,chlorophyllSampleID,chlorophyllSampleCode,collectDate,sampleCondition,extractionStartDate,extractionLength,freshMass,solventVolume,analyticalRepNumber,extractChlAConc,extractChlBConc,extractCarotConc,relativeAccuracyScale,handlingQF,measurementQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"f1f60c30-d6af-4b5a-bd06-c138abecc575","PUUM_002.basePlot.cfc","D20","PUUM","PUUM_002","distributed","5DDwl49GZC1OW2rB2zVCxC3W/Gs2RSm0j7UhrXsCp0Q=","A00000066452","5DDwl49GZC1OW2rB2zVCxC3W/Gs2RSm0n0hqIIGCNxlQrc9hamQZkg==","B00000048399","2019-01-15T10:35Z","OK","2019-02-02",48,0.0580,10,1,4.04,1.35,1.37,"A","standard holding time exceeded","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
"e414d77e-9f7b-4717-9887-75118f6e9d7f","PUUM_002.basePlot.cfc","D20","PUUM","PUUM_002","distributed","5DDwl49GZC1OW2rB2zVCxPcrnfiW3V6tSImpqFDp/1E=",,"5DDwl49GZC1OW2rB2zVCxPcrnfiW3V6tb7U2LED9PgtsqeqmYnR2Dg==","B00000048412","2019-01-15T10:54Z","OK","2019-01-27",48,0.0743,10,1,4.73,1.77,1.17,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
"ab2de251-c2d4-4235-9a7f-1564b67cd3b4","PUUM_013.basePlot.cfc","D20","PUUM","PUUM_013","distributed","5DDwl49GZC1IWMFlibF2J+ZR+3s2iCRBme+aBnSm0eU=","A00000066425","5DDwl49GZC1IWMFlibF2J+ZR+3s2iCRBFlWAHlbsa1/rDQHn0qooag==","B00000048423","2019-01-15T12:46Z","OK","2019-01-27",48,0.0986,10,1,5.42,1.89,1.45,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
"d360e52e-8b92-4116-b255-54d3896eea70","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","5DDwl49GZC0iHKZQbKj8NzstDcx0Uczttpg8yD7Gu+c=","A00000066426","5DDwl49GZC0iHKZQbKj8NzstDcx0UcztTPRRCavqG9k=","B00000048424","2019-01-15T19:41Z","OK","2019-01-27",48,0.0600,10,1,6.79,2.16,2.05,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
"f6bbd51d-746b-49e6-b389-d879e2fcc558","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","5DDwl49GZC2qh0rABlzcr8iCJYhnV9IP8p0hpdIfgqA=","A00000066430","5DDwl49GZC2qh0rABlzcr8iCJYhnV9IPWQTI1d+1GedY8q+uTNQ1Jw==","B00000048421","2019-01-15T19:54Z","OK","2019-01-27",48,0.0932,10,1,8.21,3.09,1.94,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
"6f19ae67-bfcc-49bf-87ea-9cd71e0b6c4b","PUUM_002.basePlot.cfc","D20","PUUM","PUUM_002","distributed","5DDwl49GZC1OW2rB2zVCxPkxxx9T+PmAIcgktBKPsm0=","A00000066454","5DDwl49GZC1OW2rB2zVCxPkxxx9T+PmAykaZWJ3y5xTgBk0Hat55Bg==","B00000048398","2019-01-15T19:57Z","OK","2019-02-02",48,0.0599,10,1,5.35,1.70,1.71,"A","standard holding time exceeded","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
"fac3977d-7973-4b09-9b00-de1c60852d54","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","5DDwl49GZC0MiMsIQvpaIH5L5MHLeWoMEWnGhKPB4dA=","A00000066431","5DDwl49GZC0MiMsIQvpaIH5L5MHLeWoMJjagZbYt2t/lZGBfY6IrlA==","B00000048420","2019-01-15T20:22Z","OK","2019-02-02",48,0.0929,10,1,11.64,4.74,2.60,"A","standard holding time exceeded","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
"5f18a2b2-f3a0-4a3e-9727-1bd3314dfcd4","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","5DDwl49GZC2RowxGD+HMP1jDuuDLR9AKqXQHdbPe+q0=","A00000066433","5DDwl49GZC2RowxGD+HMP1jDuuDLR9AKF8yUOx+7Xsg=","B00000048418","2019-01-15T20:37Z","OK","2019-01-27",48,0.0772,10,1,4.47,1.50,1.29,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
"57bad983-5d0f-4e1d-9e10-13e00bd1ef65","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","5DDwl49GZC0egSCBihpmH8uD6niHowh/UNKGzk0V7QA=","A00000066434","5DDwl49GZC0egSCBihpmH8uD6niHowh/88muoaatUZQSyc+fKSCaEQ==","B00000048417","2019-01-15T21:05Z","OK","2019-01-27",48,0.0815,10,1,6.24,2.04,1.36,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
"13116f78-e576-40e3-b62c-fa0a77b8f61b","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","5DDwl49GZC16cvqrf5CvnvbCrUMlpDkFq39fz/VEOts=","A00000066432","5DDwl49GZC16cvqrf5CvnvbCrUMlpDkF5im86ld7/0s=","B00000048419","2019-01-15T21:35Z","OK","2019-01-27",48,0.0735,10,1,9.29,2.87,2.18,"A","OK","OK",,"University of Maryland Center for Environmental Science","HPL Foliar Pigment SOP","tO3Lchp2lPI=","tO3Lchp2lPI=",
