uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,ligninSampleID,ligninSampleBarcode,collectDate,analysisDate,analyticalRepNumber,dryMass,digestVolume,foliarPhosphorusConc,foliarPotassiumConc,foliarCalciumConc,foliarMagnesiumConc,foliarSulfurConc,foliarManganeseConc,foliarIronConc,foliarCopperConc,foliarBoronConc,foliarZincConc,foliarPhosphorusQF,foliarPotassiumQF,foliarCalciumQF,foliarMagnesiumQF,foliarSulfurQF,foliarManganeseQF,foliarIronQF,foliarCopperQF,foliarBoronQF,foliarZincQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"a73c482a-d466-4250-af1c-12aaf12caa33","PUUM_002.basePlot.cfc","D20","PUUM","PUUM_002","distributed","5DDwl49GZC1OW2rB2zVCxPkxxx9T+PmAIcgktBKPsm0=","A00000066454","5DDwl49GZC1OW2rB2zVCxPkxxx9T+PmAYobvtqcXgsLMiTiEwjGXJA==","A00000066306","2019-01-15T10:21Z","2019-06-25",1,0.201,25,0.036,0.438,1.326,0.131,0.143,1111.0,32.2,3.2,25.0,9.7,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"1cf2da7f-d6cc-4182-9661-a349b76f6045","PUUM_002.basePlot.cfc","D20","PUUM","PUUM_002","distributed","5DDwl49GZC1OW2rB2zVCxC3W/Gs2RSm0j7UhrXsCp0Q=","A00000066452","5DDwl49GZC1OW2rB2zVCxC3W/Gs2RSm0JRdzSctrYr03IdiefCrf/A==","A00000066418","2019-01-15T10:35Z","2019-06-25",1,0.202,25,0.037,0.298,1.036,0.075,0.132,571.5,27.3,3.1,16.7,6.6,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"effa3554-7d47-44c0-9ee8-237115e05a65","PUUM_002.basePlot.cfc","D20","PUUM","PUUM_002","distributed","5DDwl49GZC1OW2rB2zVCxPcrnfiW3V6tSImpqFDp/1E=",,"5DDwl49GZC1OW2rB2zVCxPcrnfiW3V6thLuX5EYNPwgZY+YulRC7JA==","A00000066280","2019-01-15T10:54Z","2019-06-25",1,0.201,25,0.041,0.349,1.327,0.083,0.139,871.8,28.1,3.2,20.1,12.5,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"2bd3781b-6c26-429a-8b3e-874184c5ac51","PUUM_013.basePlot.cfc","D20","PUUM","PUUM_013","distributed","5DDwl49GZC1IWMFlibF2J+ZR+3s2iCRBme+aBnSm0eU=","A00000066425","5DDwl49GZC1IWMFlibF2J+ZR+3s2iCRBlsuBtu/L2ZtnUJKzj5jpnA==","A00000066296","2019-01-15T12:46Z","2019-06-25",1,0.200,25,0.049,0.339,1.095,0.085,0.154,587.4,18.8,5.3,26.0,9.8,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"912858d0-4ca2-4f1d-875a-dfd3259ac9fd","PUUM_013.basePlot.cfc","D20","PUUM","PUUM_013","distributed","5DDwl49GZC1IWMFlibF2JxVfXVt4F2TdYQRX/sX1dJA=","A00000066429","5DDwl49GZC1IWMFlibF2JxVfXVt4F2TdtzAKHRziem5g7kdKqp5RYA==","A00000066408","2019-01-15T13:06Z","2019-06-25",1,0.197,25,0.045,0.394,0.973,0.090,0.138,325.7,17.6,5.1,15.2,11.6,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"37290765-276f-427d-8125-801e665f1ce5","PUUM_013.basePlot.cfc","D20","PUUM","PUUM_013","distributed","5DDwl49GZC1IWMFlibF2J+PCCppoF6Khc+viSeTiJfQ=","A00000066435","5DDwl49GZC1IWMFlibF2J+PCCppoF6KhZelKOnZBjEQ6VZnD9wPaWA==","A00000066305","2019-01-15T13:32Z","2019-06-25",1,0.198,25,0.038,0.308,1.461,0.074,0.169,455.5,21.5,2.3,27.9,10.0,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"b5ba3904-d230-4129-b768-230e6c5740e7","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","5DDwl49GZC0iHKZQbKj8NzstDcx0Uczttpg8yD7Gu+c=","A00000066426","5DDwl49GZC0iHKZQbKj8NzstDcx0UcztYkTfqheCPfM=","A00000066291","2019-01-15T19:41Z","2019-06-25",1,0.200,25,0.146,1.023,1.540,0.303,0.618,76.6,66.5,28.8,34.4,26.0,"OK","OK","OK","OK","sample value outlier","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"c88a9a05-fba2-4b06-aaf8-30439d25eb6c","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","5DDwl49GZC2qh0rABlzcr8iCJYhnV9IP8p0hpdIfgqA=","A00000066430","5DDwl49GZC2qh0rABlzcr8iCJYhnV9IPQaa0EjLo4Xoy7r8hz6pxbg==","A00000066264","2019-01-15T19:54Z","2019-06-25",1,0.200,25,0.123,1.821,1.026,0.232,0.213,452.7,29.8,3.9,26.5,35.5,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"09dbb226-90f1-4b53-84e1-762c34b32a49","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","5DDwl49GZC0MiMsIQvpaIH5L5MHLeWoMEWnGhKPB4dA=","A00000066431","5DDwl49GZC0MiMsIQvpaIH5L5MHLeWoMe54Hf98gMIeHiXemx8O+uQ==","A00000066277","2019-01-15T20:22Z","2019-06-25",1,0.201,25,0.073,0.594,0.821,0.139,0.169,232.3,16.0,5.9,11.9,9.2,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"0d970e90-cb34-4180-9796-c8ea57440d80","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","5DDwl49GZC2RowxGD+HMP1jDuuDLR9AKqXQHdbPe+q0=","A00000066433","5DDwl49GZC2RowxGD+HMP1jDuuDLR9AKtrY2XdJeEPA=","A00000066367","2019-01-15T20:37Z","2019-06-25",1,0.200,25,0.047,0.406,1.409,0.859,0.397,612.2,19.2,2.9,31.1,109.7,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"76966f8e-d1e8-460d-a88d-c34722b6837b","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","5DDwl49GZC0egSCBihpmH8uD6niHowh/UNKGzk0V7QA=","A00000066434","5DDwl49GZC0egSCBihpmH8uD6niHowh/BdqCDRKegfAE1qOlPiFA9A==","A00000066390","2019-01-15T21:05Z","2019-06-25",1,0.200,25,0.066,0.568,2.838,0.409,0.198,87.4,14.9,2.3,21.7,9.1,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"534cb10a-e468-4c2a-9928-34dd0c3dc8fb","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","5DDwl49GZC16cvqrf5CvnvbCrUMlpDkFq39fz/VEOts=","A00000066432","5DDwl49GZC16cvqrf5CvnvbCrUMlpDkF6ipE00HWVgs=","A00000066299","2019-01-15T21:35Z","2019-06-25",1,0.201,25,0.221,1.289,0.525,0.181,0.485,56.0,51.7,6.7,18.0,21.2,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"ed8a5a62-9bc0-4e0f-9d30-64f6063d7d46","PUUM_032.basePlot.cfc","D20","PUUM","PUUM_032","tower","5DDwl49GZC3ZL+uQ4uDYK0kJQiS9y+t0exCJBntFsIE=","A00000066446","5DDwl49GZC3ZL+uQ4uDYK0kJQiS9y+t0+juwMHlI8Y3RopplAcByNA==","A00000066388","2019-01-15T22:39Z","2019-06-25",1,0.200,25,0.050,0.617,1.586,0.070,0.231,1441.0,33.4,5.1,31.7,8.7,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"cf3bbb62-cb5e-45b3-b6c3-008b836a3f5f","PUUM_032.basePlot.cfc","D20","PUUM","PUUM_032","tower","5DDwl49GZC3ZL+uQ4uDYK90NW88AaQWTZk++tv9wsZM=","A00000066445","5DDwl49GZC3ZL+uQ4uDYK90NW88AaQWT5Z8ysbyjfheZ+KF/SdwwyQ==","A00000066272","2019-01-15T23:01Z","2019-06-25",1,0.201,25,0.026,0.303,1.700,0.084,0.199,578.1,71.7,1.7,19.5,9.3,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"efdd479b-1acf-4359-90da-ee7f0c750197","PUUM_032.basePlot.cfc","D20","PUUM","PUUM_032","tower","5DDwl49GZC3ZL+uQ4uDYK7ZGmSMUcMxuSeF3toqPkiI=","A00000066424","5DDwl49GZC3ZL+uQ4uDYK7ZGmSMUcMxu75vuGcKmjZuqJtoNPXkXHw==","A00000066401","2019-01-15T23:06Z","2019-06-25",1,0.201,25,0.037,0.435,1.032,0.070,0.183,234.3,24.9,5.3,15.4,5.7,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"5fb93fb9-156c-406b-bc61-1574c88fe0d0","PUUM_015.basePlot.cfc","D20","PUUM","PUUM_015","distributed","5DDwl49GZC1uqLVCAX8IT+zTd1NCci5MfSdjQzn3/mw=","A00000066443","5DDwl49GZC1uqLVCAX8IT+zTd1NCci5MzVWufMMhLyo=","A00000066376","2019-01-16T08:51Z","2019-06-25",1,0.201,25,0.081,0.800,0.121,0.102,0.147,301.9,16.6,8.1,21.1,34.7,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"faf87f37-45b3-46fd-98ed-dd0f5e619a32","PUUM_015.basePlot.cfc","D20","PUUM","PUUM_015","distributed","5DDwl49GZC3WCKTZyT8iubLpOWSKvs9jgcf4UykO+rE=","A00000066444","5DDwl49GZC3WCKTZyT8iubLpOWSKvs9jqc0SiHFRNdNdevurQZGqtA==","A00000066370","2019-01-16T09:20Z","2019-06-25",1,0.197,25,0.054,0.903,1.674,0.378,0.675,210.9,14.2,1.9,21.6,9.2,"OK","OK","OK","OK","sample value outlier","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"58e287f9-d5a0-436d-b5c6-a42b29f0b594","PUUM_015.basePlot.cfc","D20","PUUM","PUUM_015","distributed","5DDwl49GZC1xf3xkjPyN8s3C/1QQ1Nw2jgkvuSzxdxw=","A00000066441","5DDwl49GZC1xf3xkjPyN8s3C/1QQ1Nw2HaH9rFZVR2foIdp0eEjlAg==","A00000066387","2019-01-16T09:55Z","2019-06-25",1,0.199,25,0.080,1.656,2.773,0.338,0.894,1450.0,29.9,3.7,45.6,97.8,"OK","OK","OK","OK","sample value outlier","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
"1a41d724-818e-41b8-b837-7ed037856ce8","PUUM_015.basePlot.cfc","D20","PUUM","PUUM_015","distributed","5DDwl49GZC0v9RFpGRmIUPlLH4n4xHTTLwX+10XNisI=","A00000066442","5DDwl49GZC0v9RFpGRmIUPlLH4n4xHTTIDUxE0pJcD2ZRTs1cpivOw==","A00000066267","2019-01-16T10:16Z","2019-06-25",1,0.198,25,0.043,0.527,1.458,0.158,0.181,694.9,18.4,4.0,29.6,6.9,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","0SbE4/OAjEQ=",
