uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,collectDate,aopCollectDate,samplingImpractical,subplotID,sampleType,samplingMethod,sampleID,sampleCode,sampleCondition,chlorophyllSampleID,chlorophyllSampleCode,chlorophyllSampleCondition,clipCellNumber,clipID,clipLength,clipWidth,percentCoverClip,toxicodendronPossible,vstTag,tagID,individualID,taxonID,scientificName,plantStatus,canopyPosition,canopyStatus,subsample1Height,subsample2Height,subsample3Height,crownPolygonID,crownPolygonConfidence,shapefileID,collectedBy,recordedBy,remarks,dataQF
"d0d8e6c4-1a7e-43ce-89f1-1412c4be6d25","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","evergreenForest","WGS84",19.553624,-155.319191,20.2,1707.9,0.37,"NEON.DOC.001024vF","2019-01-15T19:41Z","2019-01-04",,"31","Woody individual","pole pruner","5DDwl49GZC0iHKZQbKj8NzstDcx0Uczttpg8yD7Gu+c=","A00000066426","OK","5DDwl49GZC0iHKZQbKj8NzstDcx0UcztTPRRCavqG9k=","B00000048424","flash freeze method deviation",,,,,,,"Y","00347","NEON.PLA.D20.PUUM.00347","MYSA","Myoporum sandwicense (A. DC.) A. Gray","OK",,,4.6,,,,,,"hamnett@battelleecology.org","hfranz@battelleecology.org","Whole leaves folded and frozen instead of small punches. May have impacted flash freeze efficiency.",
"e30f870e-a65c-44c8-9bd3-922fc40a0c9f","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","evergreenForest","WGS84",19.553624,-155.319191,20.2,1707.9,0.37,"NEON.DOC.001024vF","2019-01-15T19:54Z","2019-01-04",,"31","Woody individual","pole pruner","5DDwl49GZC2qh0rABlzcr8iCJYhnV9IP8p0hpdIfgqA=","A00000066430","OK","5DDwl49GZC2qh0rABlzcr8iCJYhnV9IPWQTI1d+1GedY8q+uTNQ1Jw==","B00000048421","flash freeze method deviation",,,,,,,"Y","00361","NEON.PLA.D20.PUUM.00361","CHTR2","Cheirodendron trigynum (Gaudich.) A. Heller","OK",,,5.5,,,,,,"hamnett@battelleecology.org","hfranz@battelleecology.org","Whole leaves folded and frozen instead of small punches. May have impacted flash freeze efficiency.",
"eecaae1c-8871-41c2-954f-db54e03ba3aa","PUUM_002.basePlot.cfc","D20","PUUM","PUUM_002","distributed","evergreenForest","WGS84",19.595002,-155.346931,20.1,1792.8,0.10,"NEON.DOC.001024vF","2019-01-15T19:57Z",,,"31","Woody individual","pole pruner","5DDwl49GZC1OW2rB2zVCxPkxxx9T+PmAIcgktBKPsm0=","A00000066454","OK","5DDwl49GZC1OW2rB2zVCxPkxxx9T+PmAykaZWJ3y5xTgBk0Hat55Bg==","B00000048398","OK",,,,,,,"unknown","08337","NEON.PLA.D20.PUUM.08337","MEPO5","Metrosideros polymorpha Gaudich.","OK",,,3.8,,,,,,"suehana@battelleecology.org","preer@battelleecology.org",,
"a17e083d-3a27-44b9-9e37-be60fa411cba","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","evergreenForest","WGS84",19.553624,-155.319191,20.2,1707.9,0.37,"NEON.DOC.001024vF","2019-01-15T20:22Z","2019-01-04",,"31","Woody individual","pole pruner","5DDwl49GZC0MiMsIQvpaIH5L5MHLeWoMEWnGhKPB4dA=","A00000066431",,"5DDwl49GZC0MiMsIQvpaIH5L5MHLeWoMJjagZbYt2t/lZGBfY6IrlA==","B00000048420",,,,,,,,"Y","00348","NEON.PLA.D20.PUUM.00348","MEPO5","Metrosideros polymorpha Gaudich.","OK",,,2.2,,,,,,"hamnett@battelleecology.org","hfranz@battelleecology.org",,
"c40d4a33-ad67-4ff8-9281-f2a92e91b121","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","evergreenForest","WGS84",19.553624,-155.319191,20.2,1707.9,0.37,"NEON.DOC.001024vF","2019-01-15T20:37Z","2019-01-04",,"31","Woody individual","pole pruner","5DDwl49GZC2RowxGD+HMP1jDuuDLR9AKqXQHdbPe+q0=","A00000066433","OK","5DDwl49GZC2RowxGD+HMP1jDuuDLR9AKF8yUOx+7Xsg=","B00000048418","flash freeze method deviation",,,,,,,"Y","00339","NEON.PLA.D20.PUUM.00339","ILAN","Ilex anomala Hook. & Arn.","OK",,,3.4,,,,,,"hamnett@battelleecology.org","hfranz@battelleecology.org","Whole leaves folded and frozen instead of small punches. May have impacted flash freeze efficiency.",
"abf5feab-d4f9-46c6-8569-be2d1cf387cb","PUUM_002.basePlot.cfc","D20","PUUM","PUUM_002","distributed","evergreenForest","WGS84",19.595002,-155.346931,20.1,1792.8,0.10,"NEON.DOC.001024vF","2019-01-15T20:39Z",,,"31","Woody individual","pole pruner","5DDwl49GZC1OW2rB2zVCxC3W/Gs2RSm0j7UhrXsCp0Q=","A00000066452","OK","5DDwl49GZC1OW2rB2zVCxC3W/Gs2RSm0n0hqIIGCNxlQrc9hamQZkg==","B00000048399","OK",,,,,,,"unknown","08336","NEON.PLA.D20.PUUM.08336","MEPO5","Metrosideros polymorpha Gaudich.","OK",,,4.7,,,,,,"suehana@battelleecology.org","preer@battelleecology.org",,
"a71dba9d-feff-437a-9d1a-e34fa0fbeed9","PUUM_002.basePlot.cfc","D20","PUUM","PUUM_002","distributed","evergreenForest","WGS84",19.595002,-155.346931,20.1,1792.8,0.10,"NEON.DOC.001024vF","2019-01-15T20:57Z",,,,"Woody individual","pole pruner","5DDwl49GZC1OW2rB2zVCxPcrnfiW3V6tSImpqFDp/1E=",,"OK","5DDwl49GZC1OW2rB2zVCxPcrnfiW3V6tb7U2LED9PgtsqeqmYnR2Dg==","B00000048412","OK",,,,,,,"unknown","08335","NEON.PLA.D20.PUUM.08335","MEPO5","Metrosideros polymorpha Gaudich.","OK",,,1.6,,,,,,"suehana@battelleecology.org","preer@battelleecology.org",,
"f19ea061-6a85-4f71-a70f-231fd3292476","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","evergreenForest","WGS84",19.553624,-155.319191,20.2,1707.9,0.37,"NEON.DOC.001024vF","2019-01-15T21:05Z","2019-01-04",,"31","Woody individual","pole pruner","5DDwl49GZC0egSCBihpmH8uD6niHowh/UNKGzk0V7QA=","A00000066434","OK","5DDwl49GZC0egSCBihpmH8uD6niHowh/88muoaatUZQSyc+fKSCaEQ==","B00000048417","flash freeze method deviation",,,,,,,"N","08301","NEON.PLA.D20.PUUM.08301","MYLE2","Myrsine lessertiana A. DC.","OK",,,8.2,,,,,,"hamnett@battelleecology.org","hfranz@battelleecology.org","Whole leaves folded and frozen instead of small punches. May have impacted flash freeze efficiency.",
"66036577-8fc2-4b0f-8fb0-2fd32f32785b","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","evergreenForest","WGS84",19.553624,-155.319191,20.2,1707.9,0.37,"NEON.DOC.001024vF","2019-01-15T21:35Z","2019-01-04",,"31","Woody individual","pole pruner","5DDwl49GZC16cvqrf5CvnvbCrUMlpDkFq39fz/VEOts=","A00000066432","OK","5DDwl49GZC16cvqrf5CvnvbCrUMlpDkF5im86ld7/0s=","B00000048419","flash freeze method deviation",,,,,,,"N","08302Z","NEON.PLA.D20.PUUM.08302Z","ACKO","Acacia koa A. Gray","OK",,,6.9,,,,,,"hamnett@battelleecology.org","hfranz@battelleecology.org","Whole leaves folded and frozen instead of small punches. May have impacted flash freeze efficiency.",
"ad19413e-a6dd-4d1c-aab5-3948b07911e8","PUUM_032.basePlot.cfc","D20","PUUM","PUUM_032","tower","evergreenForest","WGS84",19.550720,-155.315984,20.1,1683.6,0.10,"NEON.DOC.001024vF","2019-01-15T22:39Z","2019-01-04",,"31","Woody individual","pole pruner","5DDwl49GZC3ZL+uQ4uDYK0kJQiS9y+t0exCJBntFsIE=","A00000066446",,"5DDwl49GZC3ZL+uQ4uDYK0kJQiS9y+t0p4AXePy70sIJw5/bTSSBlA==","B00000048406",,,,,,,,"Y","01239","NEON.PLA.D20.PUUM.01239","MEPO5","Metrosideros polymorpha Gaudich.","OK",,,2.2,,,,,,"hamnett@battelleecology.org","hfranz@battelleecology.org",,
