uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,ligninSampleID,ligninSampleBarcode,collectDate,analysisDate,analyticalRepNumber,dryMass,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"43ee228e-f68b-4f00-82b1-46442a032ce9","PUUM_002.basePlot.cfc","D20","PUUM","PUUM_002","distributed","5DDwl49GZC1OW2rB2zVCxPkxxx9T+PmAIcgktBKPsm0=","A00000066454","5DDwl49GZC1OW2rB2zVCxPkxxx9T+PmAYobvtqcXgsLMiTiEwjGXJA==","A00000066306","2019-01-15T10:21Z","2019-06-03",1,0.490,19.15,25.62,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=",,
"b76c9fa3-ae96-431f-9afc-757ac5dc249d","PUUM_002.basePlot.cfc","D20","PUUM","PUUM_002","distributed","5DDwl49GZC1OW2rB2zVCxC3W/Gs2RSm0j7UhrXsCp0Q=","A00000066452","5DDwl49GZC1OW2rB2zVCxC3W/Gs2RSm0JRdzSctrYr03IdiefCrf/A==","A00000066418","2019-01-15T10:35Z","2019-06-03",1,0.489,15.26,28.48,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=",,
"5ae9b85a-0b07-4157-a2a5-fd0a6507ed62","PUUM_002.basePlot.cfc","D20","PUUM","PUUM_002","distributed","5DDwl49GZC1OW2rB2zVCxPcrnfiW3V6tSImpqFDp/1E=",,"5DDwl49GZC1OW2rB2zVCxPcrnfiW3V6thLuX5EYNPwgZY+YulRC7JA==","A00000066280","2019-01-15T10:54Z","2019-06-03",1,0.474,21.02,25.68,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=",,
"0b1ba8f2-ae60-4c75-a26d-b7255e827e40","PUUM_013.basePlot.cfc","D20","PUUM","PUUM_013","distributed","5DDwl49GZC1IWMFlibF2J+ZR+3s2iCRBme+aBnSm0eU=","A00000066425","5DDwl49GZC1IWMFlibF2J+ZR+3s2iCRBlsuBtu/L2ZtnUJKzj5jpnA==","A00000066296","2019-01-15T12:46Z","2019-06-03",1,0.476,15.90,29.44,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=",,
"41c12892-9240-4e2a-aa21-fbd4d3dd816c","PUUM_013.basePlot.cfc","D20","PUUM","PUUM_013","distributed","5DDwl49GZC1IWMFlibF2JxVfXVt4F2TdYQRX/sX1dJA=","A00000066429","5DDwl49GZC1IWMFlibF2JxVfXVt4F2TdtzAKHRziem5g7kdKqp5RYA==","A00000066408","2019-01-15T13:06Z","2019-06-03",1,0.494,17.24,27.92,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=",,
"1475476e-1567-4055-b075-3e347cd0922d","PUUM_013.basePlot.cfc","D20","PUUM","PUUM_013","distributed","5DDwl49GZC1IWMFlibF2J+PCCppoF6Khc+viSeTiJfQ=","A00000066435","5DDwl49GZC1IWMFlibF2J+PCCppoF6KhZelKOnZBjEQ6VZnD9wPaWA==","A00000066305","2019-01-15T13:32Z","2019-06-03",1,0.469,14.68,29.92,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=",,
"d604fcef-a4bf-430e-b051-ab1e03c78f06","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","5DDwl49GZC0iHKZQbKj8NzstDcx0Uczttpg8yD7Gu+c=","A00000066426","5DDwl49GZC0iHKZQbKj8NzstDcx0UcztYkTfqheCPfM=","A00000066291","2019-01-15T19:41Z","2019-06-05",1,0.460,29.69,11.63,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=",,
"d17ac3ec-a371-4ad5-8ac2-b23cde6c5f65","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","5DDwl49GZC2qh0rABlzcr8iCJYhnV9IP8p0hpdIfgqA=","A00000066430","5DDwl49GZC2qh0rABlzcr8iCJYhnV9IPQaa0EjLo4Xoy7r8hz6pxbg==","A00000066264","2019-01-15T19:54Z","2019-06-03",1,0.482,13.73,17.59,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=",,
"2cc29b88-fb0c-4ebf-b2e4-01b3f4f38b70","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","5DDwl49GZC0MiMsIQvpaIH5L5MHLeWoMEWnGhKPB4dA=","A00000066431","5DDwl49GZC0MiMsIQvpaIH5L5MHLeWoMe54Hf98gMIeHiXemx8O+uQ==","A00000066277","2019-01-15T20:22Z","2019-06-03",1,0.494,12.18,22.83,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=",,
"636e1f92-9171-48d5-9d45-fa992ca49eee","PUUM_031.basePlot.cfc","D20","PUUM","PUUM_031","tower","5DDwl49GZC2RowxGD+HMP1jDuuDLR9AKqXQHdbPe+q0=","A00000066433","5DDwl49GZC2RowxGD+HMP1jDuuDLR9AKtrY2XdJeEPA=","A00000066367","2019-01-15T20:37Z","2019-06-03",1,0.487,12.40,18.34,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=",,
