uid,namedLocation,domainID,siteID,plotType,sampleID,sampleCode,collectDate,lmaSampleID,lmaSampleCode,lmaSampleCondition,scanDate,scannedBy,freshMass,ovenStartDate,ovenEndDate,dryMass,weighedBy,scannedLeafNumber,leafArea,percentGreen,leafMassPerArea,dryMassFraction,measuredBy,remarks,dataQF,publicationDate,release
c5aefa03-335f-48a4-a2e9-b8d446ffd69c,HARV_033.basePlot.cfc,D01,HARV,tower,AVQkM2txccdJInaV60DTclWghgJyQkIgm+zcaCgWO+c=,A00000000772,2018-08-29T13:38Z,AVQkM2txccdJInaV60DTclWghgJyQkIgidIe9c/1ZiU=,,OK,2018-08-30T18:31Z,opiscitelli@battelleecology.org,0.37,2018-08-30T18:34Z,2018-09-07T16:11Z,0.16,llukas@battelleecology.org,42,475.6,100,336.4,0.432,scook@battelleecology.org,,,20211222T024324Z,RELEASE-2022
0bdbeec8-9b70-4dd1-b4f7-18cc4eaf95c9,HARV_033.basePlot.cfc,D01,HARV,tower,AVQkM2txcccfnFvOIWuQJKbDLFELfXIRFAGF9qDSxxY=,A00000000744,2018-08-30T13:54Z,AVQkM2txcccfnFvOIWuQJKbDLFELfXIR9IoaI1W8DUkkfEfDH8mIcg==,,OK,2018-09-04T12:30Z,scook@battelleecology.org,3.82,2018-09-04T14:00Z,2018-09-10T19:28Z,1.7,llukas@battelleecology.org,1,20839.4,99,81.6,0.445,scook@battelleecology.org,,,20211222T024324Z,RELEASE-2022
3ef48055-727b-4989-9497-1e432faa896a,HARV_033.basePlot.cfc,D01,HARV,tower,AVQkM2txccf8cJ5aHkcu56cKijO7cC4XXAftJL7SYdc=,A00000000773,2018-08-30T14:54Z,AVQkM2txccf8cJ5aHkcu56cKijO7cC4XcDAbJb8oE8g=,,OK,2018-09-04T12:30Z,scook@battelleecology.org,2.38,2018-09-04T14:00Z,2018-09-10T19:29Z,0.99,llukas@battelleecology.org,6,18864.9,90,52.5,0.416,scook@battelleecology.org,,,20211222T024324Z,RELEASE-2022
e0449a16-86d1-4e9d-8bd5-c42c68d06a98,HARV_035.basePlot.cfc,D01,HARV,tower,AVQkM2txcceJLtxcC/BMJLp/Hy37G7o+JE+VfqIxv8Q=,A00000000788,2018-08-30T18:38Z,AVQkM2txcceJLtxcC/BMJLp/Hy37G7o+scM7TsyFCP0=,,OK,2018-09-04T12:30Z,scook@battelleecology.org,2.36,2018-09-04T14:00Z,2018-09-10T19:26Z,1.21,llukas@battelleecology.org,6,18487.9,99,65.4,0.513,scook@battelleecology.org,,,20211222T024324Z,RELEASE-2022
30e80bbb-de10-4676-8925-3129f3098158,HARV_035.basePlot.cfc,D01,HARV,tower,AVQkM2txccdkxXlfsPQ38KN4nflsRnjpGaXy/aBhKBU=,A00000000745,2018-08-30T19:35Z,AVQkM2txccdkxXlfsPQ38KN4nflsRnjpBZha9gNuCpw=,,OK,2018-09-04T12:38Z,scook@battelleecology.org,2.94,2018-09-04T14:00Z,2018-09-10T19:28Z,1.43,llukas@battelleecology.org,6,21143,96,67.6,0.486,scook@battelleecology.org,,,20211222T024324Z,RELEASE-2022
8de32e14-b3b7-4e00-a7a7-d8645e73415d,HARV_035.basePlot.cfc,D01,HARV,tower,AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBmFg+NHbVjFU=,A00000000786,2018-09-04T15:09Z,AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBfvfO8t8hb7k=,,OK,2018-09-05T16:02Z,scook@battelleecology.org,0.28,2018-09-05T16:02Z,2018-09-10T19:32Z,0.09,llukas@battelleecology.org,45,737.9,100,122,0.321,scook@battelleecology.org,"",,20211221T200614Z,RELEASE-2022
26a814cb-51e1-41e4-90c4-e7af2c89d2a3,HARV_037.basePlot.cfc,D01,HARV,tower,AVQkM2txcceLRS2ArSfV2TKAS6PImhMJFZq1L+N1Jl4=,A00000000771,2018-09-04T18:41Z,AVQkM2txcceLRS2ArSfV2TKAS6PImhMJkGPs2pJ/k0w=,,OK,2018-09-05T16:15Z,scook@battelleecology.org,0.19,2018-09-05T16:19Z,2018-09-10T19:35Z,0.08,llukas@battelleecology.org,35,576.4,100,138.8,0.421,scook@battelleecology.org,"",,20211221T200614Z,RELEASE-2022
a014535b-c647-4878-80a5-f201225bc760,HARV_037.basePlot.cfc,D01,HARV,tower,AVQkM2txccdQ2OivmFjwrRr5qjwUgN/M4s9xU49NmtY=,A00000000770,2018-09-04T20:14Z,AVQkM2txccdQ2OivmFjwrRr5qjwUgN/MFw4mmE62bxE=,,OK,2018-09-05T15:22Z,scook@battelleecology.org,3.42,2018-09-05T15:48Z,2018-09-10T19:33Z,1.75,llukas@battelleecology.org,6,17059.1,98,102.6,0.512,scook@battelleecology.org,"",,20211221T200614Z,RELEASE-2022
b8960311-81a9-4607-b0bf-144286bd8c91,HARV_013.basePlot.cfc,D01,HARV,distributed,AVQkM2txccfa6Tc84ohrE3TBoxsq44q6ZkzDRJygJGk=,A00000000768,2018-09-05T14:07Z,AVQkM2txccfa6Tc84ohrE3TBoxsq44q6kJ4Owz3iAgaiE5Pk+fpOTA==,,OK,2018-09-06T15:02Z,llukas@battelleecology.org,2.11,2018-09-06T15:05Z,2018-09-10T19:40Z,1,llukas@battelleecology.org,4,14587.5,99,68.6,0.474,scook@battelleecology.org,"",,20211221T200614Z,RELEASE-2022
5ef46c00-8bf0-4798-a14e-98418c969f0f,HARV_013.basePlot.cfc,D01,HARV,distributed,AVQkM2txcccnUG9qT4JtDncUn6t7HQMgG9spd2zIi5E=,A00000000769,2018-09-05T14:50Z,AVQkM2txcccnUG9qT4JtDncUn6t7HQMgC2244UxU/9w=,,OK,2018-09-06T14:35Z,llukas@battelleecology.org,0.72,2018-09-06T14:37Z,2018-09-10T19:38Z,0.33,llukas@battelleecology.org,33,1750.2,100,188.6,0.458,scook@battelleecology.org,"",,20211221T200614Z,RELEASE-2022
