uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,collectDate,ovenStartDate,ovenEndDate,sampleCondition,cnSampleID,cnSampleCode,ligninSampleID,ligninSampleBarcode,archiveSampleID,archiveSampleCode,archiveMass,toxicodendronPossible,processedBy,remarks,dataQF,publicationDate,release
8ac5a8bf-c97d-4c23-bea5-fb33007f02e7,HARV_033.basePlot.cfc,D01,HARV,HARV_033,tower,AVQkM2txccdJInaV60DTclWghgJyQkIgm+zcaCgWO+c=,A00000000772,2018-08-29T13:38Z,2018-08-30T18:34Z,2018-09-10T20:04Z,OK,AVQkM2txccdJInaV60DTclWghgJyQkIgKcu9WGq0iVY=,A00000032127,AVQkM2txccdJInaV60DTclWghgJyQkIgfopZUwoHFfo=,A00000032128,AVQkM2txccdJInaV60DTclWghgJyQkIgZ2zSCYqWxls=,A00000032126,,,jlerner@battelleecology.org,,,20211222T024324Z,RELEASE-2022
c833e04b-4dfa-4bad-91ea-a6e50d99a714,HARV_033.basePlot.cfc,D01,HARV,HARV_033,tower,AVQkM2txcccfnFvOIWuQJKbDLFELfXIRFAGF9qDSxxY=,A00000000744,2018-08-30T13:54Z,2018-09-05T14:00Z,2018-09-10T20:07Z,OK,AVQkM2txcccfnFvOIWuQJKbDLFELfXIRdPLdZR/psak=,A00000032124,AVQkM2txcccfnFvOIWuQJKbDLFELfXIRtnfumfA7EMztdu9DrHXwNQ==,A00000032125,AVQkM2txcccfnFvOIWuQJKbDLFELfXIRKUbj/b98IN8=,A00000032123,,,jlerner@battelleecology.org,,,20211222T024324Z,RELEASE-2022
249248b2-4f76-4590-869f-9a5fa59db88d,HARV_033.basePlot.cfc,D01,HARV,HARV_033,tower,AVQkM2txccf8cJ5aHkcu56cKijO7cC4XXAftJL7SYdc=,A00000000773,2018-08-30T14:54Z,2018-09-05T14:00Z,2018-09-10T20:10Z,OK,AVQkM2txccf8cJ5aHkcu56cKijO7cC4XwiVTEeAQUH0=,A00000032120,AVQkM2txccf8cJ5aHkcu56cKijO7cC4XohwQYWZA7Js=,A00000032122,AVQkM2txccf8cJ5aHkcu56cKijO7cC4XXKvcmkkB4mU=,A00000032121,,,jlerner@battelleecology.org,,,20211222T024324Z,RELEASE-2022
b4750bdc-432e-4da5-8821-b2b03263a302,HARV_035.basePlot.cfc,D01,HARV,HARV_035,tower,AVQkM2txcceJLtxcC/BMJLp/Hy37G7o+JE+VfqIxv8Q=,A00000000788,2018-08-30T18:38Z,2018-09-05T14:00Z,2018-09-10T20:01Z,OK,AVQkM2txcceJLtxcC/BMJLp/Hy37G7o+HiRlP/KGqtk=,A00000032110,AVQkM2txcceJLtxcC/BMJLp/Hy37G7o+ZwljW9CcX4s=,A00000032109,AVQkM2txcceJLtxcC/BMJLp/Hy37G7o+fldSjiJrtRE=,A00000032108,,,jlerner@battelleecology.org,,,20211222T024324Z,RELEASE-2022
428921cb-143f-4006-9eeb-d856d3743033,HARV_035.basePlot.cfc,D01,HARV,HARV_035,tower,AVQkM2txccdkxXlfsPQ38KN4nflsRnjpGaXy/aBhKBU=,A00000000745,2018-08-30T19:35Z,2018-09-05T14:00Z,2018-09-10T20:09Z,OK,AVQkM2txccdkxXlfsPQ38KN4nflsRnjpkkdTwPNTJtc=,A00000032112,AVQkM2txccdkxXlfsPQ38KN4nflsRnjpEOCjhkSeg7M=,A00000032113,AVQkM2txccdkxXlfsPQ38KN4nflsRnjpcFRefWTnRoQ=,A00000032111,,,jlerner@battelleecology.org,,,20211222T024324Z,RELEASE-2022
b7c33db5-b16c-4fe5-8803-e28c963637b0,HARV_035.basePlot.cfc,D01,HARV,HARV_035,tower,AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBmFg+NHbVjFU=,A00000000786,2018-09-04T15:09Z,2018-09-05T20:24Z,2018-09-10T20:14Z,OK,AVQkM2txccfUnMu2VlEQoJVkzmhQOXrB3ae0H9ebzmc=,A00000032115,AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBJcCx9RZ4/xI=,A00000032116,AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBrEMSrEMLoOw=,A00000032114,,,jlerner@battelleecology.org,,,20211221T200614Z,RELEASE-2022
02100b2a-40ca-487c-b429-100b729eca32,HARV_037.basePlot.cfc,D01,HARV,HARV_037,tower,AVQkM2txcceLRS2ArSfV2TKAS6PImhMJFZq1L+N1Jl4=,A00000000771,2018-09-04T18:41Z,2018-09-05T20:24Z,2018-09-10T20:12Z,OK,AVQkM2txcceLRS2ArSfV2TKAS6PImhMJBc8ZSNzwJrw=,A00000032129,AVQkM2txcceLRS2ArSfV2TKAS6PImhMJDFlPlj0Ij8c=,A00000032130,AVQkM2txcceLRS2ArSfV2TKAS6PImhMJkoptmfeyd4E=,A00000032131,,,jlerner@battelleecology.org,,,20211221T200614Z,RELEASE-2022
ce4705b8-bca4-4df4-9329-a0fdcb816856,HARV_037.basePlot.cfc,D01,HARV,HARV_037,tower,AVQkM2txccdQ2OivmFjwrRr5qjwUgN/M4s9xU49NmtY=,A00000000770,2018-09-04T20:14Z,2018-09-05T15:50Z,2018-09-10T19:54Z,OK,AVQkM2txccdQ2OivmFjwrRr5qjwUgN/MIp2kth1RJ+4=,A00000032118,AVQkM2txccdQ2OivmFjwrRr5qjwUgN/MuuxpL36YFgI=,A00000032119,AVQkM2txccdQ2OivmFjwrRr5qjwUgN/MrNWw2aFRnk4=,A00000032117,,,jlerner@battelleecology.org,,,20211221T200614Z,RELEASE-2022
80b00c07-9578-4a64-91af-8186c6a54ad6,HARV_013.basePlot.cfc,D01,HARV,HARV_013,distributed,AVQkM2txccfa6Tc84ohrE3TBoxsq44q6ZkzDRJygJGk=,A00000000768,2018-09-05T14:07Z,2018-09-06T15:07Z,2018-09-10T20:27Z,OK,AVQkM2txccfa6Tc84ohrE3TBoxsq44q6yDRXI1iufI8=,A00000032107,AVQkM2txccfa6Tc84ohrE3TBoxsq44q6UhOg6WaFYWBZ4WLDStwGZQ==,A00000032106,AVQkM2txccfa6Tc84ohrE3TBoxsq44q69NjWQM+y9AA=,A00000032105,,,jlerner@battelleecology.org,,,20211221T200614Z,RELEASE-2022
b7142865-3e9d-406f-9f75-d58236991d18,HARV_013.basePlot.cfc,D01,HARV,HARV_013,distributed,AVQkM2txcccnUG9qT4JtDncUn6t7HQMgG9spd2zIi5E=,A00000000769,2018-09-05T14:50Z,2018-09-06T15:07Z,2018-09-10T20:25Z,OK,AVQkM2txcccnUG9qT4JtDncUn6t7HQMg7+YNToOJahE=,A00000032104,AVQkM2txcccnUG9qT4JtDncUn6t7HQMgDcfbGh9QKys=,A00000032103,AVQkM2txcccnUG9qT4JtDncUn6t7HQMgL3thFrlKJlY=,A00000032102,,,jlerner@battelleecology.org,,,20211221T200614Z,RELEASE-2022
