uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,chlorophyllSampleID,chlorophyllSampleCode,collectDate,sampleCondition,extractionStartDate,extractionLength,freshMass,solventVolume,analyticalRepNumber,extractChlAConc,extractChlBConc,extractCarotConc,relativeAccuracyScale,handlingQF,measurementQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF,publicationDate,release
a0622de0-28d6-4c17-ac8b-7b52ec6f6011,HARV_033.basePlot.cfc,D01,HARV,HARV_033,tower,AVQkM2txccdJInaV60DTclWghgJyQkIgm+zcaCgWO+c=,A00000000772,AVQkM2txccdJInaV60DTclWghgJyQkIgDcoIun1GyrU=,D00000008014,2018-08-29T13:38Z,OK,2018-09-08,48,0.2491,20,1,7.81,2.41,2.14,A,OK,OK,,EcoAnalysts Inc.,NEON_ChlandCarotenoids_Methanol,5SD3v6V9C763w1YKG/y7EA==,oRIgwAyNbI9p3dxUK5sY7g==,,20211222T024324Z,RELEASE-2022
bfa20407-4ceb-42fd-b49f-18d256c669e7,HARV_033.basePlot.cfc,D01,HARV,HARV_033,tower,AVQkM2txcccfnFvOIWuQJKbDLFELfXIRFAGF9qDSxxY=,A00000000744,AVQkM2txcccfnFvOIWuQJKbDLFELfXIRNtCa2mXFELszdFWftE0bvQ==,D00000007973,2018-08-30T13:54Z,OK,2018-09-08,48,0.1516,20,1,13.08,3.72,3.91,A,OK,OK,,EcoAnalysts Inc.,NEON_ChlandCarotenoids_Methanol,5SD3v6V9C763w1YKG/y7EA==,oRIgwAyNbI9p3dxUK5sY7g==,,20211222T024324Z,RELEASE-2022
c4e1f9b0-6e57-41bc-9502-f89a075bd1d9,HARV_033.basePlot.cfc,D01,HARV,HARV_033,tower,AVQkM2txccf8cJ5aHkcu56cKijO7cC4XXAftJL7SYdc=,A00000000773,AVQkM2txccf8cJ5aHkcu56cKijO7cC4XzbVb0Q9B7Vo=,D00000008016,2018-08-30T14:54Z,OK,2018-09-08,48,0.1465,20,1,17.66,5.6,4.39,A,OK,OK,,EcoAnalysts Inc.,NEON_ChlandCarotenoids_Methanol,5SD3v6V9C763w1YKG/y7EA==,oRIgwAyNbI9p3dxUK5sY7g==,,20211222T024324Z,RELEASE-2022
300215b9-51c1-4b53-8965-f24679ccee4d,HARV_035.basePlot.cfc,D01,HARV,HARV_035,tower,AVQkM2txcceJLtxcC/BMJLp/Hy37G7o+JE+VfqIxv8Q=,A00000000788,AVQkM2txcceJLtxcC/BMJLp/Hy37G7o+cBhS81DxCw0=,D00000007996,2018-08-30T18:38Z,OK,2018-09-08,48,0.122,20,1,7.24,1.99,2.28,A,OK,OK,,EcoAnalysts Inc.,NEON_ChlandCarotenoids_Methanol,5SD3v6V9C763w1YKG/y7EA==,oRIgwAyNbI9p3dxUK5sY7g==,,20211222T024324Z,RELEASE-2022
eaa3c25f-6d6e-488e-9f71-181c04cc4538,HARV_035.basePlot.cfc,D01,HARV,HARV_035,tower,AVQkM2txccdkxXlfsPQ38KN4nflsRnjpGaXy/aBhKBU=,A00000000745,AVQkM2txccdkxXlfsPQ38KN4nflsRnjpLJ1UgD12bp4=,D00000007995,2018-08-30T19:35Z,OK,2018-09-08,48,0.1525,20,1,13.82,3.93,3.64,A,OK,OK,,EcoAnalysts Inc.,NEON_ChlandCarotenoids_Methanol,5SD3v6V9C763w1YKG/y7EA==,oRIgwAyNbI9p3dxUK5sY7g==,,20211222T024324Z,RELEASE-2022
f627c1b8-3706-406a-85da-1a16cd550087,HARV_035.basePlot.cfc,D01,HARV,HARV_035,tower,AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBmFg+NHbVjFU=,A00000000786,AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBQ/08Rszc8CI=,D00000007987,2018-09-04T15:09Z,OK,2018-09-17,48,0.314,20,1,8.79,2.65,3.17,A,OK,OK,,EcoAnalysts Inc.,NEON_ChlandCarotenoids_Methanol,5SD3v6V9C763w1YKG/y7EA==,oRIgwAyNbI9p3dxUK5sY7g==,,20211221T200614Z,RELEASE-2022
e91b893f-ecce-4e08-9b40-9b557b472dd7,HARV_037.basePlot.cfc,D01,HARV,HARV_037,tower,AVQkM2txcceLRS2ArSfV2TKAS6PImhMJFZq1L+N1Jl4=,A00000000771,AVQkM2txcceLRS2ArSfV2TKAS6PImhMJEtN6joQMpC8=,D00000008015,2018-09-04T18:41Z,OK,2018-09-17,48,0.2967,20,1,6.51,2.74,2.65,A,OK,OK,,EcoAnalysts Inc.,NEON_ChlandCarotenoids_Methanol,5SD3v6V9C763w1YKG/y7EA==,oRIgwAyNbI9p3dxUK5sY7g==,,20211221T200614Z,RELEASE-2022
c9af33e6-fc4f-47bd-a9cc-93ba69c25c7b,HARV_037.basePlot.cfc,D01,HARV,HARV_037,tower,AVQkM2txccdQ2OivmFjwrRr5qjwUgN/M4s9xU49NmtY=,A00000000770,AVQkM2txccdQ2OivmFjwrRr5qjwUgN/MSKVTELKWbng=,D00000007972,2018-09-04T20:14Z,OK,2018-09-17,48,0.2751,20,1,15.94,4.8,4.58,A,OK,OK,,EcoAnalysts Inc.,NEON_ChlandCarotenoids_Methanol,5SD3v6V9C763w1YKG/y7EA==,oRIgwAyNbI9p3dxUK5sY7g==,,20211221T200614Z,RELEASE-2022
763beb9c-997c-4797-b7a7-d80bf22c1bef,HARV_013.basePlot.cfc,D01,HARV,HARV_013,distributed,AVQkM2txccfa6Tc84ohrE3TBoxsq44q6ZkzDRJygJGk=,A00000000768,AVQkM2txccfa6Tc84ohrE3TBoxsq44q6SxAKpyu4kuAEWNSYy1wmkg==,D00000007981,2018-09-05T14:07Z,OK,2018-09-17,48,0.2805,20,1,16.64,5.03,4.95,A,OK,OK,,EcoAnalysts Inc.,NEON_ChlandCarotenoids_Methanol,5SD3v6V9C763w1YKG/y7EA==,oRIgwAyNbI9p3dxUK5sY7g==,,20211221T200614Z,RELEASE-2022
5d1ec42a-bc45-4185-b63b-822775c213c3,HARV_013.basePlot.cfc,D01,HARV,HARV_013,distributed,AVQkM2txcccnUG9qT4JtDncUn6t7HQMgG9spd2zIi5E=,A00000000769,AVQkM2txcccnUG9qT4JtDncUn6t7HQMg1dk0YYgbgMI=,D00000008011,2018-09-05T14:50Z,OK,2018-09-17,48,0.2156,20,1,9.56,2.89,2.29,A,OK,OK,,EcoAnalysts Inc.,NEON_ChlandCarotenoids_Methanol,5SD3v6V9C763w1YKG/y7EA==,oRIgwAyNbI9p3dxUK5sY7g==,,20211221T200614Z,RELEASE-2022
13e8415d-5034-4ecc-b6ae-b7d44ca11e27,HARV_013.basePlot.cfc,D01,HARV,HARV_013,distributed,AVQkM2txccdU9XU1geX3p7dBL1yeO83xJfU2OND+zK4=,A00000000780,AVQkM2txccdU9XU1geX3p7dBL1yeO83xk/bouhWA5IQ=,D00000007979,2018-09-05T16:06Z,OK,2018-09-17,48,0.2408,20,1,16.68,3.56,4.06,A,OK,OK,,EcoAnalysts Inc.,NEON_ChlandCarotenoids_Methanol,5SD3v6V9C763w1YKG/y7EA==,oRIgwAyNbI9p3dxUK5sY7g==,,20211221T200614Z,RELEASE-2022
66fecbfc-251e-42a3-89f1-49ad8210379a,HARV_006.basePlot.cfc,D01,HARV,HARV_006,distributed,AVQkM2txccff87SxuZNcE+iY147qeowcrBke51Z5alM=,A00000000765,AVQkM2txccff87SxuZNcE+iY147qeowcfWOIYRLftFk=,D00000007984,2018-09-05T18:04Z,OK,2018-09-17,48,0.2802,20,1,21.6,5.88,5.4,A,OK,OK,,EcoAnalysts Inc.,NEON_ChlandCarotenoids_Methanol,5SD3v6V9C763w1YKG/y7EA==,oRIgwAyNbI9p3dxUK5sY7g==,,20211221T200614Z,RELEASE-2022
1aaba413-46b6-45bb-8582-891beace4c70,HARV_006.basePlot.cfc,D01,HARV,HARV_006,distributed,AVQkM2txcccbfq2mByGOeXPHFFcT7zucTX5MUkVCdZs=,A00000000747,AVQkM2txcccbfq2mByGOeXPHFFcT7zucXukXAzNK/EQ=,D00000008019,2018-09-06T13:01Z,OK,2018-09-17,48,0.246,20,1,19.92,5.15,5.54,A,OK,OK,,EcoAnalysts Inc.,NEON_ChlandCarotenoids_Methanol,5SD3v6V9C763w1YKG/y7EA==,oRIgwAyNbI9p3dxUK5sY7g==,,20211221T200614Z,RELEASE-2022
63522958-f9be-4c5f-a222-ec49d8f5e34c,HARV_006.basePlot.cfc,D01,HARV,HARV_006,distributed,AVQkM2txccenLB73JxEdacLoLcwaSeCKrDi+Yo1Cuyg=,A00000000764,AVQkM2txccenLB73JxEdacLoLcwaSeCKVyfJWp3MM4I=,D00000008013,2018-09-06T14:34Z,OK,2018-09-17,48,0.2196,20,1,11.68,2.16,3.14,A,OK,OK,,EcoAnalysts Inc.,NEON_ChlandCarotenoids_Methanol,5SD3v6V9C763w1YKG/y7EA==,oRIgwAyNbI9p3dxUK5sY7g==,,20211221T200614Z,RELEASE-2022
4fbcdb5a-d093-4626-b45e-e3269275f814,HARV_004.basePlot.cfc,D01,HARV,HARV_004,distributed,AVQkM2txccfoJDNLYOYIVdYKO96X0hP5YNhoGUjrzdg=,A00000000743,AVQkM2txccfoJDNLYOYIVdYKO96X0hP5qNBjBC9Klnw=,D00000007992,2018-09-06T16:56Z,OK,2018-09-17,48,0.2105,20,1,17.52,4.95,4.76,A,OK,OK,,EcoAnalysts Inc.,NEON_ChlandCarotenoids_Methanol,5SD3v6V9C763w1YKG/y7EA==,oRIgwAyNbI9p3dxUK5sY7g==,,20211221T200614Z,RELEASE-2022
5085e688-4ab9-4c7d-bd6e-7107f19befdc,HARV_004.basePlot.cfc,D01,HARV,HARV_004,distributed,AVQkM2txccfr8sOhlxEHYwQ7kBCYQdB7W5OTZwMQwvE=,A00000000758,AVQkM2txccfr8sOhlxEHYwQ7kBCYQdB7kGfPBInV5WLU54xAzu4PYw==,D00000007990,2018-09-06T18:11Z,OK,2018-09-17,48,0.199,20,1,34.88,11.32,7.79,A,OK,OK,,EcoAnalysts Inc.,NEON_ChlandCarotenoids_Methanol,5SD3v6V9C763w1YKG/y7EA==,oRIgwAyNbI9p3dxUK5sY7g==,,20211221T200614Z,RELEASE-2022
4a94aab5-eb02-4844-b761-f2b4b3b600c5,HARV_004.basePlot.cfc,D01,HARV,HARV_004,distributed,AVQkM2txcccSmS/+trysX9MD/YSgk8+T4vjMfdPDA4I=,A00000000767,AVQkM2txcccSmS/+trysX9MD/YSgk8+Ta5utHpXhGbA=,D00000007986,2018-09-07T14:22Z,OK,2018-09-17,48,0.1958,20,1,23.32,5.45,5.75,A,OK,OK,,EcoAnalysts Inc.,NEON_ChlandCarotenoids_Methanol,5SD3v6V9C763w1YKG/y7EA==,oRIgwAyNbI9p3dxUK5sY7g==,,20211221T200614Z,RELEASE-2022
a23f0ff5-672b-4af7-adcf-f4e3a9cf0b45,HARV_010.basePlot.cfc,D01,HARV,HARV_010,distributed,AVQkM2txcccPybg3jdEvENrtT75oYMHcXgqTe+G80ok=,A00000000790,AVQkM2txcccPybg3jdEvENrtT75oYMHcdsYMXBGTcTo=,D00000008001,2018-09-07T17:11Z,OK,2018-09-17,48,0.2974,20,1,8.24,3,2.17,A,OK,OK,,EcoAnalysts Inc.,NEON_ChlandCarotenoids_Methanol,5SD3v6V9C763w1YKG/y7EA==,oRIgwAyNbI9p3dxUK5sY7g==,,20211221T200614Z,RELEASE-2022
