uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,ligninSampleID,ligninSampleBarcode,collectDate,analysisDate,analyticalRepNumber,dryMass,digestVolume,foliarPhosphorusConc,foliarPotassiumConc,foliarCalciumConc,foliarMagnesiumConc,foliarSulfurConc,foliarManganeseConc,foliarIronConc,foliarCopperConc,foliarBoronConc,foliarZincConc,foliarPhosphorusQF,foliarPotassiumQF,foliarCalciumQF,foliarMagnesiumQF,foliarSulfurQF,foliarManganeseQF,foliarIronQF,foliarCopperQF,foliarBoronQF,foliarZincQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF,publicationDate,release
59ebd67b-81f4-4825-947b-95e4eafc1666,HARV_033.basePlot.cfc,D01,HARV,HARV_033,tower,AVQkM2txccdJInaV60DTclWghgJyQkIgm+zcaCgWO+c=,A00000000772,AVQkM2txccdJInaV60DTclWghgJyQkIgfopZUwoHFfo=,A00000032128,2018-08-29T13:38Z,2020-02-10,1,0.196,25,0.147,1.121,0.273,0.068,0.088,585.6,27.8,2.6,28.9,36.3,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,,20211222T024324Z,RELEASE-2022
689b60bb-bc75-4206-941e-6693bb522f5c,HARV_033.basePlot.cfc,D01,HARV,HARV_033,tower,AVQkM2txcccfnFvOIWuQJKbDLFELfXIRFAGF9qDSxxY=,A00000000744,AVQkM2txcccfnFvOIWuQJKbDLFELfXIRtnfumfA7EMztdu9DrHXwNQ==,A00000032125,2018-08-30T13:54Z,2020-02-10,1,0.204,25,0.229,1.329,0.831,0.296,0.331,37.9,42.3,14.6,37.3,12.1,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,,20211222T024324Z,RELEASE-2022
78a7fb35-139a-4026-89b1-ddf2b9b0b9a0,HARV_033.basePlot.cfc,D01,HARV,HARV_033,tower,AVQkM2txccf8cJ5aHkcu56cKijO7cC4XXAftJL7SYdc=,A00000000773,AVQkM2txccf8cJ5aHkcu56cKijO7cC4XohwQYWZA7Js=,A00000032122,2018-08-30T14:54Z,2020-02-10,1,0.201,25,0.196,0.915,0.478,0.15,0.109,518.3,37.6,5.8,25.6,19.9,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,,20211222T024324Z,RELEASE-2022
d6a0e68c-d08d-465c-a60e-1ab6791210eb,HARV_035.basePlot.cfc,D01,HARV,HARV_035,tower,AVQkM2txcceJLtxcC/BMJLp/Hy37G7o+JE+VfqIxv8Q=,A00000000788,AVQkM2txcceJLtxcC/BMJLp/Hy37G7o+ZwljW9CcX4s=,A00000032109,2018-08-30T18:38Z,2020-02-10,1,0.2,25,0.224,1.288,0.157,0.057,0.104,192.5,36,4.7,22.1,37.8,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,,20211222T024324Z,RELEASE-2022
583fcc1d-49fc-4c6e-b839-a1598bec3c07,HARV_035.basePlot.cfc,D01,HARV,HARV_035,tower,AVQkM2txccdkxXlfsPQ38KN4nflsRnjpGaXy/aBhKBU=,A00000000745,AVQkM2txccdkxXlfsPQ38KN4nflsRnjpEOCjhkSeg7M=,A00000032113,2018-08-30T19:35Z,2020-02-10,1,0.2,25,0.298,0.753,0.385,0.155,0.116,322.3,28.1,7.4,26.7,22.9,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,,20211222T024324Z,RELEASE-2022
4981f493-07a1-4f95-a551-c63108d54ba5,HARV_035.basePlot.cfc,D01,HARV,HARV_035,tower,AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBmFg+NHbVjFU=,A00000000786,AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBJcCx9RZ4/xI=,A00000032116,2018-09-04T15:09Z,2020-02-10,1,0.206,25,0.228,0.721,0.417,0.147,0.112,508.6,30.6,3.3,43.1,11.8,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,,20211221T200614Z,RELEASE-2022
405ef5ed-3593-4ce5-987d-23cc59679d38,HARV_037.basePlot.cfc,D01,HARV,HARV_037,tower,AVQkM2txcceLRS2ArSfV2TKAS6PImhMJFZq1L+N1Jl4=,A00000000771,AVQkM2txcceLRS2ArSfV2TKAS6PImhMJDFlPlj0Ij8c=,A00000032130,2018-09-04T18:41Z,2020-02-10,1,0.203,25,0.163,0.808,0.303,0.107,0.122,538.4,26.8,3.8,39.4,9.1,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,,20211221T200614Z,RELEASE-2022
9880ada1-ba23-4dda-aa55-2d1e9cdde587,HARV_037.basePlot.cfc,D01,HARV,HARV_037,tower,AVQkM2txccdQ2OivmFjwrRr5qjwUgN/M4s9xU49NmtY=,A00000000770,AVQkM2txccdQ2OivmFjwrRr5qjwUgN/MuuxpL36YFgI=,A00000032119,2018-09-04T20:14Z,2020-02-10,1,0.2,25,0.108,0.552,0.52,0.178,0.108,637.6,30.7,9,43.5,22.2,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,,20211221T200614Z,RELEASE-2022
787b1cd3-fdf9-443d-86ca-cc98f60da06d,HARV_013.basePlot.cfc,D01,HARV,HARV_013,distributed,AVQkM2txccfa6Tc84ohrE3TBoxsq44q6ZkzDRJygJGk=,A00000000768,AVQkM2txccfa6Tc84ohrE3TBoxsq44q6UhOg6WaFYWBZ4WLDStwGZQ==,A00000032106,2018-09-05T14:07Z,2020-02-10,1,0.202,25,0.2,0.841,0.791,0.064,0.205,1133,45.4,5.3,54,21.4,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,,20211221T200614Z,RELEASE-2022
55581f38-02c3-4cca-8d2c-fe8debf7ccae,HARV_013.basePlot.cfc,D01,HARV,HARV_013,distributed,AVQkM2txcccnUG9qT4JtDncUn6t7HQMgG9spd2zIi5E=,A00000000769,AVQkM2txcccnUG9qT4JtDncUn6t7HQMgDcfbGh9QKys=,A00000032103,2018-09-05T14:50Z,2020-02-10,1,0.204,25,0.15,0.382,0.369,0.148,0.107,699.4,30.9,4.4,20.9,63,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,0SbE4/OAjEQ=,,20211221T200614Z,RELEASE-2022
