uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,collectDate,aopCollectDate,samplingImpractical,subplotID,sampleType,samplingMethod,sampleID,sampleCode,sampleCondition,chlorophyllSampleID,chlorophyllSampleCode,chlorophyllSampleCondition,clipCellNumber,clipID,clipLength,clipWidth,percentCoverClip,toxicodendronPossible,vstTag,tagID,individualID,taxonID,scientificName,plantStatus,canopyPosition,canopyStatus,subsample1Height,subsample2Height,subsample3Height,crownPolygonID,crownPolygonConfidence,shapefileID,collectedBy,recordedBy,remarks,dataQF,publicationDate,release
cbe3ceee-9562-4b99-b845-4c2d079a4b5d,HARV_033.basePlot.cfc,D01,HARV,HARV_033,tower,deciduousForest,WGS84,42.538302,-72.175607,20.2,358.8,0.22,NEON.DOC.001024vE,2018-08-29T13:38Z,2018-09-02,,23,Woody individual,line launcher,AVQkM2txccdJInaV60DTclWghgJyQkIgm+zcaCgWO+c=,A00000000772,,AVQkM2txccdJInaV60DTclWghgJyQkIgDcoIun1GyrU=,D00000008014,,,,,,,,Y,05643,NEON.PLA.D01.HARV.05643,PIAB,Picea abies (L.) Karst.,OK,,,21.5,,,,,,jmckenna@battelleecology.org,opiscitelli@battelleecology.org,,,20211222T024324Z,RELEASE-2022
6c5a1be9-d0b7-4cca-b1ed-b86e2b02dca9,HARV_033.basePlot.cfc,D01,HARV,HARV_033,tower,deciduousForest,WGS84,42.538302,-72.175607,20.2,358.8,0.22,NEON.DOC.001024vE,2018-08-30T13:54Z,2018-09-02,,23,Woody individual,line launcher,AVQkM2txcccfnFvOIWuQJKbDLFELfXIRFAGF9qDSxxY=,A00000000744,,AVQkM2txcccfnFvOIWuQJKbDLFELfXIRNtCa2mXFELszdFWftE0bvQ==,D00000007973,,,,,,,,Y,05632,NEON.PLA.D01.HARV.05632,FRAM2,Fraxinus americana L.,OK,,,21.7,,,,,,jmckenna@battelleecology.org,gvanscoy@field-ops.org,,,20211222T024324Z,RELEASE-2022
b3ef7498-48a6-4e85-b841-3e1dfe0041a2,HARV_033.basePlot.cfc,D01,HARV,HARV_033,tower,deciduousForest,WGS84,42.538302,-72.175607,20.2,358.8,0.22,NEON.DOC.001024vE,2018-08-30T14:54Z,2018-09-02,,23,Woody individual,line launcher,AVQkM2txccf8cJ5aHkcu56cKijO7cC4XXAftJL7SYdc=,A00000000773,,AVQkM2txccf8cJ5aHkcu56cKijO7cC4XzbVb0Q9B7Vo=,D00000008016,,,,,,,,Y,05625,NEON.PLA.D01.HARV.05625,ACRU,Acer rubrum L.,Disease damaged,,,12.4,,,,,,jmckenna@battelleecology.org,gvanscoy@field-ops.org,,,20211222T024324Z,RELEASE-2022
69be0179-2934-4828-a0c1-6406544f5a38,HARV_035.basePlot.cfc,D01,HARV,HARV_035,tower,evergreenForest,WGS84,42.539966,-72.178072,20.2,365.8,0.3,NEON.DOC.001024vE,2018-08-30T18:38Z,2018-09-02,,21,Woody individual,line launcher,AVQkM2txcceJLtxcC/BMJLp/Hy37G7o+JE+VfqIxv8Q=,A00000000788,,AVQkM2txcceJLtxcC/BMJLp/Hy37G7o+cBhS81DxCw0=,D00000007996,,,,,,,,Y,04566A,NEON.PLA.D01.HARV.04566A,BELE,Betula lenta L.,OK,,,11.6,,,,,,jmckenna@battelleecology.org,gvanscoy@field-ops.org,,,20211222T024324Z,RELEASE-2022
4887c51d-5cb8-4446-976c-6804421605bb,HARV_035.basePlot.cfc,D01,HARV,HARV_035,tower,evergreenForest,WGS84,42.539966,-72.178072,20.2,365.8,0.3,NEON.DOC.001024vE,2018-08-30T19:35Z,2018-09-02,,21,Woody individual,line launcher,AVQkM2txccdkxXlfsPQ38KN4nflsRnjpGaXy/aBhKBU=,A00000000745,,AVQkM2txccdkxXlfsPQ38KN4nflsRnjpLJ1UgD12bp4=,D00000007995,,,,,,,,Y,04568,NEON.PLA.D01.HARV.04568,ACRU,Acer rubrum L.,Disease damaged,,,11,,,,,,jmckenna@battelleecology.org,gvanscoy@field-ops.org,,,20211222T024324Z,RELEASE-2022
aa812f45-f478-4973-bd50-0df5f6cbd8e2,HARV_035.basePlot.cfc,D01,HARV,HARV_035,tower,evergreenForest,WGS84,42.539966,-72.178072,20.2,365.8,0.3,NEON.DOC.001024vE,2018-09-04T15:09Z,2018-09-02,,21,Woody individual,line launcher,AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBmFg+NHbVjFU=,A00000000786,,AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBQ/08Rszc8CI=,D00000007987,,,,,,,,Y,04552,NEON.PLA.D01.HARV.04552,TSCA,Tsuga canadensis (L.) Carrière,Insect damaged,,,11.6,,,,,,jlerner@battelleecology.org,gvanscoy@field-ops.org,Hemlock woolly adelgid,,20211221T200614Z,RELEASE-2022
ac32d9b3-9b42-480e-ae31-52e6f48e4886,HARV_037.basePlot.cfc,D01,HARV,HARV_037,tower,evergreenForest,WGS84,42.537308,-72.179312,20.1,361.9,0.17,NEON.DOC.001024vE,2018-09-04T18:41Z,2018-09-02,,41,Woody individual,line launcher,AVQkM2txcceLRS2ArSfV2TKAS6PImhMJFZq1L+N1Jl4=,A00000000771,,AVQkM2txcceLRS2ArSfV2TKAS6PImhMJEtN6joQMpC8=,D00000008015,,,,,,,,Y,05186,NEON.PLA.D01.HARV.05186,TSCA,Tsuga canadensis (L.) Carrière,Insect damaged,,,17.7,15.5,,,,,jlerner@battelleecology.org,gvanscoy@field-ops.org,Hemlock woolly adelgid,,20211221T200614Z,RELEASE-2022
59a35102-6abd-4505-a552-322c303e1325,HARV_037.basePlot.cfc,D01,HARV,HARV_037,tower,evergreenForest,WGS84,42.537308,-72.179312,20.1,361.9,0.17,NEON.DOC.001024vE,2018-09-04T20:14Z,2018-09-02,,41,Woody individual,line launcher,AVQkM2txccdQ2OivmFjwrRr5qjwUgN/M4s9xU49NmtY=,A00000000770,,AVQkM2txccdQ2OivmFjwrRr5qjwUgN/MSKVTELKWbng=,D00000007972,,,,,,,,Y,05181,NEON.PLA.D01.HARV.05181,ACRU,Acer rubrum L.,Disease damaged,,,17.6,19.4,,,,,jlerner@battelleecology.org,gvanscoy@field-ops.org,"",,20211221T200614Z,RELEASE-2022
2c80d01d-6868-470e-9d75-7cb0dd4c82e7,HARV_013.basePlot.cfc,D01,HARV,HARV_013,distributed,evergreenForest,WGS84,42.392282,-72.254598,20.2,184.6,0.24,NEON.DOC.001024vE,2018-09-05T14:07Z,2018-09-03,,31,Woody individual,line launcher,AVQkM2txccfa6Tc84ohrE3TBoxsq44q6ZkzDRJygJGk=,A00000000768,,AVQkM2txccfa6Tc84ohrE3TBoxsq44q6SxAKpyu4kuAEWNSYy1wmkg==,D00000007981,,,,,,,,Y,01135,NEON.PLA.D01.HARV.01135,ACSA3,Acer saccharum Marshall,OK,,,14.8,,,,,,jlerner@battelleecology.org,gvanscoy@field-ops.org,"",,20211221T200614Z,RELEASE-2022
c08be7d7-82d3-4b29-8a7a-473ee965cca6,HARV_013.basePlot.cfc,D01,HARV,HARV_013,distributed,evergreenForest,WGS84,42.392282,-72.254598,20.2,184.6,0.24,NEON.DOC.001024vE,2018-09-05T14:50Z,2018-09-03,,31,Woody individual,line launcher,AVQkM2txcccnUG9qT4JtDncUn6t7HQMgG9spd2zIi5E=,A00000000769,,AVQkM2txcccnUG9qT4JtDncUn6t7HQMg1dk0YYgbgMI=,D00000008011,,,,,,,,Y,01137,NEON.PLA.D01.HARV.01137,PIST,Pinus strobus L.,OK,,,18.6,,,,,,jlerner@battelleecology.org,gvanscoy@field-ops.org,"",,20211221T200614Z,RELEASE-2022
