uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,ligninSampleID,ligninSampleBarcode,collectDate,analysisDate,analyticalRepNumber,dryMass,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF,publicationDate,release
320ab4aa-252f-423e-99f6-497ad7a13c02,HARV_033.basePlot.cfc,D01,HARV,HARV_033,tower,AVQkM2txccdJInaV60DTclWghgJyQkIgm+zcaCgWO+c=,A00000000772,AVQkM2txccdJInaV60DTclWghgJyQkIgfopZUwoHFfo=,A00000032128,2018-08-29T13:38Z,2018-10-22,1,0.493,15.78,20.89,OK,OK,,University of Florida Wetland Biogeochemistry Laboratory,WBL-M-028,8kr+qfmeu1FQ7vvHWE7F/A==,5NMApxg5Cd0pWFY84VRdIg==,,20211222T024324Z,RELEASE-2022
4a4e6585-6d7f-4568-91fe-c834ee81ca54,HARV_033.basePlot.cfc,D01,HARV,HARV_033,tower,AVQkM2txcccfnFvOIWuQJKbDLFELfXIRFAGF9qDSxxY=,A00000000744,AVQkM2txcccfnFvOIWuQJKbDLFELfXIRtnfumfA7EMztdu9DrHXwNQ==,A00000032125,2018-08-30T13:54Z,2018-10-22,1,0.483,12.71,25.4,OK,OK,,University of Florida Wetland Biogeochemistry Laboratory,WBL-M-028,8kr+qfmeu1FQ7vvHWE7F/A==,5NMApxg5Cd0pWFY84VRdIg==,,20211222T024324Z,RELEASE-2022
29fd5fcf-025a-4612-8b8b-f7a160234689,HARV_033.basePlot.cfc,D01,HARV,HARV_033,tower,AVQkM2txccf8cJ5aHkcu56cKijO7cC4XXAftJL7SYdc=,A00000000773,AVQkM2txccf8cJ5aHkcu56cKijO7cC4XohwQYWZA7Js=,A00000032122,2018-08-30T14:54Z,2018-10-22,2,0.519,11.05,14.93,OK,OK,,University of Florida Wetland Biogeochemistry Laboratory,WBL-M-028,8kr+qfmeu1FQ7vvHWE7F/A==,5NMApxg5Cd0pWFY84VRdIg==,,20211222T024324Z,RELEASE-2022
8437e7e3-6b8f-473e-b6b6-f0f0ceb65660,HARV_033.basePlot.cfc,D01,HARV,HARV_033,tower,AVQkM2txccf8cJ5aHkcu56cKijO7cC4XXAftJL7SYdc=,A00000000773,AVQkM2txccf8cJ5aHkcu56cKijO7cC4XohwQYWZA7Js=,A00000032122,2018-08-30T14:54Z,2018-10-22,1,0.516,10.96,15.35,OK,OK,,University of Florida Wetland Biogeochemistry Laboratory,WBL-M-028,8kr+qfmeu1FQ7vvHWE7F/A==,5NMApxg5Cd0pWFY84VRdIg==,,20211222T024324Z,RELEASE-2022
90124c9c-8054-47af-84ea-e1cdb3cca556,HARV_035.basePlot.cfc,D01,HARV,HARV_035,tower,AVQkM2txcceJLtxcC/BMJLp/Hy37G7o+JE+VfqIxv8Q=,A00000000788,AVQkM2txcceJLtxcC/BMJLp/Hy37G7o+ZwljW9CcX4s=,A00000032109,2018-08-30T18:38Z,2018-10-22,1,0.518,22.65,15.57,OK,OK,,University of Florida Wetland Biogeochemistry Laboratory,WBL-M-028,8kr+qfmeu1FQ7vvHWE7F/A==,5NMApxg5Cd0pWFY84VRdIg==,,20211222T024324Z,RELEASE-2022
1df32073-e516-40ed-8684-3fcf87d51cff,HARV_035.basePlot.cfc,D01,HARV,HARV_035,tower,AVQkM2txccdkxXlfsPQ38KN4nflsRnjpGaXy/aBhKBU=,A00000000745,AVQkM2txccdkxXlfsPQ38KN4nflsRnjpEOCjhkSeg7M=,A00000032113,2018-08-30T19:35Z,2018-10-22,1,0.493,11.87,13.75,OK,OK,,University of Florida Wetland Biogeochemistry Laboratory,WBL-M-028,8kr+qfmeu1FQ7vvHWE7F/A==,5NMApxg5Cd0pWFY84VRdIg==,,20211222T024324Z,RELEASE-2022
da285807-b5c5-42ed-a567-a5bc6ddd1ae6,HARV_035.basePlot.cfc,D01,HARV,HARV_035,tower,AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBmFg+NHbVjFU=,A00000000786,AVQkM2txccfUnMu2VlEQoJVkzmhQOXrBJcCx9RZ4/xI=,A00000032116,2018-09-04T15:09Z,2018-10-22,1,0.479,9.75,15.89,OK,OK,,University of Florida Wetland Biogeochemistry Laboratory,WBL-M-028,8kr+qfmeu1FQ7vvHWE7F/A==,5NMApxg5Cd0pWFY84VRdIg==,,20211221T200614Z,RELEASE-2022
11ca17e8-4494-4087-8e87-4b8cc174b378,HARV_037.basePlot.cfc,D01,HARV,HARV_037,tower,AVQkM2txcceLRS2ArSfV2TKAS6PImhMJFZq1L+N1Jl4=,A00000000771,AVQkM2txcceLRS2ArSfV2TKAS6PImhMJDFlPlj0Ij8c=,A00000032130,2018-09-04T18:41Z,2018-10-22,1,0.485,10.81,17.26,OK,OK,,University of Florida Wetland Biogeochemistry Laboratory,WBL-M-028,8kr+qfmeu1FQ7vvHWE7F/A==,5NMApxg5Cd0pWFY84VRdIg==,,20211221T200614Z,RELEASE-2022
f8296e63-eee9-4f13-8dbe-5c95bf9ce474,HARV_037.basePlot.cfc,D01,HARV,HARV_037,tower,AVQkM2txccdQ2OivmFjwrRr5qjwUgN/M4s9xU49NmtY=,A00000000770,AVQkM2txccdQ2OivmFjwrRr5qjwUgN/MuuxpL36YFgI=,A00000032119,2018-09-04T20:14Z,2018-10-22,1,0.523,18.29,9.44,OK,OK,,University of Florida Wetland Biogeochemistry Laboratory,WBL-M-028,8kr+qfmeu1FQ7vvHWE7F/A==,5NMApxg5Cd0pWFY84VRdIg==,,20211221T200614Z,RELEASE-2022
05c21552-aeb5-43f0-b5d5-a5b56bb6ad5f,HARV_013.basePlot.cfc,D01,HARV,HARV_013,distributed,AVQkM2txccfa6Tc84ohrE3TBoxsq44q6ZkzDRJygJGk=,A00000000768,AVQkM2txccfa6Tc84ohrE3TBoxsq44q6UhOg6WaFYWBZ4WLDStwGZQ==,A00000032106,2018-09-05T14:07Z,2018-10-25,1,0.49,10.91,14.54,OK,OK,,University of Florida Wetland Biogeochemistry Laboratory,WBL-M-028,8kr+qfmeu1FQ7vvHWE7F/A==,5NMApxg5Cd0pWFY84VRdIg==,,20211221T200614Z,RELEASE-2022
