uid,namedLocation,domainID,siteID,plotType,sampleID,sampleCode,collectDate,lmaSampleID,lmaSampleCode,lmaSampleCondition,scanDate,scannedBy,freshMass,ovenStartDate,ovenEndDate,dryMass,weighedBy,scannedLeafNumber,leafArea,percentGreen,leafMassPerArea,dryMassFraction,measuredBy,remarks,dataQF
"c2b688e3-b3dc-4981-8ece-8940e4052a2a","UNDE_048.basePlot.cfc","D05","UNDE","tower","WnrB9gmiM7ICUKP/6ELhXj5y6vn4RtADOuvQ6Kg3HtI=",,"2019-06-10T18:08Z","WnrB9gmiM7ICUKP/6ELhXj5y6vn4RtADZuTrFRGPeFG1p1pRTMXLow==","A00000076456","OK","2019-06-11T18:22Z","0000-0002-3383-324X",3.399,"2019-06-11T21:30Z","2019-06-17T15:32Z",1.016,"0000-0003-3160-1039",7,22958.7,100,44.3,0.299,"0000-0002-3044-1400","Two leaves touching in scan so Image J only populated 5 leaves. This should not affect the area.",
"d198a78b-5a1f-44fa-ac3c-98d581ce585a","UNDE_048.basePlot.cfc","D05","UNDE","tower","WnrB9gmiM7KpD1x1EWe05a64bF9ByiTXuaNgyvfkCgk=",,"2019-06-10T18:50Z","WnrB9gmiM7KpD1x1EWe05a64bF9ByiTXVhtEQY5N1qeNFUSpUd2xaQ==","A00000076454","OK","2019-06-11T17:39Z","0000-0002-3383-324X",3.732,"2019-06-11T21:30Z","2019-06-17T15:21Z",1.486,"0000-0003-3160-1039",10,22494.5,100,66.1,0.398,"0000-0002-3044-1400","Two leaves touching in scan so Image J only populates 9 leaves. This should not affect the leaf area.",
"55bc34f2-e714-4695-b16a-de5a143175a1","UNDE_048.basePlot.cfc","D05","UNDE","tower","WnrB9gmiM7ICUKP/6ELhXsEf57+R3R8X16FvbcPa00Q=",,"2019-06-10T19:13Z","WnrB9gmiM7ICUKP/6ELhXsEf57+R3R8XQrAJenAdVMDzaq9nnZJeQw==","A00000076457","OK","2019-06-11T18:36Z","0000-0002-3383-324X",3.277,"2019-06-11T21:30Z","2019-06-17T15:53Z",1.014,"0000-0003-3160-1039",9,22740.9,100,44.6,0.309,"0000-0002-3383-324X","Actually POGR4",
"98bdd48b-0393-4599-85a5-0666e3ffb697","UNDE_048.basePlot.cfc","D05","UNDE","tower","WnrB9gmiM7Iw/caom31wxIo8cHK251QTLQ25AGcqNdY=",,"2019-06-10T19:53Z","WnrB9gmiM7Iw/caom31wxIo8cHK251QTr5NNozY1mGA=","A00000076458","OK","2019-06-11T19:04Z","0000-0002-3383-324X",1.110,"2019-06-11T21:30Z","2019-06-17T15:43Z",0.634,"0000-0003-3160-1039",128,3534.2,100,179.4,0.571,"0000-0002-3383-324X",,
"d0bdf0c4-432a-4d98-9472-2ef343a94f51","UNDE_048.basePlot.cfc","D05","UNDE","tower","WnrB9gmiM7L4lliF+zuO3aTksjTiYDu0dH1GELAoleg=",,"2019-06-10T20:30Z","WnrB9gmiM7L4lliF+zuO3aTksjTiYDu0e39j2iWur2Y=","A00000076455","OK","2019-06-11T18:06Z","0000-0002-3383-324X",3.594,"2019-06-11T21:30Z","2019-06-17T15:40Z",1.239,"0000-0003-3160-1039",14,23372.5,100,53.0,0.345,"0000-0002-3044-1400",,
"9f405427-ec3e-41c1-a5dd-ad7997ee8883","UNDE_037.basePlot.cfc","D05","UNDE","tower","WnrB9gmiM7KhecQkNUNsj1iFGtK9TuT+zZlioCdTWHo=",,"2019-06-11T15:00Z","WnrB9gmiM7KhecQkNUNsj1iFGtK9TuT+/y12cun2pAw=",,"OK","2019-06-12T22:36Z","0000-0002-3383-324X",3.141,"2019-06-12T23:10Z","2019-06-19T13:37Z",1.088,"0000-0001-8511-9518",7,22152.6,100,49.1,0.346,"0000-0002-3383-324X",,
"10c22aa3-15af-49f5-92cb-52b5220af6e0","UNDE_037.basePlot.cfc","D05","UNDE","tower","WnrB9gmiM7JsbhQMGveVfxj0b1j/D16fQ2kkA037WD0=",,"2019-06-11T16:30Z","WnrB9gmiM7JsbhQMGveVfxj0b1j/D16fmnw7KAUNLoM=",,"OK","2019-06-12T23:02Z","0000-0002-3383-324X",0.371,"2019-06-12T23:10Z","2019-06-19T13:35Z",0.204,"0000-0001-8511-9518",48,1159.9,100,175.5,0.549,"0000-0002-3383-324X",,
"0e1bedad-98bd-4336-895d-bd95e8bbc491","UNDE_037.basePlot.cfc","D05","UNDE","tower","WnrB9gmiM7KhecQkNUNsj01BJbBxi9zdXPwVPk+KNeI=",,"2019-06-11T17:30Z","WnrB9gmiM7KhecQkNUNsj01BJbBxi9zdsWIMcG0bRXU=",,"OK","2019-06-12T22:17Z","0000-0002-3383-324X",2.928,"2019-06-12T23:10Z","2019-06-19T13:30Z",1.060,"0000-0001-8511-9518",7,18603.6,100,57.0,0.362,"0000-0002-3383-324X",,
"ca17d665-e6d7-4822-8d40-889722819c92","UNDE_037.basePlot.cfc","D05","UNDE","tower","WnrB9gmiM7KJHBAN1/lz5K1r2bMAk/nO47djhz52+yk=",,"2019-06-11T18:00Z","WnrB9gmiM7KJHBAN1/lz5K1r2bMAk/nOCf5YqbZ8GDg=",,"OK","2019-06-12T22:24Z","0000-0002-3383-324X",1.542,"2019-06-12T23:10Z","2019-06-19T13:40Z",0.597,"0000-0001-8511-9518",12,17970.8,100,33.2,0.387,"0000-0002-3383-324X",,
"02e319e4-309f-456c-b8e4-e48ddd0d9802","UNDE_045.basePlot.cfc","D05","UNDE","tower","WnrB9gmiM7Iau2UWhPn7A3SqKlCDDZxh4gC4rrCz4fI=",,"2019-06-11T20:15Z","WnrB9gmiM7Iau2UWhPn7A3SqKlCDDZxhpNZPxQ0p6MDq6vHw80uhQA==",,"OK","2019-06-12T18:00Z","0000-0002-3383-324X",2.312,"2019-06-12T23:10Z","2019-06-19T13:41Z",0.806,"0000-0001-8511-9518",9,16241.3,100,49.6,0.349,"0000-0001-8511-9518",,
