uid,namedLocation,domainID,siteID,plotType,sampleID,sampleCode,collectDate,lmaSampleID,lmaSampleCode,lmaSampleCondition,scanDate,scannedBy,freshMass,ovenStartDate,ovenEndDate,dryMass,weighedBy,scannedLeafNumber,leafArea,percentGreen,leafMassPerArea,dryMassFraction,measuredBy,remarks,dataQF
"6070dc66-3f45-4431-a0eb-289f08c83ec2","DELA_018.basePlot.cfc","D08","DELA","distributed","Nc+HNMhlqfsnz6FNEIwdfsWmIUSpBr0OFgK8ecEB+NM=",,"2019-04-24T16:50Z","Nc+HNMhlqfsnz6FNEIwdfsWmIUSpBr0O0zmyMTjJwTmNq22ZwFBz+g==",,"OK","2019-04-26T07:50Z","0000-0002-9190-7358",8.080,"2019-04-26T08:00Z","2019-05-01T17:18Z",2.970,"0000-0002-9190-7358",1,60339.6,100,49.2,0.368,"0000-0002-9190-7358",,
"4347908e-c00c-46b7-9de3-ebbe96ae5464","DELA_037.basePlot.cfc","D08","DELA","tower","Nc+HNMhlqfsAhFo00mW98DxiUETxOpi89aDGrmcTVb0=","A00000081974","2019-04-24T19:06Z","Nc+HNMhlqfsAhFo00mW98DxiUETxOpi8FKKzAE3C0vGD73wF1aVjCA==",,"OK","2019-04-24T19:18Z","0000-0002-9190-7358",3.290,"2019-04-26T20:00Z","2019-05-01T17:29Z",1.030,"0000-0002-9190-7358",3,15929.5,100,64.7,0.313,"0000-0002-9190-7358",,
"856ec3be-2290-439f-acc4-9ecc4bd21e62","DELA_037.basePlot.cfc","D08","DELA","tower","Nc+HNMhlqftqTy1u6ZC0mcDZhrM56GNreDrZYbTy18Q=","A00000081975","2019-04-24T19:10Z","Nc+HNMhlqftqTy1u6ZC0mcDZhrM56GNraymFF4NivY8=","A00000082153","OK","2019-04-26T19:44Z","0000-0002-9190-7358",3.550,"2019-04-26T20:00Z","2019-05-01T17:34Z",1.490,"0000-0002-9190-7358",2,26991.1,100,55.2,0.420,"0000-0002-9190-7358",,
"1a6f62d3-03ee-4a3a-831d-1f8e6aca92c5","DELA_037.basePlot.cfc","D08","DELA","tower","Nc+HNMhlqfu2Elvk5YKLrDGF+5Kf6lJrkxOdRsqUcU0=","A00000081976","2019-04-24T19:12Z","Nc+HNMhlqfu2Elvk5YKLrDGF+5Kf6lJrPFkKquQLAk0=",,"OK","2019-04-26T20:02Z","0000-0002-9190-7358",3.030,"2019-04-26T20:00Z","2019-05-01T17:27Z",1.400,"0000-0002-9190-7358",15,14898.5,100,94.0,0.462,"0000-0002-9190-7358",,
"22c6401a-42c8-490a-abb1-7a3c35117111","DELA_004.basePlot.cfc","D08","DELA","distributed","Nc+HNMhlqfuwkD7dmJPLXVLEmN2TKZvWpb+QskA6CnM=","A00000081977","2019-04-25T13:34Z","Nc+HNMhlqfuwkD7dmJPLXVLEmN2TKZvWvDNiOdhx9Ac=",,"OK","2019-04-26T06:33Z","0000-0002-9190-7358",3.230,"2019-04-26T08:00Z","2019-05-01T17:16Z",0.860,"0000-0002-9190-7358",1,18974.7,100,45.3,0.266,"0000-0002-9190-7358",,
"fb829b9f-3461-4e4d-8e49-b393331ae011","DELA_004.basePlot.cfc","D08","DELA","distributed","Nc+HNMhlqfvzzMmbGQYGYjjZ7SKMhcJn9al0s1bIq3w=","A00000081978","2019-04-25T14:04Z","Nc+HNMhlqfvzzMmbGQYGYjjZ7SKMhcJnA6h5DE2ocHw=",,"OK","2019-04-26T18:07Z","0000-0002-9190-7358",1.870,"2019-04-26T20:00Z","2019-05-01T17:20Z",0.680,"0000-0002-9190-7358",12,17377.3,100,39.1,0.364,"0000-0002-9190-7358",,
"3523370a-b50f-4245-b647-3fa0b97ffa53","DELA_004.basePlot.cfc","D08","DELA","distributed","Nc+HNMhlqfs+NPALPvNDccCD7HI8gGqXY4qzY09MoN0=","A00000081979","2019-04-25T14:42Z","Nc+HNMhlqfs+NPALPvNDccCD7HI8gGqX4hf1ZOsc+Tg=",,"OK","2019-04-26T18:46Z","0000-0002-9190-7358",3.020,"2019-04-26T20:00Z","2019-05-01T17:31Z",1.110,"0000-0002-9190-7358",6,20899.7,100,53.1,0.368,"0000-0002-9190-7358",,
"29be8daa-3b79-45be-b176-4d6112455c7f","DELA_004.basePlot.cfc","D08","DELA","distributed","Nc+HNMhlqfvzzMmbGQYGYoJDjOWFEkvLeaJudwc9lP0=","A00000081980","2019-04-25T15:06Z","Nc+HNMhlqfvzzMmbGQYGYoJDjOWFEkvLkoln692MQAk=",,"OK","2019-04-26T17:50Z","0000-0002-9190-7358",2.610,"2019-04-26T20:00Z","2019-05-01T17:24Z",0.950,"0000-0002-9190-7358",12,19734.8,100,48.1,0.364,"0000-0002-9190-7358",,
"d9cd171a-da8c-4082-80bc-59ca22c439da","DELA_003.basePlot.cfc","D08","DELA","distributed","Nc+HNMhlqfsLn9TiKPIz/JUCNNrug2aPON8fLCjR+BE=","A00000081981","2019-04-25T15:59Z","Nc+HNMhlqfsLn9TiKPIz/JUCNNrug2aPXW9cfP5b2jV82FRQy0cdPA==",,"OK","2019-04-26T18:16Z","0000-0002-9190-7358",3.320,"2019-04-26T20:00Z","2019-05-01T17:22Z",1.080,"0000-0002-9190-7358",2,15937.3,100,67.8,0.325,"0000-0002-9190-7358",,
"b5af13d9-68dc-46f6-abd5-393fba4491bb","DELA_040.basePlot.cfc","D08","DELA","tower","Nc+HNMhlqfubEIJhrJbaDsb7yj31PY9MpO8+dN+5GkY=","A00000081982","2019-04-29T15:52Z","Nc+HNMhlqfubEIJhrJbaDsb7yj31PY9MDOxiJlLodO0=",,"OK","2019-05-01T22:00Z","0000-0002-9190-7358",1.860,"2019-05-01T22:02Z","2019-05-09T17:04Z",0.460,"0000-0002-9190-7358",1,13164.9,100,34.9,0.247,"0000-0002-9190-7358",,
"4c24b607-5fb0-4008-8832-2bfd9c2f92c7","DELA_040.basePlot.cfc","D08","DELA","tower","Nc+HNMhlqfuEyRxypRJayAmYu8zBVJ+oNH4do/ab9eQ=","A00000081983","2019-04-29T16:32Z","Nc+HNMhlqfuEyRxypRJayAmYu8zBVJ+o84aYHJhMbPY=","A00000082163","OK","2019-05-01T21:46Z","0000-0002-9190-7358",3.320,"2019-05-01T21:51Z","2019-05-09T16:11Z",1.410,"0000-0002-9190-7358",3,22809.0,100,61.8,0.425,"0000-0002-9190-7358",,
"280b6bd8-a58c-4164-9e76-d1dd9296de51","DELA_044.basePlot.cfc","D08","DELA","tower","Nc+HNMhlqfuJihW7TqzFUCDtDVowxajkByIISbZDOvQ=","A00000081984","2019-04-29T17:57Z","Nc+HNMhlqfuJihW7TqzFUCDtDVowxajkd9LL23nLRjpsMRaTuF5pxQ==","A00000082166","OK","2019-05-01T22:23Z","0000-0002-9190-7358",6.090,"2019-05-01T22:31Z","2019-05-09T16:15Z",2.360,"0000-0002-9190-7358",1,46939.0,100,50.3,0.388,"0000-0002-9190-7358",,
"5df8e0eb-70ed-400e-87a1-85c047c52055","DELA_044.basePlot.cfc","D08","DELA","tower","Nc+HNMhlqfuVmfWG3sJo/4ChTahclVRNUzx1tzVVPYE=","A00000081985","2019-04-29T18:42Z","Nc+HNMhlqfuVmfWG3sJo/4ChTahclVRNeJXY8U0pvpM=","A00000082161","OK","2019-05-01T21:01Z","0000-0002-9190-7358",3.040,"2019-05-01T21:06Z","2019-05-09T16:46Z",1.280,"0000-0002-9190-7358",3,19751.9,100,64.8,0.421,"0000-0002-9190-7358",,
